text,homeScore,awayScore,isLive,time,addedTime,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,reversedPeriodTime,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,length,playerIn.name,playerIn.firstName,playerIn.lastName,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.firstName,playerOut.lastName,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,injury,assist1.name,assist1.firstName,assist1.lastName,assist1.slug,assist1.shortName,assist1.position,assist1.userCount,assist1.id,manager.name,manager.slug,manager.shortName,manager.id
FT,0.0,2.0,False,90,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,5.0,card,Zé Ivaldo,Foul,False,120829150.0,False,red,1.0,Zé Ivaldo,,,ze-ivaldo,Zé Ivaldo,D,159.0,844602.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,0.0,injuryTime,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,89,,substitution,,,,121901126.0,False,,2.0,,,,,,,,,,Madson,,,madson,Madson,D,238.0,243439.0,Khellven,,,khellven,Khellven,D,404.0,984896.0,,,,,,,,,,,,,
,,,,89,,substitution,,,,121901125.0,False,,2.0,,,,,,,,,,Hugo Moura,,,hugo-moura,Hugo Moura,M,355.0,973293.0,Vitor Roque,Vitor Roque,,vitor-roque,Vitor Roque,F,12479.0,1150391.0,,,,,,,,,,,,,
,,,,86,,substitution,,,,121901116.0,True,,5.0,,,,,,,,,,Gabriel Carabajal,,,gabriel-carabajal,Gabriel Carabajal,M,145.0,830742.0,Jair,,,jair,Jair,M,513.0,268419.0,,,,,,,,,,,,,
,,,,86,,substitution,,,,121901115.0,True,,5.0,,,,,,,,,,Serginho,,,serginho,Serginho,M,169.0,849301.0,Figueiredo,Figueiredo,,figueiredo,Figueiredo,F,439.0,1105790.0,,,,,,,,,,,,,
,,,,82,,substitution,,,,121901109.0,True,,9.0,,,,,,,,,,Rayan,Rayan,,rayan,Rayan,F,361.0,1464966.0,Luca Orellano,,,luca-orellano,L. Orellano,M,674.0,965764.0,,,,,,,,,,,,,
,0.0,2.0,,80,,goal,,,,170511525.0,False,penalty,11.0,Vitor Bueno,,,vitor-bueno,Vitor Bueno,M,467.0,808785.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,73,,substitution,,,,121901101.0,False,injury,18.0,,,,,,,,,,Pablo,,,pablo,Pablo,F,559.0,374486.0,Christian,,,christian,Christian,M,294.0,981733.0,True,,,,,,,,,,,,
,0.0,1.0,,71,,goal,,,,170511446.0,False,regular,20.0,Christian,,,christian,Christian,M,294.0,981733.0,,,,,,,,,,,,,,,,,,,Vitor Roque,Vitor Roque,,vitor-roque,Vitor Roque,F,12479.0,1150391.0,,,,
,,,,70,,card,Lucas Esquivel,Foul,False,120829134.0,False,yellow,21.0,Lucas Esquivel,Lucas Esquivel,,lucas-esquivel,Lucas Esquivel,D,125.0,1087079.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,67,,substitution,,,,121901097.0,False,,24.0,,,,,,,,,,Tomás Cuello,,,tomas-cuello,Tomás Cuello,M,375.0,871273.0,Agustín Canobbio,,,agustin-canobbio,A. Canobbio,M,683.0,846413.0,,,,,,,,,,,,,
,,,,66,,substitution,,,,121901096.0,False,,25.0,,,,,,,,,,Vitor Bueno,,,vitor-bueno,Vitor Bueno,M,467.0,808785.0,Arturo Vidal,,,arturo-vidal,Arturo Vidal,M,10375.0,18342.0,,,,,,,,,,,,,
,,,,65,,card,Jair,Foul,False,120829129.0,True,yellow,26.0,Jair,,,jair,Jair,M,513.0,268419.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60,,substitution,,,,121901089.0,True,,31.0,,,,,,,,,,Marlon Gomes,Marlon Gomes,,marlon-gomes,M. Gomes,M,989.0,1105833.0,Zé Gabriel,,,ze-gabriel,J. Gabriel,M,146.0,988852.0,,,,,,,,,,,,,
,,,,58,,card,Fernandinho,Foul,False,120829124.0,False,yellow,33.0,Fernandinho,,,fernandinho,Fernandinho,M,2950.0,13630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HT,0.0,0.0,False,45,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45,0.0,injuryTime,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,41,,card,Khellven,Foul,False,120829100.0,False,yellow,5.0,Khellven,,,khellven,Khellven,D,404.0,984896.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,35,,card,Zé Vitor,Foul,False,120829095.0,True,yellow,11.0,Zé Vitor,Zé Vitor,,ze-vitor,Zé Vitor,D,55.0,1174625.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-5,,card,Wesley Carvalho,Argument,False,120829101.0,False,yellow,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wesley Carvalho,wesley-carvalho,W. Carvalho,797581.0
