text,homeScore,awayScore,isLive,time,addedTime,incidentType,id,isHome,incidentClass,reversedPeriodTime,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,playerIn.name,playerIn.firstName,playerIn.lastName,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,playerOut.firstName,playerOut.lastName,length,playerName,reason,rescinded,assist1.name,assist1.slug,assist1.shortName,assist1.position,assist1.userCount,assist1.id,confirmed,manager.name,manager.slug,manager.shortName,manager.id
FT,3.0,1.0,False,90,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.0,1.0,,90,6.0,goal,170476314.0,True,regular,1.0,Breno Lopes,,,breno-lopes,Breno Lopes,F,498.0,937552.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,2.0,substitution,121898095.0,False,,1.0,,,,,,,,,Romarinho,,,romarinho,Romarinho,F,161.0,870578.0,Titi,titi,Titi,D,220.0,243435.0,,,,,,,,,,,,,,,,,
,,,,90,,substitution,121898092.0,True,,1.0,,,,,,,,,Jailson,,,jailson,Jailson,M,364.0,794861.0,Raphael Veiga,raphael-veiga,Raphael Veiga,M,5522.0,840020.0,,,,,,,,,,,,,,,,,
,,,,90,0.0,injuryTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,
,,,,85,,card,120827514.0,False,yellow,6.0,Silvio Romero,,,silvio-romero,S. Romero,F,293.0,174937.0,,,,,,,,,,,,,,,,,,Silvio Romero,Foul,False,,,,,,,,,,,
,,,,83,,card,120827512.0,True,yellow,8.0,Weverton,,,weverton,Weverton,G,2464.0,243529.0,,,,,,,,,,,,,,,,,,Weverton,Argument,False,,,,,,,,,,,
,,,,82,,card,120827513.0,False,yellow,9.0,Emanuel Brítez,,,emanuel-britez,Emanuel Brítez,D,157.0,789395.0,,,,,,,,,,,,,,,,,,Emanuel Brítez,Foul,False,,,,,,,,,,,
,,,,82,,substitution,121898074.0,False,,9.0,,,,,,,,,Silvio Romero,,,silvio-romero,S. Romero,F,293.0,174937.0,Lucas Sasha,lucas-sasha,L. Sasha,M,161.0,123225.0,,,,,,,,,,,,,,,,,
,,,,82,,substitution,121898073.0,False,,9.0,,,,,,,,,Lucas Crispim,,,lucas-crispim,L. Crispim,M,265.0,795178.0,Yago Pikachu,yago-pikachu,Y. Pikachu,M,845.0,363688.0,,,,,,,,,,,,,,,,,
,,,,81,,card,120827499.0,True,yellow,10.0,Zé Rafael,,,ze-rafael,Z. Rafael,M,1070.0,329069.0,,,,,,,,,,,,,,,,,,Zé Rafael,Argument,False,,,,,,,,,,,
,,,,79,,card,120827497.0,True,yellow,12.0,Joaquín Piquerez,,,joaquin-piquerez,J. Piquerez,D,1367.0,881110.0,,,,,,,,,,,,,,,,,,Joaquín Piquerez,Time wasting,False,,,,,,,,,,,
,,,,78,,card,120827495.0,False,yellow,13.0,Zé Welison,,,ze-welison,Zé Welison,M,173.0,551422.0,,,,,,,,,,,,,,,,,,Zé Welison,Foul,False,,,,,,,,,,,
,2.0,1.0,,76,,goal,170475739.0,True,regular,15.0,Raphael Veiga,,,raphael-veiga,Raphael Veiga,M,5522.0,840020.0,,,,,,,,,,,,,,,,,,,,,Mayke,mayke,Mayke,D,610.0,273329.0,,,,,
,,,,75,,card,120827488.0,False,yellow,16.0,Lucas Sasha,,,lucas-sasha,L. Sasha,M,161.0,123225.0,,,,,,,,,,,,,,,,,,Lucas Sasha,Foul,False,,,,,,,,,,,
,,,,67,,substitution,121898021.0,False,,24.0,,,,,,,,,Guilherme,,,guilherme,Guilherme,M,214.0,844605.0,Marinho,marinho,Marinho,F,2840.0,798127.0,,,,,,,,,,,,,,,,,
,,,,67,,substitution,121898022.0,False,,24.0,,,,,,,,,Calebe,Calebe,,calebe,Calebe,M,251.0,1046796.0,Tomás Pochettino,tomas-pochettino,T. Pochettino,M,359.0,824626.0,,,,,,,,,,,,,,,,,
,,,,64,,substitution,121898012.0,True,,27.0,,,,,,,,,Breno Lopes,,,breno-lopes,Breno Lopes,F,498.0,937552.0,Artur,artur,Artur,M,2138.0,841128.0,,,,,,,,,,,,,,,,,
,,,,64,,substitution,121898006.0,True,,27.0,,,,,,,,,Luis Guilherme,Luis Guilherme,,luis-guilherme,Luis Guilherme,M,604.0,1464248.0,Richard Rios,richard-rios,R. Rios,M,869.0,1015292.0,,,,,,,,,,,,,,,,,
,,,,46,,substitution,121897936.0,True,,45.0,,,,,,,,,Mayke,,,mayke,Mayke,D,610.0,273329.0,Marcos Rocha,marcos-rocha,Marcos Rocha,D,788.0,82576.0,,,,,,,,,,,,,,,,,
,,,,46,,substitution,121897932.0,True,,45.0,,,,,,,,,Gabriel Menino,,,gabriel-menino,Gabriel Menino,M,1819.0,974556.0,Jhon Jhon,jhon-jhon,Jhon Jhon,M,324.0,1167069.0,Jhon Jhon,,,,,,,,,,,,,,,,
HT,1.0,1.0,False,45,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,1.0,,45,,goal,170474700.0,False,penalty,1.0,Juan Martín Lucero,,,juan-martin-lucero,Juan Martín Lucero,F,575.0,359024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45,0.0,injuryTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,
,,,,44,,varDecision,19020.0,False,penaltyNotAwarded,2.0,Juan Martín Lucero,,,juan-martin-lucero,Juan Martín Lucero,F,575.0,359024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,
,,,,9,,card,120827312.0,False,yellow,37.0,Titi,,,titi,Titi,D,220.0,243435.0,,,,,,,,,,,,,,,,,,Titi,Argument,False,,,,,,,,,,,
,1.0,0.0,,8,,goal,170473704.0,True,regular,38.0,Richard Rios,,,richard-rios,R. Rios,M,869.0,1015292.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,,card,120827303.0,False,yellow,40.0,Marcelo Benevenuto,,,marcelo-benevenuto,Marcelo,D,211.0,841808.0,,,,,,,,,,,,,,,,,,Marcelo Benevenuto,Foul,False,,,,,,,,,,,
,,,,-5,,card,120827484.0,False,yellow,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,Juan Pablo Vojvoda,Argument,False,,,,,,,,Juan Pablo Vojvoda,juan-pablo-vojvoda,J. P. Vojvoda,786600.0
