text,homeScore,awayScore,isLive,time,addedTime,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,reversedPeriodTime,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,length,assist1.name,assist1.firstName,assist1.lastName,assist1.slug,assist1.shortName,assist1.position,assist1.userCount,assist1.id,playerIn.name,playerIn.firstName,playerIn.lastName,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.firstName,playerOut.lastName,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,injury
FT,2.0,2.0,False,90,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,1.0,card,Alex Nascimento,Foul,False,120829016.0,True,yellow,1.0,Alex Nascimento,,,alex-nascimento,A. Nascimento,D,126.0,931556.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,0.0,injuryTime,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,89,,card,Matías Segovia,Foul,False,120829013.0,False,yellow,2.0,Matías Segovia,,,matias-segovia,Matías Segovia,F,703.0,988622.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,2.0,,87,,goal,,,,170509611.0,False,regular,4.0,Adryelson,,,adryelson,Adryelson,D,426.0,795261.0,,Marçal,,,marcal,Marçal,D,516.0,143593.0,,,,,,,,,,,,,,,,,
,,,,86,,substitution,,,,121900923.0,True,,5.0,,,,,,,,,,,,,,,,,,Deivid Washington,Deivid Washington,,deivid-washington,D. Washington,F,594.0,1485371.0,Marcos Leonardo,,,marcos-leonardo,M. Leonardo,F,3854.0,1047227.0,
,,,,86,,substitution,,,,121900922.0,True,,5.0,,,,,,,,,,,,,,,,,,Alex Nascimento,,,alex-nascimento,A. Nascimento,D,126.0,931556.0,João Lucas,,,joao-lucas,João Lucas,D,265.0,981019.0,
,2.0,1.0,,84,,goal,,,,170509589.0,False,regular,7.0,Tiquinho Soares,,,tiquinho-soares,T. Soares,F,2850.0,789100.0,,Janderson,Janderson,,janderson,Janderson,F,94.0,1462989.0,,,,,,,,,,,,,,,,,
,,,,83,,substitution,,,,121900925.0,False,,8.0,,,,,,,,,,,,,,,,,,Lucas Fernandes,,,lucas-fernandes,Lucas Fernandes,M,327.0,837871.0,Leonel Di Plácido,,,leonel-di-placido,Leonel Di Plácido,D,164.0,546338.0,
,,,,83,,substitution,,,,121900924.0,False,,8.0,,,,,,,,,,,,,,,,,,Carlos Alberto,,,carlos-alberto,Carlos Alberto,F,114.0,1008700.0,Tchê Tchê,,,tche-tche,Tchê Tchê,M,605.0,840398.0,
,2.0,0.0,,81,,goal,,,,170509585.0,True,regular,10.0,Marcos Leonardo,,,marcos-leonardo,M. Leonardo,F,3854.0,1047227.0,,Lucas Lima,,,lucas-lima,L. Lima,M,899.0,244589.0,,,,,,,,,,,,,,,,,
,,,,76,,card,Marçal,Foul,False,120828986.0,False,yellow,15.0,Marçal,,,marcal,Marçal,D,516.0,143593.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,72,,substitution,,,,121900846.0,True,,19.0,,,,,,,,,,,,,,,,,,Luan Dias,,,luan-dias,Luan Dias,F,88.0,1016887.0,Jean Lucas,,,jean-lucas,J. Lucas,M,817.0,927975.0,
,,,,72,,substitution,,,,121900854.0,True,injury,19.0,,,,,,,,,,,,,,,,,,Gabriel Inocêncio,Gabriel Inocêncio,,gabriel-inocencio,Gabriel Inocêncio,D,65.0,1047680.0,Dodô,,,dodo,Dodô,D,337.0,108481.0,True
,,,,70,,card,Adryelson,Argument,False,120828972.0,False,yellow,21.0,Adryelson,,,adryelson,Adryelson,D,426.0,795261.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,70,,card,Jean Lucas,Argument,False,120828971.0,True,yellow,21.0,Jean Lucas,,,jean-lucas,J. Lucas,M,817.0,927975.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,66,,substitution,,,,121900812.0,False,,25.0,,,,,,,,,,,,,,,,,,Janderson,Janderson,,janderson,Janderson,F,94.0,1462989.0,Danilo Barbosa,,,danilo-barbosa,Danilo Barbosa,M,296.0,330063.0,
,,,,63,,card,João Lucas,Foul,False,120828955.0,True,yellow,28.0,João Lucas,,,joao-lucas,João Lucas,D,265.0,981019.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,61,,substitution,,,,121900805.0,True,injury,30.0,,,,,,,,,,,,,,,,,,Vladimir,,,vladimir,Vladimir,G,101.0,124996.0,João Paulo,,,joao-paulo,J. Paulo,G,830.0,795177.0,True
,,,,46,,substitution,,,,121900735.0,False,,45.0,,,,,,,,,,,,,,,,,,Matías Segovia,,,matias-segovia,Matías Segovia,F,703.0,988622.0,Júnior Santos,,,junior-santos,Júnior Santos,M,355.0,922559.0,
HT,1.0,0.0,False,45,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45,0.0,injuryTime,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,42,,substitution,,,,121900664.0,False,injury,4.0,,,,,,,,,,,,,,,,,,Victor Sá,,,victor-sa,Victor Sá,M,398.0,799634.0,Luís Henrique,,,luis-henrique,Luís Henrique,F,1154.0,977679.0,True
,1.0,0.0,,24,,goal,,,,170507561.0,True,regular,22.0,Marcos Leonardo,,,marcos-leonardo,M. Leonardo,F,3854.0,1047227.0,,Jean Lucas,,,jean-lucas,J. Lucas,M,817.0,927975.0,,,,,,,,,,,,,,,,,
