text,homeScore,awayScore,isLive,time,addedTime,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,reversedPeriodTime,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,length,playerIn.name,playerIn.firstName,playerIn.lastName,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.firstName,playerOut.lastName,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id
FT,0.0,0.0,False,90,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,1.0,card,Matheus Dias,Foul,False,120829009.0,False,yellow,1.0,Matheus Dias,,,dias-matheus,Matheus Dias,M,96.0,1020610.0,,,,,,,,,,,,,,,,,
,,,,90,0.0,injuryTime,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,
,,,,87,,substitution,,,,121900908.0,True,,4.0,,,,,,,,,,Gustavinho,Gustavinho,,gustavinho,Gustavinho,M,82.0,1463904.0,Eduardo Sasha,,,eduardo-sasha,E. Sasha,F,780.0,143846.0
,,,,78,,substitution,,,,121900857.0,False,,13.0,,,,,,,,,,Matheus Dias,,,dias-matheus,Matheus Dias,M,96.0,1020610.0,Carlos De Pena,,,carlos-de-pena,Carlos De Pena,M,455.0,311394.0
,,,,78,,substitution,,,,121900856.0,False,,13.0,,,,,,,,,,Campanharo,,,campanharo,Campanharo,M,180.0,220094.0,Charles Aránguiz,,,charles-aranguiz,C. Aránguiz,M,2157.0,18304.0
,,,,78,,card,Léo Ortiz,Foul,False,120828990.0,True,yellow,13.0,Léo Ortiz,,,leo-ortiz,L. Ortiz,D,514.0,869643.0,,,,,,,,,,,,,,,,,
,,,,75,,substitution,,,,121900843.0,True,,16.0,,,,,,,,,,Léo Ortiz,,,leo-ortiz,L. Ortiz,D,514.0,869643.0,Andrés Hurtado,,,andres-hurtado,Andrés Hurtado,D,304.0,987589.0
,,,,74,,card,Alan Patrick,Foul,False,120828975.0,False,yellow,17.0,Alan Patrick,,,alan-patrick,A. Patrick,M,684.0,124997.0,,,,,,,,,,,,,,,,,
,,,,59,,substitution,,,,121900796.0,True,,32.0,,,,,,,,,,Thiago Borbas,,,thiago-borbas,T. Borbas,F,477.0,1018547.0,Matheus Fernandes,,,matheus-fernandes,Matheus Fernandes,M,1037.0,840150.0
,,,,59,,substitution,,,,121900795.0,True,,32.0,,,,,,,,,,Bruninho,Bruninho,,bruninho,Bruninho,F,291.0,1124246.0,Sorriso,Sorriso,,sorriso,Sorriso,M,182.0,1105595.0
,,,,53,,card,Natan,Foul,False,120828934.0,True,yellow,38.0,Natan,,,natan,Natan,D,582.0,1015287.0,,,,,,,,,,,,,,,,,
HT,0.0,0.0,False,45,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45,4.0,card,Andrés Hurtado,Foul,False,120828891.0,True,yellow,1.0,Andrés Hurtado,,,andres-hurtado,Andrés Hurtado,D,304.0,987589.0,,,,,,,,,,,,,,,,,
,,,,45,0.0,injuryTime,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,
