text,homeScore,awayScore,isLive,time,addedTime,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,reversedPeriodTime,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.firstName,player.lastName,length,playerIn.name,playerIn.firstName,playerIn.lastName,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.firstName,playerOut.lastName,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,injury,assist1.name,assist1.firstName,assist1.lastName,assist1.slug,assist1.shortName,assist1.position,assist1.userCount,assist1.id,manager.name,manager.slug,manager.shortName,manager.id
FT,0.0,1.0,False,90,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,7.0,card,Allano,Argument,False,120829041.0,False,yellow,1.0,Allano,allano,Allano,M,63.0,796925.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,7.0,card,Bruno Rodrigues,Argument,False,120829040.0,True,yellow,1.0,Bruno Rodrigues,bruno-rodrigues,Bruno Rodrigues,F,736.0,817650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,1.0,card,Hugo,Foul,False,120829019.0,False,yellow,1.0,Hugo,hugo,Hugo,D,49.0,1017827.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,0.0,injuryTime,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,87,,substitution,,,,121900927.0,True,,4.0,,,,,,,,,,Stênio,,,stenio,Stênio,F,258.0,1046740.0,Mateus Vital,,,mateus-vital,Mateus Vital,M,720.0,823653.0,,,,,,,,,,,,,
,,,,84,,card,Luciano Castan,Foul,False,120829005.0,True,yellow,7.0,Luciano Castan,luciano-castan,Luciano Castan,D,131.0,845110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,82,,substitution,,,,121900885.0,False,,9.0,,,,,,,,,,Hugo,,,hugo,Hugo,D,49.0,1017827.0,Vinícius,,,vinicius,Vinícius,M,148.0,124807.0,,,,,,,,,,,,,
,,,,79,,substitution,,,,121900864.0,True,,12.0,,,,,,,,,,Henrique Dourado,,,henrique-dourado,Henrique,F,426.0,329219.0,Gilberto,,,gilberto,Gilberto,F,890.0,158561.0,,,,,,,,,,,,,
,,,,77,,card,Gilberto,Argument,False,120828999.0,True,yellow,14.0,Gilberto,gilberto,Gilberto,F,890.0,158561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,75,,substitution,,,,121900855.0,False,injury,16.0,,,,,,,,,,Diego Gonçalves,,,diego-goncalves,Diego Gonçalves,M,76.0,344077.0,João Magno,,,joao-magno,João Magno,F,53.0,945307.0,True,,,,,,,,,,,,
,,,,74,,card,João Magno,Time wasting,False,120828981.0,False,yellow,17.0,João Magno,joao-magno,João Magno,F,53.0,945307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,70,,substitution,,,,121900839.0,True,,21.0,,,,,,,,,,Paulo Vitor,,,paulo-vitor,P. Vitor,M,97.0,881153.0,Wesley,,,wesley,Wesley,F,726.0,985766.0,,,,,,,,,,,,,
,,,,70,,substitution,,,,121900838.0,True,,21.0,,,,,,,,,,Neto Moura,,,neto-moura,N. Moura,M,252.0,559034.0,Matheus Jussa,,,matheus-jussa,Matheus Jussa,M,114.0,794849.0,,,,,,,,,,,,,
,,,,57,,substitution,,,,121900794.0,False,,34.0,,,,,,,,,,Allano,,,allano,Allano,M,63.0,796925.0,Guilherme,,,guilherme,Guilherme,M,280.0,109610.0,,,,,,,,,,,,,
,,,,57,,substitution,,,,121900793.0,False,,34.0,,,,,,,,,,Higor Meritão,,,higor-meritao,H. Meritão,M,72.0,973845.0,Anderson Oliveira,,,anderson-oliveira,Anderson Oliveira,M,70.0,931538.0,,,,,,,,,,,,,
,,,,52,,card,Sander,Foul,False,120828937.0,False,yellow,39.0,Sander,sander,Sander,D,148.0,795014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,46,,substitution,,,,121900740.0,True,,45.0,,,,,,,,,,Wallisson Luiz,,,wallisson-luiz,Wallisson Luiz,M,165.0,922601.0,Lucas Oliveira,,,lucas-oliveira,Lucas Oliveira,D,200.0,867907.0,,,,,,,,,,,,,
HT,0.0,1.0,False,45,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45,5.0,card,Willian Oliveira,Argument,False,120828901.0,False,yellow,1.0,Willian Oliveira,willian-oliveira,Willian Oliveira,M,82.0,295167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45,0.0,injuryTime,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,28,,card,Rafael Cabral,Argument,False,120828852.0,True,yellow,18.0,Rafael Cabral,rafael-cabral,Rafael Cabral,G,348.0,124980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,1.0,,28,,goal,,,,170507657.0,False,regular,18.0,João Magno,joao-magno,João Magno,F,53.0,945307.0,,,,,,,,,,,,,,,,,,,,,Sander,,,sander,Sander,D,148.0,795014.0,,,,
,,,,-5,,card,Armando Evangelista,Argument,False,120829018.0,False,yellow,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armando Evangelista,armando-evangelista,A. Evangelista,323631.0
