text,homeScore,awayScore,isLive,time,addedTime,incidentType,length,playerName,reason,rescinded,id,isHome,incidentClass,reversedPeriodTime,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.firstName,playerIn.name,playerIn.firstName,playerIn.lastName,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.firstName,playerOut.lastName,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,player.lastName,confirmed,assist1.name,assist1.firstName,assist1.lastName,assist1.slug,assist1.shortName,assist1.position,assist1.userCount,assist1.id
FT,1.0,0.0,False,90,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,0.0,injuryTime,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,89,,card,,Mauricio Lemos,Argument,False,120827757.0,False,yellow,2.0,Mauricio Lemos,mauricio-lemos,M. Lemos,D,507.0,385916.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,89,,card,,Alisson Santana,Foul,False,120827756.0,False,yellow,2.0,Alisson Santana,alisson-santana,Alisson Santana,M,29.0,1471221.0,Alisson Santana,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,89,,substitution,,,,,121898521.0,False,,2.0,,,,,,,,Pedrinho,,,pedrinho,Pedrinho,M,1479.0,874030.0,Rubens,Rubens,,rubens,Rubens,D,341.0,1093196.0,,,,,,,,,,
,,,,85,,substitution,,,,,121898516.0,True,,6.0,,,,,,,,Juan Iturbe,,,juan-iturbe,J. Iturbe,M,439.0,146415.0,Franco Cristaldo,,,franco-cristaldo,Franco Cristaldo,M,1040.0,558820.0,,,,,,,,,,
,,,,84,,card,,Gabriel Grando,Time wasting,False,120827750.0,True,yellow,7.0,Gabriel Grando,gabriel-grando,Gabriel Grando,G,419.0,1111770.0,Gabriel Grando,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,84,,varDecision,,,,,19031.0,False,goalAwarded,7.0,Alan Kardec,alan-kardec,Alan Kardec,F,433.0,39656.0,,,,,,,,,,,,,,,,,,,False,,,,,,,,
,,,,76,,substitution,,,,,121898509.0,False,,15.0,,,,,,,,Alan Kardec,,,alan-kardec,Alan Kardec,F,433.0,39656.0,Igor Gomes,,,igor-gomes,I. Gomes,M,691.0,913598.0,,,,,,,,,,
,,,,76,,card,,Renzo Saravia,Foul,False,120827743.0,False,yellow,15.0,Renzo Saravia,renzo-saravia,R. Saravia,D,558.0,315916.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,68,,substitution,,,,,121898493.0,True,,23.0,,,,,,,,Ferreira,,,ferreira,Ferreira,M,770.0,998499.0,Ronald Falkoski,Ronald Falkoski,,ronald-falkoski,R. Falkoski,M,169.0,1470941.0,,,,,,,,,,
,,,,68,,substitution,,,,,121898494.0,True,,23.0,,,,,,,,Lucas Milla,,,lucas-milla,Lucas Milla,M,63.0,1176212.0,Bitello,Bitello,,bitello,Bitello,M,1047.0,1106839.0,,,,,,,,,,
,,,,67,,substitution,,,,,121898496.0,False,,24.0,,,,,,,,Alisson Santana,Alisson Santana,,alisson-santana,Alisson Santana,M,29.0,1471221.0,Cristian Pavón,,,cristian-pavon,C. Pavón,M,1674.0,358956.0,,,,,,,,,,
,,,,67,,substitution,,,,,121898495.0,False,,24.0,,,,,,,,Renzo Saravia,,,renzo-saravia,R. Saravia,D,558.0,315916.0,Mariano,,,mariano,Mariano,D,362.0,40076.0,,,,,,,,,,
,,,,62,,card,,Reinaldo,Time wasting,False,120827731.0,True,yellow,29.0,Reinaldo,reinaldo,Reinaldo,D,848.0,243109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,61,,substitution,,,,,121898476.0,True,,30.0,,,,,,,,Fredy Noguera,,,fredy-noguera,F. Noguera,F,36.0,1382425.0,André Henrique,,,andre-henrique,A. Henrique,F,91.0,1463912.0,,,,,,,,,,
HT,1.0,0.0,False,45,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45,5.0,card,,Rubens,Persistent fouling,False,120827705.0,False,yellow,1.0,Rubens,rubens,Rubens,D,341.0,1093196.0,Rubens,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45,0.0,injuryTime,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,0.0,,11,,goal,,,,,170479434.0,True,regular,35.0,Ronald Falkoski,ronald-falkoski,R. Falkoski,M,169.0,1470941.0,Ronald Falkoski,,,,,,,,,,,,,,,,,,,Franco Cristaldo,,,franco-cristaldo,Franco Cristaldo,M,1040.0,558820.0
,,,,5,,card,,Bruno Uvini,Foul,False,120827669.0,True,yellow,41.0,Bruno Uvini,bruno-uvini,Bruno Uvini,D,167.0,158267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
