text,homeScore,awayScore,isLive,time,addedTime,incidentType,id,isHome,incidentClass,reversedPeriodTime,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,assist1.name,assist1.firstName,assist1.lastName,assist1.slug,assist1.shortName,assist1.position,assist1.userCount,assist1.id,playerName,reason,rescinded,playerIn.name,playerIn.firstName,playerIn.lastName,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,length,playerOut.firstName,playerOut.lastName,confirmed,description,manager.name,manager.slug,manager.shortName,manager.id
FT,2.0,1.0,False,90,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,1.0,,90,9.0,goal,170478897.0,False,regular,1.0,Nathan Mendes,Nathan Mendes,,nathan-mendes,Nathan Mendes,D,191.0,1116955.0,Erison,Erison,,erison,Erison,F,700.0,1089111.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,7.0,card,120827642.0,False,yellow,1.0,Pablo Maia,Pablo Maia,,pablo-maia,P. Maia,M,627.0,1120721.0,,,,,,,,,Pablo Maia,Foul,False,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,2.0,substitution,121898300.0,True,,1.0,,,,,,,,,,,,,,,,,,,,Ronald,,,ronald,Ronald,M,103.0,931521.0,Fernando Sobral,fernando-sobral,F. Sobral,M,335.0,931479.0,,,,,,,,,
,,,,90,0.0,injuryTime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,
,,,,86,,card,120827621.0,False,yellow,5.0,Erison,Erison,,erison,Erison,F,700.0,1089111.0,,,,,,,,,Erison,Foul,False,,,,,,,,,,,,,,,,,,,,,,,
,,,,84,,substitution,121898282.0,True,,7.0,,,,,,,,,,,,,,,,,,,,Lucas Mineiro,,,lucas-mineiro,L. Mineiro,M,73.0,840077.0,Denilson,denilson,Denilson,M,114.0,1175760.0,,Denilson,,,,,,,
,,,,84,,substitution,121898283.0,True,,7.0,,,,,,,,,,,,,,,,,,,,Iury Castilho,,,iury-castilho,Iury Castilho,F,91.0,795020.0,Clayson,clayson,Clayson,M,148.0,811308.0,,,,,,,,,
,2.0,0.0,,78,,goal,170478634.0,True,regular,13.0,Isidro Pitta,,,isidro-pitta,Isidro Pitta,F,407.0,979861.0,Fernando Sobral,,,fernando-sobral,F. Sobral,M,335.0,931479.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,77,,substitution,121898271.0,True,,14.0,,,,,,,,,,,,,,,,,,,,Isidro Pitta,,,isidro-pitta,Isidro Pitta,F,407.0,979861.0,Deyverson,deyverson,Deyverson,F,1147.0,270287.0,,,,,,,,,
,,,,76,,substitution,121898272.0,True,,15.0,,,,,,,,,,,,,,,,,,,,Wellington Silva,,,wellington-silva,Wellington Silva,M,91.0,121264.0,Jonathan Cafú,jonathan-cafu,Jonathan Cafú,F,201.0,790103.0,,,,,,,,,
,,,,75,,card,120827609.0,True,yellow,16.0,Marllon,,,marllon,Marllon,D,101.0,221206.0,,,,,,,,,Marllon,Foul,False,,,,,,,,,,,,,,,,,,,,,,,
,,,,73,,substitution,121898265.0,False,,18.0,,,,,,,,,,,,,,,,,,,,Michel Araújo,,,michel-araujo,M. Araújo,M,398.0,924857.0,Rodrigo Nestor,rodrigo-nestor,R. Nestor,M,797.0,905461.0,,,,,,,,,
,,,,73,,substitution,121898264.0,False,,18.0,,,,,,,,,,,,,,,,,,,,Alisson,,,alisson,Alisson,M,575.0,291723.0,Luan,luan,Luan,M,539.0,942426.0,,,,,,,,,
,,,,67,,substitution,121898257.0,False,,24.0,,,,,,,,,,,,,,,,,,,,Juan,,,juan,Juan,F,302.0,1009928.0,Wellington Rato,wellington-rato,W. Rato,M,521.0,865356.0,,,,,,,,,
,,,,66,,substitution,121898256.0,False,,25.0,,,,,,,,,,,,,,,,,,,,Erison,Erison,,erison,Erison,F,700.0,1089111.0,Jonathan Calleri,jonathan-calleri,J. Calleri,F,4144.0,340519.0,,,,,,,,,
,,,,66,,substitution,121898255.0,False,,25.0,,,,,,,,,,,,,,,,,,,,Luciano,,,luciano,Luciano,F,2432.0,282557.0,Marcos Paulo,marcos-paulo,M. Paulo,M,938.0,962027.0,,,,,,,,,
,1.0,0.0,,66,,goal,170478392.0,True,penalty,25.0,Clayson,,,clayson,Clayson,M,148.0,811308.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,63,,varDecision,19027.0,True,penaltyNotAwarded,28.0,Jonathan Cafú,,,jonathan-cafu,Jonathan Cafú,F,201.0,790103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,
