text,homeScore,awayScore,isLive,time,addedTime,incidentType,id,isHome,incidentClass,reversedPeriodTime,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,assist1.name,assist1.slug,assist1.shortName,assist1.position,assist1.userCount,assist1.id,length,playerIn.name,playerIn.firstName,playerIn.lastName,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.firstName,playerOut.lastName,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,player.firstName,player.lastName,assist1.firstName,assist1.lastName,playerName,reason,rescinded,injury
FT,1.0,1.0,False,90,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,1.0,,90,7.0,goal,170477296.0,True,regular,1.0,Henrique Almeida,henrique-almeida,Henrique,F,102.0,39402.0,Guilherme Parede,guilherme-parede,G. Parede,F,102.0,823980.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,0.0,injuryTime,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,81,,substitution,121898164.0,True,,10.0,,,,,,,,,,,,,,Diego Renan,,,diego-renan,D. Renan,D,43.0,106403.0,Rodrigo,Rodrigo,,rodrigo,Rodrigo,D,23.0,1464671.0,,,,,,,,
,,,,81,,substitution,121898162.0,True,,10.0,,,,,,,,,,,,,,Marcelinho,,,marcelinho,Marcelinho,D,8.0,986868.0,Léo Duarte,,,leo-duarte,L. Duarte,D,27.0,1017589.0,,,,,,,,
,0.0,1.0,,80,,goal,170477219.0,False,regular,11.0,Paulo Sérgio,paulo-sergio,P. Sérgio,F,45.0,34168.0,Richardson,richardson,Richardson,D,5.0,975905.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,77,,card,120827550.0,False,yellow,14.0,Matheus Anjos,matheus-anjos,M. Anjos,M,47.0,884753.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matheus Anjos,Foul,False,
,,,,74,,substitution,121898154.0,True,,17.0,,,,,,,,,,,,,,Ronald,,,ronald,Ronald,F,67.0,923057.0,Everton,Everton,,everton,Everton,M,19.0,1093892.0,,,,,,,,
,,,,69,,substitution,121898146.0,False,,22.0,,,,,,,,,,,,,,Wellington Reis,,,wellington-reis,W. Reis,M,5.0,871017.0,Evandro,,,evandro,E. D. Silva,F,79.0,801236.0,,,,,,,,
,,,,69,,substitution,121898145.0,False,,22.0,,,,,,,,,,,,,,Renan Bressan,,,renan-bressan,R. Bressan,M,58.0,38152.0,Wallyson,,,wallyson,Wallyson,M,49.0,84848.0,,,,,,,,
,,,,67,,card,120827544.0,False,yellow,24.0,Simão,simao,Simão,G,51.0,981817.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simão,Time wasting,False,
,,,,65,,substitution,121898138.0,False,,26.0,,,,,,,,,,,,,,Richardson,,,richardson,Richardson,D,5.0,975905.0,Jhonnathan,Jhonnathan,,jhonnathan,Jhonnathan,D,20.0,1067637.0,,,,,,,,
,,,,58,,substitution,121898129.0,True,,33.0,,,,,,,,,,,,,,Henrique Almeida,,,henrique-almeida,Henrique,F,102.0,39402.0,Neto Pessoa,,,neto-pessoa,N. Pessoa,F,40.0,925860.0,,,,,,,,
,,,,58,,substitution,121898127.0,True,,33.0,,,,,,,,,,,,,,Luciano Naninho,,,luciano-naninho,L. Naninho,M,36.0,987089.0,Sousa,,,sousa,Sousa,M,16.0,925267.0,,,,,,,,
,,,,53,,card,120827537.0,False,yellow,38.0,Paulo Sérgio,paulo-sergio,P. Sérgio,F,45.0,34168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paulo Sérgio,Argument,False,
,,,,50,,card,120827535.0,True,yellow,41.0,Everton,everton,Everton,M,19.0,1093892.0,,,,,,,,,,,,,,,,,,,,,,,,Everton,,,,Everton,Foul,False,
HT,0.0,0.0,False,45,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45,0.0,injuryTime,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,39,,card,120827493.0,False,yellow,7.0,Genilson,genilson,Genilson,D,9.0,863353.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genilson,Foul,False,
,,,,35,,substitution,121898037.0,False,injury,11.0,,,,,,,,,,,,,,Ramon Vinicius,Ramon,,ramon-vinicius,R. Vinicius,M,8.0,1161558.0,Jean Patrick,,,jean-patrick,J. Patrick,M,10.0,794846.0,,,,,,,,True
,,,,26,,card,120827476.0,False,yellow,20.0,Evandro,evandro,E. D. Silva,F,79.0,801236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evandro,Foul,False,
