text,homeScore,awayScore,isLive,time,addedTime,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,reversedPeriodTime,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,length,playerIn.name,playerIn.firstName,playerIn.lastName,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.firstName,playerOut.lastName,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,assist1.name,assist1.slug,assist1.shortName,assist1.position,assist1.userCount,assist1.id
FT,0.0,1.0,False,90,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,4.0,card,Igor Bohn,Time wasting,False,120827601.0,False,yellow,1.0,Igor Bohn,,,igor-bohn,Igor,G,14.0,881483.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,0.0,injuryTime,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,
,,,,88,,substitution,,,,121898245.0,False,,3.0,,,,,,,,,,Felipe Camargo,Felipe Camargo,,felipe-camargo,Felipe Camargo,D,2.0,1047840.0,William Pottker,,,william-pottker,William Pottker,F,207.0,243501.0,,,,,,
,,,,87,,card,Iury,Foul,False,120827592.0,True,yellow,4.0,Iury,,,iury,Iury,D,10.0,950329.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,86,,card,Felipe Saraiva,Argument,False,120827591.0,True,yellow,5.0,Felipe Saraiva,,,felipe-saraiva,F. Saraiva,F,49.0,882076.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,83,,substitution,,,,121898244.0,True,,8.0,,,,,,,,,,Gabriel Stevanato,,,gabriel-stevanato,G. Stevanato,F,1.0,1514736.0,Rafael Carvalheira,Rafael,Carvalheira,rafael-carvalheira,R. Carvalheira,M,13.0,1120738.0,,,,,,
,,,,83,,substitution,,,,121898243.0,True,,8.0,,,,,,,,,,Iury,,,iury,Iury,D,10.0,950329.0,Guilherme Pacheco,,,guilherme-pacheco,Guilherme Pacheco,D,10.0,330323.0,,,,,,
,,,,79,,substitution,,,,121898237.0,False,,12.0,,,,,,,,,,Fellipe Bastos,,,fellipe-bastos,F. Bastos,M,105.0,42109.0,Rafael Gava,,,rafael-gava,R. Gava,M,87.0,870920.0,,,,,,
,,,,79,,substitution,,,,121898236.0,False,,12.0,,,,,,,,,,Santiago Patiño,,,santiago-patino,S. Patiño,F,50.0,973438.0,Denílson,,,denilson,Denílson,F,63.0,331855.0,,,,,,
,,,,70,,substitution,,,,121898221.0,False,,21.0,,,,,,,,,,Xavier,,,xavier,Xavier,M,192.0,927216.0,Felipe Rocha,Felipe Rocha,,felipe-rocha,F. Rocha,F,13.0,1429871.0,,,,,,
,,,,60,,card,William Pottker,Foul,False,120827576.0,False,yellow,31.0,William Pottker,,,william-pottker,William Pottker,F,207.0,243501.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,60,,substitution,,,,121898210.0,True,,31.0,,,,,,,,,,Eduardo Person,,,eduardo-person,E. Person,M,31.0,938482.0,Yann Rollim,,,yann-rollim,Y. Rollim,M,26.0,592022.0,,,,,,
,,,,51,,card,Denílson,Foul,False,120827569.0,False,yellow,40.0,Denílson,,,denilson,Denílson,F,63.0,331855.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,47,,card,Robinho,Foul,False,120827568.0,True,yellow,44.0,Robinho,Robinho,,robinho,Robinho,F,7.0,1119736.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,46,,substitution,,,,121898178.0,False,,45.0,,,,,,,,,,Eduardo Biasi,,,eduardo-biasi,E. Biasi,M,27.0,870800.0,Jean Cleber,,,jean-cleber,J. Cleber,M,24.0,842286.0,,,,,,
,,,,46,,substitution,,,,121898177.0,True,,45.0,,,,,,,,,,Marcel,,,marcel,Marcel,D,16.0,870692.0,Rafael Pereira,,,rafael-pereira,R. Pereira,D,18.0,44356.0,,,,,,
,,,,46,,substitution,,,,121898176.0,True,,45.0,,,,,,,,,,Robinho,Robinho,,robinho,Robinho,F,7.0,1119736.0,Hélio Borges,,,helio-borges,Hélio Borges,F,25.0,1019256.0,,,,,,
HT,0.0,1.0,False,45,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45,0.0,injuryTime,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
,0.0,1.0,,36,,goal,,,,170477124.0,False,regular,10.0,Denílson,,,denilson,Denílson,F,63.0,331855.0,,,,,,,,,,,,,,,,,,Rafael Gava,rafael-gava,R. Gava,M,87.0,870920.0
,,,,34,,card,Jean Cleber,Foul,False,120827546.0,False,yellow,12.0,Jean Cleber,,,jean-cleber,J. Cleber,M,24.0,842286.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,31,,card,Hélio Borges,Argument,False,120827545.0,True,yellow,15.0,Hélio Borges,,,helio-borges,Hélio Borges,F,25.0,1019256.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,6,,card,Brayan Kruger,Foul,False,120827534.0,True,yellow,40.0,Brayan Kruger,Brayan Kruger,,brayan-kruger,B. Kruger,F,16.0,1086456.0,,,,,,,,,,,,,,,,,,,,,,,
