text,homeScore,awayScore,isLive,time,addedTime,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,reversedPeriodTime,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,length,playerIn.name,playerIn.firstName,playerIn.lastName,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.firstName,playerOut.lastName,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,confirmed,assist1.name,assist1.firstName,assist1.lastName,assist1.slug,assist1.shortName,assist1.position,assist1.userCount,assist1.id,injury
FT,2.0,0.0,False,90,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,1.0,card,Cristian Renato,Foul,False,120827470.0,True,yellow,1.0,Cristian Renato,,,cristian-renato,C. Renato,M,9.0,1148306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,0.0,injuryTime,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,89,,substitution,,,,121898002.0,False,,2.0,,,,,,,,,,Jaderson,,,jaderson,Jaderson,M,28.0,869639.0,João Pedro,,,joao-pedro,J. Pedro,M,40.0,1104713.0,,,,,,,,,,
,,,,81,,substitution,,,,121897963.0,True,,10.0,,,,,,,,,,Julimar,,,julimar,Julimar,F,26.0,1167536.0,Negueba,,,negueba,Negueba,F,64.0,872007.0,,,,,,,,,,
,,,,81,,substitution,,,,121897962.0,True,,10.0,,,,,,,,,,Camilo,,,camilo,Camilo,M,92.0,345609.0,Chico,,,chico,Chico,M,163.0,880132.0,,,,,,,,,,
,,,,78,,card,João Pedro,Foul,False,120827437.0,False,yellow,13.0,João Pedro,,,joao-pedro,J. Pedro,M,40.0,1104713.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,71,,substitution,,,,121897934.0,False,,20.0,,,,,,,,,,Kevin,,,kevin,Kevin,D,116.0,810691.0,Pedro,,,pedro,Pedro,D,13.0,868018.0,,,,,,,,,,
,,,,69,,substitution,,,,121897928.0,True,,22.0,,,,,,,,,,Fernandinho,,,fernandinho,Fernandinho,F,73.0,871219.0,Gabriel,,,gabriel,Gabriel,M,141.0,243459.0,,,,,,,,,,
,,,,69,,substitution,,,,121897922.0,True,,22.0,,,,,,,,,,Cristian Renato,,,cristian-renato,C. Renato,M,9.0,1148306.0,Zé Roberto,,,ze-roberto,Z. Roberto,F,174.0,842076.0,,,,,,,,,,
,,,,58,,substitution,,,,121897892.0,True,,33.0,,,,,,,,,,Flávio,,,flavio,Flávio,M,32.0,981813.0,Yuri,,,yuri,Yuri,M,100.0,842734.0,,,,,,,,,,
,,,,54,,card,Yuri,Foul,False,120827389.0,True,yellow,37.0,Yuri,,,yuri,Yuri,M,100.0,842734.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,46,,substitution,,,,121897847.0,False,,45.0,,,,,,,,,,Rafinha,Rafinha,,rafinha,Rafinha,F,4.0,1510236.0,Marcelinho,Marcelinho,,marcelinho,Marcelinho,F,98.0,1046439.0,,,,,,,,,,
,,,,46,,substitution,,,,121897846.0,False,,45.0,,,,,,,,,,Kleiton,,,kleiton,Kleiton,D,5.0,1046696.0,Fernandão,,,fernandao,Fernandão,F,152.0,329251.0,,,,,,,,,,
HT,2.0,0.0,False,45,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,0.0,,45,11.0,goal,,,,170474190.0,True,penalty,1.0,Zé Roberto,,,ze-roberto,Z. Roberto,F,174.0,842076.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45,7.0,varDecision,,,,19019.0,True,penaltyNotAwarded,1.0,Thalisson Kelven,,,thalisson-kelven,T. Kelven,D,39.0,863277.0,,,,,,,,,,,,,,,,,,False,,,,,,,,,
,,,,45,0.0,injuryTime,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,0.0,,34,,goal,,,,170473610.0,True,regular,12.0,Chico,,,chico,Chico,M,163.0,880132.0,,,,,,,,,,,,,,,,,,,Negueba,,,negueba,Negueba,F,64.0,872007.0,
,,,,33,,card,Ze Vitor,Foul,False,120827297.0,False,yellow,13.0,Ze Vitor,,,ze-vitor,Zé Vitor,D,29.0,1112474.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32,,card,Marcelinho,Foul,False,120827296.0,False,yellow,14.0,Marcelinho,Marcelinho,,marcelinho,Marcelinho,F,98.0,1046439.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,22,,substitution,,,,121897676.0,False,injury,24.0,,,,,,,,,,Alexandre Jesus,,,alexandre-jesus,Alexandre Jesus,F,62.0,1016865.0,Keké,,,keke,Keké,M,28.0,866785.0,,,,,,,,,,True
,,,,15,,card,Bruno Silva,Foul,False,120827244.0,False,yellow,31.0,Bruno Silva,,,bruno-silva,B. Silva,M,89.0,125235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,,card,Negueba,Foul,False,120827241.0,True,yellow,32.0,Negueba,,,negueba,Negueba,F,64.0,872007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
