text,homeScore,awayScore,isLive,time,addedTime,incidentType,sequence,description,id,isHome,incidentClass,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.firstName,player.lastName,length,playerName,reason,rescinded,reversedPeriodTime,playerIn.name,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.firstName,playerOut.lastName,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,playerIn.firstName,playerIn.lastName,injury,assist1.name,assist1.slug,assist1.shortName,assist1.position,assist1.userCount,assist1.id
PEN,4.0,2.0,False,999.0,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.0,2.0,,,,penaltyShootout,8.0,Goalkeeper save,118428475.0,False,missed,Francisco Nevarez,francisco-nevarez,F. Nevarez,D,22.0,938566.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.0,2.0,,,,penaltyShootout,7.0,Scored,118428474.0,True,scored,Jefferson Intriago,jefferson-intriago,J. Intriago,M,120.0,805484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.0,2.0,,,,penaltyShootout,6.0,Scored,118428473.0,False,scored,Mario Osuna,mario-osuna,M. Osuna,M,12.0,321039.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.0,1.0,,,,penaltyShootout,5.0,Scored,118428472.0,True,scored,Facundo Almada,facundo-almada,F. Almada,D,84.0,966187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,1.0,,,,penaltyShootout,4.0,Goalkeeper save,118428471.0,False,missed,Agustín Urzi,agustin-urzi,A. Urzi,M,232.0,965775.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,1.0,,,,penaltyShootout,3.0,Scored,118428470.0,True,scored,Luis Amarilla,luis-amarilla,L. Amarilla,F,244.0,340265.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,1.0,,,,penaltyShootout,2.0,Scored,118428469.0,False,scored,Haret Ortega,haret-ortega,H. Ortega,D,161.0,973531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,0.0,,,,penaltyShootout,1.0,Scored,118428468.0,True,scored,Andres Montaño,andres-montano,A. Montaño,M,39.0,1187957.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FT,1.0,1.0,False,90.0,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90.0,0.0,injuryTime,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,82.0,,card,,,120830103.0,False,yellow,Diego Chávez,diego-chavez,D. Chávez,F,21.0,777269.0,,,,Diego Chávez,Foul,False,9.0,,,,,,,,,,,,,,,,,,,,,,,
