text,homeScore,awayScore,isLive,time,addedTime,incidentType,id,isHome,incidentClass,reversedPeriodTime,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,rescinded,length,playerIn.name,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.firstName,playerOut.lastName,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,injury,player.firstName,player.lastName,assist1.name,assist1.slug,assist1.shortName,assist1.position,assist1.userCount,assist1.id,playerIn.firstName,playerIn.lastName,playerName,reason
FT,2.0,1.0,False,90,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,1.0,,90,4.0,goal,170465429.0,True,regular,1.0,Lionel Messi,lionel-messi,L. Messi,F,547028.0,12994.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,2.0,card,120826380.0,False,yellow,1.0,Jesús Dueñas,jesus-duenas,J. Dueñas,M,55.0,51967.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,0.0,injuryTime,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,78,,substitution,121896070.0,False,,13.0,,,,,,,,,Augusto Lotti,augusto-lotti,A. Lotti,F,84.0,824456.0,Moisés,Moisés,,moises,Moisés,F,427.0,1046501.0,,,,,,,,,,,,,
,,,,78,,substitution,121896069.0,False,,13.0,,,,,,,,,Christian Tabó,christian-tabo,C. Tabó,F,109.0,802368.0,Carlos Rodríguez,,,carlos-rodriguez,C. Rodríguez,M,309.0,845849.0,,,,,,,,,,,,,
,,,,74,,substitution,121896075.0,True,injury,17.0,,,,,,,,,Christopher McVey,christopher-mcvey,C. McVey,D,47.0,881876.0,Kamal Miller,,,kamal-miller,K. Miller,D,371.0,934841.0,True,,,,,,,,,,,,
,1.0,1.0,,65,,goal,170465425.0,False,regular,26.0,Uriel Antuna,uriel-antuna,U. Antuna,M,485.0,843198.0,,,,,,,,,,,,,,,,,,,,Jesús Dueñas,jesus-duenas,J. Dueñas,M,55.0,51967.0,,,,
,,,,64,,substitution,121896068.0,False,,27.0,,,,,,,,,Kevin Castaño,kevin-castano,K. Castaño,M,221.0,1066915.0,Diber Cambindo,,,diber-cambindo,D. Cambindo,F,118.0,947337.0,,,,,,,,,,Kevin Castaño,,,
,,,,55,,substitution,121896074.0,True,,36.0,,,,,,,,,Josef Martínez,josef-martinez,J. Martínez,F,2041.0,133990.0,Leonardo Campana,,,leonardo-campana,L. Campana,F,1025.0,973557.0,,,,,,,,,,,,,
,,,,54,,substitution,121896073.0,True,,37.0,,,,,,,,,Sergio Busquets,sergio-busquets,S. Busquets,M,16611.0,39433.0,David Ruiz,David Ruiz,,ruiz-david,D. Ruiz,M,107.0,1131700.0,,,,,,,,,,,,,
,,,,54,,substitution,121896072.0,True,,37.0,,,,,,,,,Lionel Messi,lionel-messi,L. Messi,F,547028.0,12994.0,Benjamin Cremaschi,Benjamin Cremaschi,,cremaschi-benjamin,B. Cremaschi,M,332.0,1459459.0,,,,,,,,,,,,,
HT,1.0,0.0,False,45,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45,0.0,injuryTime,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,0.0,,44,,goal,170465426.0,True,regular,2.0,Robert Taylor,robert-taylor,R. Taylor,M,375.0,290943.0,,,,,,,,,,,,,,,,,,,,Robbie Robinson,robbie-robinson,R. Robinson,F,213.0,884457.0,,,,
,,,,38,,card,120826379.0,True,yellow,8.0,Dixon Arroyo,dixon-arroyo,D. Arroyo,M,107.0,158407.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,Dixon Arroyo,Foul
,,,,30,,substitution,121896067.0,False,injury,16.0,,,,,,,,,Juan Escobar,juan-escobar,J. Escobar,D,176.0,805132.0,Rodrigo Huescas,,,huescas-rodrigo,R. Huescas,M,138.0,1113368.0,True,,,,,,,,,,,,
,,,,30,,substitution,121896071.0,True,injury,16.0,,,,,,,,,Noah Allen,noah-allen,N. Allen,D,104.0,1069642.0,Ian Fray,Ian Fray,,fray-ian,I. Fray,D,54.0,1036290.0,True,,,,,,,,,Noah Allen,,,
