text,homeScore,awayScore,isLive,time,addedTime,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,reversedPeriodTime,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,length,playerIn.name,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,assist1.name,assist1.slug,assist1.shortName,assist1.position,assist1.userCount,assist1.id,playerOut.firstName,playerOut.lastName,injury,playerIn.firstName,playerIn.lastName
FT,2.0,1.0,False,90,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,3.0,card,Teal Bunbury,Foul,False,120829225.0,True,yellow,1.0,Teal Bunbury,teal-bunbury,T. Bunbury,F,76.0,111293.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,0.0,injuryTime,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,86,,substitution,,,,121901286.0,False,,5.0,,,,,,,,Sam Nicholson,sam-nicholson,S. Nicholson,M,15.0,269183.0,Cole Bassett,cole-bassett,C. Bassett,M,269.0,945420.0,,,,,,,,,,,
,2.0,1.0,,80,,goal,,,,170513755.0,False,regular,11.0,Kevin Cabral,kevin-cabral,K. Cabral,F,201.0,958128.0,,,,,,,,,,,,,,Andrew Gutman,andrew-gutman,A. Gutman,D,49.0,983770.0,,,,,
,,,,77,,substitution,,,,121901285.0,True,,14.0,,,,,,,,Taylor Washington,taylor-washington,T. Washington,D,12.0,829661.0,Jacob Shaffelburg,shaffelburg-jacob,J. Shaffelburg,M,123.0,976313.0,,,,,,,,,,,
,,,,71,,substitution,,,,121901283.0,False,,20.0,,,,,,,,Kevin Cabral,kevin-cabral,K. Cabral,F,201.0,958128.0,Darren Yapi,darren-yapi,D. Yapi,F,104.0,1047550.0,,,,,,,Darren Yapi,,,,
,,,,71,,substitution,,,,121901282.0,False,,20.0,,,,,,,,Michael Barrios,michael-barrios,M. Barrios,F,141.0,791545.0,Braian Galván,braian-galvan,B. Galván,M,76.0,896247.0,,,,,,,,,,,
,,,,69,,substitution,,,,121901281.0,True,injury,22.0,,,,,,,,Fafà Picault,fafa-picault,F. Picault,M,383.0,787689.0,Randall Leal,randall-leal,R. Leal,M,230.0,791003.0,,,,,,,,,True,,
,2.0,0.0,,65,,goal,,,,170513523.0,True,regular,26.0,Jacob Shaffelburg,shaffelburg-jacob,J. Shaffelburg,M,123.0,976313.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59,,substitution,,,,121901278.0,False,,32.0,,,,,,,,Bryan Acosta,bryan-acosta,B. Acosta,M,224.0,797162.0,Ralph Priso,ralph-priso,R. Priso,M,67.0,1002266.0,,,,,,,,,,,
,,,,59,,substitution,,,,121901279.0,False,,32.0,,,,,,,,Moise Bombito,bombito-moise,M. Bombito,D,41.0,1469180.0,Calvin Harris,calvin-harris,C. Harris,F,46.0,1108955.0,,,,,,,Calvin Harris,,,Moise Bombito,
,1.0,0.0,,57,,goal,,,,170513489.0,True,regular,34.0,Hany Mukhtar,hany-mukhtar,H. Mukhtar,F,1084.0,221350.0,,,,,,,,,,,,,,Dax McCarty,dax-mccarty,D. McCarty,M,39.0,38531.0,,,,,
,,,,55,,substitution,,,,121901277.0,True,,36.0,,,,,,,,Walker Zimmerman,zimmerman-walker,W. Zimmerman,D,404.0,1125090.0,Josh Bauer,josh-bauer,J. Bauer,D,10.0,1049597.0,,,,,,,Josh Bauer,,,,
,,,,55,,substitution,,,,121901276.0,True,,36.0,,,,,,,,Hany Mukhtar,hany-mukhtar,H. Mukhtar,F,1084.0,221350.0,Alex Muyl,alex-muyl,A. Muyl,M,31.0,829568.0,,,,,,,,,,,
,,,,55,,substitution,,,,121901275.0,True,,36.0,,,,,,,,Aníbal Godoy,anibal-godoy,A. Godoy,M,140.0,156102.0,Sean Davis,sean-davis,S. Davis,M,51.0,790148.0,,,,,,,,,,,
HT,0.0,0.0,False,45,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45,0.0,injuryTime,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
