text,homeScore,awayScore,isLive,time,addedTime,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,reversedPeriodTime,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,length,playerIn.name,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,player.firstName,player.lastName,assist1.name,assist1.slug,assist1.shortName,assist1.position,assist1.userCount,assist1.id,playerOut.firstName,playerOut.lastName,playerIn.firstName,playerIn.lastName,confirmed,assist1.firstName,assist1.lastName
FT,1.0,1.0,False,90,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,3.0,card,Agon Elezi,Foul,False,120828785.0,False,yellow,1.0,Agon Elezi,agon-elezi,A. Elezi,M,70.0,995719.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,0.0,injuryTime,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,84,,substitution,,,,121900536.0,True,,7.0,,,,,,,,Tim Matavž,tim-matavz,T. Matavž,F,161.0,28324.0,Mateo Leš,mateo-les,M. Leš,D,86.0,965816.0,,,,,,,,,,,,,,,
,1.0,1.0,,80,,goal,,,,170498706.0,False,regular,11.0,Fran Brodić,fran-brodic,F. Brodić,F,163.0,283841.0,,,,,,,,,,,,,,,,Antonio Boršić,antonio-borsic,A. Boršić,D,12.0,886849.0,,,,,,,
,,,,79,,substitution,,,,121900522.0,False,,12.0,,,,,,,,Ivan Nekić,ivan-nekic,I. Nekić,D,20.0,880741.0,Luka Jelenić,luka-jelenic,L. Jelenić,D,102.0,957630.0,,,,,,,,,,,,,,,
,,,,77,,card,Matthew Steenvoorden,Foul,False,120828766.0,True,yellow,14.0,Matthew Steenvoorden,matthew-steenvoorden,M. Steenvoorden,D,50.0,196094.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,71,,substitution,,,,121900499.0,True,,20.0,,,,,,,,Krešimir Krizmanić,kresimir-krizmanic,K. Krizmanić,D,185.0,946040.0,Sven Blummel,sven-blummel,S. Blummel,M,31.0,806289.0,,,,,,,,,,,,,,,
,,,,67,,substitution,,,,121900481.0,False,,24.0,,,,,,,,Leon Belcar,leon-belcar,L. Belcar,M,42.0,1094067.0,Igor Postonjski,igor-postonjski,I. Postonjski,M,69.0,867035.0,,,,,,,,,,,,,,,
,,,,67,,substitution,,,,121900480.0,False,,24.0,,,,,,,,Antonio Boršić,antonio-borsic,A. Boršić,D,12.0,886849.0,Karlo Bručić,karlo-brucic,K. Bručić,D,40.0,93735.0,,,,,,,,,,,,,,,
,,,,60,,substitution,,,,121900472.0,True,,31.0,,,,,,,,Ante Matej Jurić,ante-matej-juric,A. M. Jurić,F,71.0,1144266.0,Nikola Vujnović,nikola-vujnovic,N. Vujnović,F,34.0,357708.0,,,,,,,,,,,Ante Matej Juric,,,,
,,,,60,,substitution,,,,121900471.0,True,,31.0,,,,,,,,Filip Mrzljak,filip-mrzljak,F. Mrzljak,M,45.0,94235.0,Marko Soldo,soldo-marko,M. Soldo,M,80.0,1133184.0,,,,,,,,,,,,,,,
,,,,53,,card,Marko Soldo,Foul,False,120828735.0,True,yellow,38.0,Marko Soldo,soldo-marko,M. Soldo,M,80.0,1133184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,46,,substitution,,,,121900441.0,False,,45.0,,,,,,,,Ante Vukušić,ante-vukusic,A. Vukušić,F,165.0,55138.0,Marin Pilj,marin-pilj,M. Pilj,M,65.0,921764.0,,,,,,,,,,,,,,,
,,,,46,,substitution,,,,121900440.0,False,,45.0,,,,,,,,Dimitar Mitrovski,dimitar-mitrovski,D. Mitrovski,M,32.0,952098.0,Lovro Banovec,lovro-banovec,L. Banovec,M,73.0,1050122.0,,,,,,,,,,,,,,,
,,,,46,,substitution,,,,121900439.0,True,,45.0,,,,,,,,Sven Blummel,sven-blummel,S. Blummel,M,31.0,806289.0,Valentino Majstorović,valentino-majstorovic,V. Majstorović,M,64.0,536820.0,,,,,,,,,,,,,,,
HT,1.0,0.0,False,45,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45,0.0,injuryTime,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,30,,varDecision,,,,19042.0,True,goalNotAwarded,16.0,Nikola Vujnović,nikola-vujnovic,N. Vujnović,F,34.0,357708.0,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
,1.0,0.0,,28,,goal,,,,170497753.0,True,regular,18.0,Nikola Vujnović,nikola-vujnovic,N. Vujnović,F,34.0,357708.0,,,,,,,,,,,,,,,,Josip Mitrović,josip-mitrovic,J. Mitrović,M,128.0,880751.0,,,,,,,
,,,,20,,card,Luka Jelenić,Foul,False,120828661.0,False,yellow,26.0,Luka Jelenić,luka-jelenic,L. Jelenić,D,102.0,957630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
