text,homeScore,awayScore,isLive,time,addedTime,incidentType,id,isHome,reversedPeriodTime,playerIn.name,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,length,playerName,reason,rescinded,incidentClass,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,assist1.name,assist1.firstName,assist1.lastName,assist1.slug,assist1.shortName,assist1.position,assist1.userCount,assist1.id,playerOut.firstName,playerOut.lastName,playerIn.firstName,playerIn.lastName,injury
FT,1.0,1.0,False,90,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,,substitution,121900909.0,False,1.0,Eric Björkander,eric-bjorkander,E. Björkander,D,27.0,588374.0,Luka Hujber,luka-hujber,L. Hujber,D,77.0,882582.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,0.0,injuryTime,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,75,,card,120828966.0,True,16.0,,,,,,,,,,,,,,Ivan Milićević,Foul,False,yellow,Ivan Milićević,,,ivan-milicevic,I. Milićević,D,96.0,878101.0,,,,,,,,,,,,,
,,,,74,,card,120828965.0,True,17.0,,,,,,,,,,,,,,Jon Mersinaj,Foul,False,yellow,Jon Mersinaj,,,jon-mersinaj,J. Mersinaj,D,112.0,943132.0,,,,,,,,,,,,,
,1.0,1.0,,69,,goal,170509148.0,True,22.0,,,,,,,,,,,,,,,,,regular,Vladan Bubanja,,,vladan-bubanja,V. Bubanja,M,47.0,890635.0,Luka Stojković,,,luka-stojkovic,L. Stojković,M,334.0,1102829.0,,,,,
,,,,66,,substitution,121900804.0,False,25.0,Slavko Blagojević,slavko-blagojevic,S. Blagojević,M,47.0,117653.0,Sebastián Nebyla,sebastian-nebyla,S. Nebyla,M,55.0,964157.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,66,,substitution,121900801.0,True,25.0,Lukas Kačavenda,lukas-kacavenda,L. Kačavenda,M,460.0,1083207.0,Indrit Tuci,tuci-indrit,I. Tuci,F,114.0,985412.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60,,substitution,121900776.0,False,31.0,Mladen Devetak,mladen-devetak,M. Devetak,D,40.0,882074.0,Mateo Lisica,mateo-lisica,M. Lisica,F,116.0,1034543.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,59,,substitution,121900775.0,False,32.0,Mario Čuić,mario-cuic,M. Čuić,M,209.0,916181.0,Frano Mlinar,frano-mlinar,F. Mlinar,M,31.0,108031.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,46,,substitution,121900727.0,False,45.0,Matej Vuk,matej-vuk,M. Vuk,F,138.0,887798.0,Chovanie Amatkarijo,chovanie-amatkarijo,C. Amatkarijo,F,24.0,846075.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,46,,substitution,121900726.0,True,45.0,Viktor Kanižaj,viktor-kanizaj,V. Kanižaj,F,62.0,965023.0,Marin Šotiček,marin-soticek,M. Šotiček,M,88.0,1163364.0,,,,,,,,,,,,,,,,,,,,,,Marin Soticek,,,,
,,,,46,,substitution,121900725.0,True,45.0,Marin Leovac,marin-leovac,M. Leovac,D,189.0,37433.0,Marko Vranjković,marko-vranjkovic,M. Vranjković,D,39.0,970524.0,,,,,,,,,,,,,,,,,,,,,,,,,,
HT,0.0,1.0,False,45,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45,0.0,injuryTime,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,15,,substitution,121900591.0,True,31.0,Luka Stojković,luka-stojkovic,L. Stojković,M,334.0,1102829.0,Robert Mudražija,robert-mudrazija,R. Mudražija,M,121.0,770399.0,,,,,injury,,,,,,,,,,,,,,,,,,,,,True
,0.0,1.0,,12,,goal,170505988.0,False,34.0,,,,,,,,,,,,,,,,,regular,Ante Erceg,,,ante-erceg,A. Erceg,F,242.0,65528.0,,,,,,,,,,,,,
