text,homeScore,awayScore,isLive,time,addedTime,incidentType,length,id,isHome,incidentClass,reversedPeriodTime,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,assist1.name,assist1.slug,assist1.shortName,assist1.position,assist1.userCount,assist1.id,playerIn.name,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.firstName,playerOut.lastName,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,playerIn.firstName,playerIn.lastName,assist1.firstName,assist1.lastName,playerName,reason,rescinded
FT,4.0,0.0,False,90,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,0.0,injuryTime,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.0,0.0,,89,,goal,,170472996.0,True,regular,2.0,Bruno Goda,,,bruno-goda,B. Goda,M,68.0,855908.0,Toni Fruk,toni-fruk,T. Fruk,M,252.0,916183.0,,,,,,,,,,,,,,,,,,,,,
,,,,84,,substitution,,121897646.0,True,,7.0,,,,,,,,,,,,,,,Franjo Ivanović,franjo-ivanovic,F. Ivanović,F,148.0,1103333.0,Jorge Obregón,,,jorge-obregon,J. Obregón,M,146.0,824165.0,,,,,,,
,,,,84,,substitution,,121897645.0,True,,7.0,,,,,,,,,,,,,,,Adrian Liber,adrian-liber,A. Liber,M,91.0,943211.0,Niko Janković,,,niko-jankovic,N. Janković,M,295.0,965818.0,,,,,,,
,3.0,0.0,,80,,goal,,170472843.0,True,regular,11.0,Toni Fruk,,,toni-fruk,T. Fruk,M,252.0,916183.0,Niko Janković,niko-jankovic,N. Janković,M,295.0,965818.0,,,,,,,,,,,,,,,,,,,,,
,,,,77,,substitution,,121897620.0,False,,14.0,,,,,,,,,,,,,,,Riad Masala,riad-masala,R. Masala,M,12.0,1163333.0,Dominik Pavlek,,,dominik-pavlek,D. Pavlek,D,22.0,1047633.0,Riad Masala,,,,,,
,,,,77,,substitution,,121897619.0,False,,14.0,,,,,,,,,,,,,,,Bruno Brajković,bruno-brajkovic,B. Brajković,D,41.0,1063092.0,Vanja Šare,,,vanja-sare,V. Šare,D,39.0,1407948.0,Bruno Brajković,,,,,,
,,,,73,,substitution,,121897607.0,True,,18.0,,,,,,,,,,,,,,,Dejan Petrović,dejan-petrovic,D. Petrović,M,92.0,796014.0,Veldin Hodža,,,veldin-hodza,V. Hodža,M,168.0,965025.0,,,,,,,
,,,,73,,substitution,,121897608.0,True,,18.0,,,,,,,,,,,,,,,Marco Pašalić,marco-pasalic,M. Pašalić,F,460.0,1066802.0,Alen Grgić,,,alen-grgic,A. Grgić,D,68.0,344177.0,,,,,,,
,,,,70,,substitution,,121897599.0,False,,21.0,,,,,,,,,,,,,,,Aleksa Latković,aleksa-latkovic,A. Latković,F,36.0,895620.0,Andrej Lazarov,,,andrej-lazarov,A. Lazarov,M,4.0,902228.0,,,,,,,
,,,,69,,substitution,,121897598.0,False,,22.0,,,,,,,,,,,,,,,Ivan Tomečak,ivan-tomecak,I. Tomečak,D,71.0,50577.0,Dominik Rešetar,,,dominik-resetar,D. Rešetar,F,41.0,904483.0,,,,,,,
,2.0,0.0,,68,,goal,,170472504.0,True,regular,23.0,Niko Janković,,,niko-jankovic,N. Janković,M,295.0,965818.0,Alen Grgić,alen-grgic,A. Grgić,D,68.0,344177.0,,,,,,,,,,,,,,,,,,,,,
,,,,57,,substitution,,121897568.0,True,,34.0,,,,,,,,,,,,,,,Toni Fruk,toni-fruk,T. Fruk,M,252.0,916183.0,Näis Djouahra,,,nais-djouahra,N. Djouahra,F,285.0,955133.0,,,,,,,
HT,1.0,0.0,False,45,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45,0.0,injuryTime,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,43,,card,,120827106.0,True,yellow,3.0,Bruno Goda,,,bruno-goda,B. Goda,M,68.0,855908.0,,,,,,,,,,,,,,,,,,,,,,,,,Bruno Goda,Foul,False
,1.0,0.0,,40,,goal,,170471974.0,True,penalty,6.0,Niko Janković,,,niko-jankovic,N. Janković,M,295.0,965818.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,,card,,120827027.0,False,yellow,42.0,Mislav Matić,,,mislav-matic,M. Matić,D,63.0,985411.0,,,,,,,,,,,,,,,,,,,,,,,,,Mislav Matić,Foul,False
