text,homeScore,awayScore,isLive,time,addedTime,incidentType,id,isHome,reversedPeriodTime,playerIn.name,playerIn.firstName,playerIn.lastName,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,length,description,incidentClass,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,confirmed,player.firstName,player.lastName,playerOut.firstName,playerOut.lastName,injury,assist1.name,assist1.firstName,assist1.lastName,assist1.slug,assist1.shortName,assist1.position,assist1.userCount,assist1.id,playerName,reason,rescinded
FT,6.0,1.0,False,90,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,2.0,substitution,121898093.0,False,1.0,Matej Šakota,Matej Sakota,,matej-sakota,M. Šakota,F,95.0,1139268.0,Arber Hoxha,arber-hoxha,A. Hoxha,F,111.0,890663.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,0.0,injuryTime,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,89,,inGamePenalty,118428192.0,False,2.0,,,,,,,,,,,,,,,,Woodwork,missed,Arber Hoxha,arber-hoxha,A. Hoxha,F,111.0,890663.0,,,,,,,,,,,,,,,,,
,,,,89,,varDecision,19023.0,False,2.0,,,,,,,,,,,,,,,,,penaltyNotAwarded,Mihail Caimacov,mihail-caimacov,M. Caimacov,M,55.0,884871.0,False,Mihail,Caimacov,,,,,,,,,,,,,,
,6.0,1.0,,83,,goal,170475880.0,True,8.0,,,,,,,,,,,,,,,,,regular,Kristijan Lovrić,kristijan-lovric,K. Lovrić,M,557.0,359044.0,,,,,,,,,,,,,,,,,
,,,,78,,substitution,121898046.0,True,13.0,Ivan Fiolić,,,ivan-fiolic,I. Fiolić,M,108.0,283855.0,Mijo Caktaš,mijo-caktas,M. Caktaš,M,411.0,152887.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,78,,substitution,121898047.0,True,13.0,Styopa Mkrtchyan,,,styopa-mkrtchyan,S. Mkrtchyan,D,73.0,988354.0,Adrian Leon Barišić,adrian-leon-barisic,A. L. Barišić,D,226.0,959592.0,,,injury,,,,,,,,,,,,True,,,,,,,,,,,
,5.0,1.0,,71,,goal,170475590.0,True,20.0,,,,,,,,,,,,,,,,,regular,Domagoj Bukvić,domagoj-bukvic,D. Bukvić,M,101.0,1122918.0,,,,,,,Mijo Caktaš,,,mijo-caktas,M. Caktaš,M,411.0,152887.0,,,
,4.0,1.0,,63,,goal,170475495.0,True,28.0,,,,,,,,,,,,,,,,,regular,Darko Nejašmić,darko-nejasmic,D. Nejašmić,M,233.0,897603.0,,,,,,,,,,,,,,,,,
,,,,61,,substitution,121897997.0,True,30.0,Domagoj Bukvić,,,domagoj-bukvic,D. Bukvić,M,101.0,1122918.0,Kristian Fućak,fucak-kristian,K. Fućak,F,125.0,989335.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,61,,substitution,121897996.0,True,30.0,Darko Nejašmić,,,darko-nejasmic,D. Nejašmić,M,233.0,897603.0,Vedran Jugović,vedran-jugovic,V. Jugović,M,41.0,51223.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,61,,substitution,121897995.0,True,30.0,Petar Brlek,,,petar-brlek,P. Brlek,M,84.0,136718.0,Petar Pušić,petar-pusic,P. Pusić,M,84.0,837015.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60,,substitution,121897998.0,False,31.0,Mihail Caimacov,Mihail,Caimacov,mihail-caimacov,M. Caimacov,M,55.0,884871.0,Dilan Ortíz,dilan-ortiz,D. Ortíz,F,37.0,974559.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,57,,card,120827449.0,False,34.0,,,,,,,,,,,,,,,,,yellow,Arb Manaj,arb-manaj,A. Manaj,F,79.0,1014718.0,,,,,,,,,,,,,,,Arb Manaj,Argument,False
HT,3.0,1.0,False,45,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
