text,homeScore,awayScore,isLive,time,addedTime,incidentType,rescinded,id,isHome,incidentClass,reversedPeriodTime,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,assist1.name,assist1.firstName,assist1.lastName,assist1.slug,assist1.shortName,assist1.position,assist1.userCount,assist1.id,length,playerIn.name,playerIn.firstName,playerIn.lastName,playerIn.slug,playerIn.shortName,playerIn.position,playerIn.userCount,playerIn.id,playerOut.name,playerOut.slug,playerOut.shortName,playerOut.position,playerOut.userCount,playerOut.id,playerOut.firstName,playerOut.lastName
FT,0.0,2.0,False,90,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,90,3.0,card,False,120825292.0,True,yellow,1.0,Redon Ismaili,Redon Ismaili,,redon-ismaili,R. Ismaili,M,2.0,1383441.0,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,2.0,,90,1.0,goal,,170419701.0,False,regular,1.0,Walid Jarmouni,,,jarmouni-walid,W. Jarmouni,F,36.0,1063163.0,Soiyir Sanali,Soiyir Sanali,,soiyir-sanali,S. Sanali,F,4.0,1117124.0,,,,,,,,,,,,,,,,,
,,,,90,0.0,injuryTime,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,
,,,,84,,substitution,,121893795.0,False,,7.0,,,,,,,,,,,,,,,,,,Soiyir Sanali,Soiyir Sanali,,soiyir-sanali,S. Sanali,F,4.0,1117124.0,Mayron De Almeida,mayron-de-almeida,M. D. Almeida,F,17.0,844765.0,,
,,,,84,,substitution,,121893794.0,False,,7.0,,,,,,,,,,,,,,,,,,Walid Jarmouni,,,jarmouni-walid,W. Jarmouni,F,36.0,1063163.0,Kenny Mixtur,kenny-mixtur,K. Mixtur,F,3.0,1511049.0,Kenny Mixtur,
,,,,83,,card,False,120825280.0,True,yellow,8.0,Yll Hoxha,,,yll-hoxha,Y. Hoxha,M,5.0,55124.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,81,,substitution,,121893786.0,False,,10.0,,,,,,,,,,,,,,,,,,Belmin Muratovic,,,muratovic-belmin,B. Muratovic,M,5.0,987249.0,Antoine Mazure-Hanus,antoine-mazure-hanus,A. Mazure-Hanus,F,1.0,1502282.0,Antoine Mazure-Hanus,
,,,,81,,substitution,,121893785.0,False,,10.0,,,,,,,,,,,,,,,,,,Chris Lybohy,,,chris-lybohy,C. Lybohy,D,5.0,829106.0,Emir Bijelić,emir-bijelic,E. Bijelić,M,0.0,1502285.0,Emir Bijelic,
,,,,76,,card,False,120825277.0,False,yellow,15.0,Eldin Latik,Eldin Latik,,eldin-latik,E. Latik,G,2.0,1409115.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,75,,substitution,,121893775.0,False,,16.0,,,,,,,,,,,,,,,,,,Yannick Bastos,,,yannick-bastos,Y. Bastos,M,3.0,94185.0,Omar Natami,omar-natami,O. Natami,F,13.0,892283.0,,
,,,,75,,substitution,,121893774.0,True,,16.0,,,,,,,,,,,,,,,,,,Redon Ismaili,Redon Ismaili,,redon-ismaili,R. Ismaili,M,2.0,1383441.0,Perparim Islami,perparim-islami,P. Islami,D,2.0,885090.0,,
,,,,69,,card,False,120825272.0,False,yellow,22.0,Hamadou Karamoko,,,hamadou-karamoko,H. Karamoko,D,8.0,787353.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,69,,card,False,120825271.0,True,yellow,22.0,Besar Musolli,,,besar-musolli,B. Musolli,M,5.0,258111.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,68,,card,False,120825270.0,False,yellow,23.0,Omar Natami,,,omar-natami,O. Natami,F,13.0,892283.0,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,1.0,,65,,goal,,170419098.0,False,regular,26.0,Antoine Mazure-Hanus,Antoine Mazure-Hanus,,antoine-mazure-hanus,A. Mazure-Hanus,F,1.0,1502282.0,Kenny Mixtur,Kenny Mixtur,,kenny-mixtur,K. Mixtur,F,3.0,1511049.0,,,,,,,,,,,,,,,,,
,,,,60,,card,False,120825258.0,True,yellow,31.0,Armend Halili,,,armend-halili,A. Halili,D,3.0,1049410.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,49,,card,False,120825250.0,False,yellow,42.0,Vincent Peugnet,,,peugnet-vincent,V. Peugnet,D,1.0,915475.0,,,,,,,,,,,,,,,,,,,,,,,,,
HT,0.0,0.0,False,45,999.0,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,45,0.0,injuryTime,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
,,,,39,,substitution,,121893725.0,True,,7.0,,,,,,,,,,,,,,,,,,Armend Halili,,,armend-halili,A. Halili,D,3.0,1049410.0,Atdhe Rashiti,atdhe-rashiti,A. Rashiti,F,12.0,862059.0,,
