shirtNumber,jerseyNumber,position,substitute,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.totalClearance,statistics.savedShotsFromInsideTheBox,statistics.saves,statistics.totalKeeperSweeper,statistics.accurateKeeperSweeper,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.keyPass,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.totalCross,statistics.accurateCross,statistics.duelLost,statistics.duelWon,statistics.interceptionWon,statistics.totalTackle,statistics.wasFouled,statistics.fouls,statistics.aerialWon,statistics.blockedScoringAttempt,statistics.outfielderBlock,captain,statistics.totalContest,statistics.wonContest,statistics.dispossessed,statistics.shotOffTarget,statistics.onTargetScoringAttempt,statistics.goals,statistics.challengeLost,statistics.aerialLost,statistics.goalAssist,statistics.bigChanceCreated,team,player_type,statistics.errorLeadToAGoal,statistics.totalOffside,statistics.bigChanceMissed
13,13,G,False,Andriy Lunin,,,andriy-lunin,A. Lunin,G,6048,857574,UA,Ukraine,EUR,918691200,37.0,33.0,13.0,9.0,1.0,1.0,1.0,1.0,1.0,90.0,40.0,6.6,4.0,1.0,6.6,6.3,,,,,,,,,,,,,,,,,,,,,,,home,main,,,
17,17,D,False,Lucas Vázquez,,,lucas-vazquez,L. Vázquez,D,8014,255239,ES,Spain,EUR,678326400,37.0,31.0,4.0,2.0,1.0,,,,,45.0,52.0,6.7,12.0,1.0,6.7,6.6,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,home,main,,,
3,3,D,False,Éder Militão,,,eder-militao,É. Militão,D,16939,822519,BR,Brazil,EUR,885081600,38.0,35.0,8.0,7.0,1.0,,,,,45.0,47.0,7.0,3.0,,7.0,6.9,,,1.0,5.0,,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,home,main,,,
6,6,D,False,Nacho Fernández,,,nacho-fernandez,N. Fernández,D,7770,69404,ES,Spain,EUR,632620800,41.0,39.0,2.0,1.0,,,,,,45.0,42.0,6.4,2.0,,6.4,6.4,,,,1.0,,,,,,,,True,1.0,1.0,,,,,,,,,home,main,,,
23,23,D,False,Ferland Mendy,,,ferland-mendy,F. Mendy,D,9092,792073,FR,France,EUR,802569600,38.0,37.0,1.0,1.0,1.0,,,,,45.0,47.0,6.4,6.0,,6.4,6.2,2.0,,3.0,2.0,,1.0,,1.0,1.0,,,,,,2.0,,,,,,,,home,main,,,
15,15,M,False,Federico Valverde,,,federico-valverde,F. Valverde,M,38049,831808,UY,Uruguay,EUR,901065600,54.0,45.0,9.0,6.0,1.0,,,,,90.0,66.0,9.0,10.0,,9.0,8.8,1.0,,1.0,5.0,1.0,3.0,1.0,1.0,,1.0,,,1.0,1.0,,1.0,2.0,2.0,,,,,home,main,,,
8,8,M,False,Toni Kroos,,,toni-kroos,T. Kroos,M,46660,26502,DE,Germany,EUR,631411200,48.0,44.0,4.0,4.0,,,,,,45.0,59.0,7.5,7.0,1.0,7.5,7.4,3.0,,,5.0,1.0,4.0,,,,,,,1.0,1.0,,1.0,,,,,,,home,main,,,
12,12,M,False,Eduardo Camavinga,,,camavinga-eduardo,E. Camavinga,M,25410,973887,FR,France,EUR,1036886400,34.0,31.0,2.0,2.0,,,,,,45.0,43.0,7.1,5.0,1.0,7.1,6.9,,,2.0,4.0,1.0,2.0,2.0,1.0,,,1.0,,,,1.0,,,,,,,,home,main,,,
5,5,M,False,Jude Bellingham,,,jude-bellingham,J. Bellingham,M,39610,991011,EN,England,EUR,1056844800,46.0,40.0,4.0,3.0,,,,,,64.0,57.0,7.3,7.0,2.0,7.3,7.1,,,2.0,5.0,1.0,,,1.0,1.0,1.0,,,5.0,4.0,,,,,,,,,home,main,,,
14,14,F,False,Joselu,,,joselu,Joselu,F,3496,69418,ES,Spain,EUR,638496000,12.0,10.0,1.0,,,,,,,45.0,15.0,6.6,3.0,,6.6,6.5,,,1.0,2.0,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,home,main,,,
21,21,F,False,Brahim Díaz,,,brahim-diaz,B. Díaz,M,9686,835485,ES,Spain,EUR,933638400,13.0,11.0,,,,,,,,45.0,21.0,6.9,6.0,1.0,6.9,6.7,1.0,,2.0,3.0,,1.0,1.0,,,1.0,,,1.0,1.0,2.0,,,,,,,,home,main,,,
