customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,homeRedCards,awayRedCards,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,roundInfo.name,roundInfo.cupRoundType,aggregatedWinnerCode,previousLegEventId,homeTeam.gender,homeTeam.national,awayTeam.gender,awayTeam.national,homeScore.aggregated,awayScore.aggregated,isAwarded,homeScore.overtime,homeScore.penalties,awayScore.overtime,awayScore.penalties,time.injuryTime4,choice_1,choice_X,choice_2
MV,1,True,True,True,1.0,False,10385555,1680440400,southampton-west-ham-united,False,Premier League,premier-league,England,england,Football,football,1,1,england,EN,Premier League,premier-league,England,england,Football,football,1,1,england,EN,0,17,True,False,False,False,546,1,29.0,100,Ended,finished,West Ham United,west-ham-united,West Ham,Football,football,1,0,WHU,False,0,37,EN,England,[],#52b030,#52b030,#ffffff,Southampton,southampton,Southampton,Football,football,1,0,SOU,False,0,45,EN,England,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1680447274.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680447277,,,,,,,,,,,,,,,,,,,,,1.73,3.6,5.0
DYBe,1,True,True,True,1.0,False,10385558,1680449400,newcastle-united-manchester-united,False,Premier League,premier-league,England,england,Football,football,1,1,england,EN,Premier League,premier-league,England,england,Football,football,1,1,england,EN,0,17,True,False,False,False,546,1,29.0,100,Ended,finished,Newcastle United,newcastle-united,Newcastle,Football,football,1,0,NEW,False,0,39,EN,England,[],#52b030,#52b030,#ffffff,Manchester United,manchester-united,Man Utd,Football,football,1,0,MUN,False,0,35,EN,England,[],#52b030,#52b030,#ffffff,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1680456203.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680456204,,,,,,,,,,,,,,,,,,,,,2.25,3.5,3.1
UwXh,3,True,True,True,1.0,False,10385542,1680548400,everton-tottenham-hotspur,False,Premier League,premier-league,England,england,Football,football,1,1,england,EN,Premier League,premier-league,England,england,Football,football,1,1,england,EN,0,17,True,False,False,False,546,1,29.0,100,Ended,finished,Everton,everton,Everton,Football,football,1,0,EVE,False,0,48,EN,England,[],#52b030,#52b030,#ffffff,Tottenham Hotspur,tottenham-hotspur,Tottenham ,Football,football,1,0,TOT,False,0,33,EN,England,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,6.0,1680555329.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680555331,1.0,1.0,,,,,,,,,,,,,,,,,,,3.5,3.25,2.15
wgbsihb,3,True,True,True,1.0,False,10408554,1680436800,almeria-celta-vigo,False,LaLiga,laliga,Spain,spain,Football,football,1,32,spain,ES,LaLiga,laliga,Spain,spain,Football,football,1,32,spain,ES,799900,8,True,False,True,False,545,36,27.0,100,Ended,finished,Celta Vigo,celta-vigo,Celta,Football,football,1,0,RCC,False,0,2821,ES,Spain,[],#52b030,#52b030,#ffffff,Almería,almeria,Almería,Football,football,1,0,ALM,False,0,2858,ES,Spain,[],#52b030,#52b030,#ffffff,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,8.0,1680443847.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680443851,,,#2f4a89,#f4a32e,,,,,,,,,,,,,,,,,1.5,4.33,6.5
EgbsGgb,1,True,True,True,1.0,False,10408405,1680444900,real-valladolid-real-madrid,False,LaLiga,laliga,Spain,spain,Football,football,1,32,spain,ES,LaLiga,laliga,Spain,spain,Football,football,1,32,spain,ES,799900,8,True,False,True,False,545,36,27.0,100,Ended,finished,Real Madrid,real-madrid,Real Madrid,Football,football,1,0,RMA,False,0,2829,ES,Spain,[],#52b030,#52b030,#ffffff,Real Valladolid,real-valladolid,Real Valladolid,Football,football,1,0,VLL,False,0,2831,ES,Spain,[],#52b030,#52b030,#ffffff,6.0,6.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,,3.0,1680451712.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1680451860,,,#2f4a89,#f4a32e,,,,,,,,,,,,,,,,,1.2,8.0,11.0
ugbszgb,1,True,True,True,1.0,False,10408556,1680453000,real-sociedad-villarreal,False,LaLiga,laliga,Spain,spain,Football,football,1,32,spain,ES,LaLiga,laliga,Spain,spain,Football,football,1,32,spain,ES,799900,8,True,False,True,False,545,36,27.0,100,Ended,finished,Villarreal,villarreal,Villarreal,Football,football,1,0,VIL,False,0,2819,ES,Spain,[],#52b030,#52b030,#ffffff,Real Sociedad,real-sociedad,Real Sociedad,Football,football,1,0,RSO,False,0,2824,ES,Spain,[],#52b030,#52b030,#ffffff,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,4.0,1680459587.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1680459593,1.0,,#2f4a89,#f4a32e,,,,,,,,,,,,,,,,,2.55,3.1,3.0
qgbsLgb,1,True,True,True,1.0,False,10408404,1680462000,atletico-madrid-real-betis,False,LaLiga,laliga,Spain,spain,Football,football,1,32,spain,ES,LaLiga,laliga,Spain,spain,Football,football,1,32,spain,ES,799900,8,True,False,True,False,545,36,27.0,100,Ended,finished,Atlético Madrid,atletico-madrid,Atl. Madrid,Football,football,1,0,ATM,False,0,2836,ES,Spain,[],#52b030,#52b030,#ffffff,Real Betis,real-betis,Betis,Football,football,1,0,RBB,False,0,2816,ES,Spain,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,5.0,1680468798.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680468802,,,#2f4a89,#f4a32e,,,,,,,,,,,,,,,,,1.44,4.33,8.0
tgbsDgb,3,True,True,True,1.0,False,10408409,1680548400,valencia-rayo-vallecano,False,LaLiga,laliga,Spain,spain,Football,football,1,32,spain,ES,LaLiga,laliga,Spain,spain,Football,football,1,32,spain,ES,799900,8,True,False,True,False,545,36,27.0,100,Ended,finished,Valencia,valencia,Valencia,Football,football,1,0,VCF,False,0,2828,ES,Spain,[],#52b030,#52b030,#ffffff,Rayo Vallecano,rayo-vallecano,Rayo Vallecano,Football,football,1,0,RVC,False,0,2818,ES,Spain,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,8.0,1680555707.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680555709,,,#2f4a89,#f4a32e,,,,,,,,,,,,,,,,,2.05,3.25,3.8
ZdbsEeb,2,True,True,True,1.0,False,10411746,1680440400,monza-lazio,False,Serie A,serie-a,Italy,italy,Football,football,1,31,italy,IT,Serie A,serie-a,Italy,italy,Football,football,1,31,italy,IT,0,23,True,False,False,False,544,33,28.0,100,Ended,finished,Monza,monza,Monza,Football,football,1,0,MON,False,0,2729,IT,Italy,[],#52b030,#52b030,#ffffff,Lazio,lazio,Lazio,Football,football,1,0,LAZ,False,0,2699,IT,Italy,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,,4.0,1680447132.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680447136,,,,,,,,,,,,,,,,,,,,,3.5,3.3,2.15
kebsKeb,3,True,True,True,1.0,False,10411744,1680440400,spezia-salernitana,False,Serie A,serie-a,Italy,italy,Football,football,1,31,italy,IT,Serie A,serie-a,Italy,italy,Football,football,1,31,italy,IT,0,23,True,False,False,False,544,33,28.0,100,Ended,finished,Spezia,spezia,Spezia,Football,football,1,0,SPE,False,0,2735,IT,Italy,[],#52b030,#52b030,#ffffff,Salernitana,salernitana,Salernitana,Football,football,1,0,SAL,False,0,2710,IT,Italy,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,5.0,1680447465.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680447469,,,,,,,,,,,,,,,,,,,,,2.38,3.25,3.1
