customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,homeRedCards,awayRedCards,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,aggregatedWinnerCode,previousLegEventId,roundInfo.name,roundInfo.cupRoundType,homeTeam.gender,homeTeam.national,awayTeam.gender,awayTeam.national,homeScore.extra1,homeScore.extra2,homeScore.overtime,homeScore.aggregated,awayScore.extra1,awayScore.extra2,awayScore.overtime,awayScore.aggregated,time.injuryTime3,time.injuryTime4,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,homeScore.penalties,awayScore.penalties,coverage,choice_1,choice_X,choice_2
UwXh,3,True,True,True,1.0,False,10385542,1.0,1.0,1680548400,everton-tottenham-hotspur,False,Premier League,premier-league,England,england,Football,football,1,1,england,EN,Premier League,premier-league,England,england,Football,football,1,1,england,EN,0,17,True,False,False,False,546,1,29.0,100,Ended,finished,Everton,everton,Everton,Football,football,1,0,EVE,False,0,48,EN,England,[],#52b030,#52b030,#ffffff,Tottenham Hotspur,tottenham-hotspur,Tottenham ,Football,football,1,0,TOT,False,0,33,EN,England,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,6.0,1680555329.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680555331,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.25,2.15
Fskb,2,True,True,True,1.0,False,11077408,,,1680633900,bournemouth-brighton-and-hove-albion,False,Premier League,premier-league,England,england,Football,football,1,1,england,EN,Premier League,premier-league,England,england,Football,football,1,1,england,EN,0,17,True,False,False,False,546,1,7.0,100,Ended,finished,Bournemouth,bournemouth,Bournemouth,Football,football,1,0,BOU,False,0,60,EN,England,[],#52b030,#52b030,#ffffff,Brighton & Hove Albion,brighton-and-hove-albion,Brighton,Football,football,1,0,BRI,False,0,30,EN,England,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,5.0,6.0,1680640913.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680640915,,,,,,,,,,,,,,,,,,,,,,,,5.75,4.2,1.53
osJ,1,True,True,True,1.0,False,11077461,,,1680633900,leeds-united-nottingham-forest,False,Premier League,premier-league,England,england,Football,football,1,1,england,EN,Premier League,premier-league,England,england,Football,football,1,1,england,EN,0,17,True,False,False,False,546,1,7.0,100,Ended,finished,Leeds United,leeds-united,Leeds,Football,football,1,0,LEE,False,0,34,EN,England,[],#52b030,#52b030,#ffffff,Nottingham Forest,nottingham-forest,Forest,Football,football,1,0,NFO,False,0,14,EN,England,[],#52b030,#52b030,#ffffff,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,5.0,1680640715.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1680640718,,,,,,,,,,,,,,,,,,,,,,,,1.62,4.0,5.5
GP,2,True,True,True,1.0,False,11077466,1.0,,1680633900,aston-villa-leicester-city,False,Premier League,premier-league,England,england,Football,football,1,1,england,EN,Premier League,premier-league,England,england,Football,football,1,1,england,EN,0,17,True,False,False,False,546,1,7.0,100,Ended,finished,Leicester City,leicester-city,Leicester,Football,football,1,0,LEI,False,0,31,EN,England,[],#52b030,#52b030,#ffffff,Aston Villa,aston-villa,Aston Villa,Football,football,1,0,AVL,False,0,40,EN,England,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1680637702.0,"['status.code', 'status.description', 'status.type']",1680640810,,,,,,,,,,,,,,,,,,,,,,,,2.6,3.4,2.7
NsU,3,True,True,True,1.0,False,11077468,,,1680634800,liverpool-chelsea,False,Premier League,premier-league,England,england,Football,football,1,1,england,EN,Premier League,premier-league,England,england,Football,football,1,1,england,EN,0,17,True,False,False,False,546,1,8.0,100,Ended,finished,Chelsea,chelsea,Chelsea,Football,football,1,0,CHE,False,0,38,EN,England,[],#52b030,#52b030,#ffffff,Liverpool,liverpool,Liverpool,Football,football,1,0,LIV,False,0,44,EN,England,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1680641661.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2']",1680641666,,,,,,,,,,,,,,,,,,,,,,,,2.05,3.6,3.4
tgbsDgb,3,True,True,True,1.0,False,10408409,,,1680548400,valencia-rayo-vallecano,False,LaLiga,laliga,Spain,spain,Football,football,1,32,spain,ES,LaLiga,laliga,Spain,spain,Football,football,1,32,spain,ES,0,8,True,False,False,False,545,36,27.0,100,Ended,finished,Valencia,valencia,Valencia,Football,football,1,0,VCF,False,0,2828,ES,Spain,[],#52b030,#52b030,#ffffff,Rayo Vallecano,rayo-vallecano,Rayo Vallecano,Football,football,1,0,RVC,False,0,2818,ES,Spain,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,8.0,1680555707.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680555709,,,,,,,,,,,,,,,,,,,,,,,,2.05,3.25,3.8
Odbsfeb,1,True,True,True,1.0,False,10411734,,,1680543000,empoli-lecce,False,Serie A,serie-a,Italy,italy,Football,football,1,31,italy,IT,Serie A,serie-a,Italy,italy,Football,football,1,31,italy,IT,0,23,True,False,False,False,544,33,28.0,100,Ended,finished,Empoli,empoli,Empoli,Football,football,1,0,EMP,False,0,2705,IT,Italy,[],#52b030,#52b030,#ffffff,Lecce,lecce,Lecce,Football,football,1,0,LEC,False,0,2689,IT,Italy,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1680549806.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680549808,,,,,,,,,,,,,,,,,,,,,,,,2.75,2.9,2.9
WdbsTfb,3,True,True,True,1.0,False,10411735,,,1680547500,sassuolo-torino,False,Serie A,serie-a,Italy,italy,Football,football,1,31,italy,IT,Serie A,serie-a,Italy,italy,Football,football,1,31,italy,IT,0,23,True,False,False,False,544,33,28.0,100,Ended,finished,Sassuolo,sassuolo,Sassuolo,Football,football,1,0,SAS,False,0,2793,IT,Italy,[],#52b030,#52b030,#ffffff,Torino,torino,Torino,Football,football,1,0,TOR,False,0,2696,IT,Italy,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,,5.0,1680554398.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680554400,,,,,,,,,,,,,,,,,,,,,,,,2.45,3.2,3.0
vgbsAgb,3,True,True,True,1.0,False,11027943,,,1680635400,athletic-club-osasuna,False,Copa del Rey,copa-del-rey,Spain,spain,Football,football,1,32,spain,ES,Copa del Rey,copa-del-rey,Spain,spain,Football,football,1,32,spain,ES,0,329,False,False,False,False,541,150,28.0,110,AET,finished,Athletic Club,athletic-club,Athletic Club,Football,football,1,99300,ATH,False,0,2825,ES,Spain,[],#aa0000,#ffffff,#ffffff,Osasuna,osasuna,Osasuna,Football,football,1,62926,OSA,False,0,2820,ES,Spain,[],#cc0000,#14213d,#14213d,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,1680643699.0,"['status.code', 'status.description', 'status.type']",1680644751,2.0,11027941.0,Semifinal,2.0,M,False,M,False,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,,,,,,1.5,4.0,7.0
qOspxc,3,True,True,True,1.0,False,11173657,,,1680652800,independiente-medellin-internacional,False,"CONMEBOL Libertadores, Group B",conmebol-libertadores-group-b,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Libertadores,conmebol-libertadores,South America,south-america,Football,football,1,1470,south-america,,0,384,True,False,False,False,538,2929,1.0,100,Ended,finished,Independiente Medellín,independiente-medellin,Ind. Medellín,Football,football,1,0,DIM,False,0,6115,CO,Colombia,[],#52b030,#52b030,#ffffff,Internacional,internacional,Internacional,Football,football,1,0,INT,False,0,1966,BR,Brazil,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,5.0,1680659689.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680659692,,,,,,,,,,,,,,,,,,,,,,,,3.1,3.2,2.45
