customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,homeRedCards,aggregatedWinnerCode,previousLegEventId,roundInfo.name,roundInfo.cupRoundType,homeTeam.gender,homeTeam.national,awayTeam.gender,awayTeam.national,homeScore.extra1,homeScore.extra2,homeScore.overtime,homeScore.aggregated,awayScore.extra1,awayScore.extra2,awayScore.overtime,awayScore.aggregated,time.injuryTime3,time.injuryTime4,awayRedCards,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,homeScore.penalties,awayScore.penalties,isAwarded,coverage,choice_1,choice_X,choice_2
Fskb,2,True,True,True,1.0,False,11077408,1680633900,bournemouth-brighton-and-hove-albion,False,Premier League,premier-league,England,england,Football,football,1,1,england,EN,Premier League,premier-league,England,england,Football,football,1,1,england,EN,0,17,True,False,False,False,546,1,7.0,100,Ended,finished,Bournemouth,bournemouth,Bournemouth,Football,football,1,0,BOU,False,0,60,EN,England,[],#52b030,#52b030,#ffffff,Brighton & Hove Albion,brighton-and-hove-albion,Brighton,Football,football,1,0,BRI,False,0,30,EN,England,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,5.0,6.0,1680640913.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680640915,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75,4.2,1.53
osJ,1,True,True,True,1.0,False,11077461,1680633900,leeds-united-nottingham-forest,False,Premier League,premier-league,England,england,Football,football,1,1,england,EN,Premier League,premier-league,England,england,Football,football,1,1,england,EN,0,17,True,False,False,False,546,1,7.0,100,Ended,finished,Leeds United,leeds-united,Leeds,Football,football,1,0,LEE,False,0,34,EN,England,[],#52b030,#52b030,#ffffff,Nottingham Forest,nottingham-forest,Forest,Football,football,1,0,NFO,False,0,14,EN,England,[],#52b030,#52b030,#ffffff,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,5.0,1680640715.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1680640718,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,4.0,5.5
GP,2,True,True,True,1.0,False,11077466,1680633900,aston-villa-leicester-city,False,Premier League,premier-league,England,england,Football,football,1,1,england,EN,Premier League,premier-league,England,england,Football,football,1,1,england,EN,0,17,True,False,False,False,546,1,7.0,100,Ended,finished,Leicester City,leicester-city,Leicester,Football,football,1,0,LEI,False,0,31,EN,England,[],#52b030,#52b030,#ffffff,Aston Villa,aston-villa,Aston Villa,Football,football,1,0,AVL,False,0,40,EN,England,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1680637702.0,"['status.code', 'status.description', 'status.type']",1680640810,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,3.4,2.7
NsU,3,True,True,True,1.0,False,11077468,1680634800,liverpool-chelsea,False,Premier League,premier-league,England,england,Football,football,1,1,england,EN,Premier League,premier-league,England,england,Football,football,1,1,england,EN,0,17,True,False,False,False,546,1,8.0,100,Ended,finished,Chelsea,chelsea,Chelsea,Football,football,1,0,CHE,False,0,38,EN,England,[],#52b030,#52b030,#ffffff,Liverpool,liverpool,Liverpool,Football,football,1,0,LIV,False,0,44,EN,England,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1680641661.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2']",1680641666,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,3.6,3.4
Ksab,1,True,True,True,1.0,False,11077474,1680721200,brentford-manchester-united,False,Premier League,premier-league,England,england,Football,football,1,1,england,EN,Premier League,premier-league,England,england,Football,football,1,1,england,EN,0,17,True,False,False,False,546,1,25.0,100,Ended,finished,Manchester United,manchester-united,Man Utd,Football,football,1,0,MUN,False,0,35,EN,England,[],#52b030,#52b030,#ffffff,Brentford,brentford,Brentford,Football,football,1,0,BRE,False,0,50,EN,England,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1680728010.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680728014,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,4.2,5.25
MO,2,True,True,True,1.0,False,11077467,1680721200,newcastle-united-west-ham-united,False,Premier League,premier-league,England,england,Football,football,1,1,england,EN,Premier League,premier-league,England,england,Football,football,1,1,england,EN,0,17,True,False,False,False,546,1,7.0,100,Ended,finished,West Ham United,west-ham-united,West Ham,Football,football,1,0,WHU,False,0,37,EN,England,[],#52b030,#52b030,#ffffff,Newcastle United,newcastle-united,Newcastle,Football,football,1,0,NEW,False,0,39,EN,England,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,5.0,5.0,2.0,3.0,5.0,3.0,4.0,1680728120.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680728122,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.1,2.25
vgbsAgb,3,True,True,True,1.0,False,11027943,1680635400,athletic-club-osasuna,False,Copa del Rey,copa-del-rey,Spain,spain,Football,football,1,32,spain,ES,Copa del Rey,copa-del-rey,Spain,spain,Football,football,1,32,spain,ES,0,329,False,False,False,False,541,150,28.0,110,AET,finished,Athletic Club,athletic-club,Athletic Club,Football,football,1,99300,ATH,False,0,2825,ES,Spain,[],#aa0000,#ffffff,#ffffff,Osasuna,osasuna,Osasuna,Football,football,1,62926,OSA,False,0,2820,ES,Spain,[],#cc0000,#14213d,#14213d,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,1680643699.0,"['status.code', 'status.description', 'status.type']",1680644751,,2.0,11027941.0,Semifinal,2.0,M,False,M,False,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,1.5,4.0,7.0
rgbsEgb,2,True,True,True,1.0,False,11027944,1680721200,real-madrid-barcelona,False,Copa del Rey,copa-del-rey,Spain,spain,Football,football,1,32,spain,ES,Copa del Rey,copa-del-rey,Spain,spain,Football,football,1,32,spain,ES,0,329,False,False,False,False,541,150,28.0,100,Ended,finished,Barcelona,barcelona,Barcelona,Football,football,1,1397584,FCB,False,0,2817,ES,Spain,[],#154284,#9d1009,#9d1009,Real Madrid,real-madrid,Real Madrid,Football,football,1,1495590,RMA,False,0,2829,ES,Spain,[],#ffffff,#004996,#004996,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,3.0,4.0,3.0,3.0,1680725166.0,"['status.code', 'status.description', 'status.type']",1680728052,,2.0,11027942.0,Semifinal,2.0,M,False,M,False,,,,1.0,,,,4.0,,,,,,,,,,2.55,3.5,2.7
ZecsGuc,1,True,True,True,1.0,False,11173659,1680732000,flamengo-aucas,False,"CONMEBOL Libertadores, Group A",conmebol-libertadores-group-a,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Libertadores,conmebol-libertadores,South America,south-america,Football,football,1,1470,south-america,,0,384,True,False,False,False,539,2928,1.0,100,Ended,finished,Aucas,aucas,Aucas,Football,football,1,0,SDA,False,0,5249,EC,Ecuador,[],#52b030,#52b030,#ffffff,Flamengo,flamengo,Flamengo,Football,football,1,0,FLA,False,0,5981,BR,Brazil,[],#52b030,#52b030,#ffffff,2.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,6.0,1680738831.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680738835,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,3.3,2.1
pobsEPc,2,True,True,True,1.0,False,11173664,1680739200,nublense-racing-club,False,"CONMEBOL Libertadores, Group A",conmebol-libertadores-group-a,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Libertadores,conmebol-libertadores,South America,south-america,Football,football,1,1470,south-america,,0,384,True,False,False,False,539,2928,1.0,100,Ended,finished,Ñublense,nublense,Ñublense,Football,football,1,0,NUB,False,0,7029,CL,Chile,[],#52b030,#52b030,#ffffff,Racing Club,racing-club,Racing,Football,football,1,0,RAC,False,0,3215,AR,Argentina,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,1680745908.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680745912,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,3.3,1.91
