customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,aggregatedWinnerCode,previousLegEventId,roundInfo.name,roundInfo.cupRoundType,homeTeam.gender,homeTeam.national,awayTeam.gender,awayTeam.national,homeScore.aggregated,awayScore.aggregated,homeRedCards,awayRedCards,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,homeScore.penalties,awayScore.penalties,homeScore.overtime,awayScore.overtime,time.injuryTime3,time.injuryTime4,isAwarded,homeScore.extra1,homeScore.extra2,awayScore.extra1,awayScore.extra2,choice_1,choice_X,choice_2
Ksab,1,True,True,True,1.0,False,11077474,1680721200,brentford-manchester-united,False,Premier League,premier-league,England,england,Football,football,1,1,england,EN,Premier League,premier-league,England,england,Football,football,1,1,england,EN,0,17,True,False,False,False,546,1,25.0,100,Ended,finished,Manchester United,manchester-united,Man Utd,Football,football,1,0,MUN,False,0,35,EN,England,[],#52b030,#52b030,#ffffff,Brentford,brentford,Brentford,Football,football,1,0,BRE,False,0,50,EN,England,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1680728010.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680728014,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,4.2,5.25
MO,2,True,True,True,1.0,False,11077467,1680721200,newcastle-united-west-ham-united,False,Premier League,premier-league,England,england,Football,football,1,1,england,EN,Premier League,premier-league,England,england,Football,football,1,1,england,EN,0,17,True,False,False,False,546,1,7.0,100,Ended,finished,West Ham United,west-ham-united,West Ham,Football,football,1,0,WHU,False,0,37,EN,England,[],#52b030,#52b030,#ffffff,Newcastle United,newcastle-united,Newcastle,Football,football,1,0,NEW,False,0,39,EN,England,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,5.0,5.0,2.0,3.0,5.0,3.0,4.0,1680728120.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680728122,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.1,2.25
rgbsEgb,2,True,True,True,1.0,False,11027944,1680721200,real-madrid-barcelona,False,Copa del Rey,copa-del-rey,Spain,spain,Football,football,1,32,spain,ES,Copa del Rey,copa-del-rey,Spain,spain,Football,football,1,32,spain,ES,0,329,False,False,False,False,541,150,28.0,100,Ended,finished,Barcelona,barcelona,Barcelona,Football,football,1,1397584,FCB,False,0,2817,ES,Spain,[],#154284,#9d1009,#9d1009,Real Madrid,real-madrid,Real Madrid,Football,football,1,1495590,RMA,False,0,2829,ES,Spain,[],#ffffff,#004996,#004996,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,3.0,4.0,3.0,3.0,1680725166.0,"['status.code', 'status.description', 'status.type']",1680728052,2.0,11027942.0,Semifinal,2.0,M,False,M,False,1.0,4.0,,,,,,,,,,,,,,,,2.55,3.5,2.7
ZecsGuc,1,True,True,True,1.0,False,11173659,1680732000,flamengo-aucas,False,"CONMEBOL Libertadores, Group A",conmebol-libertadores-group-a,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Libertadores,conmebol-libertadores,South America,south-america,Football,football,1,1470,south-america,,0,384,True,False,False,False,539,2928,1.0,100,Ended,finished,Aucas,aucas,Aucas,Football,football,1,0,SDA,False,0,5249,EC,Ecuador,[],#52b030,#52b030,#ffffff,Flamengo,flamengo,Flamengo,Football,football,1,0,FLA,False,0,5981,BR,Brazil,[],#52b030,#52b030,#ffffff,2.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,6.0,1680738831.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680738835,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,3.3,2.1
pobsEPc,2,True,True,True,1.0,False,11173664,1680739200,nublense-racing-club,False,"CONMEBOL Libertadores, Group A",conmebol-libertadores-group-a,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Libertadores,conmebol-libertadores,South America,south-america,Football,football,1,1470,south-america,,0,384,True,False,False,False,539,2928,1.0,100,Ended,finished,Ñublense,nublense,Ñublense,Football,football,1,0,NUB,False,0,7029,CL,Chile,[],#52b030,#52b030,#ffffff,Racing Club,racing-club,Racing,Football,football,1,0,RAC,False,0,3215,AR,Argentina,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,1680745908.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680745912,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,3.3,1.91
afcsQuc,1,True,True,True,1.0,False,11173674,1680739200,cerro-porteno-barcelona-sc,False,"CONMEBOL Libertadores, Group C",conmebol-libertadores-group-c,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Libertadores,conmebol-libertadores,South America,south-america,Football,football,1,1470,south-america,,0,384,True,False,False,False,537,2930,1.0,100,Ended,finished,Cerro Porteño,cerro-porteno,Cerro Porteño,Football,football,1,0,CPO,False,0,5991,PY,Paraguay,[],#52b030,#52b030,#ffffff,Barcelona SC,barcelona-sc,Barcelona SC,Football,football,1,0,BSC,False,0,5250,EC,Ecuador,[],#52b030,#52b030,#ffffff,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,6.0,1680746132.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680746134,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,3.5,5.5
nOsjQc,1,True,True,True,1.0,False,11173661,1680741000,bolivar-palmeiras,False,"CONMEBOL Libertadores, Group C",conmebol-libertadores-group-c,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Libertadores,conmebol-libertadores,South America,south-america,Football,football,1,1470,south-america,,0,384,True,False,False,False,537,2930,1.0,100,Ended,finished,Bolívar,bolivar,Bolívar,Football,football,1,0,BOL,False,0,7059,BO,Bolivia,[],#52b030,#52b030,#ffffff,Palmeiras,palmeiras,Palmeiras,Football,football,1,0,PAL,False,0,1963,BR,Brazil,[],#52b030,#52b030,#ffffff,3.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,3.0,7.0,1680747976.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680747979,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.95,3.5,3.8
lOscW,2,True,True,True,1.0,False,11173663,1680741000,club-sporting-cristal-fluminense,False,"CONMEBOL Libertadores, Group D",conmebol-libertadores-group-d,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Libertadores,conmebol-libertadores,South America,south-america,Football,football,1,1470,south-america,,0,384,True,False,False,False,536,2931,1.0,100,Ended,finished,Club Sporting Cristal,club-sporting-cristal,Sporting Cristal,Football,football,1,0,CRI,False,0,2302,PE,Peru,[],#52b030,#52b030,#ffffff,Fluminense,fluminense,Fluminense,Football,football,1,0,FLU,False,0,1961,BR,Brazil,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,3.0,3.0,1.0,2.0,3.0,2.0,5.0,1680747888.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680747892,,,,,,,,,,,1.0,,,,,,,,,,,,,,,4.5,3.3,1.91
hOsEMc,2,True,True,True,1.0,False,11173673,1680818400,liverpool-uy-corinthians,False,"CONMEBOL Libertadores, Group E",conmebol-libertadores-group-e,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Libertadores,conmebol-libertadores,South America,south-america,Football,football,1,1470,south-america,,0,384,True,False,False,False,535,2932,1.0,100,Ended,finished,Liverpool UY,liverpool-uy,Liverpool,Football,football,1,0,LIV,False,0,6879,UY,Uruguay,[],#52b030,#52b030,#ffffff,Corinthians,corinthians,Corinthians,Football,football,1,0,COR,False,0,1957,BR,Brazil,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,3.0,4.0,3.0,1680825243.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680825247,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,3.1,2.2
fnbsjxc,3,True,True,True,1.0,False,11173681,1680746400,deportivo-pereira-colo-colo,False,"CONMEBOL Libertadores, Group F",conmebol-libertadores-group-f,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Libertadores,conmebol-libertadores,South America,south-america,Football,football,1,1470,south-america,,0,384,True,False,False,False,534,2933,1.0,100,Ended,finished,Deportivo Pereira,deportivo-pereira,Deportivo Pereira,Football,football,1,0,PER,False,0,6109,CO,Colombia,[],#52b030,#52b030,#ffffff,Colo Colo,colo-colo,Colo-Colo,Football,football,1,0,CC,False,0,3155,CL,Chile,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,5.0,1680753399.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680753403,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,3.25,2.3
