customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,homeRedCards,awayRedCards,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,roundInfo.name,roundInfo.cupRoundType,aggregatedWinnerCode,isAwarded,homeScore.penalties,awayScore.penalties,previousLegEventId,homeTeam.gender,homeTeam.national,awayTeam.gender,awayTeam.national,homeScore.aggregated,awayScore.aggregated,homeScore.overtime,awayScore.overtime,time.injuryTime4,choice_1,choice_X,choice_2
KsY,1,True,True,True,1.0,False,10385578,1680953400,everton-manchester-united,False,Premier League,premier-league,England,england,Football,football,1,1,england,EN,Premier League,premier-league,England,england,Football,football,1,1,england,EN,0,17,True,False,False,False,546,1,30.0,100,Ended,finished,Manchester United,manchester-united,Man Utd,Football,football,1,0,MUN,False,0,35,EN,England,[],#52b030,#52b030,#ffffff,Everton,everton,Everton,Football,football,1,0,EVE,False,0,48,EN,England,[],#52b030,#52b030,#ffffff,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1680960089.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680960091,,,,,,,,,,,,,,,,,,,,,1.57,4.0,6.0
wgbsIgb,3,True,True,True,1.0,False,10408423,1680894000,sevilla-celta-vigo,False,LaLiga,laliga,Spain,spain,Football,football,1,32,spain,ES,LaLiga,laliga,Spain,spain,Football,football,1,32,spain,ES,0,8,True,False,False,False,545,36,28.0,100,Ended,finished,Sevilla,sevilla,Sevilla,Football,football,1,0,SEV,False,0,2833,ES,Spain,[],#52b030,#52b030,#ffffff,Celta Vigo,celta-vigo,Celta,Football,football,1,0,RCC,False,0,2821,ES,Spain,[],#52b030,#52b030,#ffffff,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,3.0,4.0,1680901124.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680901126,2.0,,,,,,,,,,,,,,,,,,,,2.15,3.4,3.3
vgbsWgb,1,True,True,True,1.0,False,10408552,1680955200,elche-osasuna,False,LaLiga,laliga,Spain,spain,Football,football,1,32,spain,ES,LaLiga,laliga,Spain,spain,Football,football,1,32,spain,ES,0,8,True,False,False,False,545,36,28.0,100,Ended,finished,Osasuna,osasuna,Osasuna,Football,football,1,0,OSA,False,0,2820,ES,Spain,[],#52b030,#52b030,#ffffff,Elche,elche,Elche,Football,football,1,0,ELC,False,0,2846,ES,Spain,[],#52b030,#52b030,#ffffff,2.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,5.0,4.0,1680962087.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart', 'time.currentPeriodStart']",1680962090,,,,,,,,,,,,,,,,,,,,,1.73,3.6,5.0
Xdbskeb,3,True,True,True,1.0,False,10411758,1680879600,salernitana-inter,False,Serie A,serie-a,Italy,italy,Football,football,1,31,italy,IT,Serie A,serie-a,Italy,italy,Football,football,1,31,italy,IT,0,23,True,False,False,False,544,33,29.0,100,Ended,finished,Salernitana,salernitana,Salernitana,Football,football,1,0,SAL,False,0,2710,IT,Italy,[],#52b030,#52b030,#ffffff,Inter,inter,Inter,Football,football,1,0,INT,False,0,2697,IT,Italy,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,4.0,1680886483.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680886486,,,,,,,,,,,,,,,,,,,,,6.5,4.5,1.5
Odbsoeb,2,True,True,True,1.0,False,10411753,1680886800,napoli-lecce,False,Serie A,serie-a,Italy,italy,Football,football,1,31,italy,IT,Serie A,serie-a,Italy,italy,Football,football,1,31,italy,IT,0,23,True,False,False,False,544,33,29.0,100,Ended,finished,Lecce,lecce,Lecce,Football,football,1,0,LEC,False,0,2689,IT,Italy,[],#52b030,#52b030,#ffffff,Napoli,napoli,Napoli,Football,football,1,0,NAP,False,0,2714,IT,Italy,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,,1680893735.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680893737,,,,,,,,,,,,,,,,,,,,,6.0,3.6,1.62
Rdbsfeb,3,True,True,True,1.0,False,10411755,1680894000,empoli-milan,False,Serie A,serie-a,Italy,italy,Football,football,1,31,italy,IT,Serie A,serie-a,Italy,italy,Football,football,1,31,italy,IT,0,23,True,False,False,False,544,33,29.0,100,Ended,finished,Milan,milan,Milan,Football,football,1,0,ACM,False,0,2692,IT,Italy,[],#52b030,#52b030,#ffffff,Empoli,empoli,Empoli,Football,football,1,0,EMP,False,0,2705,IT,Italy,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.0,1680900920.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680900922,,,,,,,,,,,,,,,,,,,,,1.36,4.75,9.0
VdbsEeb,3,True,True,True,1.0,False,10411767,1680949800,monza-udinese,False,Serie A,serie-a,Italy,italy,Football,football,1,31,italy,IT,Serie A,serie-a,Italy,italy,Football,football,1,31,italy,IT,0,23,True,False,False,False,544,33,29.0,100,Ended,finished,Udinese,udinese,Udinese,Football,football,1,0,UDI,False,0,2695,IT,Italy,[],#52b030,#52b030,#ffffff,Monza,monza,Monza,Football,football,1,0,MON,False,0,2729,IT,Italy,[],#52b030,#52b030,#ffffff,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,6.0,1680956760.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680956764,,,,,,,,,,,,,,,,,,,,,1.91,3.5,4.0
TdbsKeb,3,True,True,True,1.0,False,10411761,1680957000,spezia-fiorentina,False,Serie A,serie-a,Italy,italy,Football,football,1,31,italy,IT,Serie A,serie-a,Italy,italy,Football,football,1,31,italy,IT,0,23,True,False,False,False,544,33,29.0,100,Ended,finished,Fiorentina,fiorentina,Fiorentina,Football,football,1,0,FIO,False,0,2693,IT,Italy,[],#52b030,#52b030,#ffffff,Spezia,spezia,Spezia,Football,football,1,0,SPE,False,0,2735,IT,Italy,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,6.0,1680964255.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1680964261,,,,,,,,,,,,,,,,,,,,,1.4,4.5,7.5
Jabsgbb,3,True,True,True,1.0,False,10388257,1680960600,1-fsv-mainz-05-sv-werder-bremen,False,Bundesliga,bundesliga,Germany,germany,Football,football,1,30,germany,DE,Bundesliga,bundesliga,Germany,germany,Football,football,1,30,germany,DE,0,35,True,False,False,False,543,42,27.0,100,Ended,finished,1. FSV Mainz 05,1-fsv-mainz-05,Mainz 05,Football,football,1,0,M05,False,0,2556,DE,Germany,[],#52b030,#52b030,#ffffff,SV Werder Bremen,sv-werder-bremen,Bremen,Football,football,1,0,SVW,False,0,2534,DE,Germany,[],#52b030,#52b030,#ffffff,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,4.0,1680967493.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1680967934,,,,,,,,,,,,,,,,,,,,,1.7,4.0,4.75
zdbsGdb,1,True,True,True,1.0,False,10388258,1680960600,bayer-04-leverkusen-eintracht-frankfurt,False,Bundesliga,bundesliga,Germany,germany,Football,football,1,30,germany,DE,Bundesliga,bundesliga,Germany,germany,Football,football,1,30,germany,DE,0,35,True,False,False,False,543,42,27.0,100,Ended,finished,Bayer 04 Leverkusen,bayer-04-leverkusen,Leverkusen,Football,football,1,0,LEV,False,0,2681,DE,Germany,[],#52b030,#52b030,#ffffff,Eintracht Frankfurt,eintracht-frankfurt,Frankfurt,Football,football,1,0,SGE,False,0,2674,DE,Germany,[],#52b030,#52b030,#ffffff,3.0,3.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,3.0,5.0,1680967495.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1680967714,,,,,,,,,,,,,,,,,,,,,1.85,4.0,4.0
