customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,homeRedCards,awayRedCards,roundInfo.name,roundInfo.cupRoundType,aggregatedWinnerCode,previousLegEventId,homeTeam.gender,homeTeam.national,awayTeam.gender,awayTeam.national,homeScore.aggregated,awayScore.aggregated,homeScore.extra1,homeScore.extra2,homeScore.overtime,homeScore.penalties,awayScore.extra1,awayScore.extra2,awayScore.overtime,awayScore.penalties,isAwarded,coverage,choice_1,choice_X,choice_2
hsJ,2,True,True,True,1.0,False,10385546,1681045200,crystal-palace-leeds-united,False,Premier League,premier-league,England,england,Football,football,1,1,england,EN,Premier League,premier-league,#3c1c5a,#f80158,England,england,Football,football,1,1,england,EN,1203090,17,True,False,True,False,546,1,30.0,100,Ended,finished,Leeds United,leeds-united,Leeds,Football,football,1,0,LEE,False,0,34,EN,England,[],#52b030,#52b030,#ffffff,Crystal Palace,crystal-palace,Crystal Palace,Football,football,1,0,CRY,False,0,7,EN,England,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,5.0,5.0,1.0,4.0,5.0,1.0,4.0,1681052122.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681052125,,,,,,,,,,,,,,,,,,,,,,,2.0,3.5,3.75
HQfh,3,True,True,True,1.0,False,10385572,1681054200,liverpool-arsenal,False,Premier League,premier-league,England,england,Football,football,1,1,england,EN,Premier League,premier-league,#3c1c5a,#f80158,England,england,Football,football,1,1,england,EN,1203090,17,True,False,True,False,546,1,30.0,100,Ended,finished,Liverpool,liverpool,Liverpool,Football,football,1,0,LIV,False,0,44,EN,England,[],#52b030,#52b030,#ffffff,Arsenal,arsenal,Arsenal,Football,football,1,0,ARS,False,0,42,EN,England,[],#52b030,#52b030,#ffffff,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,4.0,6.0,1681061259.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681061260,,,,,,,,,,,,,,,,,,,,,,,2.7,3.5,2.5
BgbsGgb,3,True,True,True,1.0,False,10408412,1681041600,real-valladolid-mallorca,False,LaLiga,laliga,Spain,spain,Football,football,1,32,spain,ES,LaLiga,laliga,,,Spain,spain,Football,football,1,32,spain,ES,0,8,True,False,False,False,545,36,28.0,100,Ended,finished,Real Valladolid,real-valladolid,Real Valladolid,Football,football,1,0,VLL,False,0,2831,ES,Spain,[],#52b030,#52b030,#ffffff,Mallorca,mallorca,Mallorca,Football,football,1,0,MAL,False,0,2826,ES,Spain,[],#52b030,#52b030,#ffffff,3.0,3.0,1.0,2.0,3.0,3.0,3.0,0.0,3.0,3.0,2.0,5.0,1681048547.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1681048570,,,,,,,,,,,,,,,,,,,,,,,2.5,2.8,3.4
qgbsNOb,2,True,True,True,1.0,False,10408413,1681049700,cadiz-real-betis,False,LaLiga,laliga,Spain,spain,Football,football,1,32,spain,ES,LaLiga,laliga,,,Spain,spain,Football,football,1,32,spain,ES,0,8,True,False,False,False,545,36,28.0,100,Ended,finished,Real Betis,real-betis,Betis,Football,football,1,0,RBB,False,0,2816,ES,Spain,[],#52b030,#52b030,#ffffff,Cádiz,cadiz,Cádiz,Football,football,1,0,CAD,False,0,4488,ES,Spain,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,5.0,4.0,1681056694.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681056697,2.0,,,,,,,,,,,,,,,,,,,,,,1.67,3.6,5.5
Dgbsihb,1,True,True,True,1.0,False,10408420,1681057800,almeria-valencia,False,LaLiga,laliga,Spain,spain,Football,football,1,32,spain,ES,LaLiga,laliga,,,Spain,spain,Football,football,1,32,spain,ES,0,8,True,False,False,False,545,36,28.0,100,Ended,finished,Almería,almeria,Almería,Football,football,1,0,ALM,False,0,2858,ES,Spain,[],#52b030,#52b030,#ffffff,Valencia,valencia,Valencia,Football,football,1,0,VCF,False,0,2828,ES,Spain,[],#52b030,#52b030,#ffffff,2.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,5.0,1681061680.0,"['status.code', 'status.description', 'status.type']",1681064718,,,,,,,,,,,,,,,,,,,,,,,3.3,3.3,2.2
tgbsLgb,2,True,True,True,1.0,False,10408415,1681066800,atletico-madrid-rayo-vallecano,False,LaLiga,laliga,Spain,spain,Football,football,1,32,spain,ES,LaLiga,laliga,,,Spain,spain,Football,football,1,32,spain,ES,0,8,True,False,False,False,545,36,28.0,100,Ended,finished,Rayo Vallecano,rayo-vallecano,Rayo Vallecano,Football,football,1,0,RVC,False,0,2818,ES,Spain,[],#52b030,#52b030,#ffffff,Atlético Madrid,atletico-madrid,Atl. Madrid,Football,football,1,0,ATM,False,0,2836,ES,Spain,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,,4.0,1681073417.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681073419,1.0,,,,,,,,,,,,,,,,,,,,,,4.5,3.6,1.8
rgbsoKj,3,True,True,True,1.0,False,10408406,1681153200,barcelona-girona,False,LaLiga,laliga,Spain,spain,Football,football,1,32,spain,ES,LaLiga,laliga,,,Spain,spain,Football,football,1,32,spain,ES,0,8,True,False,False,False,545,36,28.0,100,Ended,finished,Barcelona,barcelona,Barcelona,Football,football,1,0,FCB,False,0,2817,ES,Spain,[],#52b030,#52b030,#ffffff,Girona,girona,Girona,Football,football,1,0,GIR,False,0,24264,ES,Spain,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1681160198.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681160200,,,,,,,,,,,,,,,,,,,,,,,1.33,5.5,8.5
zabsCab,1,True,True,True,1.0,False,10388263,1681047000,borussia-mgladbach-vfl-wolfsburg,False,Bundesliga,bundesliga,Germany,germany,Football,football,1,30,germany,DE,Bundesliga,bundesliga,,,Germany,germany,Football,football,1,30,germany,DE,0,35,True,False,False,False,543,42,27.0,100,Ended,finished,Borussia M'gladbach,borussia-mgladbach,M'gladbach,Football,football,1,0,BMG,False,0,2527,DE,Germany,[],#52b030,#52b030,#ffffff,VfL Wolfsburg,vfl-wolfsburg,Wolfsburg,Football,football,1,0,WOB,False,0,2524,DE,Germany,[],#52b030,#52b030,#ffffff,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1681053844.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1681053853,,,,,,,,,,,,,,,,,,,,,,,2.45,3.6,2.75
RabsCdb,2,True,True,True,1.0,False,10388269,1681054200,vfb-stuttgart-vfl-bochum-1848,False,Bundesliga,bundesliga,Germany,germany,Football,football,1,30,germany,DE,Bundesliga,bundesliga,,,Germany,germany,Football,football,1,30,germany,DE,0,35,True,False,False,False,543,42,27.0,100,Ended,finished,VfL Bochum 1848,vfl-bochum-1848,Bochum,Football,football,1,0,BOC,False,0,2542,DE,Germany,[],#52b030,#52b030,#ffffff,VfB Stuttgart,vfb-stuttgart,Stuttgart,Football,football,1,0,VFB,False,0,2677,DE,Germany,[],#52b030,#52b030,#ffffff,2.0,2.0,0.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,4.0,1681061544.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681061548,,,,,,,,,,,,,,,,,,,,,,,3.0,3.3,2.38
Fabsubb,1,True,True,True,1.0,False,10388262,1681061400,tsg-hoffenheim-fc-schalke-04,False,Bundesliga,bundesliga,Germany,germany,Football,football,1,30,germany,DE,Bundesliga,bundesliga,,,Germany,germany,Football,football,1,30,germany,DE,0,35,True,False,False,False,543,42,27.0,100,Ended,finished,TSG Hoffenheim,tsg-hoffenheim,Hoffenheim,Football,football,1,0,TSG,False,0,2569,DE,Germany,[],#52b030,#52b030,#ffffff,FC Schalke 04,fc-schalke-04,Schalke,Football,football,1,0,SCH,False,0,2530,DE,Germany,[],#52b030,#52b030,#ffffff,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1681068337.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681068341,,,,,,,,,,,,,,,,,,,,,,,1.91,3.8,3.8
