customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,roundInfo.name,roundInfo.cupRoundType,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,time.injuryTime1,tournament.category.alpha2,tournament.uniqueTournament.category.alpha2,awayRedCards,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,homeRedCards,aggregatedWinnerCode,previousLegEventId,homeTeam.gender,homeTeam.national,awayTeam.gender,awayTeam.national,homeScore.aggregated,awayScore.aggregated,homeScore.penalties,awayScore.penalties,isAwarded,homeScore.extra1,homeScore.extra2,homeScore.overtime,awayScore.extra1,awayScore.extra2,awayScore.overtime,coverage,choice_1,choice_X,choice_2
Xdbsgkb,2,False,True,True,1.0,False,11137260,1681239600,benfica-inter,False,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,0,False,False,7,True,False,557,23,27.0,Quarterfinal,4.0,100,Ended,finished,Benfica,benfica,Benfica,Football,football,1,0,BEN,False,0,3006,PT,Portugal,[],#52b030,#52b030,#ffffff,Inter,inter,Inter,Football,football,1,0,INT,False,0,2697,IT,Italy,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,4.0,1681246255.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681246258,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,3.2,3.1
rsxdb,1,False,True,True,1.0,False,11137258,1681239600,fc-bayern-munchen-manchester-city,False,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,0,False,False,7,True,False,557,23,27.0,Quarterfinal,4.0,100,Ended,finished,Manchester City,manchester-city,Man City,Football,football,1,0,MCI,False,0,17,EN,England,[],#52b030,#52b030,#ffffff,FC Bayern München,fc-bayern-munchen,Bayern,Football,football,1,0,BMU,False,0,2672,DE,Germany,[],#52b030,#52b030,#ffffff,3.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1681246244.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681246246,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.57,4.33,5.5
rgbsoKj,3,True,True,True,1.0,False,10408406,1681153200,barcelona-girona,False,LaLiga,laliga,Spain,spain,Football,football,1,32,spain,LaLiga,laliga,Spain,spain,Football,football,1,32,spain,0,False,False,8,True,False,545,36,28.0,,,100,Ended,finished,Barcelona,barcelona,Barcelona,Football,football,1,0,FCB,False,0,2817,ES,Spain,[],#52b030,#52b030,#ffffff,Girona,girona,Girona,Football,football,1,0,GIR,False,0,24264,ES,Spain,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1681160198.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681160200,1.0,ES,ES,,,,,,,,,,,,,,,,,,,,,,,1.33,5.5,8.5
kkbsAkb,3,True,True,True,1.0,False,10438006,1681154100,chaves-gil-vicente,False,Liga Portugal,liga-portugal,Portugal,portugal,Football,football,1,44,portugal,Liga Portugal,liga-portugal,Portugal,portugal,Football,football,1,44,portugal,0,False,False,238,True,False,396,52,27.0,,,100,Ended,finished,Gil Vicente,gil-vicente,Gil Vicente,Football,football,1,0,GIL,False,0,3010,PT,Portugal,[],#52b030,#52b030,#ffffff,Chaves,chaves,Chaves,Football,football,1,0,CHA,False,0,3025,PT,Portugal,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1681161121.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681161124,4.0,PT,PT,,,,,,,,,,,,,,,,,,,,,,,2.05,3.4,3.6
xlbsAmx,1,True,True,True,1.0,False,10434094,1681131600,umraniyespor-kayserispor,False,Super Lig,super-lig,Turkey,turkey,Football,football,1,46,turkey,Süper Lig,super-lig,Turkey,turkey,Football,football,1,46,turkey,0,False,False,52,True,False,388,62,28.0,,,100,Ended,finished,Kayserispor,kayserispor,Kayserispor,Football,football,1,0,KAY,False,0,3072,TR,Turkey,[],#52b030,#52b030,#ffffff,Ümraniyespor,umraniyespor,Ümraniyespor,Football,football,1,0,UMR,,0,55625,TR,Turkey,[],#52b030,#52b030,#ffffff,3.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,9.0,1681139024.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681139026,4.0,TR,TR,1.0,,,,,,,,,,,,,,,,,,,,,,1.8,3.8,3.8
clbseZb,2,True,True,True,1.0,False,10434138,1681147800,fatih-karagumruk-fenerbahce,False,Super Lig,super-lig,Turkey,turkey,Football,football,1,46,turkey,Süper Lig,super-lig,Turkey,turkey,Football,football,1,46,turkey,0,False,False,52,True,False,388,62,28.0,,,100,Ended,finished,Fatih Karagümrük,fatih-karagumruk,Karagümrük,Football,football,1,0,KAR,False,0,4954,TR,Turkey,[],#52b030,#52b030,#ffffff,Fenerbahçe,fenerbahce,Fenerbahçe,Football,football,1,0,FEN,False,0,3052,TR,Turkey,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,6.0,1681155158.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681155160,5.0,TR,TR,,,,,,,,,,,,,,,,,,,,,,,5.25,4.5,1.45
MLostnB,1,True,True,True,1.0,False,10981465,1681232400,barracas-central-platense,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,62375,False,True,155,True,False,351,68,11.0,,,100,Ended,finished,Barracas Central,barracas-central,Barracas,Football,football,1,0,BAR,,0,65668,AR,Argentina,[],#52b030,#52b030,#ffffff,Platense,platense,Platense,Football,football,1,0,PLA,,0,36837,AR,Argentina,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1681239159.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681239160,1.0,AR,AR,,#0cbad8,#daa813,,,,,,,,,,,,,,,,,,,,3.3,3.0,2.4
eobsqob,1,True,True,True,1.0,False,10981464,1681250400,argentinos-juniors-union,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,62375,False,True,155,True,False,351,68,11.0,,,100,Ended,finished,Argentinos Juniors,argentinos-juniors,Argentinos Jrs.,Football,football,1,0,ARG,False,0,3216,AR,Argentina,[],#52b030,#52b030,#ffffff,Unión,union,Unión,Football,football,1,0,UNI,False,0,3204,AR,Argentina,[],#52b030,#52b030,#ffffff,5.0,5.0,3.0,2.0,5.0,1.0,1.0,0.0,1.0,1.0,3.0,1681257140.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681257142,2.0,AR,AR,,#0cbad8,#daa813,,,,,,,,,,,,,,,,,,,,1.53,3.8,7.5
uobsOLo,2,True,True,True,1.0,False,10981415,1681259400,defensa-y-justicia-banfield,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,62375,False,True,155,True,False,351,68,11.0,,,100,Ended,finished,Banfield,banfield,Banfield,Football,football,1,0,BAN,False,0,3219,AR,Argentina,[],#52b030,#52b030,#ffffff,Defensa y Justicia,defensa-y-justicia,Def y Justicia,Football,football,1,0,DYJ,,0,36839,AR,Argentina,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,3.0,2.0,1681266078.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681266083,1.0,AR,AR,,#0cbad8,#daa813,,,,,,,,,,,,,,,,,,,,2.2,3.2,3.4
tobsBnB,3,True,True,True,1.0,False,10981430,1681259400,central-cordoba-lanus,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,62375,False,True,155,True,False,351,68,11.0,,,100,Ended,finished,Central Córdoba,central-cordoba,Central Córdoba,Football,football,1,0,CC,False,0,65676,AR,Argentina,[],#52b030,#52b030,#ffffff,Lanús,lanus,Lanús,Football,football,1,0,LAN,False,0,3218,AR,Argentina,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1681266257.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart', 'time.currentPeriodStart']",1681266259,1.0,AR,AR,,#0cbad8,#daa813,,,,,,,,,,,,,,,,,,,,2.8,2.88,2.9
