customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,roundInfo.name,roundInfo.cupRoundType,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,time.injuryTime1,awayRedCards,tournament.category.alpha2,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.alpha2,homeRedCards,aggregatedWinnerCode,previousLegEventId,homeTeam.gender,homeTeam.national,awayTeam.gender,awayTeam.national,homeScore.aggregated,awayScore.aggregated,homeScore.extra1,homeScore.extra2,homeScore.overtime,awayScore.extra1,awayScore.extra2,awayScore.overtime,homeScore.penalties,awayScore.penalties,choice_1,choice_X,choice_2
Xdbsgkb,2,False,True,True,1.0,False,11137260,1681239600,benfica-inter,False,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,0,False,False,7,True,False,557,23,27.0,Quarterfinal,4.0,100,Ended,finished,Benfica,benfica,Benfica,Football,football,1,0,BEN,False,0,3006,PT,Portugal,[],#52b030,#52b030,#ffffff,Inter,inter,Inter,Football,football,1,0,INT,False,0,2697,IT,Italy,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,4.0,1681246255.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681246258,,,,,,,,,,,,,,,,,,,,,,,,2.38,3.2,3.1
rsxdb,1,False,True,True,1.0,False,11137258,1681239600,fc-bayern-munchen-manchester-city,False,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,0,False,False,7,True,False,557,23,27.0,Quarterfinal,4.0,100,Ended,finished,Manchester City,manchester-city,Man City,Football,football,1,0,MCI,False,0,17,EN,England,[],#52b030,#52b030,#ffffff,FC Bayern München,fc-bayern-munchen,Bayern,Football,football,1,0,BMU,False,0,2672,DE,Germany,[],#52b030,#52b030,#ffffff,3.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1681246244.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681246246,2.0,,,,,,,,,,,,,,,,,,,,,,,1.57,4.33,5.5
Rdbsoeb,1,False,True,True,1.0,False,11137257,1681326000,napoli-milan,False,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,0,False,False,7,True,False,557,23,27.0,Quarterfinal,4.0,100,Ended,finished,Milan,milan,Milan,Football,football,1,0,ACM,False,0,2692,IT,Italy,[],#52b030,#52b030,#ffffff,Napoli,napoli,Napoli,Football,football,1,0,NAP,False,0,2714,IT,Italy,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1681330045.0,"['status.code', 'status.description', 'status.type']",1681333075,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,2.63,3.1,2.9
NsEgb,1,False,True,True,1.0,False,11137259,1681326000,chelsea-real-madrid,False,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,0,False,False,7,True,False,557,23,27.0,Quarterfinal,4.0,100,Ended,finished,Real Madrid,real-madrid,Real Madrid,Football,football,1,0,RMA,False,0,2829,ES,Spain,[],#52b030,#52b030,#ffffff,Chelsea,chelsea,Chelsea,Football,football,1,0,CHE,False,0,38,EN,England,[],#52b030,#52b030,#ffffff,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,1681329862.0,"['status.code', 'status.description', 'status.type']",1681332876,,1.0,,,,,,,,,,,,,,,,,,,,,,1.65,3.75,5.25
MLostnB,1,True,True,True,1.0,False,10981465,1681232400,barracas-central-platense,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,62375,False,True,155,True,False,351,68,11.0,,,100,Ended,finished,Barracas Central,barracas-central,Barracas,Football,football,1,0,BAR,,0,65668,AR,Argentina,[],#52b030,#52b030,#ffffff,Platense,platense,Platense,Football,football,1,0,PLA,,0,36837,AR,Argentina,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1681239159.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681239160,1.0,,AR,#0cbad8,#daa813,AR,,,,,,,,,,,,,,,,,,3.3,3.0,2.4
eobsqob,1,True,True,True,1.0,False,10981464,1681250400,argentinos-juniors-union,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,62375,False,True,155,True,False,351,68,11.0,,,100,Ended,finished,Argentinos Juniors,argentinos-juniors,Argentinos Jrs.,Football,football,1,0,ARG,False,0,3216,AR,Argentina,[],#52b030,#52b030,#ffffff,Unión,union,Unión,Football,football,1,0,UNI,False,0,3204,AR,Argentina,[],#52b030,#52b030,#ffffff,5.0,5.0,3.0,2.0,5.0,1.0,1.0,0.0,1.0,1.0,3.0,1681257140.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681257142,2.0,,AR,#0cbad8,#daa813,AR,,,,,,,,,,,,,,,,,,1.53,3.8,7.5
uobsOLo,2,True,True,True,1.0,False,10981415,1681259400,defensa-y-justicia-banfield,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,62375,False,True,155,True,False,351,68,11.0,,,100,Ended,finished,Banfield,banfield,Banfield,Football,football,1,0,BAN,False,0,3219,AR,Argentina,[],#52b030,#52b030,#ffffff,Defensa y Justicia,defensa-y-justicia,Def y Justicia,Football,football,1,0,DYJ,,0,36839,AR,Argentina,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,3.0,2.0,1681266078.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681266083,1.0,,AR,#0cbad8,#daa813,AR,,,,,,,,,,,,,,,,,,2.2,3.2,3.4
tobsBnB,3,True,True,True,1.0,False,10981430,1681259400,central-cordoba-lanus,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,62375,False,True,155,True,False,351,68,11.0,,,100,Ended,finished,Central Córdoba,central-cordoba,Central Córdoba,Football,football,1,0,CC,False,0,65676,AR,Argentina,[],#52b030,#52b030,#ffffff,Lanús,lanus,Lanús,Football,football,1,0,LAN,False,0,3218,AR,Argentina,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1681266257.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart', 'time.currentPeriodStart']",1681266259,1.0,,AR,#0cbad8,#daa813,AR,,,,,,,,,,,,,,,,,,2.8,2.88,2.9
iobsMYb,1,True,True,True,1.0,False,10981414,1681259400,instituto-cordoba-velez-sarsfield,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,62375,False,True,155,True,False,351,68,11.0,,,100,Ended,finished,Instituto Córdoba,instituto-cordoba,Instituto,Football,football,1,0,IAC,,0,4937,AR,Argentina,[],#52b030,#52b030,#ffffff,Vélez Sarsfield,velez-sarsfield,Vélez Sarsfield,Football,football,1,0,VEL,False,0,3208,AR,Argentina,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1681266313.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681266317,4.0,,AR,#0cbad8,#daa813,AR,,,,,,,,,,,,,,,,,,2.88,2.9,2.75
bobscob,1,True,True,True,1.0,False,10981409,1681331400,boca-juniors-san-lorenzo,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,62375,False,True,155,True,False,351,68,11.0,,,100,Ended,finished,San Lorenzo,san-lorenzo,San Lorenzo,Football,football,1,0,SLO,False,0,3201,AR,Argentina,[],#52b030,#52b030,#ffffff,Boca Juniors,boca-juniors,Boca Juniors,Football,football,1,0,BOC,False,0,3202,AR,Argentina,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1681338780.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681338781,6.0,1.0,AR,#0cbad8,#daa813,AR,,,,,,,,,,,,,,,,,,2.63,2.8,3.1
