customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,roundInfo.name,roundInfo.cupRoundType,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,homeScore.extra1,homeScore.extra2,homeScore.overtime,homeScore.penalties,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,awayScore.extra1,awayScore.extra2,awayScore.overtime,awayScore.penalties,time.injuryTime1,time.injuryTime2,time.injuryTime3,time.injuryTime4,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,awayRedCards,tournament.category.alpha2,tournament.uniqueTournament.category.alpha2,aggregatedWinnerCode,homeRedCards,coverage,choice_1,choice_X,choice_2
HvcsyCc,2,False,True,True,1.0,False,11389559,1688227200,georgia-u21-israel-u21,False,"U21 European Championship, Knockout stage",u21-european-championship-knockout-stage,Europe,europe,Football,football,1,1465,europe,U21 European Championship,u21-european-championship,Europe,europe,Football,football,1,1465,europe,0,False,False,454,True,False,451,4837,27.0,Quarterfinal,4.0,120,AP,finished,Georgia U21,georgia-u21,Georgia,Football,football,1,0,GEO,False,0,6373,GE,Georgia,[],#52b030,#52b030,#ffffff,Israel U21,israel-u21,Israel,Football,football,1,0,ISR,False,0,6032,IL,Israel,[],#52b030,#52b030,#ffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,1.0,1.0,1688235879.0,"['status.code', 'status.description', 'status.type', 'homeScore.display', 'homeScore.penalties', 'awayScore.display', 'awayScore.penalties']",1688237525,,,,,,,2.3,3.2,3.25
BXbsQXb,1,False,True,True,1.0,False,11389561,1688238000,spain-u21-switzerland-u21,False,"U21 European Championship, Knockout stage",u21-european-championship-knockout-stage,Europe,europe,Football,football,1,1465,europe,U21 European Championship,u21-european-championship,Europe,europe,Football,football,1,1465,europe,0,False,False,454,True,False,451,4837,27.0,Quarterfinal,4.0,110,AET,finished,Spain U21,spain-u21,Spain,Football,football,1,0,ESP,False,0,4891,ES,Spain,[],#52b030,#52b030,#ffffff,Switzerland U21,switzerland-u21,Switzerland,Football,football,1,0,SUI,False,0,4876,CH,Switzerland,[],#52b030,#52b030,#ffffff,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,4.0,1.0,2.0,1688246027.0,"['status.code', 'status.description', 'status.type']",1688247074,,,,,,,1.4,4.75,8.5
lOsGO,1,True,True,True,1.0,False,11067440,1688238000,sao-paulo-fluminense,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,0,False,False,325,True,False,390,83,13.0,,,100,Ended,finished,São Paulo,sao-paulo,São Paulo,Football,football,1,0,SPA,False,0,1981,BR,Brazil,[],#52b030,#52b030,#ffffff,Fluminense,fluminense,Fluminense,Football,football,1,0,FLU,False,0,1961,BR,Brazil,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,4.0,8.0,,,1688245273.0,['cardsCode'],1688245394,1.0,BR,BR,,,,2.15,3.4,3.3
fOsBtc,2,True,True,True,1.0,False,11067488,1688247000,gremio-bahia,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,0,False,False,325,True,False,390,83,13.0,,,100,Ended,finished,Bahia,bahia,Bahia,Football,football,1,0,BAH,False,0,1955,BR,Brazil,[],#52b030,#52b030,#ffffff,Grêmio,gremio,Grêmio,Football,football,1,0,GPA,False,0,5926,BR,Brazil,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,,,,,2.0,2.0,1.0,1.0,2.0,,,,,4.0,7.0,,,1688254170.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1688254205,,BR,BR,,,,2.75,3.4,2.5
vPsGuc,1,True,True,True,1.0,False,11067424,1688247000,flamengo-fortaleza,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,0,False,False,325,True,False,390,83,13.0,,,100,Ended,finished,Flamengo,flamengo,Flamengo,Football,football,1,0,FLA,False,0,5981,BR,Brazil,[],#52b030,#52b030,#ffffff,Fortaleza,fortaleza,Fortaleza,Football,football,1,0,FOR,False,0,2020,BR,Brazil,[],#52b030,#52b030,#ffffff,2.0,2.0,1.0,1.0,2.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,5.0,4.0,,,1688253927.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688253929,,BR,BR,,,,1.57,4.2,5.5
eOsqO,3,True,True,True,1.0,False,11067472,1688256000,internacional-cruzeiro,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,0,False,False,325,True,False,390,83,13.0,,,100,Ended,finished,Internacional,internacional,Internacional,Football,football,1,0,INT,False,0,1966,BR,Brazil,[],#52b030,#52b030,#ffffff,Cruzeiro,cruzeiro,Cruzeiro,Football,football,1,0,CRU,False,0,1954,BR,Brazil,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,8.0,9.0,,,1688263503.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688263505,1.0,BR,BR,,,,2.1,3.2,3.6
bNsTcc,2,False,False,,4.0,False,11384724,1688151600,fk-buducnost-podgorica-breidablik-kopavogur,False,"UEFA Champions League, Preliminary Round",uefa-champions-league-preliminary-round,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,0,False,False,7,True,False,365,66813,29.0,Final,1.0,100,Ended,finished,FK Budućnost Podgorica,fk-buducnost-podgorica,Budućnost,Football,football,1,0,BUD,False,0,5143,ME,Montenegro,[],#52b030,#52b030,#ffffff,Breidablik Kópavogur,breidablik-kopavogur,Breiðablik,Football,football,1,0,KOP,False,0,1901,IS,Iceland,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,,,,,5.0,5.0,4.0,1.0,5.0,,,,,,,,,1688158200.0,['cardsCode'],1688158268,,,,2.0,1.0,,1.57,4.75,4.0
tobsMLo,2,True,True,True,1.0,False,10981607,1688162400,platense-lanus,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,0,False,False,155,True,False,351,68,22.0,,,100,Ended,finished,Platense,platense,Platense,Football,football,1,0,PLA,,0,36837,AR,Argentina,[],#52b030,#52b030,#ffffff,Lanús,lanus,Lanús,Football,football,1,0,LAN,False,0,3218,AR,Argentina,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0,0.0,1.0,1.0,,,,,2.0,5.0,,,1688169168.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688169170,,AR,AR,,,,3.0,2.7,2.9
eobsILo,1,True,True,True,1.0,False,10981612,1688171400,atletico-tucuman-union,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,0,False,False,155,True,False,351,68,22.0,,,100,Ended,finished,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,Football,football,1,0,CAT,False,0,36833,AR,Argentina,[],#52b030,#52b030,#ffffff,Unión,union,Unión,Football,football,1,0,UNI,False,0,3204,AR,Argentina,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,1.0,4.0,,,1688178251.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688178254,,AR,AR,,,,2.25,3.1,3.5
iobswob,1,True,True,True,1.0,False,10981603,1688171400,arsenal-de-sarandi-velez-sarsfield,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,0,False,False,155,True,False,351,68,22.0,,,100,Ended,finished,Vélez Sarsfield,velez-sarsfield,Vélez Sarsfield,Football,football,1,0,VEL,False,0,3208,AR,Argentina,[],#52b030,#52b030,#ffffff,Arsenal de Sarandí,arsenal-de-sarandi,Arsenal,Football,football,1,0,ARS,False,0,3221,AR,Argentina,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,1.0,5.0,,,1688178181.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688178185,,AR,AR,,,,1.8,3.25,5.25
