customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,roundInfo.name,roundInfo.cupRoundType,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,homeScore.extra1,homeScore.extra2,homeScore.overtime,homeScore.penalties,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,awayScore.extra1,awayScore.extra2,awayScore.overtime,awayScore.penalties,time.injuryTime1,time.injuryTime2,time.injuryTime3,time.injuryTime4,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,awayRedCards,tournament.category.alpha2,tournament.uniqueTournament.category.alpha2,homeRedCards,aggregatedWinnerCode,coverage,choice_1,choice_X,choice_2
HvcsyCc,2,False,True,True,1.0,False,11389559,1688227200,georgia-u21-israel-u21,False,"U21 European Championship, Knockout stage",u21-european-championship-knockout-stage,Europe,europe,Football,football,1,1465,europe,U21 European Championship,u21-european-championship,Europe,europe,Football,football,1,1465,europe,0,False,False,454,True,False,451,4837,27.0,Quarterfinal,4.0,120,AP,finished,Georgia U21,georgia-u21,Georgia,Football,football,1,0,GEO,False,0,6373,GE,Georgia,[],#52b030,#52b030,#ffffff,Israel U21,israel-u21,Israel,Football,football,1,0,ISR,False,0,6032,IL,Israel,[],#52b030,#52b030,#ffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,1.0,1.0,1688235879.0,"['status.code', 'status.description', 'status.type', 'homeScore.display', 'homeScore.penalties', 'awayScore.display', 'awayScore.penalties']",1688237525,,,,,,,2.3,3.2,3.25
BXbsQXb,1,False,True,True,1.0,False,11389561,1688238000,spain-u21-switzerland-u21,False,"U21 European Championship, Knockout stage",u21-european-championship-knockout-stage,Europe,europe,Football,football,1,1465,europe,U21 European Championship,u21-european-championship,Europe,europe,Football,football,1,1465,europe,0,False,False,454,True,False,451,4837,27.0,Quarterfinal,4.0,110,AET,finished,Spain U21,spain-u21,Spain,Football,football,1,0,ESP,False,0,4891,ES,Spain,[],#52b030,#52b030,#ffffff,Switzerland U21,switzerland-u21,Switzerland,Football,football,1,0,SUI,False,0,4876,CH,Switzerland,[],#52b030,#52b030,#ffffff,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,4.0,1.0,2.0,1688246027.0,"['status.code', 'status.description', 'status.type']",1688247074,,,,,,,1.4,4.75,8.5
AvcsVvc,1,False,True,True,1.0,False,11384762,1688313600,portugal-u21-england-u21,False,"U21 European Championship, Knockout stage",u21-european-championship-knockout-stage,Europe,europe,Football,football,1,1465,europe,U21 European Championship,u21-european-championship,Europe,europe,Football,football,1,1465,europe,0,False,False,454,True,False,451,4837,27.0,Quarterfinal,4.0,100,Ended,finished,England U21,england-u21,England,Football,football,1,0,ENG,False,0,6025,EN,England,[],#52b030,#52b030,#ffffff,Portugal U21,portugal-u21,Portugal,Football,football,1,0,POR,False,0,6045,PT,Portugal,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,6.0,,,1688317300.0,"['status.code', 'status.description', 'status.type']",1688320409,,,,,,,1.95,3.4,4.0
MXbsLtc,2,True,True,True,1.0,False,11389562,1688324400,france-u21-ukraine-u21,False,"U21 European Championship, Knockout stage",u21-european-championship-knockout-stage,Europe,europe,Football,football,1,1465,europe,U21 European Championship,u21-european-championship,Europe,europe,Football,football,1,1465,europe,0,False,False,454,True,False,451,4837,27.0,Quarterfinal,4.0,100,Ended,finished,France U21,france-u21,France,Football,football,1,0,FRA,False,0,5936,FR,France,[],#52b030,#52b030,#ffffff,Ukraine U21,ukraine-u21,Ukraine,Football,football,1,0,UKR,False,0,4887,UA,Ukraine,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,,,,,3.0,3.0,2.0,1.0,3.0,,,,,2.0,4.0,,,1688328191.0,"['status.code', 'status.description', 'status.type']",1688331145,,,,,,,1.65,3.8,5.25
lOsGO,1,True,True,True,1.0,False,11067440,1688238000,sao-paulo-fluminense,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,0,False,False,325,True,False,390,83,13.0,,,100,Ended,finished,São Paulo,sao-paulo,São Paulo,Football,football,1,0,SPA,False,0,1981,BR,Brazil,[],#52b030,#52b030,#ffffff,Fluminense,fluminense,Fluminense,Football,football,1,0,FLU,False,0,1961,BR,Brazil,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,4.0,8.0,,,1688245273.0,['cardsCode'],1688245394,1.0,BR,BR,,,,2.15,3.4,3.3
fOsBtc,2,True,True,True,1.0,False,11067488,1688247000,gremio-bahia,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,0,False,False,325,True,False,390,83,13.0,,,100,Ended,finished,Bahia,bahia,Bahia,Football,football,1,0,BAH,False,0,1955,BR,Brazil,[],#52b030,#52b030,#ffffff,Grêmio,gremio,Grêmio,Football,football,1,0,GPA,False,0,5926,BR,Brazil,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,,,,,2.0,2.0,1.0,1.0,2.0,,,,,4.0,7.0,,,1688254170.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1688254205,,BR,BR,,,,2.75,3.4,2.5
vPsGuc,1,True,True,True,1.0,False,11067424,1688247000,flamengo-fortaleza,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,0,False,False,325,True,False,390,83,13.0,,,100,Ended,finished,Flamengo,flamengo,Flamengo,Football,football,1,0,FLA,False,0,5981,BR,Brazil,[],#52b030,#52b030,#ffffff,Fortaleza,fortaleza,Fortaleza,Football,football,1,0,FOR,False,0,2020,BR,Brazil,[],#52b030,#52b030,#ffffff,2.0,2.0,1.0,1.0,2.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,5.0,4.0,,,1688253927.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688253929,,BR,BR,,,,1.57,4.2,5.5
eOsqO,3,True,True,True,1.0,False,11067472,1688256000,internacional-cruzeiro,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,0,False,False,325,True,False,390,83,13.0,,,100,Ended,finished,Internacional,internacional,Internacional,Football,football,1,0,INT,False,0,1966,BR,Brazil,[],#52b030,#52b030,#ffffff,Cruzeiro,cruzeiro,Cruzeiro,Football,football,1,0,CRU,False,0,1954,BR,Brazil,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,8.0,9.0,,,1688263503.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688263505,1.0,BR,BR,,,,2.1,3.2,3.6
hOsZO,2,True,True,True,1.0,False,11067448,1688306400,red-bull-bragantino-corinthians,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,0,False,False,325,True,False,390,83,13.0,,,100,Ended,finished,Corinthians,corinthians,Corinthians,Football,football,1,0,COR,False,0,1957,BR,Brazil,[],#52b030,#52b030,#ffffff,Red Bull Bragantino,red-bull-bragantino,RB Bragantino,Football,football,1,0,BRA,False,0,1999,BR,Brazil,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,,,,,1.0,1.0,1.0,0.0,1.0,,,,,3.0,7.0,,,1688313474.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688313476,,BR,BR,,,,2.88,2.9,2.75
nOsrO,3,True,True,True,1.0,False,11067480,1688324400,athletico-palmeiras,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,0,False,False,325,True,False,390,83,13.0,,,100,Ended,finished,Athletico,athletico,Athletico,Football,football,1,0,CAP,False,0,1967,BR,Brazil,[],#52b030,#52b030,#ffffff,Palmeiras,palmeiras,Palmeiras,Football,football,1,0,PAL,False,0,1963,BR,Brazil,[],#52b030,#52b030,#ffffff,2.0,2.0,0.0,2.0,2.0,,,,,2.0,2.0,1.0,1.0,2.0,,,,,7.0,8.0,,,1688331668.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688331672,1.0,BR,BR,,,,2.25,3.25,3.3
