customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,awayRedCards,homeRedCards,aggregatedWinnerCode,roundInfo.name,roundInfo.cupRoundType,homeScore.extra1,homeScore.extra2,homeScore.overtime,homeScore.penalties,awayScore.extra1,awayScore.extra2,awayScore.overtime,awayScore.penalties,coverage,choice_1,choice_X,choice_2
kOsHO,2,True,True,True,1.0,False,11067455,1688425200,coritiba-goias,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,0,325,True,False,False,False,390,83,13.0,100,Ended,finished,Goiás,goias,Goiás,Football,football,1,0,GGO,False,0,1960,BR,Brazil,[],#52b030,#52b030,#ffffff,Coritiba,coritiba,Coritiba,Football,football,1,0,COR,False,0,1982,BR,Brazil,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,5.0,7.0,1688432324.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688432327,,,,,,,,,,,,,,,2.1,3.25,3.75
fobsmob,3,True,True,True,1.0,False,10981621,1688425200,newells-old-boys-gimnasia-y-esgrima,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,0,155,True,False,False,False,351,68,22.0,100,Ended,finished,Newell's Old Boys,newells-old-boys,Newell's,Football,football,1,0,NOB,False,0,3212,AR,Argentina,[],#52b030,#52b030,#ffffff,Gimnasia y Esgrima,gimnasia-y-esgrima,Gimnasia,Football,football,1,0,GLP,False,0,3205,AR,Argentina,[],#52b030,#52b030,#ffffff,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,4.0,7.0,1688432537.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688432540,,,,,,,,,,,,,,,1.91,3.1,4.75
iobstob,2,True,True,True,1.0,False,10981632,1688511600,lanus-velez-sarsfield,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,0,155,True,False,False,False,351,68,23.0,100,Ended,finished,Lanús,lanus,Lanús,Football,football,1,0,LAN,False,0,3218,AR,Argentina,[],#52b030,#52b030,#ffffff,Vélez Sarsfield,velez-sarsfield,Vélez Sarsfield,Football,football,1,0,VEL,False,0,3208,AR,Argentina,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,5.0,1688518410.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688518412,,,,,,,,,,,,,,,1.83,3.25,5.0
NNsJFo,2,True,True,True,1.0,False,11341762,1688436000,club-leon-cd-guadalajara,False,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,MX,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,MX,0,11621,True,False,False,False,349,28,1.0,100,Ended,finished,Club León,club-leon,León,Football,football,1,0,LEO,False,0,36534,MX,Mexico,[],#52b030,#52b030,#ffffff,CD Guadalajara,cd-guadalajara,Guadalajara,Football,football,1,0,GDC,False,0,1938,MX,Mexico,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,5.0,1688443183.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688443187,,,,,,,,,,,,,,,2.0,3.3,4.0
eabsccKc,3,True,True,True,1.0,False,10952208,1688513400,inter-miami-cf-columbus-crew,False,Major League Soccer,major-league-soccer,USA,usa,Football,football,1,26,usa,US,MLS,mls,USA,usa,Football,football,1,26,usa,US,0,242,True,False,False,False,326,18,,100,Ended,finished,Inter Miami CF,inter-miami-cf,Inter Miami,Football,football,1,0,MIA,False,0,337602,US,USA,[],#52b030,#52b030,#ffffff,Columbus Crew,columbus-crew,Columbus,Football,football,1,0,CLB,False,0,2504,US,USA,[],#52b030,#52b030,#ffffff,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,5.0,1688520674.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688520677,,,,,,,,,,,,,,,3.1,3.6,2.2
FQcsMUv,1,True,True,True,1.0,False,10952210,1688513400,toronto-fc-orlando-city-sc,False,Major League Soccer,major-league-soccer,USA,usa,Football,football,1,26,usa,US,MLS,mls,USA,usa,Football,football,1,26,usa,US,0,242,True,False,False,False,326,18,,100,Ended,finished,Orlando City SC,orlando-city-sc,Orlando,Football,football,1,0,ORL,,0,52237,US,USA,[],#52b030,#52b030,#ffffff,Toronto FC,toronto-fc,Toronto,Football,football,1,0,TOR,False,0,7080,CA,Canada,[],#52b030,#52b030,#ffffff,4.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1688520792.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688520794,1.0,,,,,,,,,,,,,,1.44,4.75,7.0
cabsmab,2,True,True,True,1.0,False,10952211,1688517000,fc-dallas-dc-united,False,Major League Soccer,major-league-soccer,USA,usa,Football,football,1,26,usa,US,MLS,mls,USA,usa,Football,football,1,26,usa,US,0,242,True,False,False,False,326,18,,100,Ended,finished,FC Dallas,fc-dallas,Dallas,Football,football,1,0,DAL,False,0,2512,US,USA,[],#52b030,#52b030,#ffffff,DC United,dc-united,DC United,Football,football,1,0,DC,False,0,2502,US,USA,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,9.0,1688524664.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688524667,,,,,,,,,,,,,,,2.25,3.3,3.2
nabsaTjc,1,True,True,True,1.0,False,11084927,1688524200,los-angeles-fc-la-galaxy,False,Major League Soccer,major-league-soccer,USA,usa,Football,football,1,26,usa,US,MLS,mls,USA,usa,Football,football,1,26,usa,US,0,242,True,False,False,False,326,18,,100,Ended,finished,LA Galaxy,la-galaxy,LA Galaxy,Football,football,1,0,LAG,False,0,2513,US,USA,[],#52b030,#52b030,#ffffff,Los Angeles FC,los-angeles-fc,Los Angeles,Football,football,1,0,LAN,False,0,274650,US,USA,[],#52b030,#52b030,#ffffff,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,1688532280.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688532284,,,,,,,,,,,,,,,3.3,4.33,1.91
APsHOi,2,True,True,True,1.0,False,11076431,1688418000,mirassol-ituano,False,Brasileiro Série B,brasileiro-serie-b,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série B,brasileiro-serie-b,Brazil,brazil,Football,football,1,13,brazil,BR,0,390,True,False,False,False,279,1449,15.0,100,Ended,finished,Mirassol,mirassol,Mirassol,Football,football,1,0,MIR,False,0,21982,BR,Brazil,[],#52b030,#52b030,#ffffff,Ituano,ituano,Ituano,Football,football,1,0,ITU,False,0,2025,BR,Brazil,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,8.0,1688425081.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1688425164,,,,,,,,,,,,,,,1.62,3.75,5.75
xOsEO,1,True,True,True,1.0,False,11076429,1688426100,botafogo-sp-guarani,False,Brasileiro Série B,brasileiro-serie-b,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série B,brasileiro-serie-b,Brazil,brazil,Football,football,1,13,brazil,BR,0,390,True,False,False,False,279,1449,15.0,100,Ended,finished,Botafogo-SP,botafogo-sp,Botafogo-SP,Football,football,1,0,BOT,False,0,1979,BR,Brazil,[],#52b030,#52b030,#ffffff,Guarani,guarani,Guarani,Football,football,1,0,GUA,False,0,1972,BR,Brazil,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1688432992.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688432996,,,,,,,,,,,,,,,2.45,3.0,3.2
onbsiPK,3,False,True,True,1.0,False,11389835,1688400000,deportes-magallanes-huachipato,False,Primera Division,primera-division,Chile,chile,Football,football,1,49,chile,CL,Primera Division,primera-division,Chile,chile,Football,football,1,49,chile,CL,0,11653,True,False,False,False,237,64475,12.0,100,Ended,finished,Huachipato,huachipato,Huachipato,Football,football,1,0,HUA,,0,3164,CL,Chile,[],#52b030,#52b030,#ffffff,Deportes Magallanes,deportes-magallanes,Magallanes,Football,football,1,0,MAG,False,0,89508,CL,Chile,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,7.0,1688407217.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1688407221,,,,,,,,,,,,,,,1.75,3.6,4.75
mysny,2,True,True,True,1.0,False,10932771,1688403600,stromsgodset-stabaek-fotball,False,Eliteserien,eliteserien,Norway,norway,Football,football,1,5,norway,NO,Eliteserien,eliteserien,Norway,norway,Football,football,1,5,norway,NO,0,20,True,False,False,False,163,5,12.0,100,Ended,finished,Stabæk Fotball,stabaek-fotball,Stabæk,Football,football,1,0,STA,False,0,1162,NO,Norway,[],#52b030,#52b030,#ffffff,Strømsgodset,stromsgodset,Strømsgodset,Football,football,1,0,SIF,,0,1163,NO,Norway,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,6.0,1688410681.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688410685,1.0,,,,,,,,,,,,,,2.25,3.4,3.25
bWsGfc,2,True,True,True,1.0,False,11352070,1688425200,universidad-cesar-vallejo-cienciano,False,"Liga 1, Clausura",liga-1-clausura,Peru,peru,Football,football,1,20,peru,PE,Liga 1,liga-1,Peru,peru,Football,football,1,20,peru,PE,0,406,True,False,False,False,159,34468,2.0,100,Ended,finished,Universidad César Vallejo,universidad-cesar-vallejo,César Vallejo,Football,football,1,0,UCV,False,0,5281,PE,Peru,[],#52b030,#52b030,#ffffff,Cienciano,cienciano,Cienciano,Football,football,1,0,CIE,,0,2301,PE,Peru,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,3.0,4.0,7.0,1688432345.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688432348,,,,,,,,,,,,,,,1.83,3.6,4.33
