customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,awayRedCards,awayTeam.disabled,homeRedCards,roundInfo.name,roundInfo.cupRoundType,homeScore.overtime,awayScore.overtime,time.injuryTime4,aggregatedWinnerCode,coverage,choice_1,choice_X,choice_2
wobsOLo,2,True,True,True,1.0,False,10981628,1688662800,defensa-y-justicia-arsenal-de-sarandi,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,0,155,True,False,False,False,351,68,23.0,100,Ended,finished,Arsenal de Sarandí,arsenal-de-sarandi,Arsenal,Football,football,1,0,ARS,False,0,3221,AR,Argentina,[],#52b030,#52b030,#ffffff,Defensa y Justicia,defensa-y-justicia,Def y Justicia,Football,football,1,0,DYJ,0,36839,AR,Argentina,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,6.0,1688669587.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart', 'time.currentPeriodStart']",1688669591,,,,,,,,,,,3.3,3.25,2.25
cobseob,3,True,True,True,1.0,False,10981631,1688673600,union-boca-juniors,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,0,155,True,False,False,False,351,68,23.0,100,Ended,finished,Unión,union,Unión,Football,football,1,0,UNI,False,0,3204,AR,Argentina,[],#52b030,#52b030,#ffffff,Boca Juniors,boca-juniors,Boca Juniors,Football,football,1,0,BOC,0,3202,AR,Argentina,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1688680584.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1688680587,1.0,False,,,,,,,,,2.8,2.9,2.75
qobsMYb,3,True,True,True,1.0,False,10981622,1688680800,instituto-cordoba-argentinos-juniors,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,0,155,True,False,False,False,351,68,23.0,100,Ended,finished,Argentinos Juniors,argentinos-juniors,Argentinos Jrs.,Football,football,1,0,ARG,False,0,3216,AR,Argentina,[],#52b030,#52b030,#ffffff,Instituto Córdoba,instituto-cordoba,Instituto,Football,football,1,0,IAC,0,4937,AR,Argentina,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1688688195.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688688197,,,,,,,,,,,1.67,3.6,5.5
kobsNWq,2,True,True,True,1.0,False,10981619,1688680800,sarmiento-talleres,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,0,155,True,False,False,False,351,68,23.0,100,Ended,finished,Sarmiento,sarmiento,Sarmiento,Football,football,1,0,CAS,False,0,42338,AR,Argentina,[],#52b030,#52b030,#ffffff,Talleres,talleres,Talleres,Football,football,1,0,CAT,0,3210,AR,Argentina,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,6.0,1688687889.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart', 'status.code', 'status.description', 'status.type']",1688687899,,False,,,,,,,,,3.3,3.25,2.25
dobstnB,2,True,True,True,1.0,False,10981624,1688689800,barracas-central-belgrano,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,0,155,True,False,False,False,351,68,23.0,100,Ended,finished,Belgrano,belgrano,Belgrano,Football,football,1,0,BEL,,0,3203,AR,Argentina,[],#52b030,#52b030,#ffffff,Barracas Central,barracas-central,Barracas,Football,football,1,0,BAR,0,65668,AR,Argentina,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,1688696737.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688696741,,,,,,,,,,,1.91,3.1,4.5
EcdsILo,2,True,True,True,1.0,False,10981617,1688689800,huracan-atletico-tucuman,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,0,155,True,False,False,False,351,68,23.0,100,Ended,finished,Huracán,huracan,Huracán,Football,football,1,0,HUR,False,0,7629,AR,Argentina,[],#52b030,#52b030,#ffffff,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,Football,football,1,0,CAT,0,36833,AR,Argentina,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,6.0,1688696785.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart', 'time.currentPeriodStart']",1688696788,,False,,,,,,,,,2.0,3.1,4.33
fobsjob,3,True,True,True,1.0,False,10981620,1688767200,independiente-gimnasia-y-esgrima,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,0,155,True,False,False,False,351,68,23.0,100,Ended,finished,Gimnasia y Esgrima,gimnasia-y-esgrima,Gimnasia,Football,football,1,0,GLP,False,0,3205,AR,Argentina,[],#52b030,#52b030,#ffffff,Independiente,independiente,Independiente,Football,football,1,0,CAI,0,3209,AR,Argentina,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,1688774207.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1688774234,,False,1.0,,,,,,,,2.9,2.75,2.9
mobsBnB,1,True,True,True,1.0,False,10981629,1688776200,central-cordoba-newells-old-boys,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,0,155,True,False,False,False,351,68,23.0,100,Ended,finished,Central Córdoba,central-cordoba,Central Córdoba,Football,football,1,0,CC,False,0,65676,AR,Argentina,[],#52b030,#52b030,#ffffff,Newell's Old Boys,newells-old-boys,Newell's,Football,football,1,0,NOB,0,3212,AR,Argentina,[],#52b030,#52b030,#ffffff,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1688782962.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688782964,,False,,,,,,,,,2.38,2.7,3.75
QNsYN,2,True,True,True,1.0,False,11341765,1688778000,santos-laguna-puebla,False,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,MX,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,MX,0,11621,True,False,False,False,349,28,2.0,100,Ended,finished,Puebla,puebla,Puebla,Football,football,1,0,PUE,,0,1941,MX,Mexico,[],#52b030,#52b030,#ffffff,Santos Laguna,santos-laguna,Santos,Football,football,1,0,SLA,0,1948,MX,Mexico,[],#52b030,#52b030,#ffffff,2.0,2.0,2.0,0.0,2.0,3.0,3.0,2.0,1.0,3.0,6.0,7.0,1688785501.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688785505,,False,,,,,,,,,2.7,3.5,2.6
UNsAFo,3,True,True,True,1.0,False,11341773,1688785200,club-tijuana-club-necaxa,False,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,MX,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,MX,0,11621,True,False,False,False,349,28,2.0,100,Ended,finished,Club Necaxa,club-necaxa,Necaxa,Football,football,1,0,NCX,False,0,1944,MX,Mexico,[],#52b030,#52b030,#ffffff,Club Tijuana,club-tijuana,Tijuana,Football,football,1,0,TIJ,0,36525,MX,Mexico,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,1688792340.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688792342,,,,,,,,,,,2.05,3.6,3.5
