customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,roundInfo.name,roundInfo.cupRoundType,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,tournament.category.alpha2,tournament.uniqueTournament.category.alpha2,awayRedCards,homeRedCards,homeScore.overtime,homeScore.penalties,awayScore.overtime,awayScore.penalties,coverage,choice_1,choice_X,choice_2
QXbsAvc,1,False,True,True,1.0,False,11407723,1688832000,england-u21-spain-u21,False,"U21 European Championship, Knockout stage",u21-european-championship-knockout-stage,Europe,europe,Football,football,1,1465,europe,U21 European Championship,u21-european-championship,Europe,europe,Football,football,1,1465,europe,0,False,False,454,True,False,451,4837,29.0,Final,1.0,100,Ended,finished,England U21,england-u21,England,Football,football,1,0,ENG,False,0,6025,EN,England,[],#52b030,#52b030,#ffffff,Spain U21,spain-u21,Spain,Football,football,1,0,ESP,False,0,4891,ES,Spain,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,1688836060.0,"['status.code', 'status.description', 'status.type']",1688839473,,,,,,,,,,2.63,3.1,2.8
fOscJu,3,True,True,True,1.0,False,11067551,1688842800,cuiaba-bahia,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,0,False,False,325,True,False,390,83,14.0,,,100,Ended,finished,Cuiabá,cuiaba,Cuiabá,Football,football,1,0,CUI,False,0,49202,BR,Brazil,[],#52b030,#52b030,#ffffff,Bahia,bahia,Bahia,Football,football,1,0,BAH,False,0,1955,BR,Brazil,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,7.0,6.0,1688849959.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688849963,BR,BR,,,,,,,,1.8,3.6,4.75
eOszO,2,True,True,True,1.0,False,11067512,1688842800,vasco-cruzeiro,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,0,False,False,325,True,False,390,83,14.0,,,100,Ended,finished,Vasco,vasco,Vasco,Football,football,1,0,VDG,False,0,1974,BR,Brazil,[],#52b030,#52b030,#ffffff,Cruzeiro,cruzeiro,Cruzeiro,Football,football,1,0,CRU,False,0,1954,BR,Brazil,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,7.0,1688850079.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688850083,BR,BR,,,,,,,,2.9,3.2,2.5
hOsCO,2,True,True,True,1.0,False,11067533,1688851800,atletico-mineiro-corinthians,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,0,False,False,325,True,False,390,83,14.0,,,100,Ended,finished,Atlético Mineiro,atletico-mineiro,Atlético-MG,Football,football,1,0,ATL,False,0,1977,BR,Brazil,[],#52b030,#52b030,#ffffff,Corinthians,corinthians,Corinthians,Football,football,1,0,COR,False,0,1957,BR,Brazil,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,6.0,1688858805.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688858807,BR,BR,,,,,,,,1.83,3.3,5.0
yOsHO,1,True,True,True,1.0,False,11067542,1688851800,coritiba-america-mineiro,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,0,False,False,325,True,False,390,83,14.0,,,100,Ended,finished,Coritiba,coritiba,Coritiba,Football,football,1,0,COR,False,0,1982,BR,Brazil,[],#52b030,#52b030,#ffffff,América Mineiro,america-mineiro,América-MG,Football,football,1,0,AMG,False,0,1973,BR,Brazil,[],#52b030,#52b030,#ffffff,3.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,7.0,6.0,1688859003.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1688859200,BR,BR,,,,,,,,2.15,3.4,3.3
nOsGuc,3,True,True,True,1.0,False,11067519,1688860800,flamengo-palmeiras,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,0,False,False,325,True,False,390,83,14.0,,,100,Ended,finished,Palmeiras,palmeiras,Palmeiras,Football,football,1,0,PAL,False,0,1963,BR,Brazil,[],#52b030,#52b030,#ffffff,Flamengo,flamengo,Flamengo,Football,football,1,0,FLA,False,0,5981,BR,Brazil,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,8.0,8.0,1688868075.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1688868274,BR,BR,,,,,,,,1.91,3.75,3.8
kOstO,1,True,True,True,1.0,False,11067525,1688911200,santos-goias,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,0,False,False,325,True,False,390,83,14.0,,,100,Ended,finished,Santos,santos,Santos,Football,football,1,0,SAN,False,0,1968,BR,Brazil,[],#52b030,#52b030,#ffffff,Goiás,goias,Goiás,Football,football,1,0,GGO,False,0,1960,BR,Brazil,[],#52b030,#52b030,#ffffff,4.0,4.0,3.0,1.0,4.0,3.0,3.0,1.0,2.0,3.0,8.0,12.0,1688918946.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688918948,BR,BR,1.0,,,,,,,1.91,3.4,4.33
lOsqO,1,True,True,True,1.0,False,11067505,1688929200,internacional-fluminense,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,0,False,False,325,True,False,390,83,14.0,,,100,Ended,finished,Fluminense,fluminense,Fluminense,Football,football,1,0,FLU,False,0,1961,BR,Brazil,[],#52b030,#52b030,#ffffff,Internacional,internacional,Internacional,Football,football,1,0,INT,False,0,1966,BR,Brazil,[],#52b030,#52b030,#ffffff,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,1688936249.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688936252,BR,BR,,,,,,,,1.91,3.3,4.5
GOsZO,3,True,True,True,1.0,False,11067529,1688929200,red-bull-bragantino-sao-paulo,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,0,False,False,325,True,False,390,83,14.0,,,100,Ended,finished,Red Bull Bragantino,red-bull-bragantino,RB Bragantino,Football,football,1,0,BRA,False,0,1999,BR,Brazil,[],#52b030,#52b030,#ffffff,São Paulo,sao-paulo,São Paulo,Football,football,1,0,SPA,False,0,1981,BR,Brazil,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1688936092.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688936096,BR,BR,,,,,,,,1.67,3.75,5.0
rOsvP,1,True,True,True,1.0,False,11067546,1688938200,fortaleza-athletico,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,0,False,False,325,True,False,390,83,14.0,,,100,Ended,finished,Fortaleza,fortaleza,Fortaleza,Football,football,1,0,FOR,False,0,2020,BR,Brazil,[],#52b030,#52b030,#ffffff,Athletico,athletico,Athletico,Football,football,1,0,CAP,False,0,1967,BR,Brazil,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,1688945409.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1688945411,BR,BR,,,,,,,,1.53,4.0,7.0
