customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,roundInfo.name,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,awayTeam.disabled,homeRedCards,roundInfo.cupRoundType,tournament.category.alpha2,tournament.uniqueTournament.category.alpha2,awayRedCards,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,homeScore.overtime,homeScore.penalties,awayScore.overtime,awayScore.penalties,time.injuryTime3,time.injuryTime4,aggregatedWinnerCode,previousLegEventId,homeTeam.gender,homeTeam.national,awayTeam.gender,awayTeam.national,homeScore.aggregated,awayScore.aggregated,coverage,choice_1,choice_X,choice_2
wdcsfyo,3,False,True,True,1.0,False,11362875,1689170400,dinamo-tbilisi-astana,False,"UEFA Champions League, Qualification",uefa-champions-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,0,False,False,7,True,False,548,1339,1.0,Qualification round 1,100,Ended,finished,Astana,astana,Astana,Football,football,1,0,FCA,False,0,36155,KZ,Kazakhstan,[],#52b030,#52b030,#ffffff,Dinamo Tbilisi,dinamo-tbilisi,Dinamo Tbilisi,Football,football,1,0,TBI,0,5171,GE,Georgia,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,5.0,1689241024.0,"['time.injuryTime1', 'time.injuryTime2', 'time.currentPeriodStart']",1689248170,,,,,,,,,,,,,,,,,,,,,,,,1.85,3.4,4.2
RUsJdc,1,False,False,,4.0,False,11362840,1689177600,larne-fc-hjk,False,"UEFA Champions League, Qualification",uefa-champions-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,0,False,False,7,True,False,548,1339,1.0,Qualification round 1,100,Ended,finished,HJK,hjk,HJK,Football,football,1,0,HJK,False,0,2242,FI,Finland,[],#52b030,#52b030,#ffffff,Larne FC,larne-fc,Larne FC,Football,football,1,0,LAM,0,5184,NX,Northern Ireland,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,,1689181368.0,"['status.code', 'status.description', 'status.type']",1689184433,False,,,,,,,,,,,,,,,,,,,,,,,1.53,3.6,7.0
kKswYb,1,False,False,,4.0,False,11362848,1689181200,the-new-saints-bk-hacken,False,"UEFA Champions League, Qualification",uefa-champions-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,0,False,False,7,True,False,548,1339,1.0,Qualification round 1,100,Ended,finished,BK Häcken,bk-hacken,Häcken,Football,football,1,0,HAC,False,0,1760,SE,Sweden,[],#52b030,#52b030,#ffffff,The New Saints,the-new-saints,TNS,Football,football,1,0,TNS,0,4921,WA,Wales,[],#52b030,#52b030,#ffffff,3.0,3.0,3.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,3.0,,1689184992.0,['time.currentPeriodStart'],1689250516,False,,,,,,,,,,,,,,,,,,,,,,,1.22,5.75,12.0
Upbsydc,1,False,True,True,1.0,False,11362861,1689183000,sheriff-fcv-farul-constanta,False,"UEFA Champions League, Qualification",uefa-champions-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,0,False,False,7,True,False,548,1339,1.0,Qualification round 1,100,Ended,finished,FCV Farul Constanța,fcv-farul-constanta,Farul Constanța,Football,football,1,0,FAR,False,0,3294,RO,Romania,[],#52b030,#52b030,#ffffff,Sheriff,sheriff,Sheriff,Football,football,1,0,SHF,0,5173,MD,Moldova,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1689240861.0,['time.currentPeriodStart'],1689250048,False,,,,,,,,,,,,,,,,,,,,,,,2.38,2.88,3.4
eYsHhc,3,False,True,True,1.0,False,11362839,1689186600,swift-hesperange-sk-slovan-bratislava,False,"UEFA Champions League, Qualification",uefa-champions-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,0,False,False,7,True,False,548,1339,1.0,Qualification round 1,100,Ended,finished,ŠK Slovan Bratislava,sk-slovan-bratislava,Slovan,Football,football,1,0,SLO,,0,2404,SK,Slovakia,[],#52b030,#52b030,#ffffff,Swift Hesperange,swift-hesperange,Hesperange,Football,football,1,0,HES,0,5382,LU,Luxembourg,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,6.0,1689268242.0,"['time.injuryTime1', 'time.injuryTime2', 'time.currentPeriodStart']",1689274097,False,1.0,,,,,,,,,,,,,,,,,,,,,,1.25,5.5,9.0
unbshec,1,False,False,,4.0,False,11363461,1689183000,f91-dudelange-st-patricks-athletic,False,"UEFA Europa Conference League, Qualification",uefa-europa-conference-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Europa Conference League,uefa-europa-conference-league,Europe,europe,Football,football,1,1465,europe,0,False,False,17015,True,False,513,93604,1.0,Qualification round 1,100,Ended,finished,F91 Dudelange,f91-dudelange,Dudelange,Football,football,1,0,F91,,0,5207,LU,Luxembourg,[],#52b030,#52b030,#ffffff,St. Patrick's Athletic,st-patricks-athletic,St. Patrick’s,Football,football,1,0,STP,0,3169,IE,Ireland,[],#52b030,#52b030,#ffffff,2.0,2.0,1.0,,,1.0,1.0,0.0,,,1.0,4.0,1689189899.0,"['status.code', 'status.description', 'status.type', 'time.currentPeriodStart']",1689189902,False,,,,,,,,,,,,,,,,,,,,,,,2.7,3.1,2.38
KdcsBZm,3,False,False,,4.0,False,11363462,1689184800,b36-torshavn-paide-linnameeskond,False,"UEFA Europa Conference League, Qualification",uefa-europa-conference-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Europa Conference League,uefa-europa-conference-league,Europe,europe,Football,football,1,1465,europe,0,False,False,17015,True,False,513,93604,1.0,Qualification round 1,100,Ended,finished,B36 Tórshavn,b36-torshavn,B36 Tórshavn,Football,football,1,0,B36,False,0,5185,FO,Faroe Islands,[],#52b030,#52b030,#ffffff,Paide Linnameeskond,paide-linnameeskond,Paide,Football,football,1,0,PAI,0,32476,EE,Estonia,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1689188702.0,['homeScore.period1'],1689192619,,,,,,,,,,,,,,,,,,,,,,,,1.8,3.3,3.8
kVsmhc,1,False,False,,4.0,False,11363442,1689256800,fc-tobol-fc-honka,False,"UEFA Europa Conference League, Qualification",uefa-europa-conference-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Europa Conference League,uefa-europa-conference-league,Europe,europe,Football,football,1,1465,europe,0,False,False,17015,True,False,513,93604,1.0,Qualification round 1,100,Ended,finished,FC Tobol,fc-tobol,Tobol,Football,football,1,0,TOB,False,0,5362,KZ,Kazakhstan,[],#52b030,#52b030,#ffffff,FC Honka,fc-honka,Honka,Football,football,1,0,HON,0,2260,FI,Finland,[],#52b030,#52b030,#ffffff,2.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,1689263494.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1689263499,,,,,,,,,,,,,,,,,,,,,,,,2.1,3.0,3.3
EUecsuRfc,3,False,False,,4.0,False,11363443,1689260400,ks-egnatia-fc-ararat-armenia,False,"UEFA Europa Conference League, Qualification",uefa-europa-conference-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Europa Conference League,uefa-europa-conference-league,Europe,europe,Football,football,1,1465,europe,0,False,False,17015,True,False,513,93604,1.0,Qualification round 1,100,Ended,finished,FC Ararat-Armenia,fc-ararat-armenia,Ararat-Armenia,Football,football,1,0,ARA,,0,262229,AM,Armenia,[],#52b030,#52b030,#ffffff,KS Egnatia,ks-egnatia,Egnatia,Football,football,1,0,EGR,0,264619,AL,Albania,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,,,1689267145.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime1', 'time.injuryTime2']",1689267348,False,,,,,,,,,,,,,,,,,,,,,,,2.05,3.1,3.5
TdcsWip,1,False,False,,4.0,False,11363472,1689260400,vikingur-gota-inter-club-descaldes,False,"UEFA Europa Conference League, Qualification",uefa-europa-conference-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Europa Conference League,uefa-europa-conference-league,Europe,europe,Football,football,1,1465,europe,0,False,False,17015,True,False,513,93604,1.0,Qualification round 1,100,Ended,finished,Inter Club d'Escaldes,inter-club-descaldes,Inter,Football,football,1,0,ESC,False,0,37946,AD,Andorra,[],#52b030,#52b030,#ffffff,Víkingur Gøta,vikingur-gota,Víkingur,Football,football,1,0,VIK,0,5193,FO,Faroe Islands,[],#52b030,#52b030,#ffffff,2.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,,4.0,1689267363.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1689267365,False,,,,,,,,,,,,,,,,,,,,,,,2.45,3.25,2.5
