customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,awayRedCards,homeRedCards,roundInfo.name,roundInfo.cupRoundType,homeScore.extra1,homeScore.extra2,homeScore.overtime,homeScore.penalties,awayScore.extra1,awayScore.extra2,awayScore.overtime,awayScore.penalties,time.injuryTime3,time.injuryTime4,coverage,choice_1,choice_X,choice_2
eOsHO,3,True,True,True,1.0,False,11067563,1689516000,coritiba-cruzeiro,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,0,325,True,False,False,False,390,83,15.0,100,Ended,finished,Cruzeiro,cruzeiro,Cruzeiro,Football,football,1,0,CRU,False,0,1954,BR,Brazil,[],#52b030,#52b030,#ffffff,Coritiba,coritiba,Coritiba,Football,football,1,0,COR,False,0,1982,BR,Brazil,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1689522692.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1689522695,,,,,,,,,,,,,,,,1.57,3.8,5.75
lOsGuc,3,True,True,True,1.0,False,11067553,1689534000,flamengo-fluminense,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,0,325,True,False,False,False,390,83,15.0,100,Ended,finished,Fluminense,fluminense,Fluminense,Football,football,1,0,FLU,False,0,1961,BR,Brazil,[],#52b030,#52b030,#ffffff,Flamengo,flamengo,Flamengo,Football,football,1,0,FLA,False,0,5981,BR,Brazil,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,1689541273.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart', 'time.currentPeriodStart', 'time.injuryTime2']",1689541277,1.0,,,,,,,,,,,,,,,2.7,3.25,2.6
vPscJu,2,True,True,True,1.0,False,11067569,1689534000,cuiaba-fortaleza,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,0,325,True,False,False,False,390,83,15.0,100,Ended,finished,Fortaleza,fortaleza,Fortaleza,Football,football,1,0,FOR,False,0,2020,BR,Brazil,[],#52b030,#52b030,#ffffff,Cuiabá,cuiaba,Cuiabá,Football,football,1,0,CUI,False,0,49202,BR,Brazil,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,9.0,9.0,1689541539.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1689541541,,,,,,,,,,,,,,,,1.7,3.75,4.75
tOsGO,1,True,True,True,1.0,False,11067557,1689534000,sao-paulo-santos,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,0,325,True,False,False,False,390,83,15.0,100,Ended,finished,São Paulo,sao-paulo,São Paulo,Football,football,1,0,SPA,False,0,1981,BR,Brazil,[],#52b030,#52b030,#ffffff,Santos,santos,Santos,Football,football,1,0,SAN,False,0,1968,BR,Brazil,[],#52b030,#52b030,#ffffff,4.0,4.0,2.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,6.0,3.0,1689541084.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1689541207,,,,,,,,,,,,,,,,1.65,3.6,6.0
fOsrO,1,True,True,True,1.0,False,11067567,1689543000,athletico-bahia,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,0,325,True,False,False,False,390,83,15.0,100,Ended,finished,Athletico,athletico,Athletico,Football,football,1,0,CAP,False,0,1967,BR,Brazil,[],#52b030,#52b030,#ffffff,Bahia,bahia,Bahia,Football,football,1,0,BAH,False,0,1955,BR,Brazil,[],#52b030,#52b030,#ffffff,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1689549996.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1689549998,,,,,,,,,,,,,,,,1.57,4.2,5.25
nOsqO,3,True,True,True,1.0,False,11067565,1689543000,internacional-palmeiras,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,0,325,True,False,False,False,390,83,15.0,100,Ended,finished,Internacional,internacional,Internacional,Football,football,1,0,INT,False,0,1966,BR,Brazil,[],#52b030,#52b030,#ffffff,Palmeiras,palmeiras,Palmeiras,Football,football,1,0,PAL,False,0,1963,BR,Brazil,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1689549862.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1689549866,,,,,,,,,,,,,,,,2.8,3.1,2.7
kOsCO,3,True,True,True,1.0,False,11067561,1689634800,atletico-mineiro-goias,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,0,325,True,False,False,False,390,83,15.0,100,Ended,finished,Goiás,goias,Goiás,Football,football,1,0,GGO,False,0,1960,BR,Brazil,[],#52b030,#52b030,#ffffff,Atlético Mineiro,atletico-mineiro,Atlético-MG,Football,football,1,0,ATL,False,0,1977,BR,Brazil,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,1689641763.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1689641764,1.0,,,,,,,,,,,,,,,4.2,3.5,1.95
bobsdob,2,True,True,True,1.0,False,10981585,1689526800,belgrano-san-lorenzo,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,0,155,True,False,False,False,351,68,25.0,100,Ended,finished,Belgrano,belgrano,Belgrano,Football,football,1,0,BEL,,0,3203,AR,Argentina,[],#52b030,#52b030,#ffffff,San Lorenzo,san-lorenzo,San Lorenzo,Football,football,1,0,SLO,False,0,3201,AR,Argentina,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,6.0,1689533806.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1689533810,1.0,,,,,,,,,,,,,,,1.91,3.1,4.75
cobsfob,2,True,True,True,1.0,False,10981582,1689535800,gimnasia-y-esgrima-boca-juniors,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,0,155,True,False,False,False,351,68,25.0,100,Ended,finished,Gimnasia y Esgrima,gimnasia-y-esgrima,Gimnasia,Football,football,1,0,GLP,False,0,3205,AR,Argentina,[],#52b030,#52b030,#ffffff,Boca Juniors,boca-juniors,Boca Juniors,Football,football,1,0,BOC,False,0,3202,AR,Argentina,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,2.0,5.0,1689542843.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1689542847,,,,,,,,,,,,,,,,3.6,3.1,2.2
tobsuob,3,True,True,True,1.0,False,10981573,1689544800,banfield-lanus,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,0,155,True,False,False,False,351,68,25.0,100,Ended,finished,Lanús,lanus,Lanús,Football,football,1,0,LAN,False,0,3218,AR,Argentina,[],#52b030,#52b030,#ffffff,Banfield,banfield,Banfield,Football,football,1,0,BAN,False,0,3219,AR,Argentina,[],#52b030,#52b030,#ffffff,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,4.0,1689551810.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1689551813,,,,,,,,,,,,,,,,2.2,3.0,3.75
