customId,winnerCode,aggregatedWinnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,previousLegEventId,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,roundInfo.name,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,homeScore.aggregated,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,awayScore.aggregated,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,homeScore.extra1,homeScore.extra2,homeScore.overtime,awayScore.extra1,awayScore.extra2,awayScore.overtime,homeScore.penalties,awayScore.penalties,time.injuryTime3,time.injuryTime4,homeRedCards,roundInfo.cupRoundType,awayRedCards,tournament.category.alpha2,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.alpha2,coverage,choice_1,choice_X,choice_2
VgcswHdc,2.0,2.0,False,True,True,1.0,False,11362850,11362846.0,1689692400,fk-zalgiris-fc-struga-trim-and-lum,False,"UEFA Champions League, Qualification",uefa-champions-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,0,7,True,False,False,False,548,1339,1.0,Qualification round 1,100,Ended,finished,FC Struga Trim & Lum,fc-struga-trim-and-lum,Struga T&L,M,Football,football,1,3592,STL,False,False,0,259121,MK,North Macedonia,[],#ff0000,#282146,#282146,FK Žalgiris,fk-zalgiris,Žalgiris,M,Football,football,1,16863,ZAL,False,False,0,5345,LT,Lithuania,[],#ffffff,#006600,#006600,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,6.0,1689699363.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1689699409,,,,,,,,,,,,,,,,,,,2.75,3.0,2.63
Wqbstfo,2.0,2.0,False,False,,4.0,False,11362852,11362843.0,1689699600,rakow-czestochowa-flora-tallinn,False,"UEFA Champions League, Qualification",uefa-champions-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,0,7,True,False,False,False,548,1339,1.0,Qualification round 1,100,Ended,finished,Flora Tallinn,flora-tallinn,Flora,M,Football,football,1,21077,FLO,False,False,0,3346,EE,Estonia,[],#008000,#ffffff,#ffffff,Raków Częstochowa,rakow-czestochowa,Raków,M,Football,football,1,28014,CZE,False,False,0,35268,PL,Poland,[],#ff0000,#5481c8,#5481c8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,4.0,,,1689706579.0,"['time.injuryTime1', 'time.injuryTime2']",1689707604,,,,,,,,,,,,,,,,,,,5.5,3.8,1.62
XdcsIwn,1.0,1.0,False,True,True,1.0,False,11362874,11362865.0,1689699600,maccabi-haifa-hamrun-spartans-fc,False,"UEFA Champions League, Qualification",uefa-champions-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,0,7,True,False,False,False,548,1339,1.0,Qualification round 1,100,Ended,finished,Maccabi Haifa,maccabi-haifa,M. Haifa,M,Football,football,1,47922,MAH,False,False,0,5197,IL,Israel,[],#009900,#ffffff,#ffffff,Ħamrun Spartans FC,hamrun-spartans-fc,Ħamrun S.,M,Football,football,1,7320,SPA,False,False,0,33583,MT,Malta,[],#ff0000,#000000,#000000,2.0,2.0,0.0,2.0,2.0,6.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,5.0,1689703603.0,"['status.code', 'status.description', 'status.type']",1689706624,,,,,,,,,,,,,,,,,,,1.14,7.5,17.0
Upbsydc,1.0,1.0,False,False,,4.0,False,11362862,11362861.0,1689699600,sheriff-fcv-farul-constanta,False,"UEFA Champions League, Qualification",uefa-champions-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,0,7,True,False,False,False,548,1339,1.0,Qualification round 1,110,AET,finished,Sheriff,sheriff,Sheriff,M,Football,football,1,37220,SHF,False,False,0,5173,MD,Moldova,[],#000000,#000000,#000000,FCV Farul Constanța,fcv-farul-constanta,Farul Constanța,M,Football,football,1,13479,FAR,False,False,0,3294,RO,Romania,[],#2858ad,#ffffff,#ffffff,3.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1689708120.0,"['status.code', 'status.description', 'status.type', 'homeScore.extra2', 'awayScore.extra2']",1689709172,2.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,1.83,3.3,4.5
arbsxec,1.0,1.0,False,False,,4.0,False,11362878,11362877.0,1689703200,fk-partizani-bate-borisov,False,"UEFA Champions League, Qualification",uefa-champions-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,0,7,True,False,False,False,548,1339,1.0,Qualification round 1,100,Ended,finished,BATE Borisov,bate-borisov,BATE Borisov,M,Football,football,1,16685,BAT,False,False,0,3350,BY,Belarus,[],#0000cc,#ffcc00,#ffcc00,FK Partizani,fk-partizani,Partizani,M,Football,football,1,8553,PTI,False,False,0,5222,AL,Albania,[],#000000,#222226,#222226,2.0,2.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1689710397.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime1', 'time.injuryTime2']",1689710411,,,,,,,,,,,,,,,,,,,2.75,2.88,2.88
DdcsAec,3.0,1.0,True,False,,4.0,False,11362864,11362863.0,1689703200,urartu-hsk-zrinjski-mostar,False,"UEFA Champions League, Qualification",uefa-champions-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,0,7,True,False,False,False,548,1339,1.0,Qualification round 1,120,AP,finished,HŠK Zrinjski Mostar,hsk-zrinjski-mostar,Zrinjski,M,Football,football,1,15267,ZRI,False,False,0,5178,BA,Bosnia & Herzegovina,[],#ffffff,#f43142,#f43142,Urartu,urartu,Urartu,M,Football,football,1,9401,URA,False,False,0,5225,AM,Armenia,[],#ffffff,#062a78,#062a78,6.0,2.0,1.0,0.0,1.0,3.0,6.0,3.0,0.0,2.0,2.0,3.0,5.0,7.0,1689713810.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.current', 'homeScore.display', 'homeScore.penalties', 'awayScore.display', 'awayScore.penalties']",1689713815,,,1.0,,,1.0,4.0,3.0,3.0,1.0,,,,,,,,,1.57,3.8,5.5
kKswYb,2.0,2.0,False,False,,4.0,False,11362856,11362848.0,1689703200,the-new-saints-bk-hacken,False,"UEFA Champions League, Qualification",uefa-champions-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,0,7,True,False,False,False,548,1339,1.0,Qualification round 1,100,Ended,finished,The New Saints,the-new-saints,TNS,M,Football,football,1,24503,TNS,False,False,0,4921,WA,Wales,[],#ffffff,#41a317,#41a317,BK Häcken,bk-hacken,Häcken,M,Football,football,1,25160,HAC,False,False,0,1760,SE,Sweden,[],#000000,#ffcc00,#ffcc00,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,5.0,,,1689710030.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1689710047,,,,,,,,,,,,,,,,,,,4.5,4.0,1.65
bNsCnb,1.0,1.0,False,False,,4.0,False,11404327,11404325.0,1689707700,shamrock-rovers-breidablik-kopavogur,False,"UEFA Champions League, Qualification",uefa-champions-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,0,7,True,False,False,False,548,1339,1.0,Qualification round 1,100,Ended,finished,Breidablik Kópavogur,breidablik-kopavogur,Breiðablik,M,Football,football,1,19732,KOP,False,False,0,1901,IS,Iceland,[],#00722c,#ffffff,#ffffff,Shamrock Rovers,shamrock-rovers,Shamrock Rovers,M,Football,football,1,23561,SHA,False,False,0,3177,IE,Ireland,[],#008100,#ffffff,#ffffff,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,,,1689714485.0,"['time.injuryTime1', 'time.injuryTime2']",1689714550,,,,,,,,,,,,,,,,,,,1.85,3.75,3.75
tYseqp,2.0,1.0,False,False,,4.0,False,11363432,11363478.0,1689701400,balzanc-nk-domzale,False,"UEFA Europa Conference League, Qualification",uefa-europa-conference-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Europa Conference League,uefa-europa-conference-league,Europe,europe,Football,football,1,1465,europe,0,17015,True,False,False,False,513,93604,1.0,Qualification round 1,110,AET,finished,Balzan F.C.,balzan-fc,Balzan,M,Football,football,1,1852,BAL,,False,0,38304,MT,Malta,[],#ff0000,#000000,#000000,NK Domžale,nk-domzale,Domžale,M,Football,football,1,5388,DOM,,False,0,2418,SI,Slovenia,[],#ffff00,#0099ff,#0099ff,1.0,1.0,0.0,0.0,0.0,5.0,3.0,3.0,1.0,2.0,3.0,4.0,,,1689710986.0,"['homeScore.extra1', 'homeScore.extra2', 'awayScore.extra1', 'awayScore.extra2', 'time.injuryTime1', 'time.injuryTime2', 'time.injuryTime3', 'time.injuryTime4']",1689711046,1.0,0.0,1.0,0.0,0.0,0.0,,,,,1.0,,,,,,,,3.0,3.6,2.0
yOsfnb,1.0,1.0,True,True,True,1.0,False,11394704,11394698.0,1689717600,colo-colo-america-mineiro,False,"CONMEBOL Sudamericana, Knockout stage",conmebol-sudamericana-knockout-stage,South America,south-america,Football,football,1,1470,south-america,CONMEBOL Sudamericana,conmebol-sudamericana,South America,south-america,Football,football,1,1470,south-america,0,480,True,False,False,False,398,91444,6.0,Round of 32,100,Ended,finished,América Mineiro,america-mineiro,América-MG,M,Football,football,1,39816,AMG,False,False,0,1973,BR,Brazil,[],#056635,#ffffff,#ffffff,Colo Colo,colo-colo,Colo-Colo,M,Football,football,1,34027,CC,False,False,0,3155,CL,Chile,[],#ffffff,#ffffff,#ffffff,5.0,5.0,3.0,2.0,5.0,6.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,4.0,1689724329.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1689724488,,,,,,,,,,,,16.0,,,,,,,1.85,3.5,4.5
