customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,time.injuryTime1,aggregatedWinnerCode,previousLegEventId,roundInfo.name,homeTeam.gender,homeTeam.national,awayTeam.gender,awayTeam.national,homeScore.aggregated,awayScore.aggregated,homeScore.extra1,homeScore.extra2,homeScore.overtime,awayScore.extra1,awayScore.extra2,awayScore.overtime,homeScore.penalties,awayScore.penalties,time.injuryTime3,time.injuryTime4,roundInfo.cupRoundType,homeRedCards,awayRedCards,tournament.category.alpha2,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,coverage,choice_1,choice_X,choice_2
uYcsxYc,1.0,True,True,True,1.0,False,10833986,1689836400,norway-new-zealand,False,"World Championship, Women, Group A",world-championship-women-group-a,World,world,Football,football,1,1468,international,World Championship Women,world-championship-women,World,world,Football,football,1,1468,international,0,290,True,False,False,False,623,1504,1.0,100,Ended,finished,New Zealand,new-zealand,New Zealand,Football,football,1,0,NZL,False,0,7419,NZ,New Zealand,[],#52b030,#52b030,#ffffff,Norway,norway,Norway,Football,football,1,0,NOR,False,0,7422,NO,Norway,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1689843580.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1689843585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,4.75,1.4
kYcsDPi,1.0,True,True,True,1.0,False,10833987,1689847200,australia-ireland,False,"World Championship, Women, Group B",world-championship-women-group-b,World,world,Football,football,1,1468,international,World Championship Women,world-championship-women,World,world,Football,football,1,1468,international,0,290,True,False,False,False,622,1505,1.0,100,Ended,finished,Australia,australia,Australia,Football,football,1,0,AUS,False,0,7410,AU,Australia,[],#52b030,#52b030,#ffffff,Ireland,ireland,Ireland,Football,football,1,0,IRL,False,0,22028,IE,Ireland,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1689854467.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1689854471,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,4.2,6.5
VgcswHdc,2.0,False,True,True,1.0,False,11362850,1689692400,fk-zalgiris-fc-struga-trim-and-lum,False,"UEFA Champions League, Qualification",uefa-champions-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,0,7,True,False,False,False,548,1339,1.0,100,Ended,finished,FC Struga Trim & Lum,fc-struga-trim-and-lum,Struga T&L,Football,football,1,3592,STL,False,0,259121,MK,North Macedonia,[],#ff0000,#282146,#282146,FK Žalgiris,fk-zalgiris,Žalgiris,Football,football,1,16863,ZAL,False,0,5345,LT,Lithuania,[],#ffffff,#006600,#006600,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,6.0,1689699363.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1689699409,2.0,2.0,11362846.0,Qualification round 1,M,False,M,False,1.0,2.0,,,,,,,,,,,,,,,,,,,2.75,3.0,2.63
Wqbstfo,2.0,False,False,,4.0,False,11362852,1689699600,rakow-czestochowa-flora-tallinn,False,"UEFA Champions League, Qualification",uefa-champions-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,0,7,True,False,False,False,548,1339,1.0,100,Ended,finished,Flora Tallinn,flora-tallinn,Flora,Football,football,1,21077,FLO,False,0,3346,EE,Estonia,[],#008000,#ffffff,#ffffff,Raków Częstochowa,rakow-czestochowa,Raków,Football,football,1,28014,CZE,False,0,35268,PL,Poland,[],#ff0000,#5481c8,#5481c8,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,,1689706579.0,"['time.injuryTime1', 'time.injuryTime2']",1689707604,,2.0,11362843.0,Qualification round 1,M,False,M,False,0.0,4.0,,,,,,,,,,,,,,,,,,,5.5,3.8,1.62
XdcsIwn,1.0,False,True,True,1.0,False,11362874,1689699600,maccabi-haifa-hamrun-spartans-fc,False,"UEFA Champions League, Qualification",uefa-champions-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,0,7,True,False,False,False,548,1339,1.0,100,Ended,finished,Maccabi Haifa,maccabi-haifa,M. Haifa,Football,football,1,47922,MAH,False,0,5197,IL,Israel,[],#009900,#ffffff,#ffffff,Ħamrun Spartans FC,hamrun-spartans-fc,Ħamrun S.,Football,football,1,7320,SPA,False,0,33583,MT,Malta,[],#ff0000,#000000,#000000,2.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,5.0,1689703603.0,"['status.code', 'status.description', 'status.type']",1689706624,2.0,1.0,11362865.0,Qualification round 1,M,False,M,False,6.0,1.0,,,,,,,,,,,,,,,,,,,1.14,7.5,17.0
Upbsydc,1.0,False,False,,4.0,False,11362862,1689699600,sheriff-fcv-farul-constanta,False,"UEFA Champions League, Qualification",uefa-champions-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,0,7,True,False,False,False,548,1339,1.0,110,AET,finished,Sheriff,sheriff,Sheriff,Football,football,1,37220,SHF,False,0,5173,MD,Moldova,[],#000000,#000000,#000000,FCV Farul Constanța,fcv-farul-constanta,Farul Constanța,Football,football,1,13479,FAR,False,0,3294,RO,Romania,[],#2858ad,#ffffff,#ffffff,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1689708120.0,"['status.code', 'status.description', 'status.type', 'homeScore.extra2', 'awayScore.extra2']",1689709172,,1.0,11362861.0,Qualification round 1,M,False,M,False,3.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,1.83,3.3,4.5
arbsxec,1.0,False,False,,4.0,False,11362878,1689703200,fk-partizani-bate-borisov,False,"UEFA Champions League, Qualification",uefa-champions-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,0,7,True,False,False,False,548,1339,1.0,100,Ended,finished,BATE Borisov,bate-borisov,BATE Borisov,Football,football,1,16685,BAT,False,0,3350,BY,Belarus,[],#0000cc,#ffcc00,#ffcc00,FK Partizani,fk-partizani,Partizani,Football,football,1,8553,PTI,False,0,5222,AL,Albania,[],#000000,#222226,#222226,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,1689710397.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime1', 'time.injuryTime2']",1689710411,,1.0,11362877.0,Qualification round 1,M,False,M,False,3.0,1.0,,,,,,,,,,,,,,,,,,,2.75,2.88,2.88
DdcsAec,3.0,True,False,,4.0,False,11362864,1689703200,urartu-hsk-zrinjski-mostar,False,"UEFA Champions League, Qualification",uefa-champions-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,0,7,True,False,False,False,548,1339,1.0,120,AP,finished,HŠK Zrinjski Mostar,hsk-zrinjski-mostar,Zrinjski,Football,football,1,15267,ZRI,False,0,5178,BA,Bosnia & Herzegovina,[],#ffffff,#f43142,#f43142,Urartu,urartu,Urartu,Football,football,1,9401,URA,False,0,5225,AM,Armenia,[],#ffffff,#062a78,#062a78,6.0,2.0,1.0,0.0,1.0,6.0,3.0,0.0,2.0,2.0,7.0,1689713810.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.current', 'homeScore.display', 'homeScore.penalties', 'awayScore.display', 'awayScore.penalties']",1689713815,5.0,1.0,11362863.0,Qualification round 1,M,False,M,False,3.0,3.0,,,1.0,,,1.0,4.0,3.0,3.0,1.0,,,,,,,,,1.57,3.8,5.5
kKswYb,2.0,False,False,,4.0,False,11362856,1689703200,the-new-saints-bk-hacken,False,"UEFA Champions League, Qualification",uefa-champions-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,0,7,True,False,False,False,548,1339,1.0,100,Ended,finished,The New Saints,the-new-saints,TNS,Football,football,1,24503,TNS,False,0,4921,WA,Wales,[],#ffffff,#41a317,#41a317,BK Häcken,bk-hacken,Häcken,Football,football,1,25160,HAC,False,0,1760,SE,Sweden,[],#000000,#ffcc00,#ffcc00,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,,1689710030.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1689710047,,2.0,11362848.0,Qualification round 1,M,False,M,False,1.0,5.0,,,,,,,,,,,,,,,,,,,4.5,4.0,1.65
bNsCnb,1.0,False,False,,4.0,False,11404327,1689707700,shamrock-rovers-breidablik-kopavogur,False,"UEFA Champions League, Qualification",uefa-champions-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,0,7,True,False,False,False,548,1339,1.0,100,Ended,finished,Breidablik Kópavogur,breidablik-kopavogur,Breiðablik,Football,football,1,19732,KOP,False,0,1901,IS,Iceland,[],#00722c,#ffffff,#ffffff,Shamrock Rovers,shamrock-rovers,Shamrock Rovers,Football,football,1,23561,SHA,False,0,3177,IE,Ireland,[],#008100,#ffffff,#ffffff,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,,1689714485.0,"['time.injuryTime1', 'time.injuryTime2']",1689714550,,1.0,11404325.0,Qualification round 1,M,False,M,False,3.0,1.0,,,,,,,,,,,,,,,,,,,1.85,3.75,3.75
qYsdhc,2.0,False,True,True,1.0,False,11362851,1689778800,valmiera-fc-nk-olimpija-ljubljana,False,"UEFA Champions League, Qualification",uefa-champions-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1,1465,europe,0,7,True,False,False,False,548,1339,1.0,100,Ended,finished,Valmiera FC,valmiera-fc,Valmiera,Football,football,1,9467,VAL,False,0,5353,LV,Latvia,[],#3c8a2e,#000000,#000000,NK Olimpija Ljubljana,nk-olimpija-ljubljana,Olimpija,Football,football,1,16664,OLI,False,0,2416,SI,Slovenia,[],#66ff00,#66ff00,#66ff00,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,5.0,1689782610.0,"['time.injuryTime2', 'status.code', 'status.description', 'status.type']",1689785637,1.0,2.0,11362844.0,Qualification round 1,M,False,M,False,2.0,4.0,,,,,,,,,,,,,,,,,,,4.33,3.75,1.75
