customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,homeRedCards,aggregatedWinnerCode,previousLegEventId,roundInfo.name,homeTeam.gender,homeTeam.national,awayTeam.gender,awayTeam.national,homeScore.aggregated,awayScore.aggregated,awayRedCards,homeScore.overtime,awayScore.overtime,time.injuryTime3,time.injuryTime4,homeScore.penalties,awayScore.penalties,homeScore.extra2,awayScore.extra2,homeScore.extra1,awayScore.extra1,roundInfo.cupRoundType,tournament.category.alpha2,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,coverage,choice_1,choice_X,choice_2
dmpsNlDb,2,True,True,True,1.0,False,10833988,1689915600,switzerland-philippines,False,"World Championship, Women, Group A",world-championship-women-group-a,World,world,Football,football,1,1468,international,World Championship Women,world-championship-women,World,world,Football,football,1,1468,international,0,290,True,False,False,False,623,1504,1.0,100,Ended,finished,Philippines,philippines,Philippines,Football,football,1,0,PHI,False,0,195588,PH,Philippines,[],#52b030,#52b030,#ffffff,Switzerland,switzerland,Switzerland,Football,football,1,0,SUI,False,0,38103,CH,Switzerland,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,4.0,4.0,1689922503.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1689922508,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,7.5,1.2
mYcsvYc,3,True,True,True,1.0,False,10833989,1689906600,nigeria-canada,False,"World Championship, Women, Group B",world-championship-women-group-b,World,world,Football,football,1,1468,international,World Championship Women,world-championship-women,World,world,Football,football,1,1468,international,0,290,True,False,False,False,622,1505,1.0,100,Ended,finished,Nigeria,nigeria,Nigeria,Football,football,1,0,NGR,False,0,7420,NG,Nigeria,[],#52b030,#52b030,#ffffff,Canada,canada,Canada,Football,football,1,0,CAN,False,0,7412,CA,Canada,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,1689913750.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1689913754,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,4.5,1.4
wXosDidb,1,True,True,True,1.0,False,10833990,1689924600,spain-costa-rica,False,"World Championship, Women, Group C",world-championship-women-group-c,World,world,Football,football,1,1468,international,World Championship Women,world-championship-women,World,world,Football,football,1,1468,international,0,290,True,False,False,False,621,1506,1.0,100,Ended,finished,Spain,spain,Spain,Football,football,1,0,ESP,False,0,37371,ES,Spain,[],#52b030,#52b030,#ffffff,Costa Rica,costa-rica,Costa Rica,Football,football,1,0,CRC,False,0,132928,CR,Costa Rica,[],#52b030,#52b030,#ffffff,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1689931614.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1689931616,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,26.0,51.0
tYcsbxpc,2,True,True,True,1.0,False,10833991,1690009200,japan-zambia,False,"World Championship, Women, Group C",world-championship-women-group-c,World,world,Football,football,1,1468,international,World Championship Women,world-championship-women,World,world,Football,football,1,1468,international,0,290,True,False,False,False,621,1506,1.0,100,Ended,finished,Zambia,zambia,Zambia,Football,football,1,0,ZAM,False,0,288601,ZM,Zambia,[],#52b030,#52b030,#ffffff,Japan,japan,Japan,Football,football,1,0,JPN,False,0,7418,JP,Japan,[],#52b030,#52b030,#ffffff,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,4.0,5.0,6.0,7.0,1690016681.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1690016837,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,6.5,1.2
pYcsYDwb,1,True,True,True,1.0,False,10833992,1690018200,england-haiti,False,"World Championship, Women, Group D",world-championship-women-group-d,World,world,Football,football,1,1468,international,World Championship Women,world-championship-women,World,world,Football,football,1,1468,international,0,290,True,False,False,False,620,1507,1.0,100,Ended,finished,England,england,England,Football,football,1,0,ENG,False,0,7415,EN,England,[],#52b030,#52b030,#ffffff,Haiti,haiti,Haiti,Football,football,1,0,HAI,False,0,178948,HT,Haiti,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,1690022422.0,"['status.code', 'status.description', 'status.type']",1690025399,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,21.0,51.0
nYcsoYc,1,True,True,True,1.0,False,10833993,1690027200,denmark-china,False,"World Championship, Women, Group D",world-championship-women-group-d,World,world,Football,football,1,1468,international,World Championship Women,world-championship-women,World,world,Football,football,1,1468,international,0,290,True,False,False,False,620,1507,1.0,100,Ended,finished,Denmark,denmark,Denmark,Football,football,1,0,DEN,False,0,7414,DK,Denmark,[],#52b030,#52b030,#ffffff,China,china,China,Football,football,1,0,CHN,False,0,7413,CN,China,[],#52b030,#52b030,#ffffff,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1690034078.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1690034081,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,3.2,4.33
zYcsijdb,1,True,True,True,1.0,False,10833994,1689987600,usa-vietnam,False,"World Championship, Women, Group E",world-championship-women-group-e,World,world,Football,football,1,1468,international,World Championship Women,world-championship-women,World,world,Football,football,1,1468,international,0,290,True,False,False,False,619,40154,1.0,100,Ended,finished,USA,usa,USA,Football,football,1,0,USA,False,0,7424,US,USA,[],#52b030,#52b030,#ffffff,Vietnam,vietnam,Vietnam,Football,football,1,0,VIE,False,0,132958,VN,Vietnam,[],#52b030,#52b030,#ffffff,3.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,1689995214.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1689995216,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,34.0,67.0
vYsFgc,2,False,False,,4.0,False,11363473,1689865200,birkirkara-fc-nk-maribor,False,"UEFA Europa Conference League, Qualification",uefa-europa-conference-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Europa Conference League,uefa-europa-conference-league,Europe,europe,Football,football,1,1465,europe,0,17015,True,False,False,False,513,93604,1.0,100,Ended,finished,Birkirkara FC,birkirkara-fc,Birkirkara,Football,football,1,3284,BIR,,0,5330,MT,Malta,[],#ff0000,#ffdd00,#ffdd00,NK Maribor,nk-maribor,Maribor,Football,football,1,19564,MAR,,0,2420,SI,Slovenia,[],#000099,#ffff00,#ffff00,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,3.0,7.0,1689872307.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1689872309,,2.0,11363445.0,Qualification round 1,M,False,M,False,2.0,3.0,,,,,,,,,,,,,,,,,,5.5,3.75,1.5
YAabsliRb,2,False,False,,4.0,False,11363485,1689865200,dukagjini-europa-fc,False,"UEFA Europa Conference League, Qualification",uefa-europa-conference-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Europa Conference League,uefa-europa-conference-league,Europe,europe,Football,football,1,1465,europe,0,17015,True,False,False,False,513,93604,1.0,100,Ended,finished,Europa FC,europa-fc,Europa,Football,football,1,5010,EUR,,0,126298,GI,Gibraltar,[],#000000,#007e4d,#007e4d,Dukagjini,dukagjini,Dukagjini,Football,football,1,1219,DUK,,0,230411,XK,Kosovo,[],#339933,#ffffff,#ffffff,2.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,,,1689872960.0,['time.currentPeriodStart'],1689873703,2.0,2.0,11363456.0,Qualification round 1,M,False,M,False,3.0,5.0,1.0,,,,,,,,,,,,,,,,,2.25,3.2,2.88
ledsKdW,1,False,False,,4.0,False,11363483,1689865200,fc-santa-coloma-penybont,False,"UEFA Europa Conference League, Qualification",uefa-europa-conference-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Europa Conference League,uefa-europa-conference-league,Europe,europe,Football,football,1,1465,europe,0,17015,True,False,False,False,513,93604,1.0,110,AET,finished,FC Santa Coloma,fc-santa-coloma,Santa Coloma,Football,football,1,2862,FCC,,0,7711,AD,Andorra,[],#ffffff,#ff0000,#ff0000,Penybont,penybont,Penybont,Football,football,1,3178,PEN,,0,115185,WA,Wales,[],#00bfff,#1d2951,#1d2951,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,1689874875.0,"['status.code', 'status.description', 'status.type', 'homeScore.overtime', 'awayScore.overtime', 'time.currentPeriodStart']",1689874877,,1.0,11363457.0,Qualification round 1,M,False,M,False,3.0,1.0,,2.0,0.0,1.0,3.0,,,,,,,,,,,,,2.1,3.25,3.2
Tqbsoec,2,False,False,,4.0,False,11363481,1689867000,pyunik-yerevan-narva-trans,False,"UEFA Europa Conference League, Qualification",uefa-europa-conference-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Europa Conference League,uefa-europa-conference-league,Europe,europe,Football,football,1,1465,europe,0,17015,True,False,False,False,513,93604,1.0,100,Ended,finished,Narva Trans,narva-trans,Trans,Football,football,1,0,NAR,,0,3343,EE,Estonia,[],#52b030,#52b030,#ffffff,Pyunik Yerevan,pyunik-yerevan,Pyunik,Football,football,1,12923,PYU,,0,5214,AM,Armenia,[],#0000ff,#ffffff,#ffffff,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,3.0,,2.0,1689873488.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1689873491,,2.0,11363431.0,Qualification round 1,,,M,False,0.0,5.0,,,,,,,,,,,,,,,,,,17.0,6.5,1.17
KdcsBZm,2,False,False,,4.0,False,11363476,1689867000,b36-torshavn-paide-linnameeskond,False,"UEFA Europa Conference League, Qualification",uefa-europa-conference-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Europa Conference League,uefa-europa-conference-league,Europe,europe,Football,football,1,1465,europe,0,17015,True,False,False,False,513,93604,1.0,110,AET,finished,Paide Linnameeskond,paide-linnameeskond,Paide,Football,football,1,8051,PAI,,0,32476,EE,Estonia,[],#0033cc,#cc0000,#cc0000,B36 Tórshavn,b36-torshavn,B36 Tórshavn,Football,football,1,3923,B36,False,0,5185,FO,Faroe Islands,[],#ffffff,#000000,#000000,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,1689876256.0,"['status.code', 'status.description', 'status.type', 'homeScore.overtime', 'awayScore.overtime', 'time.currentPeriodStart']",1689876260,,2.0,11363462.0,Qualification round 1,M,False,M,False,0.0,2.0,,0.0,2.0,1.0,3.0,,,,,,,,,,,,,2.5,2.88,2.75
QBwstzC,1,False,False,,4.0,False,11363488,1689867000,rfs-makedonija-gjorce-petrov,False,"UEFA Europa Conference League, Qualification",uefa-europa-conference-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Europa Conference League,uefa-europa-conference-league,Europe,europe,Football,football,1,1465,europe,0,17015,True,False,False,False,513,93604,1.0,100,Ended,finished,RFS,rfs,RFS,Football,football,1,14287,RFS,False,0,68718,LV,Latvia,[],#0a64c0,#ffffff,#ffffff,Makedonija Gjorce Petrov,makedonija-gjorce-petrov,G. Petrov,Football,football,1,1265,MGP,,0,53841,MK,North Macedonia,[],#ff0000,#ffff00,#ffff00,4.0,4.0,1.0,3.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1689873591.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1689873593,,1.0,11363454.0,Qualification round 1,M,False,M,False,5.0,1.0,,,,,,,,,,,,,,,,,,1.18,6.0,12.0
kVsmhc,3,False,False,,4.0,False,11363484,1689868800,fc-tobol-fc-honka,False,"UEFA Europa Conference League, Qualification",uefa-europa-conference-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Europa Conference League,uefa-europa-conference-league,Europe,europe,Football,football,1,1465,europe,0,17015,True,False,False,False,513,93604,1.0,100,Ended,finished,FC Honka,fc-honka,Honka,Football,football,1,8023,HON,,0,2260,FI,Finland,[],#000000,#000000,#000000,FC Tobol,fc-tobol,Tobol,Football,football,1,6219,TOB,False,0,5362,KZ,Kazakhstan,[],#ffff00,#000000,#000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1689875761.0,"['homeScore.aggregated', 'awayScore.aggregated', 'time.injuryTime1', 'time.injuryTime2']",1689875798,,2.0,11363442.0,Qualification round 1,M,False,M,False,1.0,2.0,,,,,,,,,,,,,,,,,,2.38,3.25,2.55
AuwsnfCb,2,False,False,,4.0,False,11363467,1689868800,fc-milsami-orhei-fk-panevezys,False,"UEFA Europa Conference League, Qualification",uefa-europa-conference-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Europa Conference League,uefa-europa-conference-league,Europe,europe,Football,football,1,1465,europe,0,17015,True,False,False,False,513,93604,1.0,100,Ended,finished,FC Milsami Orhei,fc-milsami-orhei,Milsami,Football,football,1,2434,MIL,False,0,53475,MD,Moldova,[],#ff0000,#ffffff,#ffffff,FK Panevėžys,fk-panevezys,Panevėžys,Football,football,1,5867,PAN,False,0,192763,LT,Lithuania,[],#ff0000,#ffffff,#ffffff,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,1689875621.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1689875625,,2.0,11363436.0,Qualification round 1,M,False,M,False,2.0,3.0,,,,,,,,,,,,,,,,,,2.9,3.2,2.15
cYsRqb,2,False,False,,4.0,False,11363447,1689871500,fci-levadia-tallinn-msk-zilina,False,"UEFA Europa Conference League, Qualification",uefa-europa-conference-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Europa Conference League,uefa-europa-conference-league,Europe,europe,Football,football,1,1465,europe,0,17015,True,False,False,False,513,93604,1.0,100,Ended,finished,FCI Levadia Tallinn,fci-levadia-tallinn,Levadia,Football,football,1,12993,LEV,False,0,3342,EE,Estonia,[],#000000,#000000,#000000,MŠK Žilina,msk-zilina,Žilina,Football,football,1,5984,ZIL,,0,2402,SK,Slovakia,[],#ffff33,#ffff33,#ffff33,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,3.0,1689878154.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1689878156,,2.0,11363444.0,Qualification round 1,M,False,M,False,2.0,4.0,,,,,,,,,,,,,,,,,,2.88,3.8,2.1
VdcsXVo,2,False,False,,4.0,False,11363458,1689872400,kf-tirana-dinamo-batumi,False,"UEFA Europa Conference League, Qualification",uefa-europa-conference-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Europa Conference League,uefa-europa-conference-league,Europe,europe,Football,football,1,1465,europe,0,17015,True,False,False,False,513,93604,1.0,100,Ended,finished,Dinamo Batumi,dinamo-batumi,Dinamo Batumi,Football,football,1,11192,BAT,False,0,37297,GE,Georgia,[],#0000ff,#ffffff,#ffffff,KF Tirana,kf-tirana,Tirana,Football,football,1,8851,KFT,False,0,5195,AL,Albania,[],#ffffff,#0026ff,#0026ff,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,8.0,1689879983.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1689879986,,2.0,11363452.0,Qualification round 1,M,False,M,False,2.0,3.0,,,,,,,,,,,,,,,,,,1.67,3.4,4.5
lrbsPec,2,False,False,,4.0,False,11363475,1689872400,fk-zeljeznicar-dinamo-minsk,False,"UEFA Europa Conference League, Qualification",uefa-europa-conference-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Europa Conference League,uefa-europa-conference-league,Europe,europe,Football,football,1,1465,europe,0,17015,True,False,False,False,513,93604,1.0,100,Ended,finished,Dinamo Minsk,dinamo-minsk,Dinamo Minsk,Football,football,1,9485,DMI,,0,3361,BY,Belarus,[],#ffffff,#000000,#000000,FK Željezničar,fk-zeljeznicar,Željezničar,Football,football,1,8719,ZES,False,0,5240,BA,Bosnia & Herzegovina,[],#0066cc,#ffffff,#ffffff,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,5.0,1689879171.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1689879173,,2.0,11363433.0,Qualification round 1,M,False,M,False,3.0,4.0,,,,,,,,,,,,,,,,,,1.91,3.4,3.4
