customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,homeRedCards,roundInfo.name,tournament.category.alpha2,tournament.uniqueTournament.category.alpha2,awayRedCards,homeScore.penalties,awayScore.penalties,roundInfo.cupRoundType,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,coverage,choice_1,choice_X,choice_2
uYcsNlDb,2,True,True,True,1.0,False,10834001,1690263000,new-zealand-philippines,False,"World Championship, Women, Group A",world-championship-women-group-a,World,world,Football,football,1,1468,international,World Championship Women,world-championship-women,World,world,Football,football,1.0,1468.0,international,0.0,290.0,True,False,False,False,623,1504,2.0,100,Ended,finished,New Zealand,new-zealand,New Zealand,Football,football,1,0,NZL,False,0,7419,NZ,New Zealand,[],#52b030,#52b030,#ffffff,Philippines,philippines,Philippines,Football,football,1,0,PHI,False,0,195588,PH,Philippines,[],#52b030,#52b030,#ffffff,0,0,0.0,0.0,0.0,1,1,1.0,0.0,1.0,4.0,5.0,1690269980.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1690269983,,,,,,,,,,,,1.36,5.0,8.5
xYcsdmp,3,True,True,True,1.0,False,10834002,1690272000,norway-switzerland,False,"World Championship, Women, Group A",world-championship-women-group-a,World,world,Football,football,1,1468,international,World Championship Women,world-championship-women,World,world,Football,football,1.0,1468.0,international,0.0,290.0,True,False,False,False,623,1504,2.0,100,Ended,finished,Switzerland,switzerland,Switzerland,Football,football,1,0,SUI,False,0,38103,CH,Switzerland,[],#52b030,#52b030,#ffffff,Norway,norway,Norway,Football,football,1,0,NOR,False,0,7422,NO,Norway,[],#52b030,#52b030,#ffffff,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,4.0,1690278700.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1690278704,,,,,,,,,,,,4.33,3.5,1.85
mYcsDPi,1,True,True,True,1.0,False,10834004,1690372800,canada-ireland,False,"World Championship, Women, Group B",world-championship-women-group-b,World,world,Football,football,1,1468,international,World Championship Women,world-championship-women,World,world,Football,football,1.0,1468.0,international,0.0,290.0,True,False,False,False,622,1505,2.0,100,Ended,finished,Canada,canada,Canada,Football,football,1,0,CAN,False,0,7412,CA,Canada,[],#52b030,#52b030,#ffffff,Ireland,ireland,Ireland,Football,football,1,0,IRL,False,0,22028,IE,Ireland,[],#52b030,#52b030,#ffffff,2,2,1.0,1.0,2.0,1,1,1.0,0.0,1.0,5.0,5.0,1690380065.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1690380069,,,,,,,,,,,,1.73,3.1,7.0
tYcsDidb,1,True,True,True,1.0,False,10834006,1690347600,japan-costa-rica,False,"World Championship, Women, Group C",world-championship-women-group-c,World,world,Football,football,1,1468,international,World Championship Women,world-championship-women,World,world,Football,football,1.0,1468.0,international,0.0,290.0,True,False,False,False,621,1506,2.0,100,Ended,finished,Japan,japan,Japan,Football,football,1,0,JPN,False,0,7418,JP,Japan,[],#52b030,#52b030,#ffffff,Costa Rica,costa-rica,Costa Rica,Football,football,1,0,CRC,False,0,132928,CR,Costa Rica,[],#52b030,#52b030,#ffffff,2,2,2.0,0.0,2.0,0,0,0.0,0.0,0.0,5.0,5.0,1690354596.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1690354599,,,,,,,,,,,,1.06,13.0,23.0
wXosbxpc,1,True,True,True,1.0,False,10834005,1690356600,spain-zambia,False,"World Championship, Women, Group C",world-championship-women-group-c,World,world,Football,football,1,1468,international,World Championship Women,world-championship-women,World,world,Football,football,1.0,1468.0,international,0.0,290.0,True,False,False,False,621,1506,2.0,100,Ended,finished,Spain,spain,Spain,Football,football,1,0,ESP,False,0,37371,ES,Spain,[],#52b030,#52b030,#ffffff,Zambia,zambia,Zambia,Football,football,1,0,ZAM,False,0,288601,ZM,Zambia,[],#52b030,#52b030,#ffffff,5,5,2.0,3.0,5.0,0,0,0.0,0.0,0.0,6.0,8.0,1690360755.0,"['status.code', 'status.description', 'status.type']",1690364083,,,,,,,,,,,,1.01,23.0,51.0
xNisGHt,1,True,True,True,1.0,False,10834003,1690250400,colombia-south-korea,False,"World Championship, Women, Group H",world-championship-women-group-h,World,world,Football,football,1,1468,international,World Championship Women,world-championship-women,World,world,Football,football,1.0,1468.0,international,0.0,290.0,True,False,False,False,616,109144,1.0,100,Ended,finished,Colombia,colombia,Colombia,Football,football,1,0,COL,False,0,46631,CO,Colombia,[],#52b030,#52b030,#ffffff,South Korea,south-korea,South Korea,Football,football,1,0,KOR,False,0,21922,KR,South Korea,[],#52b030,#52b030,#ffffff,2,2,2.0,0.0,2.0,0,0,0.0,0.0,0.0,10.0,5.0,1690257792.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1690257794,,,,,,,,,,,,3.0,2.88,2.7
llbsVgc,3,False,False,,4.0,False,11452448,1690300800,fk-zalgiris-galatasaray,False,"UEFA Champions League, Qualification",uefa-champions-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1.0,1465.0,europe,0.0,7.0,True,False,False,False,548,1339,2.0,100,Ended,finished,FK Žalgiris,fk-zalgiris,Žalgiris,Football,football,1,0,ZAL,False,0,5345,LT,Lithuania,[],#52b030,#52b030,#ffffff,Galatasaray,galatasaray,Galatasaray,Football,football,1,0,GAL,False,0,3061,TR,Turkey,[],#52b030,#52b030,#ffffff,2,2,0.0,2.0,2.0,2,2,0.0,2.0,2.0,3.0,6.0,1690307679.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1690307682,1.0,Qualification round 2,,,,,,,,,,6.5,4.5,1.44
lnsRU,1,False,False,,4.0,False,11454349,1690300800,molde-fk-hjk,False,"UEFA Champions League, Qualification",uefa-champions-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1.0,1465.0,europe,0.0,7.0,True,False,False,False,548,1339,2.0,100,Ended,finished,HJK,hjk,HJK,Football,football,1,0,HJK,False,0,2242,FI,Finland,[],#52b030,#52b030,#ffffff,Molde FK,molde-fk,Molde,Football,football,1,0,MFK,False,0,661,NO,Norway,[],#52b030,#52b030,#ffffff,1,1,1.0,0.0,1.0,0,0,0.0,0.0,0.0,1.0,6.0,1690307569.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1690307571,,Qualification round 2,,,,,,,,,,5.0,3.8,1.67
HPsfyo,1,False,True,True,1.0,False,11454194,1690308000,astana-gnk-dinamo-zagreb,False,"UEFA Champions League, Qualification",uefa-champions-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1.0,1465.0,europe,0.0,7.0,True,False,False,False,548,1339,2.0,100,Ended,finished,GNK Dinamo Zagreb,gnk-dinamo-zagreb,Dinamo,Football,football,1,0,DIN,False,0,2032,HR,Croatia,[],#52b030,#52b030,#ffffff,Astana,astana,Astana,Football,football,1,0,FCA,False,0,36155,KZ,Kazakhstan,[],#52b030,#52b030,#ffffff,4,4,3.0,1.0,4.0,0,0,0.0,0.0,0.0,1.0,4.0,1690311755.0,"['status.code', 'status.description', 'status.type']",1690314750,,Qualification round 2,,,,,,,,,,1.33,4.75,10.0
YobsMvdc,2,False,True,True,1.0,False,11365239,1690308000,panathinaikos-sc-dnipro-1,False,"UEFA Champions League, Qualification",uefa-champions-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Champions League,uefa-champions-league,Europe,europe,Football,football,1.0,1465.0,europe,0.0,7.0,True,False,False,False,548,1339,2.0,100,Ended,finished,SC Dnipro-1,sc-dnipro-1,Dnipro-1,Football,football,1,0,SCD,False,0,258537,UA,Ukraine,[],#52b030,#52b030,#ffffff,Panathinaikos,panathinaikos,Panathinaikos,Football,football,1,0,PAN,False,0,3248,GR,Greece,[],#52b030,#52b030,#ffffff,1,1,0.0,1.0,1.0,3,3,1.0,2.0,3.0,3.0,4.0,1690311864.0,"['status.code', 'status.description', 'status.type']",1690314848,,Qualification round 2,,,,,,,,,,3.5,3.1,2.25
