customId,winnerCode,hasGlobalHighlights,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,changes.changeTimestamp,hasEventPlayerStatistics,hasEventPlayerHeatMap,roundInfo.name,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,aggregatedWinnerCode,previousLegEventId,homeTeam.gender,homeTeam.national,awayTeam.gender,awayTeam.national,homeScore.aggregated,awayScore.aggregated,roundInfo.slug,awayRedCards,homeRedCards,lastPeriod,time.initial,time.max,time.extra,statusTime.prefix,statusTime.initial,statusTime.max,statusTime.timestamp,statusTime.extra,tournament.category.alpha2,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,roundInfo.cupRoundType,coverage,choice_1,choice_X,choice_2
oYcspYc,0.0,False,1.0,False,11030805,1690533000,england-denmark,False,"World Championship, Women, Group D",world-championship-women-group-d,World,world,Football,football,1,1468,international,World Championship Women,world-championship-women,World,world,Football,football,1,1468,international,0,False,False,290,True,False,620,1507,2.0,0,Not started,notstarted,England,england,England,Football,football,1,0,ENG,False,0,7415,EN,England,[],#52b030,#52b030,#ffffff,Denmark,denmark,Denmark,Football,football,1,0,DEN,False,0,7414,DK,Denmark,[],#52b030,#52b030,#ffffff,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,3.75,7.0
nYcsYDwb,0.0,False,1.0,False,10834010,1690542000,china-haiti,False,"World Championship, Women, Group D",world-championship-women-group-d,World,world,Football,football,1,1468,international,World Championship Women,world-championship-women,World,world,Football,football,1,1468,international,0,False,False,290,True,False,620,1507,2.0,0,Not started,notstarted,China,china,China,Football,football,1,0,CHN,False,0,7413,CN,China,[],#52b030,#52b030,#ffffff,Haiti,haiti,Haiti,Football,football,1,0,HAI,False,0,178948,HT,Haiti,[],#52b030,#52b030,#ffffff,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,3.8,5.75
lYcsKZm,0.0,False,1.0,False,10834012,1690624800,brazil-france,False,"World Championship, Women, Group F",world-championship-women-group-f,World,world,Football,football,1,1468,international,World Championship Women,world-championship-women,World,world,Football,football,1,1468,international,0,False,False,290,True,False,618,40155,2.0,0,Not started,notstarted,France,france,France,Football,football,1,0,FRA,False,0,32485,FR,France,[],#52b030,#52b030,#ffffff,Brazil,brazil,Brazil,Football,football,1,0,BRA,False,0,7411,BR,Brazil,[],#52b030,#52b030,#ffffff,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,3.1,2.75
ejdbsaEwb,0.0,False,1.0,False,10834013,1690633800,jamaica-panama,False,"World Championship, Women, Group F",world-championship-women-group-f,World,world,Football,football,1,1468,international,World Championship Women,world-championship-women,World,world,Football,football,1,1468,international,0,False,False,290,True,False,618,40155,2.0,0,Not started,notstarted,Panama,panama,Panama,Football,football,1,0,PAN,False,0,132954,PA,Panama,[],#52b030,#52b030,#ffffff,Jamaica,jamaica,Jamaica,Football,football,1,0,JAM,False,0,178950,JM,Jamaica,[],#52b030,#52b030,#ffffff,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75,3.4,1.65
jYcsLgB,0.0,False,1.0,False,10834011,1690502400,argentina-south-africa,False,"World Championship, Women, Group G",world-championship-women-group-g,World,world,Football,football,1,1468,international,World Championship Women,world-championship-women,World,world,Football,football,1,1468,international,0,False,False,290,True,False,617,109143,2.0,0,Not started,notstarted,Argentina,argentina,Argentina,Football,football,1,0,ARG,False,0,7409,AR,Argentina,[],#52b030,#52b030,#ffffff,South Africa,south-africa,South Africa,Football,football,1,0,RSA,False,0,65336,ZA,South Africa,[],#52b030,#52b030,#ffffff,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,3.1,3.6
yYcsAPi,0.0,False,1.0,False,10834014,1690615800,sweden-italy,False,"World Championship, Women, Group G",world-championship-women-group-g,World,world,Football,football,1,1468,international,World Championship Women,world-championship-women,World,world,Football,football,1,1468,international,0,False,False,290,True,False,617,109143,2.0,0,Not started,notstarted,Sweden,sweden,Sweden,Football,football,1,0,SWE,False,0,7423,SE,Sweden,[],#52b030,#52b030,#ffffff,Italy,italy,Italy,Football,football,1,0,ITA,False,0,22025,IT,Italy,[],#52b030,#52b030,#ffffff,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,3.3,4.5
wNsqjC,2.0,False,1.0,False,11458120,1690470000,fc-alashkert-debreceni-vsc,False,"UEFA Europa Conference League, Qualification",uefa-europa-conference-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Europa Conference League,uefa-europa-conference-league,Europe,europe,Football,football,1,1465,europe,0,False,False,17015,True,False,513,93604,2.0,100,Ended,finished,FC Alashkert,fc-alashkert,Alashkert,Football,football,1,0,ALA,,0,67966,AM,Armenia,[],#52b030,#52b030,#ffffff,Debreceni VSC,debreceni-vsc,Debreceni VSC,Football,football,1,0,DEB,False,0,1921,HU,Hungary,[],#52b030,#52b030,#ffffff,1690477015,True,True,Qualification round 2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,5.0,1690473922.0,"['status.code', 'status.description', 'status.type']",,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,3.1,2.3
cpbsEUec,3.0,False,4.0,False,11458069,1690470000,aris-thessaloniki-fc-ararat-armenia,False,"UEFA Europa Conference League, Qualification",uefa-europa-conference-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Europa Conference League,uefa-europa-conference-league,Europe,europe,Football,football,1,1465,europe,0,False,False,17015,True,False,513,93604,2.0,100,Ended,finished,FC Ararat-Armenia,fc-ararat-armenia,Ararat-Armenia,Football,football,1,0,ARA,,0,262229,AM,Armenia,[],#52b030,#52b030,#ffffff,Aris Thessaloniki,aris-thessaloniki,Aris,Football,football,1,0,ARIS,False,0,3252,GR,Greece,[],#52b030,#52b030,#ffffff,1690476903,False,,Qualification round 2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,5.0,1690476899.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.1,2.25
gmbsqhc,3.0,False,4.0,False,11365356,1690470000,fc-ordabasy-legia-warszawa,False,"UEFA Europa Conference League, Qualification",uefa-europa-conference-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Europa Conference League,uefa-europa-conference-league,Europe,europe,Football,football,1,1465,europe,0,False,False,17015,True,False,513,93604,2.0,100,Ended,finished,FC Ordabasy,fc-ordabasy,Ordabasy,Football,football,1,0,ORD,False,0,5366,KZ,Kazakhstan,[],#52b030,#52b030,#ffffff,Legia Warszawa,legia-warszawa,Legia,Football,football,1,0,LEG,False,0,3106,PL,Poland,[],#52b030,#52b030,#ffffff,1690477122,False,,Qualification round 2,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,4.0,6.0,1690477118.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,3.4,2.05
eXsWip,1.0,False,4.0,False,11458126,1690470000,inter-club-descaldes-hibernian,False,"UEFA Europa Conference League, Qualification",uefa-europa-conference-league-qualification,Europe,europe,Football,football,1,1465,europe,UEFA Europa Conference League,uefa-europa-conference-league,Europe,europe,Football,football,1,1465,europe,0,False,False,17015,True,False,513,93604,2.0,100,Ended,finished,Inter Club d'Escaldes,inter-club-descaldes,Inter,Football,football,1,4187,ESC,False,0,37946,AD,Andorra,[],#0000ff,#000000,#000000,Hibernian,hibernian,Hibernian,Football,football,1,10213,HIB,False,0,2354,SX,Scotland,[],#339933,#ffffff,#ffffff,1690477008,False,,Qualification round 2,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,5.0,6.0,1690477004.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",,,M,False,M,False,,,qualification-round-2,,,,,,,,,,,,,,,,,,5.25,4.75,1.44
