customId,winnerCode,coverage,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.normaltime,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,time.injuryTime2,time.injuryTime1,homeRedCards,awayRedCards,homeScore.period2,awayScore.period2,detailId,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,hasEventPlayerStatistics,hasEventPlayerHeatMap
zYcsejdb,2,-1.0,True,False,8546255,1580520600,usa-panama,False,"CONCACAF Olympic Qualif., Women, Group A",concacaf-olympic-qualif-women-group-a,North & Central America,north-central-america,Football,football,1,1469,north-and-central-america,"CONCACAF Olympic Qualif., Women",concacaf-olympic-qualif-women,#fc233c,#d2192e,North & Central America,north-central-america,Football,football,1.0,1469.0,north-and-central-america,1104.0,3071.0,False,False,False,False,0,51066,2.0,100,Ended,finished,Panama,panama,Panama,F,Football,football,1,3139,PAN,False,True,0,132954,PA,Panama,[],#cc0000,#005293,#005293,USA,usa,USA,F,Football,football,1,15327,USA,False,True,0,7424,US,USA,[],#ffffff,#ff0000,#ff0000,0,0,0,0,8,8,4,8,1580527852.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1580527987,,,,,,,,,,,,
ejdbsYDwb,2,-1.0,True,False,8546261,1580770800,haiti-panama,False,"CONCACAF Olympic Qualif., Women, Group A",concacaf-olympic-qualif-women-group-a,North & Central America,north-central-america,Football,football,1,1469,north-and-central-america,"CONCACAF Olympic Qualif., Women",concacaf-olympic-qualif-women,#fc233c,#d2192e,North & Central America,north-central-america,Football,football,1.0,1469.0,north-and-central-america,1104.0,3071.0,False,False,False,False,0,51066,3.0,100,Ended,finished,Panama,panama,Panama,F,Football,football,1,3139,PAN,False,True,0,132954,PA,Panama,[],#cc0000,#005293,#005293,Haiti,haiti,Haiti,F,Football,football,1,19688,HAI,False,True,0,178948,HT,Haiti,[],#3b5aa3,#be0027,#be0027,0,0,0,0,6,6,3,6,1580777195.0,['cardsCode'],1580811197,1.0,,,,,,,,,,,
Jidbsejdb,1,-1.0,False,False,9334437,1613494800,panama-guatemala,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1.0,1468.0,international,6989.0,852.0,False,False,False,False,0,1039,1.0,100,Ended,finished,Guatemala,guatemala,Guatemala,F,Football,football,1,194,GUA,,True,0,132934,GT,Guatemala,[],#9ecde7,#ffffff,#ffffff,Panama,panama,Panama,F,Football,football,1,3139,PAN,False,True,0,132954,PA,Panama,[],#cc0000,#005293,#005293,3,3,2,3,1,1,0,1,1613501748.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1613501751,7.0,2.0,,,,,,,,,,
Jidbsejdb,2,-1.0,False,False,9334453,1613754000,panama-guatemala,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1.0,1468.0,international,6989.0,852.0,False,False,False,False,0,1039,1.0,100,Ended,finished,Guatemala,guatemala,Guatemala,F,Football,football,1,194,GUA,,True,0,132934,GT,Guatemala,[],#9ecde7,#ffffff,#ffffff,Panama,panama,Panama,F,Football,football,1,3139,PAN,False,True,0,132954,PA,Panama,[],#cc0000,#005293,#005293,0,0,0,0,3,3,1,3,1613760390.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1613760395,2.0,1.0,1.0,,,,,,,,,
tYcsejdb,1,-1.0,False,False,9438238,1618115400,japan-panama,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1.0,1468.0,international,6989.0,852.0,False,False,False,False,0,1039,1.0,100,Ended,finished,Japan,japan,Japan,F,Football,football,1,5967,JPN,False,True,0,7418,JP,Japan,[],#000080,#ed1b24,#ed1b24,Panama,panama,Panama,F,Football,football,1,3139,PAN,False,True,0,132954,PA,Panama,[],#cc0000,#005293,#005293,7,7,5,7,0,0,0,0,1618115400.0,"['status.code', 'status.description', 'status.type', 'homeScore.current', 'homeScore.display', 'homeScore.period1', 'homeScore.normaltime', 'awayScore.current', 'awayScore.display', 'awayScore.period1', 'awayScore.normaltime']",1618128771,,,,,,,,,,,,
ejdbsukjc,1,-1.0,False,False,9609548,1625432400,nicaragua-panama,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1.0,1468.0,international,6989.0,852.0,False,False,False,False,0,1039,1.0,100,Ended,finished,Panama,panama,Panama,F,Football,football,1,3139,PAN,False,True,0,132954,PA,Panama,[],#cc0000,#005293,#005293,Nicaragua,nicaragua,Nicaragua,F,Football,football,1,126,NIC,,True,0,273019,NI,Nicaragua,[],#333ebd,#ffffff,#ffffff,2,2,1,2,0,0,0,0,1625439685.0,['cardsCode'],1625440236,,3.0,,,,,,,,,,
ejdbsrrad,1,-1.0,False,False,9622818,1625951100,dominican-republic-panama,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1.0,1468.0,international,6989.0,852.0,False,False,False,False,0,1039,1.0,100,Ended,finished,Panama,panama,Panama,F,Football,football,1,3139,PAN,False,True,0,132954,PA,Panama,[],#cc0000,#005293,#005293,Dominican Republic,dominican-republic,Dominican Republic,F,Football,football,1,171,DOM,,True,0,375867,DO,Dominican Republic,[],#ffffff,#0000ff,#0000ff,5,5,3,5,0,0,0,0,1625957701.0,['cardsCode'],1625958658,2.0,1.0,,,,,,,,,,
Didbsejdb,2,-1.0,False,False,9805830,1632006000,panama-costa-rica,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1.0,1468.0,international,6989.0,852.0,False,False,False,False,0,1039,1.0,100,Ended,finished,Costa Rica,costa-rica,Costa Rica,F,Football,football,1,4018,CRC,False,True,0,132928,CR,Costa Rica,[],#ed1c24,#2366b3,#2366b3,Panama,panama,Panama,F,Football,football,1,3139,PAN,False,True,0,132954,PA,Panama,[],#cc0000,#005293,#005293,1,1,0,1,2,2,1,2,,"['status.code', 'status.description', 'status.type', 'homeScore.current', 'homeScore.display', 'homeScore.period1', 'homeScore.normaltime', 'awayScore.current', 'awayScore.display', 'awayScore.period1', 'awayScore.normaltime']",1632024287,,,,,,,,,,,,
Didbsejdb,1,-1.0,False,False,9805393,1632268800,panama-costa-rica,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1.0,1468.0,international,6989.0,852.0,False,False,False,False,0,1039,1.0,100,Ended,finished,Costa Rica,costa-rica,Costa Rica,F,Football,football,1,4018,CRC,False,True,0,132928,CR,Costa Rica,[],#ed1c24,#2366b3,#2366b3,Panama,panama,Panama,F,Football,football,1,3139,PAN,False,True,0,132954,PA,Panama,[],#cc0000,#005293,#005293,3,3,2,3,2,2,0,2,,"['status.code', 'status.description', 'status.type', 'homeScore.current', 'homeScore.display', 'homeScore.period1', 'homeScore.normaltime', 'awayScore.current', 'awayScore.display', 'awayScore.period1', 'awayScore.normaltime']",1632281322,,,,,,,,,,,,
ejdbseEwb,3,-1.0,False,False,9896827,1634844600,trinidad-and-tobago-panama,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1.0,1468.0,international,6989.0,852.0,False,False,False,False,0,1039,1.0,100,Ended,finished,Trinidad and Tobago,trinidad-and-tobago,Trinidad and Tobago,F,Football,football,1,284,TRI,,True,0,178954,TT,Trinidad and Tobago,[],#cc0000,#000000,#000000,Panama,panama,Panama,F,Football,football,1,3139,PAN,False,True,0,132954,PA,Panama,[],#cc0000,#005293,#005293,0,0,0,0,0,0,0,0,,"['status.code', 'status.description', 'status.type', 'homeScore.current', 'homeScore.display', 'homeScore.period1', 'homeScore.normaltime', 'awayScore.current', 'awayScore.display', 'awayScore.period1', 'awayScore.normaltime']",1634853370,,,,,,,,,,,,
