customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,homeTeam.disabled,awayRedCards,hasEventPlayerStatistics,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,aggregatedWinnerCode,previousLegEventId,homeScore.aggregated,awayScore.aggregated,homeScore.extra1,homeScore.extra2,homeScore.overtime,homeScore.penalties,awayScore.extra1,awayScore.extra2,awayScore.overtime,awayScore.penalties,hasEventPlayerHeatMap,detailId,time.injuryTime1,time.injuryTime2,homeRedCards
Efnsokeb,1,False,False,10913819,1676728800,oeste-novorizontino,False,"Paulista, Serie A2",paulista-serie-a2,Brazil,brazil,Football,football,1,13,brazil,BR,"Paulista, Série A2",paulista-serie-a2,#004990,#d1a02f,Brazil,brazil,Football,football,1,13,brazil,BR,3311,1234,False,False,False,False,0,57420,11,100,Ended,finished,Oeste,oeste,Oeste,M,Football,football,1,2229,OES,False,0,32779,BR,Brazil,[],#ff0000,#000000,#000000,Novorizontino,novorizontino,Novorizontino,M,Football,football,1,11367,GRN,False,False,0,135514,BR,Brazil,[],#b4982d,#1d2329,#1d2329,1,1,0,1,1,0,0,0,0,0,1676732700.0,['cardsCode'],1676738892,,,,,,,,,,,,,,,,,,,,,,,
mOcsokeb,3,False,False,10913812,1677364200,ec-noroeste-novorizontino,False,"Paulista, Serie A2",paulista-serie-a2,Brazil,brazil,Football,football,1,13,brazil,BR,"Paulista, Série A2",paulista-serie-a2,#004990,#d1a02f,Brazil,brazil,Football,football,1,13,brazil,BR,3311,1234,False,False,False,False,0,57420,12,100,Ended,finished,Novorizontino,novorizontino,Novorizontino,M,Football,football,1,11367,GRN,False,0,135514,BR,Brazil,[],#b4982d,#1d2329,#1d2329,EC Noroeste,ec-noroeste,Noroeste,M,Football,football,1,1646,NOR,,False,0,6962,BR,Brazil,[],#ff0000,#ffffff,#ffffff,2,2,1,1,2,2,2,1,1,2,,['cardsCode'],1677402345,False,,,,,,,,,,,,,,,,,,,,,,
LzKsokeb,1,False,False,10913814,1677711600,velo-clube-novorizontino,False,"Paulista, Serie A2",paulista-serie-a2,Brazil,brazil,Football,football,1,13,brazil,BR,"Paulista, Série A2",paulista-serie-a2,#004990,#d1a02f,Brazil,brazil,Football,football,1,13,brazil,BR,3311,1234,False,False,False,False,0,57420,13,100,Ended,finished,Velo Clube,velo-clube,Velo Clube,M,Football,football,1,711,VEC,False,0,88736,BR,Brazil,[],#ff0000,#ffffff,#ffffff,Novorizontino,novorizontino,Novorizontino,M,Football,football,1,11367,GRN,False,False,0,135514,BR,Brazil,[],#b4982d,#1d2329,#1d2329,2,2,1,1,2,0,0,0,0,0,1677715440.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1677718569,,1.0,,,,,,,,,,,,,,,,,,,,,
mkebsokeb,2,False,False,10913798,1678021200,novorizontino-taubate,False,"Paulista, Serie A2",paulista-serie-a2,Brazil,brazil,Football,football,1,13,brazil,BR,"Paulista, Série A2",paulista-serie-a2,#004990,#d1a02f,Brazil,brazil,Football,football,1,13,brazil,BR,3311,1234,False,False,False,False,0,57420,14,100,Ended,finished,Taubaté,taubate,Taubaté,M,Football,football,1,767,ECT,False,0,135512,BR,Brazil,[],#ffffff,#0000ff,#0000ff,Novorizontino,novorizontino,Novorizontino,M,Football,football,1,11367,GRN,False,False,0,135514,BR,Brazil,[],#b4982d,#1d2329,#1d2329,0,0,0,0,0,3,3,1,2,3,1678025100.0,['cardsCode'],1678031661,False,,,,,,,,,,,,,,,,,,,,,,
kOcsokeb,1,False,False,10913788,1678557600,juventus-sp-novorizontino,False,"Paulista, Serie A2",paulista-serie-a2,Brazil,brazil,Football,football,1,13,brazil,BR,"Paulista, Série A2",paulista-serie-a2,#004990,#d1a02f,Brazil,brazil,Football,football,1,13,brazil,BR,3311,1234,False,False,False,False,0,57420,15,100,Ended,finished,Novorizontino,novorizontino,Novorizontino,M,Football,football,1,11367,GRN,False,0,135514,BR,Brazil,[],#b4982d,#1d2329,#1d2329,Juventus-SP,juventus-sp,Juventus,M,Football,football,1,1723,JUV,False,False,0,6960,BR,Brazil,[],#810000,#ffffff,#ffffff,1,1,0,1,1,0,0,0,0,0,1678561740.0,['cardsCode'],1678567335,False,,,,,,,,,,,,,,,,,,,,,,
Efnsokeb,2,False,False,11127593,1679259600,oeste-novorizontino,False,"Paulista, Serie A2, Playoffs, Final",paulista-serie-a2-playoffs-final,Brazil,brazil,Football,football,1,13,brazil,BR,"Paulista, Série A2",paulista-serie-a2,#004990,#d1a02f,Brazil,brazil,Football,football,1,13,brazil,BR,3311,1234,False,False,False,False,0,59116,27,100,Ended,finished,Oeste,oeste,Oeste,M,Football,football,1,2229,OES,False,0,32779,BR,Brazil,[],#ff0000,#000000,#000000,Novorizontino,novorizontino,Novorizontino,M,Football,football,1,11367,GRN,False,False,0,135514,BR,Brazil,[],#b4982d,#1d2329,#1d2329,0,0,0,0,0,1,1,0,1,1,,['cardsCode'],1679300130,,,True,Quarterfinal,quarterfinal,4.0,,,,,,,,,,,,,,,,,
Efnsokeb,1,False,False,11127597,1679518800,oeste-novorizontino,False,"Paulista, Serie A2, Playoffs, Final",paulista-serie-a2-playoffs-final,Brazil,brazil,Football,football,1,13,brazil,BR,"Paulista, Série A2",paulista-serie-a2,#004990,#d1a02f,Brazil,brazil,Football,football,1,13,brazil,BR,3311,1234,False,False,False,False,0,59116,27,100,Ended,finished,Novorizontino,novorizontino,Novorizontino,M,Football,football,1,11367,GRN,False,0,135514,BR,Brazil,[],#b4982d,#1d2329,#1d2329,Oeste,oeste,Oeste,M,Football,football,1,2229,OES,,False,0,32779,BR,Brazil,[],#ff0000,#000000,#000000,1,1,0,1,1,0,0,0,0,0,1679522700.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1679525767,False,,,Quarterfinal,quarterfinal,4.0,1.0,11127593.0,2.0,0.0,,,,,,,,,,,,,
mOcsokeb,3,False,False,11153086,1679866200,ec-noroeste-novorizontino,False,"Paulista, Serie A2, Playoffs, Final",paulista-serie-a2-playoffs-final,Brazil,brazil,Football,football,1,13,brazil,BR,"Paulista, Série A2",paulista-serie-a2,#004990,#d1a02f,Brazil,brazil,Football,football,1,13,brazil,BR,3311,1234,False,False,False,False,0,59116,28,100,Ended,finished,EC Noroeste,ec-noroeste,Noroeste,M,Football,football,1,1646,NOR,False,0,6962,BR,Brazil,[],#ff0000,#ffffff,#ffffff,Novorizontino,novorizontino,Novorizontino,M,Football,football,1,11367,GRN,False,False,0,135514,BR,Brazil,[],#b4982d,#1d2329,#1d2329,1,1,0,1,1,1,1,0,1,1,,['cardsCode'],1679899347,,,,Semifinal,semifinal,2.0,,,,,,,,,,,,,,,,,
mOcsokeb,1,False,False,11154072,1680372000,ec-noroeste-novorizontino,False,"Paulista, Serie A2, Playoffs, Final",paulista-serie-a2-playoffs-final,Brazil,brazil,Football,football,1,13,brazil,BR,"Paulista, Série A2",paulista-serie-a2,#004990,#d1a02f,Brazil,brazil,Football,football,1,13,brazil,BR,3311,1234,False,False,False,False,0,59116,28,100,Ended,finished,Novorizontino,novorizontino,Novorizontino,M,Football,football,1,11367,GRN,False,0,135514,BR,Brazil,[],#b4982d,#1d2329,#1d2329,EC Noroeste,ec-noroeste,Noroeste,M,Football,football,1,1646,NOR,,False,0,6962,BR,Brazil,[],#ff0000,#ffffff,#ffffff,3,3,2,1,3,0,0,0,0,0,1680375960.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1680379077,False,,,Semifinal,semifinal,2.0,1.0,11153086.0,4.0,1.0,,,,,,,,,,,,,
uOsokeb,3,True,False,11187565,1680730200,ponte-preta-novorizontino,False,"Paulista, Serie A2, Playoffs, Final",paulista-serie-a2-playoffs-final,Brazil,brazil,Football,football,1,13,brazil,BR,"Paulista, Série A2",paulista-serie-a2,#004990,#d1a02f,Brazil,brazil,Football,football,1,13,brazil,BR,3311,1234,False,False,False,False,0,59116,29,100,Ended,finished,Novorizontino,novorizontino,Novorizontino,M,Football,football,1,11367,GRN,False,0,135514,BR,Brazil,[],#b4982d,#1d2329,#1d2329,Ponte Preta,ponte-preta,Ponte Preta,M,Football,football,1,16226,PON,False,False,0,1969,BR,Brazil,[],#ffffff,#000000,#000000,1,1,1,0,1,1,1,1,0,1,,['cardsCode'],1680763964,False,1.0,,Final,final,1.0,,,,,,,,,,,,,,,,,
