customId,winnerCode,coverage,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,homeRedCards,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,homeScore.overtime,awayScore.overtime,time.injuryTime3,time.injuryTime4,awayRedCards
lYcsaEwb,1,1.0,True,True,True,1.0,False,8081549,1560087000,brazil-jamaica,False,"World Championship, Women, Group C",world-championship-women-group-c,World,world,Football,football,1,1468,international,World Championship Women,world-championship-women,#3099ff,#fcc831,World,world,Football,football,1.0,1468.0,international,89506.0,False,False,290.0,True,False,621,1506,1.0,100,Ended,finished,Brazil,brazil,Brazil,F,Football,football,1,45177,BRA,False,True,0,7411,BR,Brazil,[],#ffff00,#009933,#009933,Jamaica,jamaica,Jamaica,F,Football,football,1,3355,JAM,False,True,0,178950,JM,Jamaica,[],#ffff00,#33a64f,#33a64f,3,3,1,2.0,3,0,0,0,0.0,0,1.0,4.0,1560093742.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1560093745,,,,,,,,,
APisaEwb,2,1.0,True,True,True,1.0,False,8081562,1560528000,italy-jamaica,False,"World Championship, Women, Group C",world-championship-women-group-c,World,world,Football,football,1,1468,international,World Championship Women,world-championship-women,#3099ff,#fcc831,World,world,Football,football,1.0,1468.0,international,89506.0,False,False,290.0,True,False,621,1506,2.0,100,Ended,finished,Jamaica,jamaica,Jamaica,F,Football,football,1,3355,JAM,False,True,0,178950,JM,Jamaica,[],#ffff00,#33a64f,#33a64f,Italy,italy,Italy,F,Football,football,1,17409,ITA,False,True,0,22025,IT,Italy,[],#0066ff,#ffffff,#ffffff,0,0,0,0.0,0,5,5,2,3.0,5,3.0,4.0,1560534752.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1560534756,,,,,,,,,
kYcsaEwb,2,1.0,True,True,True,1.0,False,8081559,1560884400,australia-jamaica,False,"World Championship, Women, Group C",world-championship-women-group-c,World,world,Football,football,1,1468,international,World Championship Women,world-championship-women,#3099ff,#fcc831,World,world,Football,football,1.0,1468.0,international,89506.0,False,False,290.0,True,False,621,1506,3.0,100,Ended,finished,Jamaica,jamaica,Jamaica,F,Football,football,1,3355,JAM,False,True,0,178950,JM,Jamaica,[],#ffff00,#33a64f,#33a64f,Australia,australia,Australia,F,Football,football,1,5938,AUS,False,True,0,7410,AU,Australia,[],#ffcc00,#2d324b,#2d324b,1,1,0,1.0,1,4,4,2,2.0,4,,3.0,1560890928.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1560890929,,,,,,,,,
rgosaEwb,1,-1.0,False,,,,False,8319519,1564326000,mexico-jamaica,False,"Pan American Games, Women, Group A",pan-american-games-women-group-a,World,world,Football,football,1,1468,international,"Pan American Games, Women",pan-american-games-women,#f9ea18,#811b85,World,world,Football,football,1.0,1468.0,international,913.0,False,False,13773.0,False,False,0,74065,1.0,100,Ended,finished,Mexico,mexico,Mexico,F,Football,football,1,3610,MEX,,True,0,35317,MX,Mexico,[],#1a4d3e,#960000,#960000,Jamaica,jamaica,Jamaica,F,Football,football,1,3355,JAM,False,True,0,178950,JM,Jamaica,[],#ffff00,#33a64f,#33a64f,2,2,1,1.0,2,0,0,0,0.0,0,1.0,3.0,1564332723.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1564332726,,,,,,,,,
GHtsaEwb,2,-1.0,False,,,,False,8325622,1564596000,colombia-jamaica,False,"Pan American Games, Women, Group A",pan-american-games-women-group-a,World,world,Football,football,1,1468,international,"Pan American Games, Women",pan-american-games-women,#f9ea18,#811b85,World,world,Football,football,1.0,1468.0,international,913.0,False,False,13773.0,False,False,0,74065,2.0,100,Ended,finished,Jamaica,jamaica,Jamaica,F,Football,football,1,3355,JAM,False,True,0,178950,JM,Jamaica,[],#ffff00,#33a64f,#33a64f,Colombia,colombia,Colombia,F,Football,football,1,9074,COL,False,True,0,46631,CO,Colombia,[],#ffd808,#000066,#000066,0,0,0,0.0,0,2,2,0,2.0,2,1.0,3.0,1564602743.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1564602756,,,,,,,,,
aEwbsLAEc,1,-1.0,False,,,,False,8325624,1564855200,paraguay-jamaica,False,"Pan American Games, Women, Group A",pan-american-games-women-group-a,World,world,Football,football,1,1468,international,"Pan American Games, Women",pan-american-games-women,#f9ea18,#811b85,World,world,Football,football,1.0,1468.0,international,913.0,False,False,13773.0,False,False,0,74065,3.0,100,Ended,finished,Paraguay,paraguay,Paraguay,F,Football,football,1,1480,PAR,,True,0,323786,PY,Paraguay,[],#ff0000,#045ca3,#045ca3,Jamaica,jamaica,Jamaica,F,Football,football,1,3355,JAM,False,True,0,178950,JM,Jamaica,[],#ffff00,#33a64f,#33a64f,3,3,1,2.0,3,1,1,1,0.0,1,2.0,4.0,1564862150.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1564862153,,,,,,,,,
aEwbsMAEc,1,-1.0,False,,,,False,8344203,1565103600,peru-jamaica,False,"Pan American Games, Women, Placement 5-8",pan-american-games-women-placement-5-8,World,world,Football,football,1,1468,international,"Pan American Games, Women",pan-american-games-women,#f9ea18,#811b85,World,world,Football,football,1.0,1468.0,international,913.0,False,False,13773.0,False,False,0,74612,,100,Ended,finished,Jamaica,jamaica,Jamaica,F,Football,football,1,3355,JAM,False,True,0,178950,JM,Jamaica,[],#ffff00,#33a64f,#33a64f,Peru,peru,Peru,F,Football,football,1,1115,PER,,True,0,323787,PE,Peru,[],#ffffff,#cc0000,#cc0000,1,1,1,0.0,1,0,0,0,0.0,0,2.0,3.0,1565110378.0,"['status.code', 'status.description', 'status.type']",1565110381,,,,,,,,,
rgosaEwb,1,-1.0,True,,,,False,8546253,1580346000,mexico-jamaica,False,"CONCACAF Olympic Qualif., Women, Group B",concacaf-olympic-qualif-women-group-b,North & Central America,north-central-america,Football,football,1,1469,north-and-central-america,"CONCACAF Olympic Qualif., Women",concacaf-olympic-qualif-women,#fc233c,#d2192e,North & Central America,north-central-america,Football,football,1.0,1469.0,north-and-central-america,1104.0,False,False,3071.0,False,False,0,51067,1.0,100,Ended,finished,Mexico,mexico,Mexico,F,Football,football,1,3610,MEX,,True,0,35317,MX,Mexico,[],#1a4d3e,#960000,#960000,Jamaica,jamaica,Jamaica,F,Football,football,1,3355,JAM,False,True,0,178950,JM,Jamaica,[],#ffff00,#33a64f,#33a64f,1,1,1,,1,0,0,0,,0,,3.0,1580353230.0,['cardsCode'],1580375782,,,,,,,,,
mYcsaEwb,2,-1.0,True,,,,False,8546258,1580596200,canada-jamaica,False,"CONCACAF Olympic Qualif., Women, Group B",concacaf-olympic-qualif-women-group-b,North & Central America,north-central-america,Football,football,1,1469,north-and-central-america,"CONCACAF Olympic Qualif., Women",concacaf-olympic-qualif-women,#fc233c,#d2192e,North & Central America,north-central-america,Football,football,1.0,1469.0,north-and-central-america,1104.0,False,False,3071.0,False,False,0,51067,2.0,100,Ended,finished,Jamaica,jamaica,Jamaica,F,Football,football,1,3355,JAM,False,True,0,178950,JM,Jamaica,[],#ffff00,#33a64f,#33a64f,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,0,0,0,,0,9,9,3,,9,1.0,3.0,1580605207.0,['cardsCode'],1580656778,,,,,,,,,
aEwbsmRoc,1,-1.0,True,,,,False,8546259,1580866200,saint-kitts-and-nevis-jamaica,False,"CONCACAF Olympic Qualif., Women, Group B",concacaf-olympic-qualif-women-group-b,North & Central America,north-central-america,Football,football,1,1469,north-and-central-america,"CONCACAF Olympic Qualif., Women",concacaf-olympic-qualif-women,#fc233c,#d2192e,North & Central America,north-central-america,Football,football,1.0,1469.0,north-and-central-america,1104.0,False,False,3071.0,False,False,0,51067,3.0,100,Ended,finished,Jamaica,jamaica,Jamaica,F,Football,football,1,3355,JAM,False,True,0,178950,JM,Jamaica,[],#ffff00,#33a64f,#33a64f,Saint Kitts and Nevis,saint-kitts-and-nevis,Saint Kitts and Nevis,F,Football,football,1,72,SKN,,True,0,287112,KN,Saint Kitts and Nevis,[],#ff0000,#008000,#008000,7,7,2,,7,0,0,0,,0,1.0,,1580874753.0,['cardsCode'],1580890697,,,,,,,,,
