customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,awayTeam.disabled,awayRedCards,homeRedCards,homeScore.penalties,awayScore.penalties
GNsWN,3,True,True,True,1.0,False,10367290,1663380000,mazatlan-fc-toluca,False,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,MX,"Liga MX, Apertura",liga-mx-apertura,#cd2c25,#52b030,Mexico,mexico,Football,football,1,12,mexico,MX,31118,11621,True,False,False,False,349,28,15,100,Ended,finished,Mazatlán FC,mazatlan-fc,Mazatlán ,M,Football,football,1,7615,MAZ,False,False,0,1946,MX,Mexico,[],#523278,#83dfec,#83dfec,Toluca,toluca,Toluca,M,Football,football,1,13887,TOL,False,0,1931,MX,Mexico,[],#d50101,#202b15,#202b15,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,7.0,1663387449.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1663387450,,,,,
UNsWN,3,True,True,True,1.0,False,10367165,1663977600,mazatlan-fc-club-necaxa,False,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,MX,"Liga MX, Apertura",liga-mx-apertura,#cd2c25,#52b030,Mexico,mexico,Football,football,1,12,mexico,MX,31118,11621,True,False,False,False,349,28,16,100,Ended,finished,Club Necaxa,club-necaxa,Necaxa,M,Football,football,1,9513,NCX,False,False,0,1944,MX,Mexico,[],#ff0000,#ffffff,#ffffff,Mazatlán FC,mazatlan-fc,Mazatlán ,M,Football,football,1,7615,MAZ,False,0,1946,MX,Mexico,[],#523278,#83dfec,#83dfec,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,7.0,1663984874.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1663984877,False,,,,
WNsYN,1,True,True,True,1.0,False,10367180,1664751900,santos-laguna-mazatlan-fc,False,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,MX,"Liga MX, Apertura",liga-mx-apertura,#cd2c25,#52b030,Mexico,mexico,Football,football,1,12,mexico,MX,31118,11621,True,False,False,False,349,28,17,100,Ended,finished,Santos Laguna,santos-laguna,Santos,M,Football,football,1,13670,SLA,False,False,0,1948,MX,Mexico,[],#ffffff,#00c6c6,#00c6c6,Mazatlán FC,mazatlan-fc,Mazatlán ,M,Football,football,1,7615,MAZ,False,0,1946,MX,Mexico,[],#523278,#83dfec,#83dfec,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1664758661.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1664758665,False,,,,
PNsWN,3,False,,,,False,10934881,1670986800,mazatlan-fc-tigres-uanl,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,853,False,False,False,False,0,86,1,100,Ended,finished,Tigres UANL,tigres-uanl,Tigres,M,Football,football,1,27563,TIG,False,False,0,1940,MX,Mexico,[],#ffcc00,#0080ff,#0080ff,Mazatlán FC,mazatlan-fc,Mazatlán ,M,Football,football,1,7615,MAZ,False,0,1946,MX,Mexico,[],#523278,#83dfec,#83dfec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1670994362.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1670994364,False,,,,
NNsWN,1,False,,,,False,10934877,1671246000,mazatlan-fc-cd-guadalajara,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,853,False,False,False,False,0,86,1,100,Ended,finished,CD Guadalajara,cd-guadalajara,Guadalajara,M,Football,football,1,24167,GDC,False,False,0,1938,MX,Mexico,[],#bb0000,#ffffff,#ffffff,Mazatlán FC,mazatlan-fc,Mazatlán ,M,Football,football,1,7615,MAZ,False,0,1946,MX,Mexico,[],#523278,#83dfec,#83dfec,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,3.0,1671253058.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1671253059,False,,,,
WNsZN,1,False,,,,False,10934875,1671591600,atlas-mazatlan-fc,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,853,False,False,False,False,0,86,1,100,Ended,finished,Atlas,atlas,Atlas,M,Football,football,1,14087,ATL,False,False,0,1949,MX,Mexico,[],#e70b17,#000000,#000000,Mazatlán FC,mazatlan-fc,Mazatlán ,M,Football,football,1,7615,MAZ,False,0,1946,MX,Mexico,[],#523278,#83dfec,#83dfec,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,,4.0,1671599210.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1671599213,False,,,,
WNsYN,2,True,,,,False,10934876,1671850800,santos-laguna-mazatlan-fc,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,853,False,False,False,False,0,86,1,100,Ended,finished,Mazatlán FC,mazatlan-fc,Mazatlán ,M,Football,football,1,7615,MAZ,False,False,0,1946,MX,Mexico,[],#523278,#83dfec,#83dfec,Santos Laguna,santos-laguna,Santos,M,Football,football,1,13670,SLA,False,0,1948,MX,Mexico,[],#ffffff,#00c6c6,#00c6c6,2.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,,,,"['status.code', 'status.description', 'status.type', 'homeScore.current', 'homeScore.display', 'homeScore.period1', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.current', 'awayScore.display', 'awayScore.period1', 'awayScore.period2', 'awayScore.normaltime']",1671859339,False,,,,
WNsJFo,0,False,,,1.0,False,10911697,1673061000,club-leon-mazatlan-fc,False,"Liga MX, Clausura",liga-mx-clausura,Mexico,mexico,Football,football,1,12,mexico,MX,"Liga MX, Clausura",liga-mx-clausura,#cd2c25,#52b030,Mexico,mexico,Football,football,1,12,mexico,MX,28942,11620,True,False,False,False,350,16753,1,60,Postponed,postponed,Mazatlán FC,mazatlan-fc,Mazatlán ,M,Football,football,1,7615,MAZ,False,False,0,1946,MX,Mexico,[],#523278,#83dfec,#83dfec,Club León,club-leon,León,M,Football,football,1,16416,LEO,False,0,36534,MX,Mexico,[],#008040,#66cc33,#66cc33,,,,,,,,,,,,,,"['status.code', 'status.description', 'status.type']",1672954375,False,,,,
WNsZN,1,True,True,True,1.0,False,10911725,1673579100,atlas-mazatlan-fc,False,"Liga MX, Clausura",liga-mx-clausura,Mexico,mexico,Football,football,1,12,mexico,MX,"Liga MX, Clausura",liga-mx-clausura,#cd2c25,#52b030,Mexico,mexico,Football,football,1,12,mexico,MX,28942,11620,True,False,False,False,350,16753,2,100,Ended,finished,Atlas,atlas,Atlas,M,Football,football,1,14087,ATL,False,False,0,1949,MX,Mexico,[],#e70b17,#000000,#000000,Mazatlán FC,mazatlan-fc,Mazatlán ,M,Football,football,1,7615,MAZ,False,0,1946,MX,Mexico,[],#523278,#83dfec,#83dfec,2.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,4.0,8.0,1673586500.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1673586505,False,,,,
WNsYN,2,True,True,True,1.0,False,10911734,1674270000,santos-laguna-mazatlan-fc,False,"Liga MX, Clausura",liga-mx-clausura,Mexico,mexico,Football,football,1,12,mexico,MX,"Liga MX, Clausura",liga-mx-clausura,#cd2c25,#52b030,Mexico,mexico,Football,football,1,12,mexico,MX,28942,11620,True,False,False,False,350,16753,3,100,Ended,finished,Mazatlán FC,mazatlan-fc,Mazatlán ,M,Football,football,1,7615,MAZ,False,False,0,1946,MX,Mexico,[],#523278,#83dfec,#83dfec,Santos Laguna,santos-laguna,Santos,M,Football,football,1,13670,SLA,False,0,1948,MX,Mexico,[],#ffffff,#00c6c6,#00c6c6,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,6.0,1674277071.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1674277074,False,,,,
