customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,homeRedCards,time.injuryTime1,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,tournament.category.alpha2,tournament.uniqueTournament.category.alpha2,awayRedCards,roundInfo.name,roundInfo.slug
XNsBYQc,2,False,False,10899039,1669251600,cancun-fc-cruz-azul,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,40028,853,False,False,False,False,0,86,1.0,100,Ended,finished,Cancún FC,cancun-fc,Cancún,M,Football,football,1,3052,CAN,False,False,0,354926,MX,Mexico,[],#7ed0e4,#ffffff,#ffffff,Cruz Azul,cruz-azul,Cruz Azul,M,Football,football,1,23213,CAZ,False,False,0,1947,MX,Mexico,[],#0080c0,#ffffff,#ffffff,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,1669259739.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1669259743,,,,,,,,,,
UNsXN,3,True,False,10934117,1670893200,cruz-azul-club-necaxa,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,40028,853,False,False,False,False,0,86,1.0,100,Ended,finished,Cruz Azul,cruz-azul,Cruz Azul,M,Football,football,1,23213,CAZ,False,False,0,1947,MX,Mexico,[],#0080c0,#ffffff,#ffffff,Club Necaxa,club-necaxa,Necaxa,M,Football,football,1,9513,NCX,False,False,0,1944,MX,Mexico,[],#ff0000,#ffffff,#ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1670900755.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1670900757,1.0,3.0,,,,,,,,
INsXN,2,True,False,10934871,1671238800,cruz-azul-pumas-unam,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,40028,853,False,False,False,False,0,86,1.0,100,Ended,finished,Pumas UNAM,pumas-unam,Pumas UNAM,M,Football,football,1,16179,PUM,False,False,0,1933,MX,Mexico,[],#d2b651,#000033,#000033,Cruz Azul,cruz-azul,Cruz Azul,M,Football,football,1,23213,CAZ,False,False,0,1947,MX,Mexico,[],#0080c0,#ffffff,#ffffff,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,,,['cardsCode'],1671260605,,,,,,,,,,
GNsXN,3,True,False,10934878,1671757200,cruz-azul-toluca,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,40028,853,False,False,False,False,0,86,1.0,100,Ended,finished,Toluca,toluca,Toluca,M,Football,football,1,13887,TOL,,False,0,1931,MX,Mexico,[],#d50101,#202b15,#202b15,Cruz Azul,cruz-azul,Cruz Azul,M,Football,football,1,23213,CAZ,False,False,0,1947,MX,Mexico,[],#0080c0,#ffffff,#ffffff,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,1671764564.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1671764567,,1.0,,,,,,,,
ONsXN,1,True,False,10935935,1672189200,cruz-azul-club-america,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,40028,853,False,False,False,False,0,86,1.0,100,Ended,finished,Cruz Azul,cruz-azul,Cruz Azul,M,Football,football,1,23213,CAZ,False,False,0,1947,MX,Mexico,[],#0080c0,#ffffff,#ffffff,Club América,club-america,América,M,Football,football,1,41006,AME,,False,0,1939,MX,Mexico,[],#ffff99,#000000,#000000,2.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,7.0,1672197004.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1672197008,,,,,,,,,,
NNsXN,2,True,False,10960083,1672452000,cruz-azul-cd-guadalajara,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,40028,853,False,False,False,False,0,86,1.0,100,Ended,finished,CD Guadalajara,cd-guadalajara,Guadalajara,M,Football,football,1,24167,GDC,False,False,0,1938,MX,Mexico,[],#bb0000,#ffffff,#ffffff,Cruz Azul,cruz-azul,Cruz Azul,M,Football,football,1,23213,CAZ,False,False,0,1947,MX,Mexico,[],#0080c0,#ffffff,#ffffff,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,5.0,1672459700.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1672459705,,2.0,,,,,,,,
XNsAFo,3,True,False,10911723,1673233800,club-tijuana-cruz-azul,False,"Liga MX, Clausura",liga-mx-clausura,Mexico,mexico,Football,football,1,12,mexico,"Liga MX, Clausura",liga-mx-clausura,#cd2c25,#52b030,Mexico,mexico,Football,football,1,12,mexico,28942,11620,True,False,False,False,350,16753,1.0,100,Ended,finished,Club Tijuana,club-tijuana,Tijuana,M,Football,football,1,7454,TIJ,,False,0,36525,MX,Mexico,[],#ff0000,#ffffff,#ffffff,Cruz Azul,cruz-azul,Cruz Azul,M,Football,football,1,23213,CAZ,False,False,0,1947,MX,Mexico,[],#0080c0,#ffffff,#ffffff,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,1673241166.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1673241169,,3.0,True,True,1.0,MX,MX,,,
HNsXN,2,True,False,10911728,1673737200,cruz-azul-monterrey,False,"Liga MX, Clausura",liga-mx-clausura,Mexico,mexico,Football,football,1,12,mexico,"Liga MX, Clausura",liga-mx-clausura,#cd2c25,#52b030,Mexico,mexico,Football,football,1,12,mexico,28942,11620,True,False,False,False,350,16753,2.0,100,Ended,finished,Cruz Azul,cruz-azul,Cruz Azul,M,Football,football,1,23213,CAZ,False,False,0,1947,MX,Mexico,[],#0080c0,#ffffff,#ffffff,Monterrey,monterrey,Monterrey,M,Football,football,1,25544,MON,,False,0,1932,MX,Mexico,[],#ffffff,#000000,#000000,2.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,,1673744262.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1673744265,1.0,3.0,True,True,1.0,MX,MX,,,
UNsXN,1,True,False,10911739,1674357480,cruz-azul-club-necaxa,False,"Liga MX, Clausura",liga-mx-clausura,Mexico,mexico,Football,football,1,12,mexico,"Liga MX, Clausura",liga-mx-clausura,#cd2c25,#52b030,Mexico,mexico,Football,football,1,12,mexico,28942,11620,True,False,False,False,350,16753,3.0,100,Ended,finished,Club Necaxa,club-necaxa,Necaxa,M,Football,football,1,9513,NCX,False,False,0,1944,MX,Mexico,[],#ff0000,#ffffff,#ffffff,Cruz Azul,cruz-azul,Cruz Azul,M,Football,football,1,23213,CAZ,False,False,0,1947,MX,Mexico,[],#0080c0,#ffffff,#ffffff,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1674364862.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1674364866,,3.0,True,True,1.0,MX,MX,,,
XNsbO,0,False,False,10911746,1674950400,queretaro-cruz-azul,False,"Liga MX, Clausura",liga-mx-clausura,Mexico,mexico,Football,football,1,12,mexico,"Liga MX, Clausura",liga-mx-clausura,#cd2c25,#52b030,Mexico,mexico,Football,football,1,12,mexico,28942,11620,True,False,False,False,350,16753,4.0,60,Postponed,postponed,Querétaro,queretaro,Querétaro,M,Football,football,1,6696,QUE,,False,0,1951,MX,Mexico,[],#0058b0,#000000,#000000,Cruz Azul,cruz-azul,Cruz Azul,M,Football,football,1,23213,CAZ,False,False,0,1947,MX,Mexico,[],#0080c0,#ffffff,#ffffff,,,,,,,,,,,,,"['status.code', 'status.description', 'status.type']",1674674494,,,,,,MX,MX,,,
