customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,detailId,crowdsourcingDataDisplayEnabled,id,homeRedCards,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,hasEventPlayerHeatMap,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,aggregatedWinnerCode,previousLegEventId,homeScore.aggregated,awayScore.aggregated,hasXg,awayRedCards
eOsAfMc,3,True,False,4.0,False,10950492,1.0,1674912600,athletic-club-cruzeiro,False,Mineiro Módulo I,mineiro-modulo-i,Brazil,brazil,Football,football,1,13,brazil,BR,Mineiro Módulo I,mineiro-modulo-i,#b31218,#77818b,Brazil,brazil,Football,football,1,13,brazil,BR,10111,379,False,False,False,False,0,57345,2,100,Ended,finished,Cruzeiro,cruzeiro,Cruzeiro,M,Football,football,1,73672,CRU,False,False,0,1954,BR,Brazil,[],#0033cc,#0033cc,#0033cc,Athletic Club,athletic-club,Athletic Club,M,Football,football,1,2359,ATH,False,False,0,342775,BR,Brazil,[],#222220,#ffffff,#ffffff,1,1,0,1,1,1,1,1,0,1,5.0,9.0,1674919996.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1674919999,,,,,,,,,,
eOsyO,1,False,False,4.0,False,10950568,,1675539000,america-mineiro-cruzeiro,False,Mineiro Módulo I,mineiro-modulo-i,Brazil,brazil,Football,football,1,13,brazil,BR,Mineiro Módulo I,mineiro-modulo-i,#b31218,#77818b,Brazil,brazil,Football,football,1,13,brazil,BR,10111,379,False,False,False,False,0,57345,3,100,Ended,finished,América Mineiro,america-mineiro,América-MG,M,Football,football,1,39882,AMG,False,False,0,1973,BR,Brazil,[],#056635,#ffffff,#ffffff,Cruzeiro,cruzeiro,Cruzeiro,M,Football,football,1,73672,CRU,False,False,0,1954,BR,Brazil,[],#0033cc,#0033cc,#0033cc,1,1,0,1,1,0,0,0,0,0,5.0,8.0,1675546444.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1675546446,,,,,,,,,,
eOsPvMc,2,False,False,4.0,False,10950639,,1675816200,pouso-alegre-cruzeiro,False,Mineiro Módulo I,mineiro-modulo-i,Brazil,brazil,Football,football,1,13,brazil,BR,Mineiro Módulo I,mineiro-modulo-i,#b31218,#77818b,Brazil,brazil,Football,football,1,13,brazil,BR,10111,379,False,False,False,False,0,57345,4,100,Ended,finished,Cruzeiro,cruzeiro,Cruzeiro,M,Football,football,1,73672,CRU,False,False,0,1954,BR,Brazil,[],#0033cc,#0033cc,#0033cc,Pouso Alegre,pouso-alegre,Pouso Alegre,M,Football,football,1,2111,POU,False,False,0,343540,BR,Brazil,[],#52b030,#52b030,#ffffff,0,0,0,0,0,1,1,1,0,1,3.0,6.0,1675823196.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1675823199,,,,,,,,,,
eOsCO,3,False,False,4.0,False,10950689,,1676329200,atletico-mineiro-cruzeiro,False,Mineiro Módulo I,mineiro-modulo-i,Brazil,brazil,Football,football,1,13,brazil,BR,Mineiro Módulo I,mineiro-modulo-i,#b31218,#77818b,Brazil,brazil,Football,football,1,13,brazil,BR,10111,379,False,False,False,False,0,57345,5,100,Ended,finished,Cruzeiro,cruzeiro,Cruzeiro,M,Football,football,1,73672,CRU,False,False,0,1954,BR,Brazil,[],#0033cc,#0033cc,#0033cc,Atlético Mineiro,atletico-mineiro,Atlético-MG,M,Football,football,1,101789,ATL,False,False,0,1977,BR,Brazil,[],#000000,#ffffff,#ffffff,1,1,0,1,1,1,1,0,1,1,3.0,9.0,1676336347.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1676336349,,,,,,,,,,
eOsqWc,2,False,False,4.0,False,10950774,,1676757600,villa-nova-cruzeiro,False,Mineiro Módulo I,mineiro-modulo-i,Brazil,brazil,Football,football,1,13,brazil,BR,Mineiro Módulo I,mineiro-modulo-i,#b31218,#77818b,Brazil,brazil,Football,football,1,13,brazil,BR,10111,379,False,False,False,False,0,57345,6,100,Ended,finished,Villa Nova,villa-nova,Villa Nova,M,Football,football,1,764,VIN,False,False,0,7316,BR,Brazil,[],#be0000,#fffeff,#fffeff,Cruzeiro,cruzeiro,Cruzeiro,M,Football,football,1,73672,CRU,False,False,0,1954,BR,Brazil,[],#0033cc,#0033cc,#0033cc,0,0,0,0,0,4,4,2,2,4,,4.0,1676764580.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1676764584,,,,,,,,,,
eOswRp,2,False,False,4.0,False,10950838,1.0,1677180600,caldense-cruzeiro,False,Mineiro Módulo I,mineiro-modulo-i,Brazil,brazil,Football,football,1,13,brazil,BR,Mineiro Módulo I,mineiro-modulo-i,#b31218,#77818b,Brazil,brazil,Football,football,1,13,brazil,BR,10111,379,False,False,False,False,0,57345,7,100,Ended,finished,Caldense,caldense,Caldense,M,Football,football,1,1344,CAL,False,False,0,39621,BR,Brazil,[],#004117,#004117,#004117,Cruzeiro,cruzeiro,Cruzeiro,M,Football,football,1,73672,CRU,False,False,0,1954,BR,Brazil,[],#0033cc,#0033cc,#0033cc,1,1,0,1,1,2,2,2,0,2,5.0,7.0,1677187869.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1677187871,,,,,,,,,,
eOsDxMc,3,False,False,4.0,False,10950891,,1677958200,democrata-fc-cruzeiro,False,Mineiro Módulo I,mineiro-modulo-i,Brazil,brazil,Football,football,1,13,brazil,BR,Mineiro Módulo I,mineiro-modulo-i,#b31218,#77818b,Brazil,brazil,Football,football,1,13,brazil,BR,10111,379,False,False,False,False,0,57345,8,100,Ended,finished,Cruzeiro,cruzeiro,Cruzeiro,M,Football,football,1,73672,CRU,False,False,0,1954,BR,Brazil,[],#0033cc,#0033cc,#0033cc,Democrata FC,democrata-fc,Democrata FC,M,Football,football,1,570,DEM,False,False,0,343628,BR,Brazil,[],#52b030,#52b030,#ffffff,1,1,1,0,1,1,1,1,0,1,7.0,6.0,1677965585.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1677965588,,,,,,,,,,
eOsyO,2,False,True,1.0,False,11106621,,1678563000,america-mineiro-cruzeiro,False,"Mineiro, Modulo I, Playoffs",mineiro-modulo-i-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Mineiro Módulo I,mineiro-modulo-i,#b31218,#77818b,Brazil,brazil,Football,football,1,13,brazil,BR,10111,379,False,False,False,False,0,58934,28,100,Ended,finished,Cruzeiro,cruzeiro,Cruzeiro,M,Football,football,1,73672,CRU,False,False,0,1954,BR,Brazil,[],#0033cc,#0033cc,#0033cc,América Mineiro,america-mineiro,América-MG,M,Football,football,1,39882,AMG,False,False,0,1973,BR,Brazil,[],#056635,#ffffff,#ffffff,0,0,0,0,0,2,2,1,1,2,4.0,11.0,1678570381.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1678570385,True,Semifinal,semifinal,2.0,,,,,,
eOsyO,1,False,True,1.0,False,11128148,,1679259600,america-mineiro-cruzeiro,False,"Mineiro, Modulo I, Playoffs",mineiro-modulo-i-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Mineiro Módulo I,mineiro-modulo-i,#b31218,#77818b,Brazil,brazil,Football,football,1,13,brazil,BR,10111,379,False,False,False,False,0,58934,28,100,Ended,finished,América Mineiro,america-mineiro,América-MG,M,Football,football,1,39882,AMG,False,False,0,1973,BR,Brazil,[],#056635,#ffffff,#ffffff,Cruzeiro,cruzeiro,Cruzeiro,M,Football,football,1,73672,CRU,False,False,0,1954,BR,Brazil,[],#0033cc,#0033cc,#0033cc,2,2,1,1,2,1,1,0,1,1,6.0,5.0,1679266591.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1679266594,True,Semifinal,semifinal,2.0,1.0,11106621.0,4.0,1.0,,
eOsZO,2,False,,,False,11174398,,1680127200,red-bull-bragantino-cruzeiro,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,853,False,False,False,False,0,86,1,100,Ended,finished,Red Bull Bragantino,red-bull-bragantino,RB Bragantino,M,Football,football,1,49385,BRA,False,False,0,1999,BR,Brazil,[],#363636,#d8d8d6,#d8d8d6,Cruzeiro,cruzeiro,Cruzeiro,M,Football,football,1,73672,CRU,False,False,0,1954,BR,Brazil,[],#0033cc,#0033cc,#0033cc,2,2,2,0,2,3,3,0,3,3,,,,['cardsCode'],1680160228,,,,,,,,,,
