customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,detailId,homeRedCards,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,aggregatedWinnerCode,awayRedCards,previousLegEventId,homeScore.aggregated,awayScore.aggregated,hasXg,hasEventPlayerStatistics,hasEventPlayerHeatMap,homeScore.penalties,awayScore.penalties
fOsmO,3,False,False,10997680,1678042800,vitoria-bahia,False,Copa do Nordeste,copa-do-nordeste,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Nordeste,copa-do-nordeste,#033bbe,#a5863b,Brazil,brazil,Football,football,1,13,brazil,BR,19722,1596,False,False,False,False,0,70849,6,100,Ended,finished,Bahia,bahia,Bahia,M,Football,football,1,55741,BAH,False,False,0,1955,BR,Brazil,[],#ffffff,#333399,#333399,Vitória,vitoria,Vitória,M,Football,football,1,23493,VIT,False,False,0,1962,BR,Brazil,[],#ff0000,#000000,#000000,1,1,1,0,1,1,1,1,0,1,4.0,6.0,1678049880,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1678049883,,,,,,,,,,,,,,,
fOsvJz,2,True,False,11103593,1678312800,camboriu-bahia,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,373,False,False,False,False,0,283,2,100,Ended,finished,Camboriú,camboriu,Camboriú,M,Football,football,1,1158,CAM,False,False,0,61720,BR,Brazil,[],#52b030,#52b030,#ffffff,Bahia,bahia,Bahia,M,Football,football,1,55741,BAH,False,False,0,1955,BR,Brazil,[],#ffffff,#333399,#333399,0,0,0,0,0,1,1,1,0,1,2.0,6.0,1678319739,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1678319743,6.0,1.0,Round 2,round-2,,,,,,,,,,,
fOsyOi,1,False,False,11101004,1678561200,itabuna-bahia,False,"Baiano, 1 Divisao, Playoffs",baiano-1-divisao-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Baiano,baiano,#502582,#f42552,Brazil,brazil,Football,football,1,13,brazil,BR,5032,374,False,False,False,False,0,58936,28,100,Ended,finished,Itabuna,itabuna,Itabuna,M,Football,football,1,689,ITA,False,False,0,21973,BR,Brazil,[],#52b030,#52b030,#ffffff,Bahia,bahia,Bahia,M,Football,football,1,55741,BAH,False,False,0,1955,BR,Brazil,[],#ffffff,#333399,#333399,1,1,0,1,1,0,0,0,0,0,,,1678565160,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1678568360,,,Semifinal,semifinal,2.0,,,,,,,,,,
fOsrgad,3,False,False,10984870,1678840200,fluminense-pi-bahia,False,Copa do Nordeste,copa-do-nordeste,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Nordeste,copa-do-nordeste,#033bbe,#a5863b,Brazil,brazil,Football,football,1,13,brazil,BR,19722,1596,False,False,False,False,0,70849,7,100,Ended,finished,Fluminense-PI,fluminense-pi,Fluminense-PI,M,Football,football,1,2157,FLU,False,False,0,375317,BR,Brazil,[],#52b030,#52b030,#ffffff,Bahia,bahia,Bahia,M,Football,football,1,55741,BAH,False,False,0,1955,BR,Brazil,[],#ffffff,#333399,#333399,1,1,0,1,1,1,1,0,1,1,6.0,2.0,1678847286,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1678847290,,,,,,,,,,,,,,,
fOsyOi,1,False,False,11101005,1679166000,itabuna-bahia,False,"Baiano, 1 Divisao, Playoffs",baiano-1-divisao-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Baiano,baiano,#502582,#f42552,Brazil,brazil,Football,football,1,13,brazil,BR,5032,374,False,False,False,False,0,58936,28,100,Ended,finished,Bahia,bahia,Bahia,M,Football,football,1,55741,BAH,False,False,0,1955,BR,Brazil,[],#ffffff,#333399,#333399,Itabuna,itabuna,Itabuna,M,Football,football,1,689,ITA,False,False,0,21973,BR,Brazil,[],#52b030,#52b030,#ffffff,4,4,0,4,4,1,1,0,1,1,,,1679169960,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1679173099,,1.0,Semifinal,semifinal,2.0,2.0,2.0,11101004.0,4.0,2.0,,,,,
fOsHPi,1,False,False,10984871,1679531400,crb-bahia,False,Copa do Nordeste,copa-do-nordeste,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Nordeste,copa-do-nordeste,#033bbe,#a5863b,Brazil,brazil,Football,football,1,13,brazil,BR,19722,1596,False,False,False,False,0,70849,8,100,Ended,finished,Bahia,bahia,Bahia,M,Football,football,1,55741,BAH,False,False,0,1955,BR,Brazil,[],#ffffff,#333399,#333399,CRB,crb,CRB,M,Football,football,1,16598,BRA,,False,0,22032,BR,Brazil,[],#f20000,#f20000,#f20000,3,3,2,1,3,0,0,0,0,0,3.0,2.0,1679538228,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1679538232,,,,,,,,,,,,,,,
fOsqTJ,3,False,False,11145291,1679857200,jacuipense-bahia,False,"Baiano, 1 Divisao, Playoffs",baiano-1-divisao-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Baiano,baiano,#502582,#f42552,Brazil,brazil,Football,football,1,13,brazil,BR,5032,374,False,False,False,False,0,58936,29,100,Ended,finished,Jacuipense,jacuipense,Jacuipense,M,Football,football,1,2162,JAC,,False,0,87166,BR,Brazil,[],#890009,#ffffff,#ffffff,Bahia,bahia,Bahia,M,Football,football,1,55741,BAH,False,False,0,1955,BR,Brazil,[],#ffffff,#333399,#333399,1,1,1,0,1,1,1,0,1,1,,,1679861100,['cardsCode'],1679866265,,,Final,final,1.0,,,,,,,,,,
fOsqTJ,1,False,False,11147003,1680462000,jacuipense-bahia,False,"Baiano, 1 Divisao, Playoffs",baiano-1-divisao-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Baiano,baiano,#502582,#f42552,Brazil,brazil,Football,football,1,13,brazil,BR,5032,374,False,False,False,False,0,58936,29,100,Ended,finished,Bahia,bahia,Bahia,M,Football,football,1,55741,BAH,False,False,0,1955,BR,Brazil,[],#ffffff,#333399,#333399,Jacuipense,jacuipense,Jacuipense,M,Football,football,1,2162,JAC,,False,0,87166,BR,Brazil,[],#890009,#ffffff,#ffffff,3,3,0,3,3,0,0,0,0,0,,,1680466260,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1680469338,,,Final,final,1.0,1.0,,11145291.0,4.0,1.0,,,,,
fOsHOc,2,True,False,11177685,1681241400,volta-redonda-bahia,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,373,False,False,False,False,0,283,3,100,Ended,finished,Volta Redonda,volta-redonda,Volta Redonda,M,Football,football,1,8295,VOR,False,False,0,6982,BR,Brazil,[],#f3df67,#000000,#000000,Bahia,bahia,Bahia,M,Football,football,1,55741,BAH,False,False,0,1955,BR,Brazil,[],#ffffff,#333399,#333399,1,1,0,1,1,2,2,1,1,2,,8.0,1681248545,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681248547,6.0,,Round 3,round-3,,,,,,,,,,,
fOsZO,1,True,False,11067269,1681594200,red-bull-bragantino-bahia,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,1,100,Ended,finished,Red Bull Bragantino,red-bull-bragantino,RB Bragantino,M,Football,football,1,49385,BRA,False,False,0,1999,BR,Brazil,[],#363636,#d8d8d6,#d8d8d6,Bahia,bahia,Bahia,M,Football,football,1,55741,BAH,False,False,0,1955,BR,Brazil,[],#ffffff,#333399,#333399,2,2,0,2,2,1,1,1,0,1,7.0,6.0,1681601501,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681601504,1.0,,,,,,,,,,True,True,True,,
