customId,winnerCode,coverage,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,homeScore.period2,awayScore.period2,detailId,awayRedCards,hasEventPlayerStatistics,hasEventPlayerHeatMap
xNisNlDb,1,-1.0,True,False,10018324,1643875200,south-korea-philippines,False,"AFC Asian Cup, Women, Knockout stage",afc-asian-cup-women-knockout-stage,Asia,asia,Football,football,1,1467,asia,"AFC Asian Cup, Women",afc-asian-cup-women,#f3a953,#19bc55,Asia,asia,Football,football,1.0,1467.0,asia,1930.0,1692.0,False,False,False,False,0,34883,2.0,Semifinals,semifinals,2.0,100,Ended,finished,South Korea,south-korea,South Korea,F,Football,football,1,3594,KOR,False,True,0,21922,KR,South Korea,[],#ff0000,#0000ff,#0000ff,Philippines,philippines,Philippines,F,Football,football,1,2492,PHI,False,True,0,195588,PH,Philippines,[],#ffffff,#0000ff,#0000ff,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,1643881856.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1643881863,,,,,,
NlDbsQiqc,1,-1.0,False,False,10292161,1652097600,cambodia-philippines,False,"Southeast Asian Games, Women, Group A",southeast-asian-games-women-group-a,Asia,asia,Football,football,1,1467,asia,"Southeast Asian Games, Women",southeast-asian-games-women,#375dab,#f8971f,Asia,asia,Football,football,1.0,1467.0,asia,1110.0,14527.0,False,False,False,False,0,61364,1.0,,,,100,Ended,finished,Philippines,philippines,Philippines,F,Football,football,1,2492,PHI,False,True,0,195588,PH,Philippines,[],#ffffff,#0000ff,#0000ff,Cambodia,cambodia,Cambodia,F,Football,football,1,504,CAM,,True,0,290441,KH,Cambodia,[],#090148,#ef0e12,#ef0e12,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,,,1652104500.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'time.currentPeriodStart']",1652104526,5.0,0.0,,,,
ijdbsNlDb,1,-1.0,False,False,10292164,1652270400,philippines-vietnam,False,"Southeast Asian Games, Women, Group A",southeast-asian-games-women-group-a,Asia,asia,Football,football,1,1467,asia,"Southeast Asian Games, Women",southeast-asian-games-women,#375dab,#f8971f,Asia,asia,Football,football,1.0,1467.0,asia,1110.0,14527.0,False,False,False,False,0,61364,2.0,,,,100,Ended,finished,Vietnam,vietnam,Vietnam,F,Football,football,1,4154,VIE,False,True,0,132958,VN,Vietnam,[],#ff0000,#ffff00,#ffff00,Philippines,philippines,Philippines,F,Football,football,1,2492,PHI,False,True,0,195588,PH,Philippines,[],#ffffff,#0000ff,#0000ff,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,1652277292.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1652277466,,,,,,
NlDbsRiqc,0,-1.0,False,False,10299119,1652518800,indonesia-philippines,False,"Southeast Asian Games, Women, Group A",southeast-asian-games-women-group-a,Asia,asia,Football,football,1,1467,asia,"Southeast Asian Games, Women",southeast-asian-games-women,#375dab,#f8971f,Asia,asia,Football,football,1.0,1467.0,asia,1110.0,14527.0,False,False,False,False,0,61364,3.0,,,,70,Canceled,canceled,Indonesia,indonesia,Indonesia,F,Football,football,1,997,INA,,True,0,290442,ID,Indonesia,[],#ce1126,#ce1126,#ce1126,Philippines,philippines,Philippines,F,Football,football,1,2492,PHI,False,True,0,195588,PH,Philippines,[],#ffffff,#0000ff,#0000ff,,,,,,,,,,,,"['status.code', 'status.description', 'status.type']",1652169278,,,,,,
EaFsNlDb,1,-1.0,False,False,10313947,1652862600,thailand-philippines,False,"Southeast Asian Games, Women, Knockout stage",southeast-asian-games-women-knockout-stage,Asia,asia,Football,football,1,1467,asia,"Southeast Asian Games, Women",southeast-asian-games-women,#375dab,#f8971f,Asia,asia,Football,football,1.0,1467.0,asia,1110.0,14527.0,False,False,False,False,0,77047,2.0,Semifinal,semifinal,2.0,100,Ended,finished,Thailand,thailand,Thailand,F,Football,football,1,1700,THA,,True,0,75029,TH,Thailand,[],#241d4f,#ed1c24,#ed1c24,Philippines,philippines,Philippines,F,Football,football,1,2492,PHI,False,True,0,195588,PH,Philippines,[],#ffffff,#0000ff,#0000ff,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,1652869291.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1652869475,,,,,,
YidbsNlDb,2,-1.0,False,False,10320228,1653123600,philippines-myanmar,False,"Southeast Asian Games, Women, Knockout stage",southeast-asian-games-women-knockout-stage,Asia,asia,Football,football,1,1467,asia,"Southeast Asian Games, Women",southeast-asian-games-women,#375dab,#f8971f,Asia,asia,Football,football,1.0,1467.0,asia,1110.0,14527.0,False,False,False,False,0,77047,,,,,100,Ended,finished,Myanmar,myanmar,Myanmar,F,Football,football,1,970,MYA,,True,0,132948,MM,Myanmar,[],#ff0000,#fbed26,#fbed26,Philippines,philippines,Philippines,F,Football,football,1,2492,PHI,False,True,0,195588,PH,Philippines,[],#ffffff,#0000ff,#0000ff,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,,,1653127260.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1653130190,0.0,2.0,,,,
HlpsNlDb,2,-1.0,False,False,10402612,1656000000,bosnia-and-herzegovina-philippines,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1.0,1468.0,international,6989.0,852.0,False,False,False,False,0,1039,1.0,,,,100,Ended,finished,Bosnia & Herzegovina,bosnia-and-herzegovina,Bosnia & Herzegovina,F,Football,football,1,915,BOH,False,True,0,38082,BA,Bosnia & Herzegovina,[],#2d4a99,#ffffff,#ffffff,Philippines,philippines,Philippines,F,Football,football,1,2492,PHI,False,True,0,195588,PH,Philippines,[],#ffffff,#0000ff,#0000ff,0.0,0.0,0.0,0.0,3.0,3.0,2.0,3.0,,,1656006792.0,['cardsCode'],1656007260,,,,,,
HlpsNlDb,2,-1.0,False,False,10407563,1656234000,bosnia-and-herzegovina-philippines,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1.0,1468.0,international,6989.0,852.0,False,False,False,False,0,1039,1.0,,,,100,Ended,finished,Bosnia & Herzegovina,bosnia-and-herzegovina,Bosnia & Herzegovina,F,Football,football,1,915,BOH,False,True,0,38082,BA,Bosnia & Herzegovina,[],#2d4a99,#ffffff,#ffffff,Philippines,philippines,Philippines,F,Football,football,1,2492,PHI,False,True,0,195588,PH,Philippines,[],#ffffff,#0000ff,#0000ff,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,,,1656237904.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1656241164,0.0,2.0,,,,
kYcsNlDb,1,-1.0,False,False,10422574,1656932400,australia-philippines,False,AFF Women's Championship,aff-womens-championship,Asia,asia,Football,football,1,1467,asia,,,,,,,,,,,,,,,,,,0,43615,,,,,100,Ended,finished,Philippines,philippines,Philippines,F,Football,football,1,2492,PHI,False,True,0,195588,PH,Philippines,[],#ffffff,#0000ff,#0000ff,Australia,australia,Australia,F,Football,football,1,5938,AUS,False,True,0,7410,AU,Australia,[],#ffcc00,#2d324b,#2d324b,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,1656936149.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.injuryTime1', 'time.injuryTime2']",1656939062,1.0,0.0,,,,
NlDbsrkQb,1,-1.0,False,False,10424123,1657105200,singapore-philippines,False,AFF Women's Championship,aff-womens-championship,Asia,asia,Football,football,1,1467,asia,,,,,,,,,,,,,,,,,,0,43615,,,,,100,Ended,finished,Philippines,philippines,Philippines,F,Football,football,1,2492,PHI,False,True,0,195588,PH,Philippines,[],#ffffff,#0000ff,#0000ff,Singapore,singapore,Singapore,F,Football,football,1,637,SIN,,True,0,228017,SG,Singapore,[],#ff0000,#ffffff,#ffffff,7.0,7.0,4.0,7.0,0.0,0.0,0.0,0.0,,,1657108930.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1657111849,3.0,0.0,,,,
