customId,winnerCode,aggregatedWinnerCode,hasGlobalHighlights,hasEventPlayerStatistics,detailId,crowdsourcingDataDisplayEnabled,id,previousLegEventId,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,homeScore.aggregated,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,awayScore.aggregated,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,hasEventPlayerHeatMap,homeRedCards,hasXg,awayRedCards,homeScore.penalties,awayScore.penalties
iOsQgJ,2,2.0,True,False,4,False,11171248,11171281.0,1680469200,audax-rj-botafogo,False,"Carioca, Serie A, Taca Rio",carioca-serie-a-taca-rio,Brazil,brazil,Football,football,1,13,brazil,BR,Carioca,carioca,#140533,#6c31e3,Brazil,brazil,Football,football,1,13,brazil,BR,30059,False,False,92,False,False,0,57976,29,Final,final,1.0,100,Ended,finished,Audax-RJ,audax-rj,Audax,M,Football,football,1,1630,ADX,False,False,0,85341,BR,Brazil,[],#52b030,#52b030,#ffffff,Botafogo,botafogo,Botafogo,M,Football,football,1,75496,BOT,False,False,0,1958,BR,Brazil,[],#000000,#ffffff,#ffffff,1,1,1,0,1,1.0,2,2,0,2,2,2.0,1,5,1680476379,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680476382,,,,,,
iOsiPK,3,,True,True,1,False,11174242,,1680825600,deportes-magallanes-botafogo,False,"CONMEBOL Sudamericana, Group A",conmebol-sudamericana-group-a,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Sudamericana,conmebol-sudamericana,#e3c000,#13489c,South America,south-america,Football,football,1,1470,south-america,,105090,False,False,480,True,False,406,91436,1,,,,100,Ended,finished,Deportes Magallanes,deportes-magallanes,Magallanes,M,Football,football,1,8032,MAG,False,False,0,89508,CL,Chile,[],#009de4,#091e35,#091e35,Botafogo,botafogo,Botafogo,M,Football,football,1,75496,BOT,False,False,0,1958,BR,Brazil,[],#000000,#ffffff,#ffffff,2,2,1,1,2,,2,2,1,1,2,,1,5,1680832288,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680832291,True,1.0,,,,
iOsQgJ,1,,True,False,4,False,11171281,,1681066800,audax-rj-botafogo,False,"Carioca, Serie A, Taca Rio",carioca-serie-a-taca-rio,Brazil,brazil,Football,football,1,13,brazil,BR,Carioca,carioca,#140533,#6c31e3,Brazil,brazil,Football,football,1,13,brazil,BR,30059,False,False,92,False,False,0,57976,29,Final,final,1.0,100,Ended,finished,Botafogo,botafogo,Botafogo,M,Football,football,1,75496,BOT,False,False,0,1958,BR,Brazil,[],#000000,#ffffff,#ffffff,Audax-RJ,audax-rj,Audax,M,Football,football,1,1630,ADX,False,False,0,85341,BR,Brazil,[],#52b030,#52b030,#ffffff,5,5,3,2,5,,2,2,1,1,2,,6,5,1681074167,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681074169,,,,,,
iOsqfn,2,,False,True,1,False,11177679,,1681345800,ypiranga-botafogo,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,False,False,373,False,False,0,283,3,Round 3,round-3,,100,Ended,finished,Ypiranga,ypiranga,Ypiranga,M,Football,football,1,6020,YRS,False,False,0,32766,BR,Brazil,[],#008827,#ffe000,#ffe000,Botafogo,botafogo,Botafogo,M,Football,football,1,75496,BOT,False,False,0,1958,BR,Brazil,[],#000000,#ffffff,#ffffff,0,0,0,0,0,,2,2,1,1,2,,6,6,1681353001,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681353004,True,,,,,
iOsGO,1,,True,True,1,False,11067265,,1681594200,sao-paulo-botafogo,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,False,True,325,True,False,390,83,1,,,,100,Ended,finished,Botafogo,botafogo,Botafogo,M,Football,football,1,75496,BOT,False,False,0,1958,BR,Brazil,[],#000000,#ffffff,#ffffff,São Paulo,sao-paulo,São Paulo,M,Football,football,1,144593,SPA,False,False,0,1981,BR,Brazil,[],#ffffff,#000000,#000000,2,2,1,1,2,,1,1,1,0,1,,8,6,1681601765,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681601768,True,,True,,,
iOsGfc,1,,True,True,1,False,11174281,,1682035200,universidad-cesar-vallejo-botafogo,False,"CONMEBOL Sudamericana, Group A",conmebol-sudamericana-group-a,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Sudamericana,conmebol-sudamericana,#e3c000,#13489c,South America,south-america,Football,football,1,1470,south-america,,105090,False,False,480,True,False,406,91436,2,,,,100,Ended,finished,Botafogo,botafogo,Botafogo,M,Football,football,1,75496,BOT,False,False,0,1958,BR,Brazil,[],#000000,#ffffff,#ffffff,Universidad César Vallejo,universidad-cesar-vallejo,César Vallejo,M,Football,football,1,6396,UCV,False,False,0,5281,PE,Peru,[],#000033,#000033,#000033,4,4,2,2,4,,0,0,0,0,0,,4,5,1682042276,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682042278,True,,,2.0,,
fOsiO,2,,True,True,1,False,11067308,,1682377200,botafogo-bahia,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,False,True,325,True,False,390,83,2,,,,100,Ended,finished,Bahia,bahia,Bahia,M,Football,football,1,55741,BAH,False,False,0,1955,BR,Brazil,[],#ffffff,#333399,#333399,Botafogo,botafogo,Botafogo,M,Football,football,1,75496,BOT,False,False,0,1958,BR,Brazil,[],#000000,#ffffff,#ffffff,1,1,1,0,1,,2,2,1,1,2,,3,7,1682384275,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682384278,True,,True,,,
iOsqfn,1,1.0,False,True,1,False,11177683,11177679.0,1682634600,ypiranga-botafogo,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,False,False,373,False,False,0,283,3,Round 3,round-3,,100,Ended,finished,Botafogo,botafogo,Botafogo,M,Football,football,1,75496,BOT,False,False,0,1958,BR,Brazil,[],#000000,#ffffff,#ffffff,Ypiranga,ypiranga,Ypiranga,M,Football,football,1,6020,YRS,False,False,0,32766,BR,Brazil,[],#008827,#ffe000,#ffe000,2,2,1,1,2,4.0,0,0,0,0,0,0.0,5,4,1682641476,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682641480,True,,,1.0,,
iOsGuc,2,,True,True,1,False,11067315,,1682881200,flamengo-botafogo,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,False,True,325,True,False,390,83,3,,,,100,Ended,finished,Flamengo,flamengo,Flamengo,M,Football,football,1,284779,FLA,False,False,0,5981,BR,Brazil,[],#ff0000,#000000,#000000,Botafogo,botafogo,Botafogo,M,Football,football,1,75496,BOT,False,False,0,1958,BR,Brazil,[],#000000,#ffffff,#ffffff,2,2,0,2,2,,3,3,2,1,3,,5,11,1682888638,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682888641,True,,True,1.0,,
iOshfc,3,,True,True,1,False,11174283,,1683244800,ldu-botafogo,False,"CONMEBOL Sudamericana, Group A",conmebol-sudamericana-group-a,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Sudamericana,conmebol-sudamericana,#e3c000,#13489c,South America,south-america,Football,football,1,1470,south-america,,105090,False,False,480,True,False,406,91436,3,,,,100,Ended,finished,Botafogo,botafogo,Botafogo,M,Football,football,1,75496,BOT,False,False,0,1958,BR,Brazil,[],#000000,#ffffff,#ffffff,LDU,ldu,LDU,M,Football,football,1,13519,LDU,False,False,0,5257,EC,Ecuador,[],#ffffff,#ffffff,#ffffff,0,0,0,0,0,,0,0,0,0,0,,2,5,1683251722,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1683251725,True,,,,,
