customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,changes.changes,changes.changeTimestamp,aggregatedWinnerCode,awayRedCards,previousLegEventId,homeScore.aggregated,awayScore.aggregated,time.currentPeriodStartTimestamp,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,time.injuryTime1,time.injuryTime2,homeRedCards,homeScore.penalties,awayScore.penalties,hasXg
kOscJu,1,False,False,11156196,1679868000,cuiaba-goias,False,Copa Verde,copa-verde,Brazil,brazil,Football,football,1,13,brazil,BR,Copa Verde,copa-verde,#259844,#004b22,Brazil,brazil,Football,football,1,13,brazil,BR,3369,10158,False,False,False,False,0,42474,28,Semifinal,semifinal,2.0,100,Ended,finished,Cuiabá,cuiaba,Cuiabá,M,Football,football,1,26115,CUI,False,False,0,49202,BR,Brazil,[],#ffffff,#006600,#006600,Goiás,goias,Goiás,M,Football,football,1,33455,GGO,False,False,0,1960,BR,Brazil,[],#006633,#ffffff,#ffffff,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,['cardsCode'],1679898914,,,,,,,,,,,,,,,
kOscJu,1,False,False,11156223,1680127200,cuiaba-goias,False,Copa Verde,copa-verde,Brazil,brazil,Football,football,1,13,brazil,BR,Copa Verde,copa-verde,#259844,#004b22,Brazil,brazil,Football,football,1,13,brazil,BR,3369,10158,False,False,False,False,0,42474,28,Semifinal,semifinal,2.0,100,Ended,finished,Goiás,goias,Goiás,M,Football,football,1,33455,GGO,False,False,0,1960,BR,Brazil,[],#006633,#ffffff,#ffffff,Cuiabá,cuiaba,Cuiabá,M,Football,football,1,26115,CUI,False,False,0,49202,BR,Brazil,[],#ffffff,#006600,#006600,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,"['cardsCode', 'cardsCode']",1680160437,1.0,1.0,11156196.0,2.0,1.0,,,,,,,,,,
kOsoWc,1,False,False,11149717,1680462000,atletico-goianiense-goias,False,"Goiano, 1 Divisao, Playoffs",goiano-1-divisao-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Goiano,goiano,#0e3189,#189b34,Brazil,brazil,Football,football,1,13,brazil,BR,3264,381,False,False,False,False,0,59009,29,Final,final,1.0,100,Ended,finished,Atlético Goianiense,atletico-goianiense,Atlético-GO,M,Football,football,1,26671,GOI,False,False,0,7314,BR,Brazil,[],#ff0000,#000000,#000000,Goiás,goias,Goiás,M,Football,football,1,33455,GGO,False,False,0,1960,BR,Brazil,[],#006633,#ffffff,#ffffff,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1680468915,,,,,,1680465960.0,,,,,,,,,
kOsqxc,3,True,False,11174257,1680645600,independiente-santa-fe-goias,False,"CONMEBOL Sudamericana, Group G",conmebol-sudamericana-group-g,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Sudamericana,conmebol-sudamericana,#e3c000,#13489c,South America,south-america,Football,football,1,1470,south-america,,105090,480,True,False,False,False,400,91442,1,,,,100,Ended,finished,Goiás,goias,Goiás,M,Football,football,1,33455,GGO,False,False,0,1960,BR,Brazil,[],#006633,#ffffff,#ffffff,Independiente Santa Fe,independiente-santa-fe,Santa Fe,M,Football,football,1,13775,SFE,False,False,0,6116,CO,Colombia,[],#ffffff,#ff0033,#ff0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680652525,,,,,,1680652521.0,True,True,1.0,3.0,5.0,,,,
kOsoWc,1,False,False,11149970,1681066800,atletico-goianiense-goias,False,"Goiano, 1 Divisao, Playoffs",goiano-1-divisao-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Goiano,goiano,#0e3189,#189b34,Brazil,brazil,Football,football,1,13,brazil,BR,3264,381,False,False,False,False,0,59009,29,Final,final,1.0,120,AP,finished,Goiás,goias,Goiás,M,Football,football,1,33455,GGO,False,False,0,1960,BR,Brazil,[],#006633,#ffffff,#ffffff,Atlético Goianiense,atletico-goianiense,Atlético-GO,M,Football,football,1,26671,GOI,False,False,0,7314,BR,Brazil,[],#ff0000,#000000,#000000,7.0,3.0,1.0,2.0,3.0,6.0,1.0,1.0,0.0,1.0,"['homeScore.extra1', 'homeScore.extra2', 'awayScore.extra1', 'awayScore.extra2']",1681109344,2.0,1.0,11149717.0,3.0,3.0,1681070940.0,,,,,,1.0,4.0,5.0,
kOsrO,1,True,False,11067273,1681594200,athletico-goias,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,1,,,,100,Ended,finished,Athletico,athletico,Athletico,M,Football,football,1,64168,CAP,False,False,0,1967,BR,Brazil,[],#000000,#cc0000,#cc0000,Goiás,goias,Goiás,M,Football,football,1,33455,GGO,False,False,0,1960,BR,Brazil,[],#006633,#ffffff,#ffffff,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681601374,,,,,,1681601372.0,True,True,1.0,6.0,6.0,,,,True
kOsXO,0,False,False,11180004,1681934400,paysandu-goias,False,Copa Verde,copa-verde,Brazil,brazil,Football,football,1,13,brazil,BR,Copa Verde,copa-verde,#259844,#004b22,Brazil,brazil,Football,football,1,13,brazil,BR,3369,10158,False,False,False,False,0,42474,29,Final,final,1.0,60,Postponed,postponed,Paysandu,paysandu,Paysandu,M,Football,football,1,13681,PAY,False,False,0,1997,BR,Brazil,[],#ffffff,#3333ff,#3333ff,Goiás,goias,Goiás,M,Football,football,1,33455,GGO,False,False,0,1960,BR,Brazil,[],#006633,#ffffff,#ffffff,,,,,,,,,,,"['status.code', 'status.description', 'status.type']",1681662256,,,,,,,,,,,,,,,
kOsfW,3,True,False,11174264,1682042400,universitario-goias,False,"CONMEBOL Sudamericana, Group G",conmebol-sudamericana-group-g,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Sudamericana,conmebol-sudamericana,#e3c000,#13489c,South America,south-america,Football,football,1,1470,south-america,,105090,480,True,False,False,False,400,91442,2,,,,100,Ended,finished,Universitario,universitario,Universitario,M,Football,football,1,18727,UNI,False,False,0,2305,PE,Peru,[],#ffffcc,#ffffcc,#ffffcc,Goiás,goias,Goiás,M,Football,football,1,33455,GGO,False,False,0,1960,BR,Brazil,[],#006633,#ffffff,#ffffff,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1682049371,,,,,,1682049310.0,True,True,1.0,2.0,6.0,,,,
hOskO,1,True,False,11067294,1682287200,goias-corinthians,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,2,,,,100,Ended,finished,Goiás,goias,Goiás,M,Football,football,1,33455,GGO,False,False,0,1960,BR,Brazil,[],#006633,#ffffff,#ffffff,Corinthians,corinthians,Corinthians,M,Football,football,1,161531,COR,False,False,0,1957,BR,Brazil,[],#ffffff,#000000,#000000,3.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682294413,,,,,,1682294412.0,True,True,1.0,5.0,8.0,,,,True
kOsqO,1,True,False,11067333,1682890200,internacional-goias,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,3,,,,100,Ended,finished,Internacional,internacional,Internacional,M,Football,football,1,80902,INT,False,False,0,1966,BR,Brazil,[],#cc0000,#cc0000,#cc0000,Goiás,goias,Goiás,M,Football,football,1,33455,GGO,False,False,0,1960,BR,Brazil,[],#006633,#ffffff,#ffffff,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682897563,,1.0,,,,1682897561.0,True,True,1.0,4.0,10.0,,,,True
