customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,hasXg,homeRedCards,awayRedCards,aggregatedWinnerCode,previousLegEventId,homeScore.aggregated,awayScore.aggregated
nOskkeb,1,True,True,True,1,False,11147249,1680462000,palmeiras-agua-santa,False,"Paulista, Serie A1, Playoffs",paulista-serie-a1-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Paulista Série A1,paulista-serie-a1,#004990,#d1a02f,Brazil,brazil,Football,football,1,13,brazil,BR,47552,372,True,False,False,False,0,58692,29,Final,final,1.0,100,Ended,finished,Água Santa,agua-santa,Água Santa,M,Football,football,1,4415,AGU,False,False,0,135510,BR,Brazil,[],#153160,#cca24b,#cca24b,Palmeiras,palmeiras,Palmeiras,M,Football,football,1,193414,PAL,False,False,0,1963,BR,Brazil,[],#339966,#336633,#336633,2,2,1,1,2,1,1,0,1,1,4.0,7.0,1680469486,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680469489,,,,,,,
nOsjQc,1,True,True,True,1,False,11173661,1680741000,bolivar-palmeiras,False,"CONMEBOL Libertadores, Group C",conmebol-libertadores-group-c,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Libertadores,conmebol-libertadores,#573215,#dfaf49,South America,south-america,Football,football,1,1470,south-america,,193544,384,True,False,False,False,537,2930,1,,,,100,Ended,finished,Bolívar,bolivar,Bolívar,M,Football,football,1,19138,BOL,False,False,0,7059,BO,Bolivia,[],#33ccff,#330066,#330066,Palmeiras,palmeiras,Palmeiras,M,Football,football,1,193414,PAL,False,False,0,1963,BR,Brazil,[],#339966,#336633,#336633,3,3,2,1,3,1,1,1,0,1,3.0,7.0,1680747976,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680747979,True,1.0,1.0,,,,
nOskkeb,1,True,True,True,1,False,11148206,1681066800,palmeiras-agua-santa,False,"Paulista, Serie A1, Playoffs",paulista-serie-a1-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Paulista Série A1,paulista-serie-a1,#004990,#d1a02f,Brazil,brazil,Football,football,1,13,brazil,BR,47552,372,True,False,False,False,0,58692,29,Final,final,1.0,100,Ended,finished,Palmeiras,palmeiras,Palmeiras,M,Football,football,1,193414,PAL,False,False,0,1963,BR,Brazil,[],#339966,#336633,#336633,Água Santa,agua-santa,Água Santa,M,Football,football,1,4415,AGU,False,False,0,135510,BR,Brazil,[],#153160,#cca24b,#cca24b,4,4,3,1,4,0,0,0,0,0,3.0,3.0,1681073788,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681073791,,,,1.0,11147249.0,5.0,2.0
nOscUJ,1,False,True,True,1,False,11177676,1681340400,tombense-palmeiras,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,373,False,False,False,False,0,283,3,Round 3,round-3,,100,Ended,finished,Palmeiras,palmeiras,Palmeiras,M,Football,football,1,193414,PAL,False,False,0,1963,BR,Brazil,[],#339966,#336633,#336633,Tombense,tombense,Tombense,M,Football,football,1,9339,TOM,False,False,0,87202,BR,Brazil,[],#ffffff,#ff0000,#ff0000,4,4,2,2,4,2,2,1,1,2,6.0,7.0,1681347982,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1681347987,,,,,,,
nOscJu,1,True,True,True,1,False,11067266,1681585200,cuiaba-palmeiras,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,1,,,,100,Ended,finished,Palmeiras,palmeiras,Palmeiras,M,Football,football,1,193414,PAL,False,False,0,1963,BR,Brazil,[],#339966,#336633,#336633,Cuiabá,cuiaba,Cuiabá,M,Football,football,1,26115,CUI,False,False,0,49202,BR,Brazil,[],#ffffff,#006600,#006600,2,2,1,1,2,1,1,1,0,1,7.0,7.0,1681592917,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1681592953,True,,1.0,,,,
nOsQuc,1,True,True,True,1,False,11173679,1682035200,cerro-porteno-palmeiras,False,"CONMEBOL Libertadores, Group C",conmebol-libertadores-group-c,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Libertadores,conmebol-libertadores,#573215,#dfaf49,South America,south-america,Football,football,1,1470,south-america,,193544,384,True,False,False,False,537,2930,2,,,,100,Ended,finished,Palmeiras,palmeiras,Palmeiras,M,Football,football,1,193414,PAL,False,False,0,1963,BR,Brazil,[],#339966,#336633,#336633,Cerro Porteño,cerro-porteno,Cerro Porteño,M,Football,football,1,23358,CPO,False,False,0,5991,PY,Paraguay,[],#cc0000,#003366,#003366,2,2,0,2,2,1,1,1,0,1,4.0,7.0,1682042460,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682042465,True,,,,,,
nOszO,3,True,True,True,1,False,11067284,1682276400,vasco-palmeiras,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,2,,,,100,Ended,finished,Vasco,vasco,Vasco,M,Football,football,1,84261,VDG,False,False,0,1974,BR,Brazil,[],#ffffff,#000000,#000000,Palmeiras,palmeiras,Palmeiras,M,Football,football,1,193414,PAL,False,False,0,1963,BR,Brazil,[],#339966,#336633,#336633,2,2,2,0,2,2,2,1,1,2,7.0,8.0,1682283613,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682283616,True,,,,,,
nOscUJ,3,False,True,True,1,False,11177678,1682550000,tombense-palmeiras,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,373,False,False,False,False,0,283,3,Round 3,round-3,,100,Ended,finished,Tombense,tombense,Tombense,M,Football,football,1,9339,TOM,False,False,0,87202,BR,Brazil,[],#ffffff,#ff0000,#ff0000,Palmeiras,palmeiras,Palmeiras,M,Football,football,1,193414,PAL,False,False,0,1963,BR,Brazil,[],#339966,#336633,#336633,1,1,0,1,1,1,1,1,0,1,,,1682556927,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682556928,,,,2.0,11177676.0,3.0,5.0
hOsnO,1,True,True,True,1,False,11067321,1682803800,palmeiras-corinthians,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,3,,,,100,Ended,finished,Palmeiras,palmeiras,Palmeiras,M,Football,football,1,193414,PAL,False,False,0,1963,BR,Brazil,[],#339966,#336633,#336633,Corinthians,corinthians,Corinthians,M,Football,football,1,161531,COR,False,False,0,1957,BR,Brazil,[],#ffffff,#000000,#000000,2,2,2,0,2,1,1,0,1,1,5.0,7.0,1682810844,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682810848,True,,,,,,
nOsafc,2,True,True,True,1,False,11173694,1683160200,barcelona-sc-palmeiras,False,"CONMEBOL Libertadores, Group C",conmebol-libertadores-group-c,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Libertadores,conmebol-libertadores,#573215,#dfaf49,South America,south-america,Football,football,1,1470,south-america,,193544,384,True,False,False,False,537,2930,3,,,,100,Ended,finished,Barcelona SC,barcelona-sc,Barcelona SC,M,Football,football,1,21740,BSC,False,False,0,5250,EC,Ecuador,[],#ffff00,#000000,#000000,Palmeiras,palmeiras,Palmeiras,M,Football,football,1,193414,PAL,False,False,0,1963,BR,Brazil,[],#339966,#336633,#336633,0,0,0,0,0,2,2,1,1,2,7.0,4.0,1683167228,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1683167230,True,,,,,,
kOsnO,2,True,True,True,1,False,11067357,1683495000,palmeiras-goias,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,4,,,,100,Ended,finished,Goiás,goias,Goiás,M,Football,football,1,33455,GGO,False,False,0,1960,BR,Brazil,[],#006633,#ffffff,#ffffff,Palmeiras,palmeiras,Palmeiras,M,Football,football,1,193414,PAL,False,False,0,1963,BR,Brazil,[],#339966,#336633,#336633,0,0,0,0,0,5,5,1,4,5,6.0,3.0,1683501966,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1683501967,True,1.0,,,,,
