customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,aggregatedWinnerCode,homeRedCards,awayRedCards,previousLegEventId,homeScore.penalties,homeScore.aggregated,awayScore.penalties,awayScore.aggregated,hasXg,hasEventPlayerHeatMap
qOsBtc,1,True,False,4,False,10912647,1678057200,gremio-internacional,False,Gaúcho,gaucho,Brazil,brazil,Football,football,1,13,brazil,BR,Gaúcho,gaucho,#2c9248,#e5c438,Brazil,brazil,Football,football,1,13,brazil,BR,12415,377,False,False,False,False,0,57347,10,100,Ended,finished,Grêmio,gremio,Grêmio,M,Football,football,1,91093,GPA,False,False,0,5926,BR,Brazil,[],#3399ff,#000033,#000033,Internacional,internacional,Internacional,M,Football,football,1,80902,INT,False,False,0,1966,BR,Brazil,[],#cc0000,#cc0000,#cc0000,2,2,1,1,2,1,1,0,1,1,5,5,1678064251,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1678064252,,,,,,,,,,,,,
qOslOi,1,False,False,4,False,10912654,1678563000,esportivo-internacional,False,Gaúcho,gaucho,Brazil,brazil,Football,football,1,13,brazil,BR,Gaúcho,gaucho,#2c9248,#e5c438,Brazil,brazil,Football,football,1,13,brazil,BR,12415,377,False,False,False,False,0,57347,11,100,Ended,finished,Internacional,internacional,Internacional,M,Football,football,1,80902,INT,False,False,0,1966,BR,Brazil,[],#cc0000,#cc0000,#cc0000,Esportivo,esportivo,Esportivo,M,Football,football,1,734,BEG,,False,0,21961,BR,Brazil,[],#0033ff,#ffffff,#ffffff,4,4,2,2,4,1,1,1,0,1,3,5,1678570417,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1678570419,,,,,,,,,,,,,
qOsaP,3,True,False,4,False,11127579,1679167800,caxias-internacional,False,"Gaucho, Playoffs",gaucho-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Gaúcho,gaucho,#2c9248,#e5c438,Brazil,brazil,Football,football,1,13,brazil,BR,12415,377,False,False,False,False,0,58699,28,100,Ended,finished,Caxias,caxias,Caxias,M,Football,football,1,3612,CAX,,False,0,2000,BR,Brazil,[],#5d001e,#f2f2f2,#f2f2f2,Internacional,internacional,Internacional,M,Football,football,1,80902,INT,False,False,0,1966,BR,Brazil,[],#cc0000,#cc0000,#cc0000,1,1,1,0,1,1,1,1,0,1,4,5,1679174714,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1679174718,Semifinal,semifinal,2.0,,,,,,,,,,
qOsaP,2,False,False,4,False,11127582,1679864400,caxias-internacional,False,"Gaucho, Playoffs",gaucho-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Gaúcho,gaucho,#2c9248,#e5c438,Brazil,brazil,Football,football,1,13,brazil,BR,12415,377,False,False,False,False,0,58699,28,120,AP,finished,Internacional,internacional,Internacional,M,Football,football,1,80902,INT,False,False,0,1966,BR,Brazil,[],#cc0000,#cc0000,#cc0000,Caxias,caxias,Caxias,M,Football,football,1,3612,CAX,,False,0,2000,BR,Brazil,[],#5d001e,#f2f2f2,#f2f2f2,5,1,1,0,1,6,1,1,0,1,3,8,1679872541,['cardsCode'],1680274345,Semifinal,semifinal,2.0,2.0,3.0,2.0,11127579.0,4.0,2.0,5.0,2.0,,
qOspxc,3,True,True,1,False,11173657,1680652800,independiente-medellin-internacional,False,"CONMEBOL Libertadores, Group B",conmebol-libertadores-group-b,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Libertadores,conmebol-libertadores,#573215,#dfaf49,South America,south-america,Football,football,1,1470,south-america,,193544,384,True,False,False,False,538,2929,1,100,Ended,finished,Independiente Medellín,independiente-medellin,Ind. Medellín,M,Football,football,1,17042,DIM,False,False,0,6115,CO,Colombia,[],#ffffff,#000000,#000000,Internacional,internacional,Internacional,M,Football,football,1,80902,INT,False,False,0,1966,BR,Brazil,[],#cc0000,#cc0000,#cc0000,1,1,0,1,1,1,1,0,1,1,2,5,1680659689,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680659692,,,,,,,,,,,,True,True
qOskP,1,False,True,1,False,11177671,1681254000,csa-internacional,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,373,False,False,False,False,0,283,3,100,Ended,finished,Internacional,internacional,Internacional,M,Football,football,1,80902,INT,False,False,0,1966,BR,Brazil,[],#cc0000,#cc0000,#cc0000,CSA,csa,CSA,M,Football,football,1,13900,CSA,False,False,0,2010,BR,Brazil,[],#043681,#222226,#222226,2,2,1,1,2,1,1,1,0,1,9,9,1681261564,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681261567,Round 3,round-3,,,,,,,,,,,True
qOsvP,3,True,True,1,False,11067275,1681594200,fortaleza-internacional,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,1,100,Ended,finished,Fortaleza,fortaleza,Fortaleza,M,Football,football,1,61987,FOR,False,False,0,2020,BR,Brazil,[],#0000ff,#ff0000,#ff0000,Internacional,internacional,Internacional,M,Football,football,1,80902,INT,False,False,0,1966,BR,Brazil,[],#cc0000,#cc0000,#cc0000,1,1,0,1,1,1,1,0,1,1,7,10,1681601844,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681601845,,,,,,,,,,,,True,True
qOsFZob,1,True,True,1,False,11173662,1681855200,internacional-metropolitanos,False,"CONMEBOL Libertadores, Group B",conmebol-libertadores-group-b,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Libertadores,conmebol-libertadores,#573215,#dfaf49,South America,south-america,Football,football,1,1470,south-america,,193544,384,True,False,False,False,538,2929,2,100,Ended,finished,Internacional,internacional,Internacional,M,Football,football,1,80902,INT,False,False,0,1966,BR,Brazil,[],#cc0000,#cc0000,#cc0000,Metropolitanos,metropolitanos,Metropolitanos,M,Football,football,1,5667,MET,False,False,0,162480,VE,Venezuela,[],#380e56,#cb1158,#cb1158,1,1,0,1,1,0,0,0,0,0,3,7,1681862226,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681862227,,,,,,,,,,,,True,True
qOsGuc,1,True,True,1,False,11067302,1682258400,flamengo-internacional,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,2,100,Ended,finished,Internacional,internacional,Internacional,M,Football,football,1,80902,INT,False,False,0,1966,BR,Brazil,[],#cc0000,#cc0000,#cc0000,Flamengo,flamengo,Flamengo,M,Football,football,1,284779,FLA,False,False,0,5981,BR,Brazil,[],#ff0000,#000000,#000000,2,2,0,2,2,1,1,0,1,1,4,9,1682265871,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682265875,,,,,,,,,,,,True,True
qOskP,0,True,True,1,False,11180011,1682636400,csa-internacional,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,373,False,False,False,False,0,283,3,120,AP,finished,CSA,csa,CSA,M,Football,football,1,13900,CSA,False,False,0,2010,BR,Brazil,[],#043681,#222226,#222226,Internacional,internacional,Internacional,M,Football,football,1,80902,INT,False,False,0,1966,BR,Brazil,[],#cc0000,#cc0000,#cc0000,8,2,1,1,2,8,1,0,1,1,3,7,1682645014,"['awayScore.current', 'awayScore.penalties']",1682645275,Round 3,round-3,,2.0,,,11177671.0,6.0,3.0,7.0,3.0,,True
kOsqO,1,True,True,1,False,11067333,1682890200,internacional-goias,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,3,100,Ended,finished,Internacional,internacional,Internacional,M,Football,football,1,80902,INT,False,False,0,1966,BR,Brazil,[],#cc0000,#cc0000,#cc0000,Goiás,goias,Goiás,M,Football,football,1,33455,GGO,False,False,0,1960,BR,Brazil,[],#006633,#ffffff,#ffffff,1,1,0,1,1,0,0,0,0,0,4,10,1682897561,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682897563,,,,,,1.0,,,,,,True,True
