customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,homeRedCards,awayRedCards,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,hasXg,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,time.injuryTime1,time.injuryTime2,aggregatedWinnerCode,previousLegEventId,homeScore.aggregated,awayScore.aggregated,homeScore.penalties,awayScore.penalties
rOsQMi,2,False,False,11162123,1.0,1.0,1680382800,cascavel-athletico,False,"Paranaense, 1 Divisao, Playoffs",paranaense-1-divisao-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Paranaense,paranaense,#86bc38,#30629c,Brazil,brazil,Football,football,1,13,brazil,BR,4634,382,False,False,False,False,0,58697,29,Final,final,1.0,100,Ended,finished,Cascavel,cascavel,Cascavel,M,Football,football,1,2100,CAS,False,False,0,21891,BR,Brazil,[],#000000,#ffdd00,#ffdd00,Athletico,athletico,Athletico,M,Football,football,1,64168,CAP,False,False,0,1967,BR,Brazil,[],#000000,#cc0000,#cc0000,1,1,0,1,1,2,2,0,2,2,1680386760,['cardsCode'],1680390400,,,,,,,,,,,,
rOslW,3,True,False,11173683,,1.0,1680645600,alianza-lima-athletico,False,"CONMEBOL Libertadores, Group G",conmebol-libertadores-group-g,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Libertadores,conmebol-libertadores,#573215,#dfaf49,South America,south-america,Football,football,1,1470,south-america,,193544,384,True,False,False,False,533,2934,1,,,,100,Ended,finished,Alianza Lima,alianza-lima,Alianza Lima,M,Football,football,1,24901,ALI,False,False,0,2311,PE,Peru,[],#091d47,#ffffff,#ffffff,Athletico,athletico,Athletico,M,Football,football,1,64168,CAP,False,False,0,1967,BR,Brazil,[],#000000,#cc0000,#cc0000,0,0,0,0,0,0,0,0,0,0,1680652425,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart', 'time.currentPeriodStart']",1680652429,True,True,True,1.0,2.0,4.0,,,,,,
rOsQMi,3,False,False,11162127,,,1681070400,cascavel-athletico,False,"Paranaense, 1 Divisao, Playoffs",paranaense-1-divisao-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Paranaense,paranaense,#86bc38,#30629c,Brazil,brazil,Football,football,1,13,brazil,BR,4634,382,False,False,False,False,0,58697,29,Final,final,1.0,100,Ended,finished,Athletico,athletico,Athletico,M,Football,football,1,64168,CAP,False,False,0,1967,BR,Brazil,[],#000000,#cc0000,#cc0000,Cascavel,cascavel,Cascavel,M,Football,football,1,2100,CAS,False,False,0,21891,BR,Brazil,[],#000000,#ffdd00,#ffdd00,0,0,0,0,0,0,0,0,0,0,1681074240,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2']",1681077415,,,,,,,1.0,11162123.0,2.0,1.0,,
rOsHPi,1,False,False,11177672,,,1681338600,crb-athletico,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,373,False,False,False,False,0,283,3,Round 3,round-3,,100,Ended,finished,CRB,crb,CRB,M,Football,football,1,16598,BRA,,False,0,22032,BR,Brazil,[],#f20000,#f20000,#f20000,Athletico,athletico,Athletico,M,Football,football,1,64168,CAP,False,False,0,1967,BR,Brazil,[],#000000,#cc0000,#cc0000,1,1,0,1,1,0,0,0,0,0,1681346001,['cardsCode'],1681364403,,,,6.0,5.0,10.0,,,,,,
kOsrO,1,True,False,11067273,,,1681594200,athletico-goias,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,1,,,,100,Ended,finished,Athletico,athletico,Athletico,M,Football,football,1,64168,CAP,False,False,0,1967,BR,Brazil,[],#000000,#cc0000,#cc0000,Goiás,goias,Goiás,M,Football,football,1,33455,GGO,False,False,0,1960,BR,Brazil,[],#006633,#ffffff,#ffffff,2,2,1,1,2,0,0,0,0,0,1681601372,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681601374,True,True,True,1.0,6.0,6.0,,,,,,
rOsCO,1,True,False,11173680,,1.0,1681862400,atletico-mineiro-athletico,False,"CONMEBOL Libertadores, Group G",conmebol-libertadores-group-g,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Libertadores,conmebol-libertadores,#573215,#dfaf49,South America,south-america,Football,football,1,1470,south-america,,193544,384,True,False,False,False,533,2934,2,,,,100,Ended,finished,Athletico,athletico,Athletico,M,Football,football,1,64168,CAP,False,False,0,1967,BR,Brazil,[],#000000,#cc0000,#cc0000,Atlético Mineiro,atletico-mineiro,Atlético-MG,M,Football,football,1,101789,ATL,False,False,0,1977,BR,Brazil,[],#000000,#ffffff,#ffffff,2,2,2,0,2,1,1,0,1,1,1681869554,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1681869557,True,True,True,1.0,7.0,7.0,,,,,,
lOsrO,1,True,False,11067282,,,1682190000,athletico-fluminense,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,2,,,,100,Ended,finished,Fluminense,fluminense,Fluminense,M,Football,football,1,93910,FLU,False,False,0,1961,BR,Brazil,[],#660000,#006633,#006633,Athletico,athletico,Athletico,M,Football,football,1,64168,CAP,False,False,0,1967,BR,Brazil,[],#000000,#cc0000,#cc0000,2,2,1,1,2,0,0,0,0,0,1682197278,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart', 'time.currentPeriodStart']",1682197279,True,True,True,1.0,7.0,7.0,,,,,,
rOsHPi,1,False,False,11177677,,,1682469000,crb-athletico,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,373,False,False,False,False,0,283,3,Round 3,round-3,,120,AP,finished,Athletico,athletico,Athletico,M,Football,football,1,64168,CAP,False,False,0,1967,BR,Brazil,[],#000000,#cc0000,#cc0000,CRB,crb,CRB,M,Football,football,1,16598,BRA,,False,0,22032,BR,Brazil,[],#f20000,#f20000,#f20000,6,2,0,2,2,3,1,1,0,1,1682476974,['cardsCode'],1682485032,,,,6.0,6.0,8.0,1.0,11177672.0,2.0,2.0,4.0,2.0
rOsCO,1,True,False,11067330,,1.0,1682812800,atletico-mineiro-athletico,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,3,,,,100,Ended,finished,Atlético Mineiro,atletico-mineiro,Atlético-MG,M,Football,football,1,101789,ATL,False,False,0,1977,BR,Brazil,[],#000000,#ffffff,#ffffff,Athletico,athletico,Athletico,M,Football,football,1,64168,CAP,False,False,0,1967,BR,Brazil,[],#000000,#cc0000,#cc0000,2,2,1,1,2,1,1,0,1,1,1682819978,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682819980,True,True,True,1.0,3.0,11.0,,,,,,
rOsWuc,2,True,False,11173721,,,1683244800,libertad-athletico,False,"CONMEBOL Libertadores, Group G",conmebol-libertadores-group-g,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Libertadores,conmebol-libertadores,#573215,#dfaf49,South America,south-america,Football,football,1,1470,south-america,,193544,384,True,False,False,False,533,2934,3,,,,100,Ended,finished,Libertad,libertad,Libertad,M,Football,football,1,22371,LIB,False,False,0,5996,PY,Paraguay,[],#ffffff,#000000,#000000,Athletico,athletico,Athletico,M,Football,football,1,64168,CAP,False,False,0,1967,BR,Brazil,[],#000000,#cc0000,#cc0000,1,1,1,0,1,2,2,0,2,2,1683251699,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1683251701,True,True,True,1.0,2.0,7.0,,,,,,
