customId,winnerCode,aggregatedWinnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,homeRedCards,previousLegEventId,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,homeScore.aggregated,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,awayScore.aggregated,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,awayRedCards,hasXg,homeScore.penalties,awayScore.penalties
yOsCO,1,1.0,True,True,True,1,False,11147007,1.0,11145292.0,1681068600,atletico-mineiro-america-mineiro,False,"Mineiro, Modulo I, Playoffs",mineiro-modulo-i-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Mineiro Módulo I,mineiro-modulo-i,#b31218,#77818b,Brazil,brazil,Football,football,1,13,brazil,BR,10111,379,False,False,False,False,0,58934,29,Final,final,1.0,100,Ended,finished,Atlético Mineiro,atletico-mineiro,Atlético-MG,M,Football,football,1,101789,ATL,False,False,0,1977,BR,Brazil,[],#000000,#ffffff,#ffffff,América Mineiro,america-mineiro,América-MG,M,Football,football,1,39882,AMG,False,False,0,1973,BR,Brazil,[],#056635,#ffffff,#ffffff,2.0,2.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,3.0,1681075699.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1681075703,,,,
yOsGOc,2,,False,,,6,False,11177673,,,1681327800,nova-iguacu-america-mineiro,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,373,False,False,False,False,0,283,3,Round 3,round-3,,100,Ended,finished,Nova Iguaçu,nova-iguacu,Nova Iguaçu,M,Football,football,1,2987,NRJ,False,False,0,6981,BR,Brazil,[],#ff932e,#ffffff,#ffffff,América Mineiro,america-mineiro,América-MG,M,Football,football,1,39882,AMG,False,False,0,1973,BR,Brazil,[],#056635,#ffffff,#ffffff,1.0,1.0,0.0,1.0,1.0,,2.0,2.0,0.0,2.0,2.0,,3.0,8.0,1681334932.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1681334937,1.0,,,
lOsyO,2,,True,True,True,1,False,11067277,,,1681585200,america-mineiro-fluminense,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,1,,,,100,Ended,finished,América Mineiro,america-mineiro,América-MG,M,Football,football,1,39882,AMG,False,False,0,1973,BR,Brazil,[],#056635,#ffffff,#ffffff,Fluminense,fluminense,Fluminense,M,Football,football,1,93910,FLU,False,False,0,1961,BR,Brazil,[],#660000,#006633,#006633,0.0,0.0,0.0,0.0,0.0,,3.0,3.0,0.0,3.0,3.0,,4.0,9.0,1681589278.0,"['status.code', 'status.description', 'status.type']",1681592547,,True,,
yOsOLo,1,,True,True,True,1,False,11174245,,,1681948800,defensa-y-justicia-america-mineiro,False,"CONMEBOL Sudamericana, Group F",conmebol-sudamericana-group-f,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Sudamericana,conmebol-sudamericana,#e3c000,#13489c,South America,south-america,Football,football,1,1470,south-america,,105090,480,True,False,False,False,401,91441,2,,,,100,Ended,finished,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,18696,DYJ,,False,0,36839,AR,Argentina,[],#ffff00,#339900,#339900,América Mineiro,america-mineiro,América-MG,M,Football,football,1,39882,AMG,False,False,0,1973,BR,Brazil,[],#056635,#ffffff,#ffffff,2.0,2.0,0.0,2.0,2.0,,1.0,1.0,0.0,1.0,1.0,,2.0,7.0,1681955791.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681955795,,,,
yOsGO,1,,True,True,True,1,False,11067286,,,1682199000,sao-paulo-america-mineiro,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,2,,,,100,Ended,finished,São Paulo,sao-paulo,São Paulo,M,Football,football,1,144593,SPA,False,False,0,1981,BR,Brazil,[],#ffffff,#000000,#000000,América Mineiro,america-mineiro,América-MG,M,Football,football,1,39882,AMG,False,False,0,1973,BR,Brazil,[],#056635,#ffffff,#ffffff,3.0,3.0,1.0,2.0,3.0,,0.0,0.0,0.0,0.0,0.0,,6.0,6.0,1682206324.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1682206394,,True,,
yOsGOc,1,1.0,False,,,6,False,11180013,,11177673.0,1682555400,nova-iguacu-america-mineiro,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,373,False,False,False,False,0,283,3,Round 3,round-3,,100,Ended,finished,América Mineiro,america-mineiro,América-MG,M,Football,football,1,39882,AMG,False,False,0,1973,BR,Brazil,[],#056635,#ffffff,#ffffff,Nova Iguaçu,nova-iguacu,Nova Iguaçu,M,Football,football,1,2987,NRJ,False,False,0,6981,BR,Brazil,[],#ff932e,#ffffff,#ffffff,5.0,5.0,0.0,5.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,,1682561988.0,['cardsCode'],1682586619,,,,
tOsyO,1,,True,True,True,1,False,11067324,1.0,,1682803800,america-mineiro-santos,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,3,,,,100,Ended,finished,Santos,santos,Santos,M,Football,football,1,80387,SAN,False,False,0,1968,BR,Brazil,[],#ffffff,#ffffff,#ffffff,América Mineiro,america-mineiro,América-MG,M,Football,football,1,39882,AMG,False,False,0,1973,BR,Brazil,[],#056635,#ffffff,#ffffff,3.0,3.0,2.0,1.0,3.0,,2.0,2.0,1.0,1.0,2.0,,7.0,10.0,1682811245.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart', 'time.currentPeriodStart']",1682811247,,True,,
yOsrxc,3,,True,True,True,1,False,11174268,,,1683158400,millonarios-america-mineiro,False,"CONMEBOL Sudamericana, Group F",conmebol-sudamericana-group-f,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Sudamericana,conmebol-sudamericana,#e3c000,#13489c,South America,south-america,Football,football,1,1470,south-america,,105090,480,True,False,False,False,401,91441,3,,,,100,Ended,finished,Millonarios,millonarios,Millonarios,M,Football,football,1,27890,MIL,False,False,0,6117,CO,Colombia,[],#0000cc,#0000cc,#0000cc,América Mineiro,america-mineiro,América-MG,M,Football,football,1,39882,AMG,False,False,0,1973,BR,Brazil,[],#056635,#ffffff,#ffffff,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,1.0,0.0,1.0,,2.0,5.0,1683165278.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1683165280,,,,
yOscJu,2,,True,True,True,1,False,11067372,1.0,,1683468000,cuiaba-america-mineiro,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,4,,,,100,Ended,finished,América Mineiro,america-mineiro,América-MG,M,Football,football,1,39882,AMG,False,False,0,1973,BR,Brazil,[],#056635,#ffffff,#ffffff,Cuiabá,cuiaba,Cuiabá,M,Football,football,1,26115,CUI,False,False,0,49202,BR,Brazil,[],#ffffff,#006600,#006600,1.0,1.0,1.0,0.0,1.0,,2.0,2.0,0.0,2.0,2.0,,6.0,11.0,1683475538.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1683475541,,True,,
yOsZO,3,,True,True,True,1,False,11067386,,,1683756000,red-bull-bragantino-america-mineiro,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,5,,,,100,Ended,finished,Red Bull Bragantino,red-bull-bragantino,RB Bragantino,M,Football,football,1,49385,BRA,False,False,0,1999,BR,Brazil,[],#363636,#d8d8d6,#d8d8d6,América Mineiro,america-mineiro,América-MG,M,Football,football,1,39882,AMG,False,False,0,1973,BR,Brazil,[],#056635,#ffffff,#ffffff,2.0,2.0,2.0,0.0,2.0,,2.0,2.0,1.0,1.0,2.0,,7.0,10.0,1683763584.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1683763585,,True,,
