customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,hasEventPlayerStatistics,detailId,roundInfo.round,homeScore.period1,awayScore.period1,time.injuryTime2,awayRedCards,aggregatedWinnerCode,hasEventPlayerHeatMap,roundInfo.name,roundInfo.slug,homeRedCards,roundInfo.cupRoundType,homeScore.penalties,awayScore.penalties,previousLegEventId,homeScore.aggregated,awayScore.aggregated,hasXg
zOsccKc,2,False,False,10975501,1674345600,inter-miami-cf-vasco,False,MLS Pre Season,mls-pre-season,USA,usa,Football,football,1,26,usa,US,Carolina Challenge Cup,carolina-challenge-cup,#000000,#d5a70b,USA,usa,Football,football,1,26,usa,US,1129,18529,False,False,False,False,0,91851,100,Ended,finished,Inter Miami CF,inter-miami-cf,Inter Miami,M,Football,football,1,184977,MIA,False,False,0,337602,US,USA,[],#212322,#f6b5cc,#f6b5cc,Vasco,vasco,Vasco,M,Football,football,1,84261,VDG,False,False,0,1974,BR,Brazil,[],#ffffff,#000000,#000000,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,2.0,1674353988.0,"['status.code', 'status.description', 'status.type', 'homeScore.current', 'homeScore.display', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.current', 'awayScore.display', 'awayScore.period2', 'awayScore.normaltime']",1674354612,,,,,,,,,,,,,,,,,,,
zOsrlIb,2,True,False,10912701,1674691800,portuguesa-rj-vasco,False,Carioca,carioca,Brazil,brazil,Football,football,1,13,brazil,BR,Carioca,carioca,#140533,#6c31e3,Brazil,brazil,Football,football,1,13,brazil,BR,30059,92,False,False,False,False,0,57585,100,Ended,finished,Portuguesa-RJ,portuguesa-rj,Portuguesa-RJ,M,Football,football,1,3124,POR,False,False,0,208067,BR,Brazil,[],#cc0014,#005400,#005400,Vasco,vasco,Vasco,M,Football,football,1,84261,VDG,False,False,0,1974,BR,Brazil,[],#ffffff,#000000,#000000,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,1674698919.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1674698923,False,4.0,4.0,0.0,1.0,4.0,,,,,,,,,,,,,
zOsHOc,2,True,False,10912703,1675119600,volta-redonda-vasco,False,Carioca,carioca,Brazil,brazil,Football,football,1,13,brazil,BR,Carioca,carioca,#140533,#6c31e3,Brazil,brazil,Football,football,1,13,brazil,BR,30059,92,False,False,False,False,0,57585,100,Ended,finished,Vasco,vasco,Vasco,M,Football,football,1,84261,VDG,False,False,0,1974,BR,Brazil,[],#ffffff,#000000,#000000,Volta Redonda,volta-redonda,Volta Redonda,M,Football,football,1,8295,VOR,False,False,0,6982,BR,Brazil,[],#f3df67,#000000,#000000,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,4.0,1675127192.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1675127196,False,4.0,5.0,0.0,2.0,6.0,,,,,,,,,,,,,
zOsDhn,1,True,False,10912711,1675375200,resende-vasco,False,Carioca,carioca,Brazil,brazil,Football,football,1,13,brazil,BR,Carioca,carioca,#140533,#6c31e3,Brazil,brazil,Football,football,1,13,brazil,BR,30059,92,False,False,False,False,0,57585,100,Ended,finished,Vasco,vasco,Vasco,M,Football,football,1,84261,VDG,False,False,0,1974,BR,Brazil,[],#ffffff,#000000,#000000,Resende,resende,Resende ,M,Football,football,1,2056,RES,False,False,0,32878,BR,Brazil,[],#000000,#ffffff,#ffffff,5.0,5.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,1675382208.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1675382212,False,4.0,6.0,2.0,0.0,4.0,1.0,,,,,,,,,,,,
zOsGOc,2,False,False,10912715,1675815000,nova-iguacu-vasco,False,Carioca,carioca,Brazil,brazil,Football,football,1,13,brazil,BR,Carioca,carioca,#140533,#6c31e3,Brazil,brazil,Football,football,1,13,brazil,BR,30059,92,False,False,False,False,0,57585,100,Ended,finished,Nova Iguaçu,nova-iguacu,Nova Iguaçu,M,Football,football,1,2987,NRJ,False,False,0,6981,BR,Brazil,[],#ff932e,#ffffff,#ffffff,Vasco,vasco,Vasco,M,Football,football,1,84261,VDG,False,False,0,1974,BR,Brazil,[],#ffffff,#000000,#000000,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,8.0,1675822508.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1675822512,False,4.0,7.0,0.0,1.0,7.0,,,,,,,,,,,,,
lOszO,1,True,False,10912725,1676235600,vasco-fluminense,False,Carioca,carioca,Brazil,brazil,Football,football,1,13,brazil,BR,Carioca,carioca,#140533,#6c31e3,Brazil,brazil,Football,football,1,13,brazil,BR,30059,92,False,False,False,False,0,57585,100,Ended,finished,Fluminense,fluminense,Fluminense,M,Football,football,1,93910,FLU,False,False,0,1961,BR,Brazil,[],#660000,#006633,#006633,Vasco,vasco,Vasco,M,Football,football,1,84261,VDG,False,False,0,1974,BR,Brazil,[],#ffffff,#000000,#000000,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,1676242984.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1676242986,False,4.0,8.0,0.0,0.0,8.0,,,,,,,,,,,,,
iOszO,1,True,False,10912598,1676590200,vasco-botafogo,False,Carioca,carioca,Brazil,brazil,Football,football,1,13,brazil,BR,Carioca,carioca,#140533,#6c31e3,Brazil,brazil,Football,football,1,13,brazil,BR,30059,92,False,False,False,False,0,57585,100,Ended,finished,Vasco,vasco,Vasco,M,Football,football,1,84261,VDG,False,False,0,1974,BR,Brazil,[],#ffffff,#000000,#000000,Botafogo,botafogo,Botafogo,M,Football,football,1,75496,BOT,False,False,0,1958,BR,Brazil,[],#000000,#ffffff,#ffffff,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,1676598054.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1676598057,False,4.0,3.0,0.0,0.0,4.0,2.0,,,,,,,,,,,,
zOspMi,2,False,False,11055522,1677198600,trem-ap-vasco,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,373,False,False,False,False,0,283,100,Ended,finished,Trem-AP,trem-ap,Trem-AP,M,Football,football,1,1700,TAP,False,False,0,21865,BR,Brazil,[],#ff0000,#000000,#000000,Vasco,vasco,Vasco,M,Football,football,1,84261,VDG,False,False,0,1974,BR,Brazil,[],#ffffff,#000000,#000000,0.0,0.0,0.0,0.0,4.0,4.0,2.0,4.0,1.0,1677205300.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1677205304,True,1.0,1.0,0.0,2.0,4.0,,2.0,True,Round 1,round-1,,,,,,,,
zOsCOc,1,True,False,10912727,1677537000,boavista-vasco,False,Carioca,carioca,Brazil,brazil,Football,football,1,13,brazil,BR,Carioca,carioca,#140533,#6c31e3,Brazil,brazil,Football,football,1,13,brazil,BR,30059,92,False,False,False,False,0,57585,100,Ended,finished,Vasco,vasco,Vasco,M,Football,football,1,84261,VDG,False,False,0,1974,BR,Brazil,[],#ffffff,#000000,#000000,Boavista,boavista,Boavista,M,Football,football,1,1907,BOA,,False,0,6977,BR,Brazil,[],#ffffff,#009900,#009900,4.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1677543904.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1677543906,False,4.0,9.0,2.0,0.0,,,,,,,,,,,,,,
zOsGuc,2,True,False,10912732,1678050600,flamengo-vasco,False,Carioca,carioca,Brazil,brazil,Football,football,1,13,brazil,BR,Carioca,carioca,#140533,#6c31e3,Brazil,brazil,Football,football,1,13,brazil,BR,30059,92,False,False,False,False,0,57585,100,Ended,finished,Flamengo,flamengo,Flamengo,M,Football,football,1,284779,FLA,False,False,0,5981,BR,Brazil,[],#ff0000,#000000,#000000,Vasco,vasco,Vasco,M,Football,football,1,84261,VDG,False,False,0,1974,BR,Brazil,[],#ffffff,#000000,#000000,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1678057926.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1678057928,False,4.0,10.0,0.0,0.0,6.0,,,,,,,,,,,,,
