customId,winnerCode,aggregatedWinnerCode,hasGlobalHighlights,hasXg,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,previousLegEventId,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,roundInfo.name,roundInfo.slug,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,homeScore.aggregated,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,awayScore.aggregated,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,tournament.category.alpha2,tournament.uniqueTournament.category.alpha2,roundInfo.cupRoundType,homeRedCards,awayRedCards,homeScore.penalties,awayScore.penalties
COsrxc,1,1.0,True,True,True,True,1,False,11099918,11099899.0,1678926600,millonarios-atletico-mineiro,False,"CONMEBOL Libertadores, Qualification",conmebol-libertadores-qualification,South America,south-america,Football,football,1,1470,south-america,CONMEBOL Libertadores,conmebol-libertadores,#573215,#dfaf49,South America,south-america,Football,football,1,1470,south-america,193544,384,True,False,False,False,526,14805,3,Qualification round 3,qualification-round-3,100,Ended,finished,Atlético Mineiro,atletico-mineiro,Atlético-MG,M,Football,football,1,101789,ATL,False,False,0,1977,BR,Brazil,[],#000000,#ffffff,#ffffff,Millonarios,millonarios,Millonarios,M,Football,football,1,27890,MIL,False,False,0,6117,CO,Colombia,[],#0000cc,#0000cc,#0000cc,3,3,0,3,3,4.0,1,1,0,1,1,2.0,4,4,1678933486,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1678933488,,,,,,,
COsAfMc,1,1.0,True,,True,True,1,False,11108539,11106616.0,1679167800,athletic-club-atletico-mineiro,False,"Mineiro, Modulo I, Playoffs",mineiro-modulo-i-playoffs,Brazil,brazil,Football,football,1,13,brazil,Mineiro Módulo I,mineiro-modulo-i,#b31218,#77818b,Brazil,brazil,Football,football,1,13,brazil,10111,379,False,False,False,False,0,58934,28,Semifinal,semifinal,100,Ended,finished,Atlético Mineiro,atletico-mineiro,Atlético-MG,M,Football,football,1,101789,ATL,False,False,0,1977,BR,Brazil,[],#000000,#ffffff,#ffffff,Athletic Club,athletic-club,Athletic Club,M,Football,football,1,2359,ATH,False,False,0,342775,BR,Brazil,[],#222220,#ffffff,#ffffff,1,1,0,1,1,1.0,0,0,0,0,0,1.0,4,7,1679174872,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1679174874,BR,BR,2.0,,,,
yOsCO,2,,True,,True,True,1,False,11145292,,1680377400,atletico-mineiro-america-mineiro,False,"Mineiro, Modulo I, Playoffs",mineiro-modulo-i-playoffs,Brazil,brazil,Football,football,1,13,brazil,Mineiro Módulo I,mineiro-modulo-i,#b31218,#77818b,Brazil,brazil,Football,football,1,13,brazil,10111,379,False,False,False,False,0,58934,29,Final,final,100,Ended,finished,América Mineiro,america-mineiro,América-MG,M,Football,football,1,39882,AMG,False,False,0,1973,BR,Brazil,[],#056635,#ffffff,#ffffff,Atlético Mineiro,atletico-mineiro,Atlético-MG,M,Football,football,1,101789,ATL,False,False,0,1977,BR,Brazil,[],#000000,#ffffff,#ffffff,2,2,1,1,2,,3,3,2,1,3,,5,7,1680384763,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1680384872,BR,BR,1.0,1.0,,,
COsWuc,2,,True,True,True,True,1,False,11173682,,1680818400,libertad-atletico-mineiro,False,"CONMEBOL Libertadores, Group G",conmebol-libertadores-group-g,South America,south-america,Football,football,1,1470,south-america,CONMEBOL Libertadores,conmebol-libertadores,#573215,#dfaf49,South America,south-america,Football,football,1,1470,south-america,193544,384,True,False,False,False,533,2934,1,,,100,Ended,finished,Atlético Mineiro,atletico-mineiro,Atlético-MG,M,Football,football,1,101789,ATL,False,False,0,1977,BR,Brazil,[],#000000,#ffffff,#ffffff,Libertad,libertad,Libertad,M,Football,football,1,22371,LIB,False,False,0,5996,PY,Paraguay,[],#ffffff,#000000,#000000,0,0,0,0,0,,1,1,1,0,1,,2,6,1680825201,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680825205,,,,,,,
yOsCO,1,1.0,True,,True,True,1,False,11147007,11145292.0,1681068600,atletico-mineiro-america-mineiro,False,"Mineiro, Modulo I, Playoffs",mineiro-modulo-i-playoffs,Brazil,brazil,Football,football,1,13,brazil,Mineiro Módulo I,mineiro-modulo-i,#b31218,#77818b,Brazil,brazil,Football,football,1,13,brazil,10111,379,False,False,False,False,0,58934,29,Final,final,100,Ended,finished,Atlético Mineiro,atletico-mineiro,Atlético-MG,M,Football,football,1,101789,ATL,False,False,0,1977,BR,Brazil,[],#000000,#ffffff,#ffffff,América Mineiro,america-mineiro,América-MG,M,Football,football,1,39882,AMG,False,False,0,1973,BR,Brazil,[],#056635,#ffffff,#ffffff,2,2,1,1,2,5.0,0,0,0,0,0,2.0,6,3,1681075699,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1681075703,BR,BR,1.0,1.0,,,
COsLO,1,,False,,True,True,1,False,11177681,,1681345800,gremio-esportivo-brasil-atletico-mineiro,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,133138,373,False,False,False,False,0,283,3,Round 3,round-3,100,Ended,finished,Atlético Mineiro,atletico-mineiro,Atlético-MG,M,Football,football,1,101789,ATL,False,False,0,1977,BR,Brazil,[],#000000,#ffffff,#ffffff,Grêmio Esportivo Brasil,gremio-esportivo-brasil,GE Brasil,M,Football,football,1,5429,GEB,False,False,0,1986,BR,Brazil,[],#ff0000,#ff0000,#ff0000,2,2,0,2,2,,1,1,0,1,1,,5,10,1681353090,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681353091,BR,BR,,,,,
zOsCO,2,,True,True,True,True,1,False,11067270,,1681603200,atletico-mineiro-vasco,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,251366,325,True,False,True,False,390,83,1,,,100,Ended,finished,Atlético Mineiro,atletico-mineiro,Atlético-MG,M,Football,football,1,101789,ATL,False,False,0,1977,BR,Brazil,[],#000000,#ffffff,#ffffff,Vasco,vasco,Vasco,M,Football,football,1,84261,VDG,False,False,0,1974,BR,Brazil,[],#ffffff,#000000,#000000,1,1,1,0,1,,2,2,2,0,2,,7,7,1681610433,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681610435,BR,BR,,,,,
rOsCO,1,,True,True,True,True,1,False,11173680,,1681862400,atletico-mineiro-athletico,False,"CONMEBOL Libertadores, Group G",conmebol-libertadores-group-g,South America,south-america,Football,football,1,1470,south-america,CONMEBOL Libertadores,conmebol-libertadores,#573215,#dfaf49,South America,south-america,Football,football,1,1470,south-america,193544,384,True,False,False,False,533,2934,2,,,100,Ended,finished,Athletico,athletico,Athletico,M,Football,football,1,64168,CAP,False,False,0,1967,BR,Brazil,[],#000000,#cc0000,#cc0000,Atlético Mineiro,atletico-mineiro,Atlético-MG,M,Football,football,1,101789,ATL,False,False,0,1977,BR,Brazil,[],#000000,#ffffff,#ffffff,2,2,2,0,2,,1,1,0,1,1,,7,7,1681869554,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1681869557,,,,,1.0,,
tOsCO,3,,True,True,True,True,1,False,11067291,,1682276400,atletico-mineiro-santos,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,251366,325,True,False,True,False,390,83,2,,,100,Ended,finished,Santos,santos,Santos,M,Football,football,1,80387,SAN,False,False,0,1968,BR,Brazil,[],#ffffff,#ffffff,#ffffff,Atlético Mineiro,atletico-mineiro,Atlético-MG,M,Football,football,1,101789,ATL,False,False,0,1977,BR,Brazil,[],#000000,#ffffff,#ffffff,0,0,0,0,0,,0,0,0,0,0,,5,5,1682283414,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682283416,BR,BR,,,,,
COsLO,3,2.0,False,,True,True,1,False,11180014,11177681.0,1682548200,gremio-esportivo-brasil-atletico-mineiro,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,133138,373,False,False,False,False,0,283,3,Round 3,round-3,100,Ended,finished,Grêmio Esportivo Brasil,gremio-esportivo-brasil,GE Brasil,M,Football,football,1,5429,GEB,False,False,0,1986,BR,Brazil,[],#ff0000,#ff0000,#ff0000,Atlético Mineiro,atletico-mineiro,Atlético-MG,M,Football,football,1,101789,ATL,False,False,0,1977,BR,Brazil,[],#000000,#ffffff,#ffffff,1,1,1,0,1,2.0,1,1,0,1,1,3.0,9,8,1682555845,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682555848,BR,BR,,,,,
