customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,homeScore.penalties,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,awayScore.penalties,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,hasXg,aggregatedWinnerCode,previousLegEventId,homeScore.aggregated,awayScore.aggregated,homeRedCards,awayRedCards
GOskkeb,2,True,True,True,1,False,11109822,1678748400,sao-paulo-agua-santa,False,"Paulista, Serie A1, Playoffs",paulista-serie-a1-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Paulista Série A1,paulista-serie-a1,#004990,#d1a02f,Brazil,brazil,Football,football,1,13,brazil,BR,47552,False,False,372,True,False,0,58692,27,Quarterfinal,quarterfinal,4.0,120,AP,finished,São Paulo,sao-paulo,São Paulo,M,Football,football,1,144593,SPA,False,False,0,1981,BR,Brazil,[],#ffffff,#000000,#000000,Água Santa,agua-santa,Água Santa,M,Football,football,1,4415,AGU,False,False,0,135510,BR,Brazil,[],#153160,#cca24b,#cca24b,5,0,0,0,0,5.0,6,0,0,0,0,6.0,5.0,7.0,1678756695,"['homeScore.normaltime', 'awayScore.normaltime']",1678756995,,,,,,,
GOsDcd,2,True,True,True,1,False,11174249,1680825600,tigre-sao-paulo,False,"CONMEBOL Sudamericana, Group D",conmebol-sudamericana-group-d,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Sudamericana,conmebol-sudamericana,#e3c000,#13489c,South America,south-america,Football,football,1,1470,south-america,,105090,False,False,480,True,False,403,91439,1,,,,100,Ended,finished,Tigre,tigre,Tigre,M,Football,football,1,14402,TIG,False,False,0,7628,AR,Argentina,[],#000099,#ff0000,#ff0000,São Paulo,sao-paulo,São Paulo,M,Football,football,1,144593,SPA,False,False,0,1981,BR,Brazil,[],#ffffff,#000000,#000000,0,0,0,0,0,,2,2,0,2,2,,1.0,4.0,1680832238,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680832240,,,,,,,
GOsAP,3,False,True,True,1,False,11180009,1681259400,ituano-sao-paulo,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,False,False,373,False,False,0,283,3,Round 3,round-3,,100,Ended,finished,São Paulo,sao-paulo,São Paulo,M,Football,football,1,144593,SPA,False,False,0,1981,BR,Brazil,[],#ffffff,#000000,#000000,Ituano,ituano,Ituano,M,Football,football,1,14035,ITU,False,False,0,2025,BR,Brazil,[],#c1394e,#181d25,#181d25,0,0,0,0,0,,0,0,0,0,0,,,,1681266614,"['homeScore.aggregated', 'awayScore.aggregated']",1681292743,,,,,,,
iOsGO,1,True,True,True,1,False,11067265,1681594200,sao-paulo-botafogo,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,False,True,325,True,False,390,83,1,,,,100,Ended,finished,Botafogo,botafogo,Botafogo,M,Football,football,1,75496,BOT,False,False,0,1958,BR,Brazil,[],#000000,#ffffff,#ffffff,São Paulo,sao-paulo,São Paulo,M,Football,football,1,144593,SPA,False,False,0,1981,BR,Brazil,[],#ffffff,#000000,#000000,2,2,1,1,2,,1,1,1,0,1,,8.0,6.0,1681601765,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681601768,True,,,,,,
GOsAoRb,1,True,True,True,1,False,11174239,1681864200,academia-puerto-cabello-sao-paulo,False,"CONMEBOL Sudamericana, Group D",conmebol-sudamericana-group-d,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Sudamericana,conmebol-sudamericana,#e3c000,#13489c,South America,south-america,Football,football,1,1470,south-america,,105090,False,False,480,True,False,403,91439,2,,,,100,Ended,finished,São Paulo,sao-paulo,São Paulo,M,Football,football,1,144593,SPA,False,False,0,1981,BR,Brazil,[],#ffffff,#000000,#000000,Academia Puerto Cabello,academia-puerto-cabello,Puerto Cabello,M,Football,football,1,3866,APC,,False,0,230725,VE,Venezuela,[],#000242,#fe5c03,#fe5c03,2,2,0,2,2,,0,0,0,0,0,,1.0,4.0,1681870911,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681870915,,,,,,,
yOsGO,1,True,True,True,1,False,11067286,1682199000,sao-paulo-america-mineiro,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,False,True,325,True,False,390,83,2,,,,100,Ended,finished,São Paulo,sao-paulo,São Paulo,M,Football,football,1,144593,SPA,False,False,0,1981,BR,Brazil,[],#ffffff,#000000,#000000,América Mineiro,america-mineiro,América-MG,M,Football,football,1,39882,AMG,False,False,0,1973,BR,Brazil,[],#056635,#ffffff,#ffffff,3,3,1,2,3,,0,0,0,0,0,,6.0,6.0,1682206324,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1682206394,True,,,,,,
GOsAP,2,True,True,True,1,False,11177675,1682469000,ituano-sao-paulo,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,False,False,373,False,False,0,283,3,Round 3,round-3,,100,Ended,finished,Ituano,ituano,Ituano,M,Football,football,1,14035,ITU,False,False,0,2025,BR,Brazil,[],#c1394e,#181d25,#181d25,São Paulo,sao-paulo,São Paulo,M,Football,football,1,144593,SPA,False,False,0,1981,BR,Brazil,[],#ffffff,#000000,#000000,0,0,0,0,0,,1,1,0,1,1,,4.0,8.0,1682476108,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682476111,,2.0,11180009.0,0.0,1.0,,
GOsHO,3,True,True,True,1,False,11067335,1682796600,coritiba-sao-paulo,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,False,True,325,True,False,390,83,3,,,,100,Ended,finished,Coritiba,coritiba,Coritiba,M,Football,football,1,32452,COR,False,False,0,1982,BR,Brazil,[],#ffffff,#009966,#009966,São Paulo,sao-paulo,São Paulo,M,Football,football,1,144593,SPA,False,False,0,1981,BR,Brazil,[],#ffffff,#000000,#000000,1,1,1,0,1,,1,1,0,1,1,,4.0,5.0,1682803613,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682803615,True,,,,,,
GOslxc,3,True,True,True,1,False,11174272,1683064800,deportes-tolima-sao-paulo,False,"CONMEBOL Sudamericana, Group D",conmebol-sudamericana-group-d,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Sudamericana,conmebol-sudamericana,#e3c000,#13489c,South America,south-america,Football,football,1,1470,south-america,,105090,False,False,480,True,False,403,91439,3,,,,100,Ended,finished,Deportes Tolima,deportes-tolima,Tolima,M,Football,football,1,15817,TOL,False,False,0,6111,CO,Colombia,[],#cc3366,#ffff00,#ffff00,São Paulo,sao-paulo,São Paulo,M,Football,football,1,144593,SPA,False,False,0,1981,BR,Brazil,[],#ffffff,#000000,#000000,0,0,0,0,0,,0,0,0,0,0,,2.0,4.0,1683071508,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1683071512,,,,,,,
qOsGO,1,True,True,True,1,False,11067350,1683486000,sao-paulo-internacional,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,False,True,325,True,False,390,83,4,,,,100,Ended,finished,São Paulo,sao-paulo,São Paulo,M,Football,football,1,144593,SPA,False,False,0,1981,BR,Brazil,[],#ffffff,#000000,#000000,Internacional,internacional,Internacional,M,Football,football,1,80902,INT,False,False,0,1966,BR,Brazil,[],#cc0000,#cc0000,#cc0000,2,2,1,1,2,,0,0,0,0,0,,4.0,9.0,1683493432,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1683493435,True,,,,,,
