customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,aggregatedWinnerCode,detailId,roundInfo.name,roundInfo.slug,homeScore.extra1,homeScore.extra2,homeScore.overtime,homeScore.penalties,awayScore.extra1,awayScore.extra2,awayScore.overtime,awayScore.penalties,awayRedCards,roundInfo.cupRoundType,previousLegEventId,homeScore.aggregated,awayScore.aggregated,hasEventPlayerStatistics,hasEventPlayerHeatMap,time.injuryTime1,time.injuryTime2
JOsKO,1,False,False,10916119,1677353400,figueirense-criciuma,False,Catarinense,catarinense,Brazil,brazil,Football,football,1,13,brazil,BR,Catarinense,catarinense,#336064,#33b393,Brazil,brazil,Football,football,1,13,brazil,BR,4005,376,False,False,False,False,0,57299,9,100,Ended,finished,Criciúma,criciuma,Criciúma,M,Football,football,1,16249,CRI,False,False,0,1984,BR,Brazil,[],#ffff00,#000000,#000000,Figueirense,figueirense,Figueirense,M,Football,football,1,7309,FIG,False,False,0,1985,BR,Brazil,[],#000000,#ffffff,#ffffff,1,1,1,0,1,0,0,0,0,0,1677357540.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2']",1677360579,,,,,,,,,,,,,,,,,,,,,
JOsEqkc,2,False,False,11056165,1677785400,real-ariquemes-criciuma,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,373,False,False,False,False,0,283,1,100,Ended,finished,Real Ariquemes,real-ariquemes,Real Ariquemes,M,Football,football,1,734,DAR,,False,0,275829,BR,Brazil,[],#ff0000,#000000,#000000,Criciúma,criciuma,Criciúma,M,Football,football,1,16249,CRI,False,False,0,1984,BR,Brazil,[],#ffff00,#000000,#000000,0,0,0,0,0,3,3,1,2,3,1677789420.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1677792392,2.0,6.0,Round 1,round-1,,,,,,,,,,,,,,,,,
JOsrfZc,1,False,False,10916130,1678230000,atletico-catarinense-criciuma,False,Catarinense,catarinense,Brazil,brazil,Football,football,1,13,brazil,BR,Catarinense,catarinense,#336064,#33b393,Brazil,brazil,Football,football,1,13,brazil,BR,4005,376,False,False,False,False,0,57299,10,100,Ended,finished,Criciúma,criciuma,Criciúma,M,Football,football,1,16249,CRI,False,False,0,1984,BR,Brazil,[],#ffff00,#000000,#000000,Atlético Catarinense,atletico-catarinense,Atlético Catarinense,M,Football,football,1,556,ATL,,False,0,372767,BR,Brazil,[],#52b030,#52b030,#ffffff,2,2,0,2,2,0,0,0,0,0,,['cardsCode'],1678257916,,,,,,,,,,,,,,,,,,,,,
JOspWc,3,False,False,10916131,1678563000,avai-criciuma,False,Catarinense,catarinense,Brazil,brazil,Football,football,1,13,brazil,BR,Catarinense,catarinense,#336064,#33b393,Brazil,brazil,Football,football,1,13,brazil,BR,4005,376,False,False,False,False,0,57299,11,100,Ended,finished,Avaí,avai,Avaí,M,Football,football,1,17276,AVA,False,False,0,7315,BR,Brazil,[],#0066ff,#ffffff,#ffffff,Criciúma,criciuma,Criciúma,M,Football,football,1,16249,CRI,False,False,0,1984,BR,Brazil,[],#ffff00,#000000,#000000,2,2,0,2,2,2,2,0,2,2,1678567080.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1678570355,,,,,,,,,,,,,,,,,,,,,
HOsJO,1,False,False,11103592,1678834800,criciuma-coritiba,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,373,False,False,False,False,0,283,2,120,AP,finished,Coritiba,coritiba,Coritiba,M,Football,football,1,32452,COR,False,False,0,1982,BR,Brazil,[],#ffffff,#009966,#009966,Criciúma,criciuma,Criciúma,M,Football,football,1,16249,CRI,False,False,0,1984,BR,Brazil,[],#ffff00,#000000,#000000,7,1,0,1,1,6,1,1,0,1,1678843127.0,['cardsCode'],1678866007,,6.0,Round 2,round-2,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,,,,,,,,,
JOspWc,3,False,False,11129494,1679167800,avai-criciuma,False,"Catarinense, Serie A, Playoffs",catarinense-serie-a-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Catarinense,catarinense,#336064,#33b393,Brazil,brazil,Football,football,1,13,brazil,BR,4005,376,False,False,False,False,0,57644,27,100,Ended,finished,Avaí,avai,Avaí,M,Football,football,1,17276,AVA,False,False,0,7315,BR,Brazil,[],#0066ff,#ffffff,#ffffff,Criciúma,criciuma,Criciúma,M,Football,football,1,16249,CRI,False,False,0,1984,BR,Brazil,[],#ffff00,#000000,#000000,0,0,0,0,0,0,0,0,0,0,1679171880.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2']",1679175048,,,Quarterfinal,quarterfinal,,,,,,,,,1.0,4.0,,,,,,,
JOspWc,1,False,False,11132392,1679443200,avai-criciuma,False,"Catarinense, Serie A, Playoffs",catarinense-serie-a-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Catarinense,catarinense,#336064,#33b393,Brazil,brazil,Football,football,1,13,brazil,BR,4005,376,False,False,False,False,0,57644,27,120,AP,finished,Criciúma,criciuma,Criciúma,M,Football,football,1,16249,CRI,False,False,0,1984,BR,Brazil,[],#ffff00,#000000,#000000,Avaí,avai,Avaí,M,Football,football,1,17276,AVA,False,False,0,7315,BR,Brazil,[],#0066ff,#ffffff,#ffffff,14,0,0,0,0,13,0,0,0,0,,['cardsCode'],1679474370,1.0,,Quarterfinal,quarterfinal,,,,14.0,,,,13.0,,4.0,11129494.0,0.0,0.0,,,,
JOsxJTb,1,False,False,11154040,1679772600,hercilio-luz-criciuma,False,"Catarinense, Serie A, Playoffs",catarinense-serie-a-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Catarinense,catarinense,#336064,#33b393,Brazil,brazil,Football,football,1,13,brazil,BR,4005,376,False,False,False,False,0,57644,28,100,Ended,finished,Criciúma,criciuma,Criciúma,M,Football,football,1,16249,CRI,False,False,0,1984,BR,Brazil,[],#ffff00,#000000,#000000,Hercílio Luz,hercilio-luz,Hercílio Luz,M,Football,football,1,1989,HER,False,False,0,234222,BR,Brazil,[],#ff0000,#ffffff,#ffffff,2,2,2,0,2,0,0,0,0,0,1679776560.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2']",1679779641,,,Semifinal,semifinal,,,,,,,,,,2.0,,,,,,,
JOsxJTb,1,False,False,11154056,1680134400,hercilio-luz-criciuma,False,"Catarinense, Serie A, Playoffs",catarinense-serie-a-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Catarinense,catarinense,#336064,#33b393,Brazil,brazil,Football,football,1,13,brazil,BR,4005,376,False,False,False,False,0,57644,28,100,Ended,finished,Hercílio Luz,hercilio-luz,Hercílio Luz,M,Football,football,1,1989,HER,False,False,0,234222,BR,Brazil,[],#ff0000,#ffffff,#ffffff,Criciúma,criciuma,Criciúma,M,Football,football,1,16249,CRI,False,False,0,1984,BR,Brazil,[],#ffff00,#000000,#000000,2,2,1,1,2,1,1,0,1,1,,['cardsCode'],1680163533,2.0,,Semifinal,semifinal,,,,,,,,,,2.0,11154040.0,2.0,3.0,,,,
JOsJMi,1,False,False,11177061,1680377400,brusque-criciuma,False,"Catarinense, Serie A, Playoffs",catarinense-serie-a-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Catarinense,catarinense,#336064,#33b393,Brazil,brazil,Football,football,1,13,brazil,BR,4005,376,False,False,False,False,0,57644,29,100,Ended,finished,Criciúma,criciuma,Criciúma,M,Football,football,1,16249,CRI,False,False,0,1984,BR,Brazil,[],#ffff00,#000000,#000000,Brusque,brusque,Brusque,M,Football,football,1,8990,BRU,False,False,0,21884,BR,Brazil,[],#dd421a,#048a4a,#048a4a,1,1,0,1,1,0,0,0,0,0,1680381480.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1680384967,,,Final,final,,,,,,,,,,1.0,,,,,,,
