customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,homeRedCards,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,roundInfo.name,roundInfo.slug,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,awayRedCards,roundInfo.cupRoundType,homeScore.penalties,awayScore.penalties,hasXg
ZOsqfn,1,True,True,True,1.0,False,11103576,1.0,1678926600,ypiranga-red-bull-bragantino,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,373,False,False,False,False,0,283,2,Round 2,round-2,100,Ended,finished,Ypiranga,ypiranga,Ypiranga,M,Football,football,1,6020,YRS,False,False,0,32766,BR,Brazil,[],#008827,#ffe000,#ffe000,Red Bull Bragantino,red-bull-bragantino,RB Bragantino,M,Football,football,1,49385,BRA,False,False,0,1999,BR,Brazil,[],#363636,#d8d8d6,#d8d8d6,3.0,3.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,7.0,1678933560.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1678933563,,,,,
ZOskkeb,1,True,True,True,1.0,False,11129504,1.0,1679356800,red-bull-bragantino-agua-santa,False,"Paulista, Serie A1, Playoffs",paulista-serie-a1-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Paulista Série A1,paulista-serie-a1,#004990,#d1a02f,Brazil,brazil,Football,football,1,13,brazil,BR,47552,372,True,False,False,False,0,58692,28,Semifinal,semifinal,120,AP,finished,Água Santa,agua-santa,Água Santa,M,Football,football,1,4415,AGU,False,False,0,135510,BR,Brazil,[],#153160,#cca24b,#cca24b,Red Bull Bragantino,red-bull-bragantino,RB Bragantino,M,Football,football,1,49385,BRA,False,False,0,1999,BR,Brazil,[],#363636,#d8d8d6,#d8d8d6,5.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,3.0,8.0,1679364989.0,"['homeScore.normaltime', 'awayScore.normaltime']",1679365439,1.0,2.0,4.0,2.0,
eOsZO,2,False,,,,False,11174398,,1680127200,red-bull-bragantino-cruzeiro,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,853,False,False,False,False,0,86,1,,,100,Ended,finished,Red Bull Bragantino,red-bull-bragantino,RB Bragantino,M,Football,football,1,49385,BRA,False,False,0,1999,BR,Brazil,[],#363636,#d8d8d6,#d8d8d6,Cruzeiro,cruzeiro,Cruzeiro,M,Football,football,1,73672,CRU,False,False,0,1954,BR,Brazil,[],#0033cc,#0033cc,#0033cc,2.0,2.0,2.0,0.0,2.0,3.0,3.0,0.0,3.0,3.0,,,,['cardsCode'],1680160228,,,,,
ZOsZuc,2,True,True,True,1.0,False,11174247,,1680825600,tacuary-red-bull-bragantino,False,"CONMEBOL Sudamericana, Group C",conmebol-sudamericana-group-c,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Sudamericana,conmebol-sudamericana,#e3c000,#13489c,South America,south-america,Football,football,1,1470,south-america,,105090,480,True,False,False,False,404,91438,1,,,100,Ended,finished,Tacuary,tacuary,Tacuary,M,Football,football,1,4480,TAC,False,False,0,5999,PY,Paraguay,[],#ffffff,#000000,#000000,Red Bull Bragantino,red-bull-bragantino,RB Bragantino,M,Football,football,1,49385,BRA,False,False,0,1999,BR,Brazil,[],#363636,#d8d8d6,#d8d8d6,1.0,1.0,1.0,0.0,1.0,4.0,4.0,1.0,3.0,4.0,3.0,3.0,1680832276.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680832279,,,,,
fOsZO,1,True,True,True,1.0,False,11067269,,1681594200,red-bull-bragantino-bahia,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,1,,,100,Ended,finished,Red Bull Bragantino,red-bull-bragantino,RB Bragantino,M,Football,football,1,49385,BRA,False,False,0,1999,BR,Brazil,[],#363636,#d8d8d6,#d8d8d6,Bahia,bahia,Bahia,M,Football,football,1,55741,BAH,False,False,0,1955,BR,Brazil,[],#ffffff,#333399,#333399,2.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,7.0,6.0,1681601501.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681601504,,,,,True
ZOsvBn,1,True,True,True,1.0,False,11174238,,1681855200,oriente-petrolero-red-bull-bragantino,False,"CONMEBOL Sudamericana, Group C",conmebol-sudamericana-group-c,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Sudamericana,conmebol-sudamericana,#e3c000,#13489c,South America,south-america,Football,football,1,1470,south-america,,105090,480,True,False,False,False,404,91438,2,,,100,Ended,finished,Red Bull Bragantino,red-bull-bragantino,RB Bragantino,M,Football,football,1,49385,BRA,False,False,0,1999,BR,Brazil,[],#363636,#d8d8d6,#d8d8d6,Oriente Petrolero,oriente-petrolero,Oriente,M,Football,football,1,5921,ORP,False,False,0,33820,BO,Bolivia,[],#009900,#ffffff,#ffffff,5.0,5.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,1681862197.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1681862341,,,,,
ZOscJu,3,True,True,True,1.0,False,11067311,,1682199000,cuiaba-red-bull-bragantino,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,2,,,100,Ended,finished,Cuiabá,cuiaba,Cuiabá,M,Football,football,1,26115,CUI,False,False,0,49202,BR,Brazil,[],#ffffff,#006600,#006600,Red Bull Bragantino,red-bull-bragantino,RB Bragantino,M,Football,football,1,49385,BRA,False,False,0,1999,BR,Brazil,[],#363636,#d8d8d6,#d8d8d6,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,9.0,1682206312.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682206315,,,,,True
eOsZO,2,True,True,True,1.0,False,11067326,1.0,1682803800,red-bull-bragantino-cruzeiro,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,3,,,100,Ended,finished,Red Bull Bragantino,red-bull-bragantino,RB Bragantino,M,Football,football,1,49385,BRA,False,False,0,1999,BR,Brazil,[],#363636,#d8d8d6,#d8d8d6,Cruzeiro,cruzeiro,Cruzeiro,M,Football,football,1,73672,CRU,False,False,0,1954,BR,Brazil,[],#0033cc,#0033cc,#0033cc,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,3.0,9.0,7.0,1682811114.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682811118,,,,,True
ZOsgob,3,True,True,True,1.0,False,11174280,,1683072000,estudiantes-de-la-plata-red-bull-bragantino,False,"CONMEBOL Sudamericana, Group C",conmebol-sudamericana-group-c,South America,south-america,Football,football,1,1470,south-america,,CONMEBOL Sudamericana,conmebol-sudamericana,#e3c000,#13489c,South America,south-america,Football,football,1,1470,south-america,,105090,480,True,False,False,False,404,91438,3,,,100,Ended,finished,Red Bull Bragantino,red-bull-bragantino,RB Bragantino,M,Football,football,1,49385,BRA,False,False,0,1999,BR,Brazil,[],#363636,#d8d8d6,#d8d8d6,Estudiantes de La Plata,estudiantes-de-la-plata,Estudiantes,M,Football,football,1,18531,ELP,False,False,0,3206,AR,Argentina,[],#ff0000,#ffffff,#ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1683078748.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1683078751,,,,,
ZOsBtc,3,True,True,True,1.0,False,11067363,,1683495000,gremio-red-bull-bragantino,False,Brasileiro Série A,brasileiro-serie-a,Brazil,brazil,Football,football,1,13,brazil,BR,Brasileiro Série A,brasileiro-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1,13,brazil,BR,251366,325,True,False,True,False,390,83,4,,,100,Ended,finished,Grêmio,gremio,Grêmio,M,Football,football,1,91093,GPA,False,False,0,5926,BR,Brazil,[],#3399ff,#000033,#000033,Red Bull Bragantino,red-bull-bragantino,RB Bragantino,M,Football,football,1,49385,BRA,False,False,0,1999,BR,Brazil,[],#363636,#d8d8d6,#d8d8d6,3.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,6.0,7.0,1683502376.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1683502378,,,,,True
