customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,homeRedCards,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,awayRedCards,homeTeam.disabled,roundInfo.name,roundInfo.slug,homeScore.penalties,awayScore.penalties
WNszHFb,3,True,True,True,1,False,10367234,1.0,1661047500,juarez-fc-mazatlan-fc,False,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,MX,"Liga MX, Apertura",liga-mx-apertura,#cd2c25,#52b030,Mexico,mexico,Football,football,1,12,mexico,MX,31118,11621,True,False,False,False,349,28,10,100,Ended,finished,Juárez FC,juarez-fc,Juárez,M,Football,football,1,7096,JUA,False,0,201624,MX,Mexico,[],#0ee762,#222226,#222226,Mazatlán FC,mazatlan-fc,Mazatlán ,M,Football,football,1,7615,MAZ,False,False,0,1946,MX,Mexico,[],#523278,#83dfec,#83dfec,1,1,0,1,1,1,1,1,0,1,2.0,4,1661054483,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1661054486,,,,,,
QNszHFb,3,True,True,True,1,False,10367233,,1661558400,juarez-fc-puebla,False,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,MX,"Liga MX, Apertura",liga-mx-apertura,#cd2c25,#52b030,Mexico,mexico,Football,football,1,12,mexico,MX,31118,11621,True,False,False,False,349,28,11,100,Ended,finished,Puebla,puebla,Puebla,M,Football,football,1,9514,PUE,False,0,1941,MX,Mexico,[],#ffffff,#ffffff,#ffffff,Juárez FC,juarez-fc,Juárez,M,Football,football,1,7096,JUA,,False,0,201624,MX,Mexico,[],#0ee762,#222226,#222226,2,2,1,1,2,2,2,1,1,2,2.0,5,1661565404,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1661565408,,,,,,
XNszHFb,3,True,True,True,1,False,10367254,1.0,1662170700,juarez-fc-cruz-azul,False,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,MX,"Liga MX, Apertura",liga-mx-apertura,#cd2c25,#52b030,Mexico,mexico,Football,football,1,12,mexico,MX,31118,11621,True,False,False,False,349,28,12,100,Ended,finished,Juárez FC,juarez-fc,Juárez,M,Football,football,1,7096,JUA,False,0,201624,MX,Mexico,[],#0ee762,#222226,#222226,Cruz Azul,cruz-azul,Cruz Azul,M,Football,football,1,23213,CAZ,False,False,0,1947,MX,Mexico,[],#0080c0,#ffffff,#ffffff,2,2,0,2,2,2,2,2,0,2,,6,1662178239,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1662178242,,,,,,
JFoszHFb,1,True,True,True,1,False,10367270,1.0,1662508800,club-leon-juarez-fc,False,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,MX,"Liga MX, Apertura",liga-mx-apertura,#cd2c25,#52b030,Mexico,mexico,Football,football,1,12,mexico,MX,31118,11621,True,False,False,False,349,28,13,100,Ended,finished,Club León,club-leon,León,M,Football,football,1,16416,LEO,False,0,36534,MX,Mexico,[],#008040,#66cc33,#66cc33,Juárez FC,juarez-fc,Juárez,M,Football,football,1,7096,JUA,,False,0,201624,MX,Mexico,[],#0ee762,#222226,#222226,1,1,0,1,1,0,0,0,0,0,4.0,7,1662516253,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1662516256,1.0,False,,,,
HNszHFb,2,True,True,True,1,False,10367265,,1662775500,juarez-fc-monterrey,False,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,MX,"Liga MX, Apertura",liga-mx-apertura,#cd2c25,#52b030,Mexico,mexico,Football,football,1,12,mexico,MX,31118,11621,True,False,False,False,349,28,14,100,Ended,finished,Juárez FC,juarez-fc,Juárez,M,Football,football,1,7096,JUA,False,0,201624,MX,Mexico,[],#0ee762,#222226,#222226,Monterrey,monterrey,Monterrey,M,Football,football,1,25544,MON,,False,0,1932,MX,Mexico,[],#ffffff,#000000,#000000,0,0,0,0,0,1,1,0,1,1,1.0,5,1662782304,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1662782308,,,,,,
LNszHFb,1,True,True,True,1,False,10679217,,1663207500,juarez-fc-pachuca,False,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,MX,"Liga MX, Apertura",liga-mx-apertura,#cd2c25,#52b030,Mexico,mexico,Football,football,1,12,mexico,MX,31118,11621,True,False,False,False,349,28,8,100,Ended,finished,Juárez FC,juarez-fc,Juárez,M,Football,football,1,7096,JUA,False,0,201624,MX,Mexico,[],#0ee762,#222226,#222226,Pachuca,pachuca,Pachuca,M,Football,football,1,16630,PAC,,False,0,1936,MX,Mexico,[],#ffffff,#008bce,#008bce,2,2,2,0,2,1,1,1,0,1,1.0,7,1663214583,['cardsCode'],1663221023,,,,,,
YNszHFb,1,True,True,True,1,False,10367287,,1663545900,juarez-fc-santos-laguna,False,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,MX,"Liga MX, Apertura",liga-mx-apertura,#cd2c25,#52b030,Mexico,mexico,Football,football,1,12,mexico,MX,31118,11621,True,False,False,False,349,28,15,100,Ended,finished,Santos Laguna,santos-laguna,Santos,M,Football,football,1,13670,SLA,False,0,1948,MX,Mexico,[],#ffffff,#00c6c6,#00c6c6,Juárez FC,juarez-fc,Juárez,M,Football,football,1,7096,JUA,,False,0,201624,MX,Mexico,[],#0ee762,#222226,#222226,2,2,1,1,2,0,0,0,0,0,2.0,5,1663553231,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1663553233,,False,,,,
INszHFb,1,True,True,True,1,False,10367170,,1664589600,juarez-fc-pumas-unam,False,"Liga MX, Apertura",liga-mx-apertura,Mexico,mexico,Football,football,1,12,mexico,MX,"Liga MX, Apertura",liga-mx-apertura,#cd2c25,#52b030,Mexico,mexico,Football,football,1,12,mexico,MX,31118,11621,True,False,False,False,349,28,17,100,Ended,finished,Juárez FC,juarez-fc,Juárez,M,Football,football,1,7096,JUA,False,0,201624,MX,Mexico,[],#0ee762,#222226,#222226,Pumas UNAM,pumas-unam,Pumas UNAM,M,Football,football,1,16179,PUM,False,False,0,1933,MX,Mexico,[],#d2b651,#000033,#000033,3,3,2,1,3,1,1,1,0,1,6.0,6,1664597093,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1664597095,1.0,,,,,
GNszHFb,1,True,True,True,1,False,10735688,,1665334800,juarez-fc-toluca,False,"Liga MX, Apertura Playoffs",liga-mx-apertura-playoffs,Mexico,mexico,Football,football,1,12,mexico,MX,"Liga MX, Apertura",liga-mx-apertura,#cd2c25,#52b030,Mexico,mexico,Football,football,1,12,mexico,MX,31118,11621,True,False,False,False,348,16755,1,100,Ended,finished,Toluca,toluca,Toluca,M,Football,football,1,13887,TOL,False,0,1931,MX,Mexico,[],#d50101,#202b15,#202b15,Juárez FC,juarez-fc,Juárez,M,Football,football,1,7096,JUA,,False,0,201624,MX,Mexico,[],#0ee762,#222226,#222226,3,3,1,2,3,0,0,0,0,0,2.0,6,1665342084,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1665342087,,,Round 1,round-1,,
INszHFb,1,True,True,True,1,False,10911721,,1673200800,juarez-fc-pumas-unam,False,"Liga MX, Clausura",liga-mx-clausura,Mexico,mexico,Football,football,1,12,mexico,MX,"Liga MX, Clausura",liga-mx-clausura,#cd2c25,#52b030,Mexico,mexico,Football,football,1,12,mexico,MX,28942,11620,True,False,False,False,350,16753,1,100,Ended,finished,Pumas UNAM,pumas-unam,Pumas UNAM,M,Football,football,1,16179,PUM,False,0,1933,MX,Mexico,[],#d2b651,#000033,#000033,Juárez FC,juarez-fc,Juárez,M,Football,football,1,7096,JUA,,False,0,201624,MX,Mexico,[],#0ee762,#222226,#222226,2,2,0,2,2,1,1,1,0,1,6.0,5,1673208314,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1673208318,1.0,False,,,,
