customId,winnerCode,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,changes.changes,changes.changeTimestamp,awayTeam.disabled,time.currentPeriodStartTimestamp,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,homeScore.penalties,awayScore.penalties,aggregatedWinnerCode,detailId,previousLegEventId,homeScore.aggregated,awayScore.aggregated,time.injuryTime1,time.injuryTime2,homeRedCards,awayRedCards,hasEventPlayerStatistics,hasEventPlayerHeatMap
wPswDvc,1,False,False,10915854,1675809000,inhumas-vila-nova,False,Goiano,goiano,Brazil,brazil,Football,football,1,13,brazil,BR,Goiano,goiano,#0e3189,#189b34,Brazil,brazil,Football,football,1,13,brazil,BR,3264,381,False,False,False,False,0,57344,9,100,Ended,finished,Vila Nova,vila-nova,Vila Nova,M,Football,football,1,17647,VIN,False,False,0,2021,BR,Brazil,[],#ff0000,#ffffff,#ffffff,Inhumas,inhumas,Inhumas,M,Football,football,1,332,INH,False,0,301421,BR,Brazil,[],#52b030,#52b030,#ffffff,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,['cardsCode'],1675842256,,,,,,,,,,,,,,,,,,
wPsGRp,1,False,False,10915838,1676120400,morrinhos-vila-nova,False,Goiano,goiano,Brazil,brazil,Football,football,1,13,brazil,BR,Goiano,goiano,#0e3189,#189b34,Brazil,brazil,Football,football,1,13,brazil,BR,3264,381,False,False,False,False,0,57344,10,100,Ended,finished,Vila Nova,vila-nova,Vila Nova,M,Football,football,1,17647,VIN,False,False,0,2021,BR,Brazil,[],#ff0000,#ffffff,#ffffff,Morrinhos,morrinhos,Morrinhos,M,Football,football,1,376,MOR,False,0,39631,BR,Brazil,[],#ffffff,#006000,#006000,3.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1676127358,False,1676124240.0,,,,,,,,,,,,,,,,
wPsUfn,3,False,False,10915842,1676500200,aparecidense-vila-nova,False,Goiano,goiano,Brazil,brazil,Football,football,1,13,brazil,BR,Goiano,goiano,#0e3189,#189b34,Brazil,brazil,Football,football,1,13,brazil,BR,3264,381,False,False,False,False,0,57344,11,100,Ended,finished,Aparecidense,aparecidense,Aparecidense,M,Football,football,1,2662,APA,False,False,0,32794,BR,Brazil,[],#ffffff,#000042,#000042,Vila Nova,vila-nova,Vila Nova,M,Football,football,1,17647,VIN,False,0,2021,BR,Brazil,[],#ff0000,#ffffff,#ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2']",1676506934,False,1676503980.0,,,,,,,,,,,,,,,,
wPsxMi,3,False,False,11074717,1677018600,anapolis-vila-nova,False,"Goiano, 1 Divisao, Playoffs",goiano-1-divisao-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Goiano,goiano,#0e3189,#189b34,Brazil,brazil,Football,football,1,13,brazil,BR,3264,381,False,False,False,False,0,59009,27,100,Ended,finished,Anápolis,anapolis,Anápolis,M,Football,football,1,1689,ANA,,False,0,21872,BR,Brazil,[],#ff0000,#1c1718,#1c1718,Vila Nova,vila-nova,Vila Nova,M,Football,football,1,17647,VIN,False,0,2021,BR,Brazil,[],#ff0000,#ffffff,#ffffff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['cardsCode'],1677056035,False,,Quarterfinal,quarterfinal,4.0,,,,,,,,,,,,,
wPsldq,1,False,False,11074771,1677195000,luverdense-vila-nova,False,Copa Verde,copa-verde,Brazil,brazil,Football,football,1,13,brazil,BR,Copa Verde,copa-verde,#259844,#004b22,Brazil,brazil,Football,football,1,13,brazil,BR,3369,10158,False,False,False,False,0,42474,2,120,AP,finished,Vila Nova,vila-nova,Vila Nova,M,Football,football,1,17647,VIN,False,False,0,2021,BR,Brazil,[],#ff0000,#ffffff,#ffffff,Luverdense,luverdense,Luverdense,M,Football,football,1,948,LUV,False,0,40161,BR,Brazil,[],#ffffff,#024c29,#024c29,4.0,4.0,,0.0,0.0,3.0,3.0,,0.0,0.0,['cardsCode'],1677232077,,,Round 2,round-2,,4.0,3.0,,,,,,,,,,,
wPsUjB,3,True,False,11056149,1677625200,real-noroeste-vila-nova,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,373,False,False,False,False,0,283,1,100,Ended,finished,Real Noroeste,real-noroeste,Real Noroeste,M,Football,football,1,1675,RNO,False,False,0,65494,BR,Brazil,[],#ffffff,#004703,#004703,Vila Nova,vila-nova,Vila Nova,M,Football,football,1,17647,VIN,False,0,2021,BR,Brazil,[],#ff0000,#ffffff,#ffffff,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,['cardsCode'],1677653635,False,1677632345.0,Round 1,round-1,,,,2.0,6.0,,,,,,,,,
wPsxMi,2,False,False,11076025,1677956400,anapolis-vila-nova,False,"Goiano, 1 Divisao, Playoffs",goiano-1-divisao-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Goiano,goiano,#0e3189,#189b34,Brazil,brazil,Football,football,1,13,brazil,BR,3264,381,False,False,False,False,0,59009,27,100,Ended,finished,Vila Nova,vila-nova,Vila Nova,M,Football,football,1,17647,VIN,False,False,0,2021,BR,Brazil,[],#ff0000,#ffffff,#ffffff,Anápolis,anapolis,Anápolis,M,Football,football,1,1689,ANA,False,0,21872,BR,Brazil,[],#ff0000,#1c1718,#1c1718,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1677963483,,1677960360.0,Quarterfinal,quarterfinal,4.0,,,3.0,,11074717.0,0.0,1.0,,,,,,
lPswP,1,False,False,11103519,1678399200,vila-nova-nautico,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,373,False,False,False,False,0,283,2,100,Ended,finished,Náutico,nautico,Náutico,M,Football,football,1,17356,NAU,False,False,0,2011,BR,Brazil,[],#ff3300,#ffffff,#ffffff,Vila Nova,vila-nova,Vila Nova,M,Football,football,1,17647,VIN,False,0,2021,BR,Brazil,[],#ff0000,#ffffff,#ffffff,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,['cardsCode'],1678432969,False,1678406772.0,Round 2,round-2,,,,,6.0,,,,5.0,8.0,,,,
wPscJu,2,False,False,11106620,1678919400,cuiaba-vila-nova,False,Copa Verde,copa-verde,Brazil,brazil,Football,football,1,13,brazil,BR,Copa Verde,copa-verde,#259844,#004b22,Brazil,brazil,Football,football,1,13,brazil,BR,3369,10158,False,False,False,False,0,42474,27,100,Ended,finished,Vila Nova,vila-nova,Vila Nova,M,Football,football,1,17647,VIN,False,False,0,2021,BR,Brazil,[],#ff0000,#ffffff,#ffffff,Cuiabá,cuiaba,Cuiabá,M,Football,football,1,26115,CUI,False,0,49202,BR,Brazil,[],#ffffff,#006600,#006600,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2']",1678926417,False,1678923300.0,Quarterfinal,quarterfinal,4.0,,,,,,,,,,,,,
wPscJu,3,False,False,11108542,1679526000,cuiaba-vila-nova,False,Copa Verde,copa-verde,Brazil,brazil,Football,football,1,13,brazil,BR,Copa Verde,copa-verde,#259844,#004b22,Brazil,brazil,Football,football,1,13,brazil,BR,3369,10158,False,False,False,False,0,42474,27,100,Ended,finished,Cuiabá,cuiaba,Cuiabá,M,Football,football,1,26115,CUI,False,False,0,49202,BR,Brazil,[],#ffffff,#006600,#006600,Vila Nova,vila-nova,Vila Nova,M,Football,football,1,17647,VIN,False,0,2021,BR,Brazil,[],#ff0000,#ffffff,#ffffff,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1679533373,False,1679530140.0,Quarterfinal,quarterfinal,4.0,,,1.0,,11106620.0,3.0,1.0,,,1.0,1.0,,
