customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,aggregatedWinnerCode,awayRedCards,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,homeScore.penalties,awayScore.penalties,previousLegEventId,homeScore.aggregated,awayScore.aggregated,homeRedCards
APsHOi,1,True,True,True,1,False,10912195,1676581200,mirassol-ituano,False,Paulista Série A1,paulista-serie-a1,Brazil,brazil,Football,football,1,13,brazil,BR,Paulista Série A1,paulista-serie-a1,#004990,#d1a02f,Brazil,brazil,Football,football,1,13,brazil,BR,47552,372,True,False,False,False,286,57411,9,100,Ended,finished,Mirassol,mirassol,Mirassol,M,Football,football,1,11292,MIR,False,False,0,21982,BR,Brazil,[],#e8c728,#174c30,#174c30,Ituano,ituano,Ituano,M,Football,football,1,14035,ITU,False,False,0,2025,BR,Brazil,[],#c1394e,#181d25,#181d25,1,1,1,0,1,0,0,0,0,0,3.0,7.0,1676588157,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1676588160,,,,,,,,,,,
APsqOc,1,True,True,True,1,False,10912205,1676850000,santo-andre-ituano,False,Paulista Série A1,paulista-serie-a1,Brazil,brazil,Football,football,1,13,brazil,BR,Paulista Série A1,paulista-serie-a1,#004990,#d1a02f,Brazil,brazil,Football,football,1,13,brazil,BR,47552,372,True,False,False,False,286,57411,10,100,Ended,finished,Ituano,ituano,Ituano,M,Football,football,1,14035,ITU,False,False,0,2025,BR,Brazil,[],#c1394e,#181d25,#181d25,Santo André,santo-andre,Santo André,M,Football,football,1,3451,SAN,False,False,0,6966,BR,Brazil,[],#ffffff,#000080,#000080,2,2,2,0,2,0,0,0,0,0,6.0,5.0,1676857004,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1676857008,,,,,,,,,,,
APseau,2,True,True,True,1,False,11058998,1677105000,sao-bernardo-ituano,False,Paulista Série A1,paulista-serie-a1,Brazil,brazil,Football,football,1,13,brazil,BR,Paulista Série A1,paulista-serie-a1,#004990,#d1a02f,Brazil,brazil,Football,football,1,13,brazil,BR,47552,372,True,False,False,False,286,57411,8,100,Ended,finished,Ituano,ituano,Ituano,M,Football,football,1,14035,ITU,False,False,0,2025,BR,Brazil,[],#c1394e,#181d25,#181d25,São Bernardo,sao-bernardo,São Bernardo,M,Football,football,1,6767,SBE,False,False,0,47504,BR,Brazil,[],#fae097,#1b1a1f,#1b1a1f,0,0,0,0,0,2,2,2,0,2,2.0,5.0,1677111723,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1677111725,,,,,,,,,,,
ZOsAP,1,True,True,True,1,False,10912211,1677351600,ituano-red-bull-bragantino,False,Paulista Série A1,paulista-serie-a1,Brazil,brazil,Football,football,1,13,brazil,BR,Paulista Série A1,paulista-serie-a1,#004990,#d1a02f,Brazil,brazil,Football,football,1,13,brazil,BR,47552,372,True,False,False,False,286,57411,11,100,Ended,finished,Red Bull Bragantino,red-bull-bragantino,RB Bragantino,M,Football,football,1,49385,BRA,False,False,0,1999,BR,Brazil,[],#363636,#d8d8d6,#d8d8d6,Ituano,ituano,Ituano,M,Football,football,1,14035,ITU,False,False,0,2025,BR,Brazil,[],#c1394e,#181d25,#181d25,5,5,3,2,5,1,1,0,1,1,3.0,3.0,1677358369,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1677358376,,,,,,,,,,,
APseXhb,3,False,,,6,False,11056040,1677715200,ituano-princesa-dos-solimoes,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,373,False,False,False,False,0,283,1,100,Ended,finished,Princesa dos Solimões,princesa-dos-solimoes,P. dos Solimões,M,Football,football,1,1209,PDS,,False,0,144854,BR,Brazil,[],#ff0000,#ff0000,#ff0000,Ituano,ituano,Ituano,M,Football,football,1,14035,ITU,False,False,0,2025,BR,Brazil,[],#c1394e,#181d25,#181d25,1,1,0,1,1,1,1,1,0,1,4.0,5.0,1677722145,['cardsCode'],1677723497,2.0,1.0,Round 1,round-1,,,,,,,
tOsAP,1,True,True,True,1,False,10912221,1678042800,ituano-santos,False,Paulista Série A1,paulista-serie-a1,Brazil,brazil,Football,football,1,13,brazil,BR,Paulista Série A1,paulista-serie-a1,#004990,#d1a02f,Brazil,brazil,Football,football,1,13,brazil,BR,47552,372,True,False,False,False,286,57411,12,100,Ended,finished,Ituano,ituano,Ituano,M,Football,football,1,14035,ITU,False,False,0,2025,BR,Brazil,[],#c1394e,#181d25,#181d25,Santos,santos,Santos,M,Football,football,1,80387,SAN,False,False,0,1968,BR,Brazil,[],#ffffff,#ffffff,#ffffff,3,3,2,1,3,0,0,0,0,0,6.0,3.0,1678049959,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1678050016,,,,,,,,,,,
hOsAP,2,True,True,True,1,False,11109244,1678647600,ituano-corinthians,False,"Paulista, Serie A1, Playoffs",paulista-serie-a1-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Paulista Série A1,paulista-serie-a1,#004990,#d1a02f,Brazil,brazil,Football,football,1,13,brazil,BR,47552,372,True,False,False,False,0,58692,27,120,AP,finished,Corinthians,corinthians,Corinthians,M,Football,football,1,161531,COR,False,False,0,1957,BR,Brazil,[],#ffffff,#000000,#000000,Ituano,ituano,Ituano,M,Football,football,1,14035,ITU,False,False,0,2025,BR,Brazil,[],#c1394e,#181d25,#181d25,7,1,1,0,1,8,1,1,0,1,2.0,6.0,1678655908,"['homeScore.normaltime', 'awayScore.normaltime']",1678656807,,,Quarterfinal,quarterfinal,4.0,6.0,7.0,,,,
bPsAP,1,True,,,6,False,11103585,1678917600,ituano-ceara,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,373,False,False,False,False,0,283,2,120,AP,finished,Ituano,ituano,Ituano,M,Football,football,1,14035,ITU,False,False,0,2025,BR,Brazil,[],#c1394e,#181d25,#181d25,Ceará,ceara,Ceará,M,Football,football,1,44224,CEA,False,False,0,2001,BR,Brazil,[],#000000,#ffffff,#ffffff,5,1,1,0,1,3,1,1,0,1,,,1678925339,"['homeScore.normaltime', 'awayScore.normaltime', 'time.injuryTime1', 'time.injuryTime2']",1678925379,1.0,,Round 2,round-2,,4.0,2.0,,,,
nOsAP,1,True,True,True,1,False,11129502,1679252400,ituano-palmeiras,False,"Paulista, Serie A1, Playoffs",paulista-serie-a1-playoffs,Brazil,brazil,Football,football,1,13,brazil,BR,Paulista Série A1,paulista-serie-a1,#004990,#d1a02f,Brazil,brazil,Football,football,1,13,brazil,BR,47552,372,True,False,False,False,0,58692,28,100,Ended,finished,Palmeiras,palmeiras,Palmeiras,M,Football,football,1,193414,PAL,False,False,0,1963,BR,Brazil,[],#339966,#336633,#336633,Ituano,ituano,Ituano,M,Football,football,1,14035,ITU,False,False,0,2025,BR,Brazil,[],#c1394e,#181d25,#181d25,1,1,0,1,1,0,0,0,0,0,2.0,7.0,1679259346,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1679259348,,,Semifinal,semifinal,2.0,,,,,,
GOsAP,3,False,True,True,1,False,11180009,1681259400,ituano-sao-paulo,False,Copa do Brasil,copa-do-brasil,Brazil,brazil,Football,football,1,13,brazil,BR,Copa do Brasil,copa-do-brasil,#34a348,#f2ba1c,Brazil,brazil,Football,football,1,13,brazil,BR,133138,373,False,False,False,False,0,283,3,100,Ended,finished,São Paulo,sao-paulo,São Paulo,M,Football,football,1,144593,SPA,False,False,0,1981,BR,Brazil,[],#ffffff,#000000,#000000,Ituano,ituano,Ituano,M,Football,football,1,14035,ITU,False,False,0,2025,BR,Brazil,[],#c1394e,#181d25,#181d25,0,0,0,0,0,0,0,0,0,0,,,1681266614,"['homeScore.aggregated', 'awayScore.aggregated']",1681292743,,,Round 3,round-3,,,,,,,
