customId,winnerCode,coverage,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,changes.changes,changes.changeTimestamp,homeTeam.disabled,time.currentPeriodStartTimestamp,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,tournament.category.alpha2,tournament.uniqueTournament.category.alpha2,roundInfo.round,time.injuryTime1,time.injuryTime2,homeRedCards,awayRedCards
qNsOP,3,-1.0,False,False,10989772,1673611200,hnk-rijeka-budapest-honved-fc,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,40028,853,False,False,False,False,0,86,100,Ended,finished,Budapest Honvéd FC,budapest-honved-fc,Honvéd,M,Football,football,1,3419,HON,False,0,1916,HU,Hungary,[],#000000,#ff0000,#ff0000,HNK Rijeka,hnk-rijeka,Rijeka,M,Football,football,1,26258,RIJ,False,False,0,2039,HR,Croatia,[],#ffffff,#6699ff,#6699ff,1,1,1,0,1,1,1,0,1,1,"['status.code', 'status.description', 'status.type', 'homeScore.current', 'homeScore.display', 'homeScore.period1', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.current', 'awayScore.display', 'awayScore.period1', 'awayScore.period2', 'awayScore.normaltime']",1673625820,,,,,,,,,,,,
qNsOP,1,-1.0,False,False,10989771,1673625600,hnk-rijeka-budapest-honved-fc,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,40028,853,False,False,False,False,0,86,100,Ended,finished,HNK Rijeka,hnk-rijeka,Rijeka,M,Football,football,1,26258,RIJ,False,0,2039,HR,Croatia,[],#ffffff,#6699ff,#6699ff,Budapest Honvéd FC,budapest-honved-fc,Honvéd,M,Football,football,1,3419,HON,,False,0,1916,HU,Hungary,[],#000000,#ff0000,#ff0000,2,2,1,1,2,0,0,0,0,0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1673632141,False,1673629380.0,,,,,,,,,,
OPsPP,3,,True,False,10396442,1674309600,nk-osijek-hnk-rijeka,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,38341,170,True,False,True,False,344,48,100,Ended,finished,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,0,2040,HR,Croatia,[],#08246d,#ffffff,#ffffff,HNK Rijeka,hnk-rijeka,Rijeka,M,Football,football,1,26258,RIJ,False,False,0,2039,HR,Croatia,[],#ffffff,#6699ff,#6699ff,1,1,1,0,1,1,1,1,0,1,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1674316776,False,1674316769.0,True,True,1.0,HR,HR,18.0,2.0,3.0,,
EPsOP,2,,True,False,10396451,1674914400,hnk-rijeka-hnk-sibenik,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,38341,170,True,False,True,False,344,48,100,Ended,finished,HNK Šibenik,hnk-sibenik,Šibenik,M,Football,football,1,7650,SIB,False,0,2029,HR,Croatia,[],#fd6d19,#000080,#000080,HNK Rijeka,hnk-rijeka,Rijeka,M,Football,football,1,26258,RIJ,False,False,0,2039,HR,Croatia,[],#ffffff,#6699ff,#6699ff,1,1,1,0,1,2,2,1,1,2,"['status.code', 'status.description', 'status.type']",1674921698,False,1674918460.0,True,True,1.0,HR,HR,19.0,4.0,,1.0,
LPsOP,2,,True,False,10396422,1675614600,hnk-rijeka-hnk-hajduk-split,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,38341,170,True,False,True,False,344,48,100,Ended,finished,HNK Hajduk Split,hnk-hajduk-split,Hajduk,M,Football,football,1,62457,HAJ,False,0,2036,HR,Croatia,[],#ffffff,#ffffff,#ffffff,HNK Rijeka,hnk-rijeka,Rijeka,M,Football,football,1,26258,RIJ,False,False,0,2039,HR,Croatia,[],#ffffff,#6699ff,#6699ff,1,1,0,1,1,2,2,0,2,2,"['status.code', 'status.description', 'status.type']",1675621786,False,1675618431.0,True,True,1.0,HR,HR,20.0,2.0,8.0,,
OPsrDr,1,,True,False,10396356,1676218200,hnk-gorica-hnk-rijeka,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,38341,170,True,False,True,False,344,48,100,Ended,finished,HNK Rijeka,hnk-rijeka,Rijeka,M,Football,football,1,26258,RIJ,False,0,2039,HR,Croatia,[],#ffffff,#6699ff,#6699ff,HNK Gorica,hnk-gorica,Gorica,M,Football,football,1,10172,GOR,False,False,0,43917,HR,Croatia,[],#ff0000,#ffffff,#ffffff,2,2,0,2,2,0,0,0,0,0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1676224914,False,1676224912.0,True,True,1.0,HR,HR,21.0,2.0,4.0,,
OPsWzo,2,,True,False,10396373,1676736600,nk-lokomotiva-zagreb-hnk-rijeka,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,38341,170,True,False,True,False,344,48,100,Ended,finished,NK Lokomotiva Zagreb,nk-lokomotiva-zagreb,Lokomotiva,M,Football,football,1,10353,LOK,False,0,36246,HR,Croatia,[],#0000ff,#ffffff,#ffffff,HNK Rijeka,hnk-rijeka,Rijeka,M,Football,football,1,26258,RIJ,False,False,0,2039,HR,Croatia,[],#ffffff,#6699ff,#6699ff,1,1,0,1,1,2,2,1,1,2,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1676743496,False,1676743492.0,True,True,1.0,HR,HR,22.0,2.0,3.0,,
OPsRP,2,,True,False,10396409,1677345000,nk-slaven-belupo-hnk-rijeka,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,38341,170,True,False,True,False,344,48,100,Ended,finished,HNK Rijeka,hnk-rijeka,Rijeka,M,Football,football,1,26258,RIJ,False,0,2039,HR,Croatia,[],#ffffff,#6699ff,#6699ff,NK Slaven Belupo,nk-slaven-belupo,Slaven,M,Football,football,1,7897,SLA,False,False,0,2042,HR,Croatia,[],#4f6abc,#ffffff,#ffffff,0,0,0,0,0,1,1,0,1,1,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1677352218,False,1677352214.0,True,True,1.0,HR,HR,23.0,2.0,7.0,,
OPsEkk,2,,True,False,10396701,1677859200,nk-istra-1961-hnk-rijeka,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,38341,170,True,False,True,False,344,48,100,Ended,finished,NK Istra 1961,nk-istra-1961,Istra,M,Football,football,1,9068,IST,False,0,25529,HR,Croatia,[],#eee447,#222226,#222226,HNK Rijeka,hnk-rijeka,Rijeka,M,Football,football,1,26258,RIJ,False,False,0,2039,HR,Croatia,[],#ffffff,#6699ff,#6699ff,0,0,0,0,0,2,2,1,1,2,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1677866036,False,1677866034.0,True,True,1.0,HR,HR,24.0,,7.0,2.0,
OPsFCRb,1,,True,False,10396417,1678629600,nk-varazdin-hnk-rijeka,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,38341,170,True,False,True,False,344,48,100,Ended,finished,HNK Rijeka,hnk-rijeka,Rijeka,M,Football,football,1,26258,RIJ,False,0,2039,HR,Croatia,[],#ffffff,#6699ff,#6699ff,NK Varaždin,nk-varazdin,Varaždin,M,Football,football,1,8362,VAR,False,False,0,231380,HR,Croatia,[],#004194,#ffffff,#ffffff,3,3,1,2,3,1,1,0,1,1,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1678636476,False,1678636472.0,True,True,1.0,HR,HR,25.0,2.0,2.0,,
HPsOP,1,,True,False,10396510,1679243400,hnk-rijeka-gnk-dinamo-zagreb,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,38341,170,True,False,True,False,344,48,100,Ended,finished,GNK Dinamo Zagreb,gnk-dinamo-zagreb,Dinamo,M,Football,football,1,122203,DIN,False,0,2032,HR,Croatia,[],#0b59a1,#ffffff,#ffffff,HNK Rijeka,hnk-rijeka,Rijeka,M,Football,football,1,26258,RIJ,False,False,0,2039,HR,Croatia,[],#ffffff,#6699ff,#6699ff,1,1,0,1,1,0,0,0,0,0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1679250216,False,1679250213.0,True,True,1.0,HR,HR,26.0,1.0,4.0,,
OPsnY,3,-1.0,False,False,11154965,1679760000,nk-celje-hnk-rijeka,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,40028,853,False,False,False,False,0,86,100,Ended,finished,HNK Rijeka,hnk-rijeka,Rijeka,M,Football,football,1,26258,RIJ,False,0,2039,HR,Croatia,[],#ffffff,#6699ff,#6699ff,NK Celje,nk-celje,Celje,M,Football,football,1,6553,CEL,False,False,0,2413,SI,Slovenia,[],#ffff00,#000000,#000000,1,1,0,1,1,1,1,0,1,1,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1679766520,False,1679763600.0,,,,,,,,,,
OPsPP,3,,True,False,10396424,1680440400,nk-osijek-hnk-rijeka,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,38341,170,True,False,True,False,344,48,100,Ended,finished,HNK Rijeka,hnk-rijeka,Rijeka,M,Football,football,1,26258,RIJ,False,0,2039,HR,Croatia,[],#ffffff,#6699ff,#6699ff,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,HR,Croatia,[],#08246d,#ffffff,#ffffff,1,1,1,0,1,1,1,0,1,1,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1680447570,False,1680447230.0,True,True,1.0,HR,HR,27.0,2.0,5.0,,
EPsOP,1,,True,False,10396404,1680973800,hnk-rijeka-hnk-sibenik,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,38341,170,True,False,True,False,344,48,100,Ended,finished,HNK Rijeka,hnk-rijeka,Rijeka,M,Football,football,1,26258,RIJ,False,0,2039,HR,Croatia,[],#ffffff,#6699ff,#6699ff,HNK Šibenik,hnk-sibenik,Šibenik,M,Football,football,1,7650,SIB,False,False,0,2029,HR,Croatia,[],#fd6d19,#000080,#000080,1,1,0,1,1,0,0,0,0,0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1680980578,False,1680980577.0,True,True,1.0,HR,HR,28.0,2.0,4.0,,
LPsOP,1,,True,False,10396432,1681660800,hnk-rijeka-hnk-hajduk-split,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,38341,170,True,False,True,False,344,48,100,Ended,finished,HNK Rijeka,hnk-rijeka,Rijeka,M,Football,football,1,26258,RIJ,False,0,2039,HR,Croatia,[],#ffffff,#6699ff,#6699ff,HNK Hajduk Split,hnk-hajduk-split,Hajduk,M,Football,football,1,62457,HAJ,False,False,0,2036,HR,Croatia,[],#ffffff,#ffffff,#ffffff,2,2,1,1,2,0,0,0,0,0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681667422,False,1681667419.0,True,True,1.0,HR,HR,29.0,2.0,3.0,,
OPsrDr,1,,True,False,10396399,1682254800,hnk-gorica-hnk-rijeka,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,38341,170,True,False,True,False,344,48,100,Ended,finished,HNK Gorica,hnk-gorica,Gorica,M,Football,football,1,10172,GOR,False,0,43917,HR,Croatia,[],#ff0000,#ffffff,#ffffff,HNK Rijeka,hnk-rijeka,Rijeka,M,Football,football,1,26258,RIJ,False,False,0,2039,HR,Croatia,[],#ffffff,#6699ff,#6699ff,1,1,0,1,1,0,0,0,0,0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682261870,False,1682261867.0,True,True,1.0,HR,HR,30.0,4.0,5.0,1.0,
OPsWzo,1,,True,False,10396359,1682611200,nk-lokomotiva-zagreb-hnk-rijeka,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,38341,170,True,False,True,False,344,48,100,Ended,finished,HNK Rijeka,hnk-rijeka,Rijeka,M,Football,football,1,26258,RIJ,False,0,2039,HR,Croatia,[],#ffffff,#6699ff,#6699ff,NK Lokomotiva Zagreb,nk-lokomotiva-zagreb,Lokomotiva,M,Football,football,1,10353,LOK,False,False,0,36246,HR,Croatia,[],#0000ff,#ffffff,#ffffff,2,2,0,2,2,0,0,0,0,0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1682617975,False,1682617973.0,True,True,1.0,HR,HR,31.0,2.0,4.0,,
