customId,winnerCode,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,awayRedCards,aggregatedWinnerCode,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,coverage
EPsPP,2,True,True,True,1.0,False,10396418,1668348000,nk-osijek-hnk-sibenik,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HR,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,HR,38341,False,True,170,True,False,344,48,17.0,100,Ended,finished,HNK Šibenik,hnk-sibenik,Šibenik,M,Football,football,1,7650,SIB,False,False,0,2029,HR,Croatia,[],#fd6d19,#000080,#000080,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,HR,Croatia,[],#08246d,#ffffff,#ffffff,0,0,0,0,0,2,2,2,0,2,1.0,4.0,1668354763.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1668354766,,,,,,
PPsrY,3,False,,,,False,10967971,1673085600,fc-koper-nk-osijek,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,1.0,100,Ended,finished,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,HR,Croatia,[],#08246d,#ffffff,#ffffff,FC Koper,fc-koper,Koper,M,Football,football,1,6611,KOP,False,False,0,2417,SI,Slovenia,[],#66ff00,#000000,#000000,4,4,3,1,4,4,4,0,4,4,,,1673091549.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1673091555,,,,,,
qNsPP,2,False,,,,False,10968029,1673092800,nk-osijek-budapest-honved-fc,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,1.0,100,Ended,finished,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,HR,Croatia,[],#08246d,#ffffff,#ffffff,Budapest Honvéd FC,budapest-honved-fc,Honvéd,M,Football,football,1,3419,HON,,False,0,1916,HU,Hungary,[],#000000,#ff0000,#ff0000,1,1,0,1,1,2,2,1,1,2,,,1673098980.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1673098984,,,,,,
PPsUcc,1,False,,,,False,10989764,1673690400,fk-javor-ivanjica-nk-osijek,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,1.0,100,Ended,finished,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,HR,Croatia,[],#08246d,#ffffff,#ffffff,FK Javor Ivanjica,fk-javor-ivanjica,Javor,M,Football,football,1,2260,JAV,,False,0,5144,RS,Serbia,[],#cc3333,#ffffff,#ffffff,2,2,0,2,2,1,1,1,0,1,,,1673696350.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1673696352,,,,,,
BNsPP,1,False,,,,False,10989812,1673697600,nk-osijek-mol-fehervar-fc,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,,40028,False,False,853,False,False,0,86,1.0,100,Ended,finished,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,HR,Croatia,[],#08246d,#ffffff,#ffffff,MOL Fehérvár FC,mol-fehervar-fc,Fehérvár FC,M,Football,football,1,7952,FEH,False,False,0,1926,HU,Hungary,[],#f00000,#000d5b,#000d5b,1,1,0,1,1,0,0,0,0,0,,,1673703595.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1673703597,1.0,,,,,
OPsPP,3,True,True,True,1.0,False,10396442,1674309600,nk-osijek-hnk-rijeka,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HR,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,HR,38341,False,True,170,True,False,344,48,18.0,100,Ended,finished,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,HR,Croatia,[],#08246d,#ffffff,#ffffff,HNK Rijeka,hnk-rijeka,Rijeka,M,Football,football,1,26258,RIJ,False,False,0,2039,HR,Croatia,[],#ffffff,#6699ff,#6699ff,1,1,1,0,1,1,1,1,0,1,2.0,3.0,1674316769.0,"['time.currentPeriodStart', 'status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1674316776,,,,,,
PPsrDr,1,True,True,True,1.0,False,10396445,1675000800,hnk-gorica-nk-osijek,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HR,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,HR,38341,False,True,170,True,False,344,48,19.0,100,Ended,finished,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,HR,Croatia,[],#08246d,#ffffff,#ffffff,HNK Gorica,hnk-gorica,Gorica,M,Football,football,1,10172,GOR,False,False,0,43917,HR,Croatia,[],#ff0000,#ffffff,#ffffff,2,2,1,1,2,0,0,0,0,0,1.0,3.0,1675004718.0,"['status.code', 'status.description', 'status.type']",1675007613,,,,,,
PPsWzo,1,True,True,True,1.0,False,10396438,1675519200,nk-lokomotiva-zagreb-nk-osijek,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HR,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,HR,38341,False,True,170,True,False,344,48,20.0,100,Ended,finished,NK Lokomotiva Zagreb,nk-lokomotiva-zagreb,Lokomotiva,M,Football,football,1,10353,LOK,False,False,0,36246,HR,Croatia,[],#0000ff,#ffffff,#ffffff,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,HR,Croatia,[],#08246d,#ffffff,#ffffff,1,1,1,0,1,0,0,0,0,0,2.0,6.0,1675526041.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1675526043,,,,,,
PPsRP,3,True,True,True,1.0,False,10396350,1676131800,nk-slaven-belupo-nk-osijek,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HR,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,HR,38341,False,True,170,True,False,344,48,21.0,100,Ended,finished,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,HR,Croatia,[],#08246d,#ffffff,#ffffff,NK Slaven Belupo,nk-slaven-belupo,Slaven,M,Football,football,1,7897,SLA,False,False,0,2042,HR,Croatia,[],#4f6abc,#ffffff,#ffffff,0,0,0,0,0,0,0,0,0,0,2.0,7.0,1676138951.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1676138955,,,,,,
PPsEkk,1,True,True,True,1.0,False,10396401,1676728800,nk-istra-1961-nk-osijek,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HR,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,HR,38341,False,True,170,True,False,344,48,22.0,100,Ended,finished,NK Istra 1961,nk-istra-1961,Istra,M,Football,football,1,9068,IST,False,False,0,25529,HR,Croatia,[],#eee447,#222226,#222226,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,HR,Croatia,[],#08246d,#ffffff,#ffffff,1,1,0,1,1,0,0,0,0,0,1.0,12.0,1676736094.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1676736099,1.0,,,,,
