customId,winnerCode,coverage,hasGlobalHighlights,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,changes.changes,changes.changeTimestamp,roundInfo.round,time.currentPeriodStartTimestamp,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,tournament.category.alpha2,tournament.uniqueTournament.category.alpha2,time.injuryTime1,time.injuryTime2,aggregatedWinnerCode,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,awayRedCards,homeRedCards
RPsxfMb,2,-1.0,False,False,10984050,1673442000,nk-croatia-zmijavci-nk-slaven-belupo,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,40028,853,False,False,False,False,0,86,100,Ended,finished,NK Croatia Zmijavci,nk-croatia-zmijavci,Croatia (Z),M,Football,football,1,1304,CZM,False,False,0,217772,HR,Croatia,[],#f5485b,#f2f0f3,#f2f0f3,NK Slaven Belupo,nk-slaven-belupo,Slaven,M,Football,football,1,7897,SLA,False,False,0,2042,HR,Croatia,[],#4f6abc,#ffffff,#ffffff,0,0,0,0,0,2,2,1,1,2,"['status.code', 'status.description', 'status.type']",1673515673,,,,,,,,,,,,,,,
RPstDr,1,,False,False,10979959,1673526600,nk-dugopolje-nk-slaven-belupo,False,Club Friendly Games,club-friendly-games,World,world,Football,football,1,1468,international,Club Friendly Games,club-friendly-games,#25497d,#d38f1d,World,world,Football,football,1,1468,international,40028,853,False,False,False,False,0,86,100,Ended,finished,NK Dugopolje,nk-dugopolje,Dugopolje,M,Football,football,1,1421,DUG,False,False,0,43918,HR,Croatia,[],#ffffff,#1c39bb,#1c39bb,NK Slaven Belupo,nk-slaven-belupo,Slaven,M,Football,football,1,7897,SLA,False,False,0,2042,HR,Croatia,[],#4f6abc,#ffffff,#ffffff,1,1,1,0,1,0,0,0,0,0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1673533650,1.0,1673533648.0,,,,,,,,,,,,,
RPsEkk,3,,True,False,10396441,1674230400,nk-istra-1961-nk-slaven-belupo,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,38341,170,True,False,True,False,344,48,100,Ended,finished,NK Istra 1961,nk-istra-1961,Istra,M,Football,football,1,9068,IST,False,False,0,25529,HR,Croatia,[],#eee447,#222226,#222226,NK Slaven Belupo,nk-slaven-belupo,Slaven,M,Football,football,1,7897,SLA,False,False,0,2042,HR,Croatia,[],#4f6abc,#ffffff,#ffffff,0,0,0,0,0,0,0,0,0,0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1674237162,18.0,1674237159.0,True,True,1.0,HR,HR,1.0,4.0,,,,,,
RPsFCRb,1,,True,False,10396509,1674835200,nk-varazdin-nk-slaven-belupo,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,38341,170,True,False,True,False,344,48,100,Ended,finished,NK Varaždin,nk-varazdin,Varaždin,M,Football,football,1,8362,VAR,False,False,0,231380,HR,Croatia,[],#004194,#ffffff,#ffffff,NK Slaven Belupo,nk-slaven-belupo,Slaven,M,Football,football,1,7897,SLA,False,False,0,2042,HR,Croatia,[],#4f6abc,#ffffff,#ffffff,1,1,0,1,1,0,0,0,0,0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1674842001,19.0,1674841999.0,True,True,1.0,HR,HR,1.0,4.0,,,,,,
HPsRP,3,,True,False,10396444,1675528200,nk-slaven-belupo-gnk-dinamo-zagreb,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,38341,170,True,False,True,False,344,48,100,Ended,finished,NK Slaven Belupo,nk-slaven-belupo,Slaven,M,Football,football,1,7897,SLA,False,False,0,2042,HR,Croatia,[],#4f6abc,#ffffff,#ffffff,GNK Dinamo Zagreb,gnk-dinamo-zagreb,Dinamo,M,Football,football,1,122203,DIN,False,False,0,2032,HR,Croatia,[],#0b59a1,#ffffff,#ffffff,1,1,1,0,1,1,1,1,0,1,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1675534861,20.0,1675534856.0,True,True,1.0,HR,HR,1.0,4.0,,,,,,
PPsRP,3,,True,False,10396350,1676131800,nk-slaven-belupo-nk-osijek,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,38341,170,True,False,True,False,344,48,100,Ended,finished,NK Osijek,nk-osijek,Osijek,M,Football,football,1,22879,OSI,False,False,0,2040,HR,Croatia,[],#08246d,#ffffff,#ffffff,NK Slaven Belupo,nk-slaven-belupo,Slaven,M,Football,football,1,7897,SLA,False,False,0,2042,HR,Croatia,[],#4f6abc,#ffffff,#ffffff,0,0,0,0,0,0,0,0,0,0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1676138955,21.0,1676138951.0,True,True,1.0,HR,HR,2.0,7.0,,,,,,
EPsRP,2,,True,False,10396368,1676649600,nk-slaven-belupo-hnk-sibenik,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,38341,170,True,False,True,False,344,48,100,Ended,finished,NK Slaven Belupo,nk-slaven-belupo,Slaven,M,Football,football,1,7897,SLA,False,False,0,2042,HR,Croatia,[],#4f6abc,#ffffff,#ffffff,HNK Šibenik,hnk-sibenik,Šibenik,M,Football,football,1,7650,SIB,False,False,0,2029,HR,Croatia,[],#fd6d19,#000080,#000080,0,0,0,0,0,1,1,1,0,1,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1676656365,22.0,1676656363.0,True,True,1.0,HR,HR,2.0,4.0,,,,,,
OPsRP,2,,True,False,10396409,1677345000,nk-slaven-belupo-hnk-rijeka,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,38341,170,True,False,True,False,344,48,100,Ended,finished,HNK Rijeka,hnk-rijeka,Rijeka,M,Football,football,1,26258,RIJ,False,False,0,2039,HR,Croatia,[],#ffffff,#6699ff,#6699ff,NK Slaven Belupo,nk-slaven-belupo,Slaven,M,Football,football,1,7897,SLA,False,False,0,2042,HR,Croatia,[],#4f6abc,#ffffff,#ffffff,0,0,0,0,0,1,1,0,1,1,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1677352218,23.0,1677352214.0,True,True,1.0,HR,HR,2.0,7.0,,,,,,
RPsBeo,1,,True,False,10888702,1677600000,nk-rudes-nk-slaven-belupo,False,Croatia Cup,croatia-cup,Croatia,croatia,Football,football,1,14,croatia,Croatian Cup,croatian-cup,#d9251d,#4087c7,Croatia,croatia,Football,football,1,14,croatia,7602,307,False,False,False,False,0,170,100,Ended,finished,NK Slaven Belupo,nk-slaven-belupo,Slaven,M,Football,football,1,7897,SLA,False,False,0,2042,HR,Croatia,[],#4f6abc,#ffffff,#ffffff,NK Rudeš,nk-rudes,Rudeš,M,Football,football,1,4868,RUD,False,False,0,35226,HR,Croatia,[],#0163ac,#ffffff,#ffffff,2,2,0,2,2,0,0,0,0,0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1677606740,27.0,1677606737.0,,,,HR,HR,1.0,4.0,1.0,Quarterfinal,quarterfinal,4.0,,
RPsrDr,3,,True,False,10396358,1677949800,hnk-gorica-nk-slaven-belupo,False,HNL,hnl,Croatia,croatia,Football,football,1,14,croatia,HNL,hnl,#c61a18,#f83044,Croatia,croatia,Football,football,1,14,croatia,38341,170,True,False,True,False,344,48,100,Ended,finished,NK Slaven Belupo,nk-slaven-belupo,Slaven,M,Football,football,1,7897,SLA,False,False,0,2042,HR,Croatia,[],#4f6abc,#ffffff,#ffffff,HNK Gorica,hnk-gorica,Gorica,M,Football,football,1,10172,GOR,False,False,0,43917,HR,Croatia,[],#ff0000,#ffffff,#ffffff,1,1,0,1,1,1,1,0,1,1,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1677956546,24.0,1677956544.0,True,True,1.0,HR,HR,2.0,4.0,,,,,1.0,
